ItemID,ItemName,SupplierID,StockQty,ReorderLevel,UnitPrice,LastRestockedDate
INV0051,Electronics,SUP0011,-1,110,Twenty Five Thousand,09/10/2022
INV0052,Steel,SUP0008,40,44,41064.49,06-08-2024
INV0053,Electronics,SUP0008,215,1,43752.53,25/02/2023
INV0054,Rubber,SUP0007,95,159,25849.11,22-10-2024
INV0055,Rubber,SUP0006,141,86,23164.86,24/03/2022
INV0056,chemicals,SUP0005,56,9999,22871.45,04/02/2023
INV0057,Steel,SUP0013,75,155,Twenty Five Thousand,16/06/2022
INV0058,Electronics,SUP0014,123,219,6979.63,08/12/2023
INV0059,Steel,SUP0004,291,261,21555.01,12/15/2024
INV0060,Rubber,SUP0004,112,126,11304.32,2023-05-23
INV0061,chemicals,SUP0006,295,93,30738.63,08/05/2022
INV0062,Rubber,SUP0010,107,254,35174.4,30/03/2023
INV0063,Electronics,SUP0001,131,202,16139.76,2022-04-10
INV0020,Rubber,SUP0013,205,245,18001.11,01-03-2022
INV0065,Rubber,SUP0001,122,201,21819.38,09-04-2022
INV0066,Electronics,SUP0016,90,90,20222.06,26/01/2022
INV0067,Chemicals,SUP0011,111,125,14465.33,02/27/2024
INV0068,Steel,SUP0004,223,282,42932.08,08/01/2022
INV0069,Plastic,SUP0016,293,54,,07/10/2023
INV0070,ELECTRONICS,SUP0013,35,75,Five Hundred,2024-03-27
INV0071,Rubber,SUP0005,93,85,10709.89,24-12-2023
INV0072,Rubber,SUP0005,161,215,,04/29/2024
INV0073,Chemicals,SUP0003,243,171,35838.34,10-07-2023
INV0074,Plastic,SUP0003,183,8,0,08/01/2023
INV0075,Plastic,SUP0004,161,234,3831.21,22-09-2023
INV0076,Electronics,SUP0009,225,100,47825.85,2022-09-03
INV0077,Plastic,SUP0013,106,245,0,25-04-2022
INV0078,Electronics,SUP0011,239,292,Twenty Five Thousand,10/21/2023
INV0079,Steel,SUP0008,228,154,48027.58,06-10-2022
INVALID_98,Plastic,SUP0010,83,134,6769.15,26/11/2023
INV0081,Steel,SUP0019,225,217,28819.31,22-03-2024
INV0082,Plastic,SUP0013,263,24,33258.46,12/15/2022
INVALID_1,Chemicals,SUP0002,0,91,47878.07,05/04/2024
INV0084,Rubber,SUP0006,69,182,3119.66,2024-04-24
INV0085,Electronics,SUP0001,252,264,33541.11,2023-11-05
INV0086,Rubber,SUP0005,75,218,10542.19,06-07-2022
INV0087,Plastic,SUP0010,211,267,11345.63,05/12/2022
INV0088,Chemicals,SUP0012,270,178,,2024-12-03
INV0089,Plastic,SUP0018,131,158,24835.83,22/06/2023
INV0090,Steel,SUP0020,245,254,25203.38,19-01-2023
INV0091,Chemicals,SUP0018,297,24,40294.97,25/12/2022
INV0092,Rubber,SUP0008,274,109,47064.36,01-05-2024
INV0093,Chemicals,SUP0007,9999,107,16763.55,05-12-2024
INV0094,Electronics,SUP0014,133,4,16362.3,09-10-2024
INV0095,Steel,SUP0006,299,163,44988.48,10/17/2022
INV0096,Chemicals,SUP0001,28,107,41987.6,11/03/2023
INV0097,Steel,SUP0005,53,-1,30021.02,01-05-2023
INV0098,Plastic,SUP0019,249,195,30149.14,13/01/2023
INV0099,Steel,SUP0015,54,113,40603.62,08/17/2022
INV0100,Rubber,SUP0015,271,176,48790.31,2022-04-16
INV0101,Steel,SUP0020,289,30,30818.84,05-06-2023
INV0102,Chemicals,SUP0013,62,216,16778.36,20-03-2022
INV0103,electronics,SUP0015,235,216,6251.7,11/01/2023
INV0104,Plastic,SUP0018,101,248,26036.62,2023-03-30
INV0105,Steel,SUP0011,103,265,14779.63,24/10/2022
INV0106,rubber,SUP0016,37,262,10784.73,2022-03-18
INV0107,Steel,SUP0014,153,160,15525.26,07/04/2023
INV0108,Chemicals,SUP0018,88,217,6061.85,09/05/2022
INVALID_80,electronics,SUP0017,44,65,36618.09,2022-08-12
INV0110,Chemicals,SUP0008,249,70,37510.14,01/27/2022
INVALID_91,Electronics,SUP0009,300,15,0,27/07/2022
INV0112,Steel,SUP0008,150,211,Ten Thousand,27/03/2023
INV0113,Steel,SUP0004,42,86,37315.0,03-04-2024
INV0114,Steel,SUP0009,120,190,10536.57,2022-07-20
INV0115,Chemicals,SUP0019,28,21,13721.64,14-04-2024
INV0116,Plastic,SUP0018,127,230,49019.69,11/09/2022
INV0117,Plastic,SUP0019,117,203,27610.54,04/15/2024
INV0118,Plastic,SUP0005,9999,205,3081.85,12/26/2024
INV0119,Electronics,SUP0018,271,127,,07-02-2023
INV0023,Rubber,SUP0002,251,161,14478.08,01/08/2022
INV0121,Plastic,SUP0015,164,190,40543.35,01/09/2022
INV0122,Plastic,SUP0016,155,23,37624.0,05/15/2023
INV0123,Chemicals,SUP0011,224,243,37588.46,29-01-2022
INV0124,Steel,SUP0006,112,84,0,2024-04-25
INV0125,STEEL,SUP0018,217,55,0,09/19/2023
INV0126,RUBBER,SUP0018,119,1,42007.69,04/25/2022
INV0127,Steel,SUP0006,216,16,4937.79,2022-02-16
INV0128,Plastic,SUP0017,34,8,33386.26,20/07/2022
INVALID_79,Plastic,SUP0013,137,-1,43271.35,03/31/2023
INV0130,Plastic,SUP0009,276,266,35149.86,29/08/2024
INV0131,plastic,SUP0002,228,4,4449.17,2024-06-15
INV0132,Plastic,SUP0016,39,35,23441.92,02/16/2024
INV0133,Rubber,SUP0004,130,98,5956.46,13/03/2024
INV0134,Plastic,SUP0018,278,9999,Twenty Five Thousand,2023-09-02
INV0135,Electronics,SUP0011,185,215,27147.21,09/04/2024
INV0136,Electronics,SUP0002,266,36,24488.73,2022-12-12
INV0137,Plastic,SUP0009,227,51,48886.12,16-06-2023
INV0138,steel,SUP0015,0,225,31146.04,08/01/2022
INV0139,Chemicals,SUP0019,206,16,,2023-05-07
INV0140,steel,SUP0014,221,264,36572.37,08/13/2024
INV0141,Steel,SUP0008,99,37,8642.84,07-01-2023
INV0142,Steel,SUP0012,64,80,21901.44,2023-01-14
INV0143,Plastic,SUP0009,12,169,,2023-12-05
INV0144,Chemicals,SUP0005,-1,51,0,07/14/2022
INV0145,Chemicals,SUP0011,238,272,,03/05/2023
INV0146,Electronics,SUP0010,95,256,24557.28,28-03-2023
INV0147,Plastic,SUP0002,176,132,3236.83,07/29/2024
INV0148,steel,SUP0008,85,178,48357.01,27-09-2022
INV0149,Plastic,SUP0005,149,136,30418.56,14-08-2023
INV0150,Rubber,SUP0008,258,143,24391.06,07-12-2023
INV0151,Electronics,SUP0011,239,153,3290.91,2023-09-27
INV0152,Plastic,SUP0013,134,58,35838.22,13/10/2024
INV0153,Rubber,SUP0011,300,274,21516.46,29-07-2024
INV0154,Chemicals,SUP0020,147,181,28055.77,11/04/2022
INV0155,electronics,SUP0014,170,89,7234.05,2022-02-18
INV0156,Electronics,SUP0017,0,168,5776.27,27-04-2023
INV0118,Steel,SUP0006,161,223,28056.36,22-11-2024
INV0021,Rubber,SUP0001,187,214,48091.37,2024-12-07
INV0159,Steel,SUP0015,158,265,,31-07-2023
INV0160,Rubber,SUP0017,290,160,38531.11,05/08/2023
INV0161,Electronics,SUP0015,7,216,44087.03,24-03-2023
INV0162,Plastic,SUP0013,77,187,7377.3,06/21/2023
INV0163,Steel,SUP0003,221,53,47456.61,12/10/2022
INVALID_4,Plastic,SUP0006,211,109,12923.9,11-06-2022
INV0165,Electronics,SUP0006,176,195,33508.95,2022-07-23
INV0166,Steel,SUP0002,70,148,32692.82,2023-01-12
INV0167,STEEL,SUP0003,174,129,28369.76,05/05/2022
INV0168,Chemicals,SUP0005,56,296,29534.7,11/01/2024
INVALID_90,Rubber,SUP0019,46,208,42994.0,21-12-2023
INV0170,Steel,SUP0019,295,203,33752.44,07/14/2023
INV0171,Steel,SUP0006,154,295,47937.63,2022-06-25
INV0172,Plastic,SUP0003,288,117,29652.23,2022-03-30
INV0173,Plastic,SUP0005,186,18,,12/24/2024
INV0174,STEEL,SUP0008,296,5,2201.31,2022-06-12
INV0175,steel,SUP0001,39,254,45427.08,06/06/2022
INV0176,Chemicals,SUP0013,85,52,34564.19,2023-04-20
INV0177,Rubber,SUP0016,232,3,1604.47,14-01-2024
INV0178,Electronics,SUP0015,192,134,43666.41,01/09/2022
INV0179,Plastic,SUP0015,159,271,3974.89,23-09-2024
INV0180,Steel,SUP0018,203,37,,18-12-2022
INV0181,Electronics,SUP0013,3,231,2117.89,07/24/2024
INV0182,Steel,SUP0014,146,99,36497.04,04-10-2023
INV0183,Steel,SUP0004,278,79,23295.16,02-04-2022
INV0184,Rubber,SUP0020,9999,85,2046.69,2023-09-08
INV0185,Steel,SUP0016,230,4,19213.33,30/03/2022
INV0186,Rubber,SUP0016,149,205,16586.68,18-11-2024
INV0187,Steel,SUP0011,296,182,4024.86,26/11/2023
INV0188,Rubber,SUP0012,186,279,20645.71,2024-08-19
INV0189,Steel,SUP9999,271,220,43341.52,03/02/2023
INV0190,Chemicals,SUP0007,208,49,38376.07,2024-08-11
INVALID_37,Plastic,SUP0018,268,42,43710.69,12/07/2023
INV0192,Steel,SUP0006,252,145,7619.77,2022-07-09
INV0193,Rubber,SUP0006,67,106,13244.66,05/31/2022
INV0194,Chemicals,SUP0015,9999,135,34210.62,23/07/2024
INV0195,Rubber,SUP0013,132,196,2128.71,2023-04-01
INV0196,Rubber,SUP0018,44,267,,06/26/2023
INV0197,Electronics,SUP0009,114,91,36766.5,25-04-2023
INV0198,Rubber,SUP0020,264,24,40045.98,28/07/2024
INV0199,electronics,SUP0008,115,68,21367.98,2023-02-27
INV0027,Plastic,SUP0015,32,157,18609.44,11/28/2023
INV0201,Plastic,SUP0015,25,243,25394.98,01/18/2023
INV0202,Electronics,SUP0017,284,262,15436.25,2024-10-27
INV0203,Chemicals,SUP0007,91,225,44518.72,05/23/2022
INV0204,Chemicals,SUP0018,137,12,,06/26/2022
INV0205,Plastic,SUP0005,166,8,49688.03,2022-04-23
INV0206,STEEL,SUP0020,135,87,19974.98,28/05/2022
INV0207,Chemicals,SUP0003,38,34,36063.98,04/04/2024
INV0208,Rubber,SUP0015,141,139,35537.9,14-05-2022
INV0209,Rubber,SUP0010,277,34,11176.48,28-02-2022
INV0210,PLASTIC,SUP0015,224,88,41988.53,12/14/2022
INV0211,Steel,SUP0008,136,224,-2232.67,09-11-2024
INV0212,Plastic,SUP0003,70,239,36602.06,11/02/2023
INV0213,Chemicals,SUP0011,171,236,39656.36,01-06-2023
INV0214,Plastic,SUP0012,225,22,45479.38,2022-05-21
INV0215,Rubber,SUP0012,199,164,9868.8,19-08-2024
INV0216,Chemicals,SUP0004,65,274,10805.07,2024-05-07
INV0217,Plastic,SUP0019,89,94,2992.6,2023-10-19
INV0218,Plastic,SUP0017,269,44,44791.45,2024-03-08
INV0219,chemicals,SUP0010,282,266,7487.63,26/10/2024
INV0220,Chemicals,SUP0019,261,0,23439.57,2024-01-29
INV0221,Chemicals,SUP0019,96,88,35924.48,2023-05-26
INV0222,Plastic,SUP0016,269,225,8288.63,19-12-2022
INV0223,Steel,SUP0016,49,181,4850.46,27-08-2022
INV0224,Rubber,SUP0018,194,249,34485.53,05/29/2023
INV0225,Rubber,SUP0020,280,93,20491.88,04-10-2022
INV0226,Plastic,SUP0010,86,298,7009.74,11/01/2023
INV0227,Rubber,SUP0018,272,168,25465.83,08/03/2022
INV0228,Steel,SUP0001,271,171,16307.69,2023-07-10
INV0229,Steel,SUP0012,173,259,,2023-12-04
INV0230,Steel,SUP0014,229,75,3574.42,17-08-2023
INV0231,Steel,SUP0005,240,210,31816.52,26/03/2024
INV0232,Chemicals,SUP0019,193,160,42931.11,01/07/2023
INV0233,Plastic,SUP0006,180,36,2506.97,29-10-2023
INV0234,Chemicals,SUP0017,80,77,34809.02,2023-01-03
INV0235,Plastic,SUP0019,175,94,25776.88,03-02-2022
INVALID_53,Electronics,SUP0009,4,11,31966.94,22/04/2022
INV0155,Chemicals,SUP0015,213,77,41683.19,2023-08-24
INV0238,rubber,SUP0011,290,208,17969.78,2023-10-24
INV0239,Rubber,SUP0011,145,203,23178.26,09/03/2024
INV0240,Electronics,SUP0001,131,205,32760.97,04/23/2024
INV0241,Plastic,SUP0008,219,82,22129.08,10/20/2024
INV0242,Chemicals,SUP0016,273,192,2112.4,2024-01-15
INV0243,Rubber,SUP0014,190,295,19162.84,2023-10-15
INV0244,Plastic,SUP0001,88,171,6938.66,07/08/2022
INV0245,Steel,SUP9999,131,214,23388.55,04/01/2022
INV0246,STEEL,SUP0019,263,48,3357.46,03-06-2022
INV0247,Rubber,SUP0001,3,0,35490.9,17/06/2023
INV0248,Chemicals,SUP0005,264,299,35597.3,02/01/2022
INV0249,Rubber,SUP0016,277,9999,22296.99,2023-03-26
INV0250,Plastic,SUP0020,184,94,41978.43,06-06-2023
INV0251,Rubber,SUP0005,31,8,,24/04/2022
INV0252,Steel,SUP0011,141,88,46940.05,2024-05-10
INV0253,Plastic,SUP0020,183,14,36215.16,2022-09-14
INV0254,Rubber,SUP0003,154,264,30865.23,05-12-2024
INV0255,Rubber,SUP0018,125,16,25027.07,08/16/2024
INV0256,Chemicals,SUP0006,147,184,15630.37,20/08/2023
INVALID_62,Electronics,SUP0013,233,78,2598.12,21/06/2024
INV0258,Electronics,SUP0016,265,61,-539.55,2022-04-08
INV0259,Chemicals,SUP0013,167,191,18492.59,2023-03-19
INV0260,Steel,SUP0015,277,189,12899.51,01/29/2024
INV0261,Chemicals,SUP0003,144,152,35860.39,07-05-2024
INV0262,Steel,SUP0003,164,128,0,26-09-2022
INV0263,Chemicals,SUP0016,150,11,14135.49,01/06/2024
INV0264,Steel,SUP0008,206,-1,23585.56,28-09-2024
INV0265,Steel,SUP0010,9999,60,19971.38,06-05-2022
INV0266,Chemicals,SUP0010,177,219,37341.88,23-07-2024
INV0267,CHEMICALS,SUP0014,190,141,35945.73,08/05/2023
INV0268,chemicals,SUP0004,200,236,11744.42,2023-11-27
INV0269,Rubber,SUP0010,228,252,2716.82,06-08-2023
INV0270,Steel,SUP0011,285,22,36866.68,31-07-2022
INV0271,Steel,SUP0012,257,254,32024.61,2024-02-19
INV0272,Chemicals,SUP0008,275,225,39537.32,2023-02-25
INV0273,Steel,SUP0008,227,204,33756.1,10/03/2024
INV0274,Electronics,SUP0004,160,99,41374.22,2024-03-20
INV0275,Plastic,SUP0007,0,65,5855.39,07/08/2022
INV0276,Chemicals,SUP0003,184,31,45537.45,07/11/2023
INV0277,Steel,SUP0020,147,282,31012.76,03/29/2024
INVALID_86,Steel,SUP0006,124,169,31155.31,2022-08-22
INV0269,Chemicals,SUP0004,217,137,15495.21,29-04-2022
INV0280,Electronics,SUP0013,264,110,11733.43,12/19/2024
INV0281,Chemicals,SUP0017,12,99,35987.65,2022-12-17
INV0282,STEEL,SUP9999,25,57,23446.57,07/13/2022
INV0263,Plastic,SUP0011,296,115,42627.55,11/28/2022
INV0284,Rubber,SUP0005,152,50,9377.54,30-07-2023
INV0285,Plastic,SUP0018,243,260,47361.16,09/13/2024
INV0286,Electronics,SUP0006,58,231,Twenty Five Thousand,09/01/2024
INV0244,Electronics,SUP0013,89,176,3472.84,12/26/2022
INV0288,Electronics,SUP0019,205,100,8554.23,2024-03-18
INV0289,Steel,SUP0007,60,216,18065.95,08/04/2022
INV0290,Rubber,SUP0007,225,49,48195.52,25-05-2024
INV0291,Plastic,SUP0014,74,48,46211.07,05-01-2023
INV0292,Steel,SUP0006,4,59,27559.38,2022-08-25
INV0293,Steel,SUP0008,290,24,48399.52,2022-12-19
INV0294,Steel,SUP0017,63,297,18685.85,25-12-2024
INV0252,Rubber,SUP0008,142,80,36331.93,05/07/2022
INV0296,Electronics,SUP0017,215,196,10118.18,08/06/2023
INV0297,Steel,SUP0017,288,90,,10/08/2024
INV0298,Steel,SUP0019,23,-1,30699.41,11/05/2022
INV0299,ELECTRONICS,SUP0012,144,289,39692.9,08/12/2022
INV0203,Rubber,SUP0011,222,279,34308.79,17-01-2022
INV0301,Chemicals,SUP0016,22,265,16501.88,03/10/2022
INV0302,RUBBER,SUP0017,63,74,15322.87,27/04/2022
INV0303,Steel,SUP0006,188,222,15551.55,21/04/2022
INV0304,Rubber,SUP0017,295,112,5058.13,01/03/2023
INV0305,Chemicals,SUP0001,52,162,40669.86,2023-02-16
INV0306,Rubber,SUP9999,15,94,28779.06,12/13/2024
INV0181,Steel,SUP0015,95,2,22627.06,19/05/2024
INV0308,Rubber,SUP0011,274,212,16637.88,23-01-2023
INV0309,Steel,SUP0016,8,262,,02/03/2024
INV0310,Electronics,SUP0006,105,9999,18090.17,15-05-2022
INV0311,Electronics,SUP0003,85,81,31896.82,12/05/2022
INV0312,Steel,SUP0013,90,123,33003.03,20-06-2024
INV0313,Electronics,SUP0009,219,55,26467.1,2022-08-14
INV0251,Electronics,SUP0010,144,35,37176.6,2022-04-10
INV0315,Chemicals,SUP0017,52,165,31572.01,23-10-2023
INV0316,Chemicals,SUP0010,140,280,38756.7,07/29/2022
INV0317,Steel,SUP0012,295,83,,17-02-2022
INV0318,Steel,SUP0008,230,217,36902.5,05-12-2024
INV0319,Rubber,SUP0019,203,47,9344.44,11-08-2022
INV0320,Chemicals,SUP0006,154,53,31578.83,16/09/2023
INV0321,Chemicals,SUP0010,210,231,-3805.52,01/08/2024
INV0322,Steel,SUP0015,75,248,14989.15,2023-06-26
INV0323,Chemicals,SUP0013,233,290,37485.85,11-06-2024
INV0324,Electronics,SUP0013,249,258,20762.51,20-01-2023
INV0325,Rubber,SUP0010,294,197,48554.65,25/01/2023
INV0326,chemicals,SUP0015,55,90,15281.27,28-02-2023
INV0327,Chemicals,SUP0015,27,15,30230.63,07/02/2023
INV0328,electronics,SUP0001,217,3,45839.39,27-03-2022
INV0329,Steel,SUP0013,129,226,10524.32,02/18/2022
INV0330,Plastic,SUP0009,80,41,6641.53,2024-03-27
INV0331,Chemicals,SUP0020,72,72,15230.5,02/07/2023
INV0332,Steel,SUP0011,167,130,12049.84,01/17/2022
INV0333,Electronics,SUP0017,240,59,,2024-12-23
INV0334,Chemicals,SUP0015,151,192,24463.9,2024-01-14
INV0335,Steel,SUP0010,65,50,42984.4,17/04/2024
INV0336,Rubber,SUP0016,122,270,4227.21,24/06/2023
INV0337,Steel,SUP0004,202,132,Ten Thousand,22/12/2023
INV0338,Chemicals,SUP0010,24,295,14151.5,09/13/2023
INV0339,Chemicals,SUP9999,94,233,44408.46,19-02-2023
INV0340,chemicals,SUP0015,158,180,41328.83,29-12-2022
INV0341,Chemicals,SUP0007,113,236,43628.13,2023-08-09
INV0342,Steel,SUP0019,124,112,8359.57,2024-03-01
INV0343,Chemicals,SUP0006,218,247,30984.75,10-08-2022
INV0344,Plastic,SUP0015,109,31,35381.69,2023-03-18
INV0345,Electronics,SUP0001,53,262,42310.27,12-08-2024
INV0346,Rubber,SUP0003,241,132,19916.58,05/11/2022
INV0347,Rubber,SUP0002,292,145,25188.03,2022-03-20
INV0348,Plastic,SUP9999,167,55,2640.31,04-11-2022
INV0349,Steel,SUP0013,27,39,29183.95,2023-09-25
INV0350,electronics,SUP0015,251,107,16635.08,13/07/2022
INV0351,Electronics,SUP0012,67,43,35007.07,09/03/2024
INV0352,Rubber,SUP0006,87,23,8966.94,2024-11-18
INV0353,Electronics,SUP0017,61,62,24825.84,29-05-2024
INV0354,Plastic,SUP0008,252,134,18262.19,04/15/2023
INV0355,Electronics,SUP0012,94,118,14733.4,05/10/2022
INV0356,Plastic,SUP9999,123,266,40288.35,25-09-2022
INV0357,Steel,SUP0015,46,106,9198.08,2024-06-13
INV0358,Chemicals,SUP0009,28,64,14904.7,16/04/2023
INV0359,Chemicals,SUP0020,0,224,18574.32,2024-10-17
INV0360,Steel,SUP0014,284,77,9067.13,10-07-2022
INV0361,Steel,SUP0006,109,162,41309.77,2023-02-18
INV0362,Steel,SUP0001,137,121,Ten Thousand,2024-11-08
INV0279,rubber,SUP0012,83,4,5107.85,2022-10-16
INV0364,Rubber,SUP0004,125,164,17367.71,11/03/2024
INV0365,Chemicals,SUP0006,38,75,2754.24,2023-09-05
INV0366,Plastic,SUP0011,151,14,3451.29,03-08-2022
INV0367,Plastic,SUP0010,266,133,45186.83,09/28/2023
INV0368,Rubber,SUP0014,174,0,15070.53,19/05/2023
INV0369,Plastic,SUP0014,103,30,15440.32,17-05-2024
INV0370,Rubber,SUP0012,43,11,35199.52,06/06/2023
INV0371,Rubber,SUP0008,287,250,18014.16,05/06/2022
INV0372,Rubber,SUP0007,222,80,16814.81,04/04/2024
INV0373,Chemicals,SUP0009,200,202,26065.95,20/09/2024
INV0374,Plastic,SUP0019,250,169,22459.32,07/19/2022
INV0375,Electronics,SUP0013,257,289,41184.08,2022-06-11
INV0376,Plastic,SUP0007,88,171,11469.95,25-03-2022
INV0377,CHEMICALS,SUP0020,17,42,5764.77,2023-09-10
INV0378,Steel,SUP0007,239,72,-868.12,08/06/2024
INV0379,Electronics,SUP0014,138,194,38471.78,07/04/2022
INV0380,Electronics,SUP0007,135,181,10093.84,2022-07-10
INV0381,Steel,SUP0018,22,124,Twenty Five Thousand,17/12/2023
INV0382,Rubber,SUP9999,28,77,,2022-01-05
INV0383,Chemicals,SUP0005,143,235,16273.0,05/03/2023
INV0384,Steel,SUP0017,156,172,31002.02,07-01-2024
INV0385,Chemicals,SUP0016,197,151,38983.58,2022-07-09
INV0386,Chemicals,SUP9999,69,18,45294.78,07/18/2024
INV0387,Steel,SUP0013,166,77,10607.7,11/17/2023
INV0388,Chemicals,SUP0009,152,15,2302.12,12-08-2023
INV0389,Rubber,SUP0015,237,187,-1186.17,10/10/2024
INV0390,Plastic,SUP0016,280,194,1169.46,18-03-2023
INV0391,Plastic,SUP0011,232,216,33865.65,31-10-2024
INV0392,Steel,SUP0009,122,230,11615.06,07-10-2023
INV0393,Plastic,SUP0019,252,109,21718.28,06/22/2022
INV0394,Electronics,SUP0004,107,242,48717.98,16/02/2022
INV0395,Steel,SUP0013,292,212,29131.21,04/02/2024
INV0396,Steel,SUP0003,199,132,6181.58,2023-12-01
INV0397,Steel,SUP0001,254,295,-2822.07,08/16/2022
INV0398,Rubber,SUP0007,164,300,12991.49,30/08/2022
INV0399,Plastic,SUP0007,90,195,9612.0,2022-09-30
INV0400,Steel,SUP0005,264,27,28707.52,2022-07-16
INV0401,Rubber,SUP0001,132,254,32985.09,2022-06-30
INV0402,Steel,SUP0010,214,1,43171.92,12-09-2022
INV0403,Rubber,SUP0018,192,13,17645.14,2023-11-07
INV0404,Rubber,SUP0004,289,2,6497.18,19/10/2023
INV0405,Rubber,SUP0016,190,65,14518.69,01/07/2022
INV0406,Electronics,SUP0002,110,219,13810.87,04-11-2024
INV0407,Electronics,SUP0016,10,33,46634.73,01/02/2023
INV0408,Steel,SUP0020,157,130,22199.24,2024-08-07
INV0409,Chemicals,SUP0004,16,36,Twenty Five Thousand,01/04/2022
INV0410,Rubber,SUP0018,189,82,44266.7,24/04/2022
INV0411,Electronics,SUP0014,269,68,32253.94,16-10-2022
INV0412,Steel,SUP9999,18,-1,37767.41,14-07-2022
INV0413,Electronics,SUP0002,255,122,42548.51,06/29/2022
INV0414,Steel,SUP0013,109,182,26288.17,25-01-2022
INV0415,Steel,SUP0004,111,255,38037.85,11/10/2022
INV0416,Electronics,SUP0001,107,113,Five Hundred,2022-01-07
INV0417,Electronics,SUP0010,274,107,18892.73,15/09/2024
INV0418,Steel,SUP0008,108,74,23429.61,15-03-2022
INV0419,Rubber,SUP0013,175,176,18429.86,2022-04-16
INV0420,Electronics,SUP0011,296,268,10547.5,05/13/2023
INV0421,RUBBER,SUP0002,14,87,21687.83,08-02-2024
INV0422,Steel,SUP0019,21,206,12409.35,17-04-2024
INV0423,Rubber,SUP0020,61,293,18058.06,12/21/2024
INV0424,Rubber,SUP0019,67,131,0,29/10/2023
INV0425,Electronics,SUP0012,234,178,40481.87,13/03/2023
INV0426,Steel,SUP0012,36,114,49809.0,25/03/2023
INV0427,Plastic,SUP0017,168,184,35182.35,02/06/2023
INV0428,Plastic,SUP0012,178,40,17963.9,10/02/2023
INV0429,Plastic,SUP0006,47,236,22570.03,12-10-2024
INV0430,Steel,SUP0014,235,208,18190.95,04-10-2023
INV0431,Plastic,SUP0011,126,143,2823.81,07-11-2024
INV0432,Rubber,SUP0004,262,291,23330.03,2022-12-08
INV0433,Electronics,SUP0013,196,92,7260.48,10/13/2024
INV0434,Plastic,SUP0007,245,88,39202.72,03/03/2023
INV0435,Chemicals,SUP0013,203,166,13900.66,01/29/2024
