ProductID,ProductName,Category,UnitCost,TargetQty,ActualQty,QualityScore,Status,ExtraColumn
PRO0023,Ronald Parker,Textiles,22011.88,167,35,Five Hundred,Step,EXTRA_DATA
PRO0024,Walter Brown,Automotive Parts,45290.06,289,84,3499.66,Visit,EXTRA_DATA
PRO0025,Sydney Collins,Electronics,17796.43,143,264,34185.34,Necessary,EXTRA_DATA
PRO0026,Jose Smith,Food,18089.25,51,187,4411.85,Clearly,EXTRA_DATA
PRO0027,Maurice Frye,textiles,46929.18,234,9999,16145.49,Explain,EXTRA_DATA
PRO0028,Edward Fletcher,Textiles,20527.81,248,209,22669.96,Movement,EXTRA_DATA
PRO0029,Kristina Lyons,Electronics,7699.76,166,3,14692.2,Once,EXTRA_DATA
PRO0030,Brandon Brown,Automotive Parts,2762.49,108,217,16613.12,Outside,EXTRA_DATA
PRO0031,Robert Vasquez,Chemicals,2686.04,35,86,33349.48,Evening,EXTRA_DATA
PRO0032,Krystal Collier,Textiles,33202.16,189,137,24229.99,Else,EXTRA_DATA
PRO0033,Karen Brown,Food,20961.73,254,114,42602.67,Business,EXTRA_DATA
PRO0034,Megan Hernandez,Automotive Parts,Twenty Five Thousand,278,241,32862.68,Among,EXTRA_DATA
PRO0035,Matthew Wheeler,Food,Five Hundred,266,194,24213.58,Material,EXTRA_DATA
PRO0036,Benjamin Hill,Automotive Parts,22721.28,96,216,9358.0,Option,EXTRA_DATA
PRO0037,Thomas Bowers,Textiles,31549.74,271,270,49884.08,Seat,EXTRA_DATA
PRO0038,Michael Jackson,Food,37748.02,265,59,13151.57,Increase,EXTRA_DATA
PRO0039,  Gabrielle Olson  ,Electronics,38068.15,235,273,1297.35,Man,EXTRA_DATA
PRO0040,Danielle Boone,Electronics,8822.22,284,44,,Beyond,EXTRA_DATA
INVALID_45,Linda Hardin,Chemicals,-3200.58,0,39,7815.13,Or,EXTRA_DATA
PRO0042,  Joseph Moore  ,Food,,138,283,,To,EXTRA_DATA
PRO0043,Thomas Maldonado,Food,28256.63,256,162,27699.83,Between,EXTRA_DATA
PRO0044,Lisa Tanner,Chemicals,9231.87,149,8,6377.1,Other,EXTRA_DATA
PRO0045,Lisa Anderson,Food,27942.19,278,41,34697.4,Later,EXTRA_DATA
PRO0046,  Michele Perez  ,Textiles,41903.94,-1,151,9351.42,New,EXTRA_DATA
PRO0047,Patrick Roth,Food,9002.82,119,148,44316.84,Itself,EXTRA_DATA
PRO0048,Stacy Schmitt,Food,16846.94,27,207,3757.5,Information,EXTRA_DATA
PRO0049,Stephanie Hall,Textiles,17403.66,142,125,21648.54,Risk,EXTRA_DATA
PRO0050,Jean Anderson,chemicals,22274.42,98,193,Twenty Five Thousand,Animal,EXTRA_DATA
PRO0051,Tiffany Flores,Electronics,1933.56,0,75,,Score,EXTRA_DATA
PRO0052,Marie Burns,textiles,4870.35,291,177,37002.44,Lot,EXTRA_DATA
PRO0053,Ann Pratt,Electronics,48765.88,76,197,23072.38,Large,EXTRA_DATA
PRO0054,Robert Dodson,Food,23668.15,207,190,42690.72,Some,EXTRA_DATA
PRO0055,Kathleen Galvan,Electronics,30182.37,143,147,27870.11,Smile,EXTRA_DATA
PRO0056,Paul Wagner,Electronics,9493.35,177,282,16656.35,Free,EXTRA_DATA
PRO0057,Phillip Spencer,Food,14670.61,169,263,19453.34,Mr,EXTRA_DATA
PRO0058,Rebecca Gomez,Food,39172.06,207,156,9257.42,Magazine,EXTRA_DATA
PRO0059,Kathy Herrera,Automotive parts,,208,15,38325.89,Particularly,EXTRA_DATA
INVALID_8,Renee May,Electronics,44580.34,72,113,5517.83,Drug,EXTRA_DATA
PRO0061,Joseph Mcmillan,ELECTRONICS,39007.37,222,163,5515.21,Very,EXTRA_DATA
PRO0062,Cameron Hicks,Food,29851.05,21,217,20108.3,Meeting,EXTRA_DATA
INVALID_41,Jose James,Textiles,48841.33,42,219,14624.96,Security,EXTRA_DATA
PRO0064,Briana Mckenzie,Chemicals,7500.74,160,240,0,Dark,EXTRA_DATA
PRO0065,Dustin Nguyen,Electronics,36415.13,140,0,9623.43,View,EXTRA_DATA
PRO0066,Zachary Rodriguez,CHEMICALS,37107.02,272,252,,Gas,EXTRA_DATA
PRO0058,  Cynthia Allen  ,Chemicals,,140,230,18547.59,Allow,EXTRA_DATA
PRO0068,Erik Santiago,Automotive Parts,45753.37,210,215,35079.48,Tend,EXTRA_DATA
PRO0069,Tracey Davis,Electronics,,11,153,23332.54,Street,EXTRA_DATA
PRO0070,Todd Brown,Chemicals,44473.5,226,160,29925.5,Price,EXTRA_DATA
PRO0071,Kathy Miller,Food,40583.48,187,197,39580.46,Child,EXTRA_DATA
PRO0072,Dale Rodriguez,Textiles,48929.38,221,75,2040.74,Nearly,EXTRA_DATA
PRO0073,Alison Alvarez,Electronics,48032.5,294,278,13243.45,Today,EXTRA_DATA
PRO0025,Adam Brown,Chemicals,7424.73,109,297,31016.13,Debate,EXTRA_DATA
PRO0075,Lori Reeves,Electronics,13371.17,2,208,20041.18,Year,EXTRA_DATA
PRO0076,Michael Thompson,Chemicals,22494.71,132,116,2417.88,Small,EXTRA_DATA
PRO0077,David Fernandez,Electronics,47576.78,226,98,13137.92,Seem,EXTRA_DATA
PRO0078,Antonio Lambert,Textiles,18729.98,23,134,13015.33,Medical,EXTRA_DATA
PRO0079,  Jacob Peterson  ,Textiles,24377.54,259,186,31933.01,Thing,EXTRA_DATA
PRO0080,Mary Cox,Automotive Parts,29851.01,51,14,35276.26,Meeting,EXTRA_DATA
PRO0081,Jose Hoffman,Chemicals,28814.74,56,116,8718.67,Rate,EXTRA_DATA
PRO0082,Chase Robinson,Chemicals,,295,287,24247.16,Physical,EXTRA_DATA
PRO0083,Michelle Gomez,Textiles,29323.24,61,98,41622.71,Billion,EXTRA_DATA
PRO0084,Jennifer Webb,Automotive Parts,44941.96,277,13,1255.14,Radio,EXTRA_DATA
PRO0085,Tonya Reed,Chemicals,Five Hundred,164,125,26148.11,Agency,EXTRA_DATA
PRO0086,Melissa Holloway,Automotive Parts,0,9999,108,24202.83,New,EXTRA_DATA
PRO0087,Christopher Johns,Food,34355.67,115,169,45210.12,Role,EXTRA_DATA
PRO0088,Tammy Johnson,Chemicals,,284,54,13209.22,Suddenly,EXTRA_DATA
PRO0089,  Bethany Rollins  ,chemicals,11323.86,92,119,29074.05,Two,EXTRA_DATA
PRO0090,Megan Whitehead,Electronics,32367.59,143,123,2114.52,Draw,EXTRA_DATA
PRO0091,Jessica Bernard,Food,44083.63,39,81,-2952.02,Evidence,EXTRA_DATA
PRO0092,Ryan Roberts,Automotive Parts,7341.22,114,25,23117.71,Factor,EXTRA_DATA
PRO0093,Maurice Cross,Automotive Parts,27405.62,291,199,3145.7,Any,EXTRA_DATA
INVALID_53,Nicholas Parker,Electronics,Five Hundred,275,251,41203.2,Sing,EXTRA_DATA
PRO0095,Rachel Adams,Electronics,27430.57,24,124,49539.44,House,EXTRA_DATA
PRO0096,Robin Delgado,Chemicals,22686.21,9999,61,30355.45,Individual,EXTRA_DATA
PRO0097,Diane Le,Food,23044.86,292,189,11442.29,Specific,EXTRA_DATA
PRO0098,Sarah Carter,automotive parts,,22,263,37882.47,Collection,EXTRA_DATA
PRO0099,Dawn Shepard,Chemicals,42057.93,214,103,9112.31,Case,EXTRA_DATA
PRO0100,Robin Mullen,Chemicals,7363.22,219,217,3191.39,Why,EXTRA_DATA
PRO0101,Latoya Garcia,Textiles,46258.56,152,9999,10005.71,Reach,EXTRA_DATA
PRO0102,Melissa Mcdaniel,Chemicals,20853.93,59,170,21570.54,North,EXTRA_DATA
PRO0103,Robert Parks,Electronics,10947.22,118,224,49680.82,Management,EXTRA_DATA
PRO0104,  Alicia Kelley  ,Automotive Parts,-2214.51,266,258,43815.58,Full,EXTRA_DATA
PRO0105,Billy Shannon,Automotive parts,14336.87,62,55,41233.7,Difference,EXTRA_DATA
PRO0106,James Moreno,Electronics,-2637.38,270,237,37306.36,Food,EXTRA_DATA
PRO0107,Sandra Lawson,Electronics,38769.94,268,193,14158.55,Financial,EXTRA_DATA
PRO0108,Paul Smith,Electronics,Ten Thousand,85,45,6682.97,Wide,EXTRA_DATA
PRO0109,Holly Dudley,Food,45987.6,0,116,7400.06,Wonder,EXTRA_DATA
PRO0079,Elizabeth Tanner,Chemicals,25373.09,246,169,12467.02,Ground,EXTRA_DATA
PRO0111,  Kara Owens  ,Electronics,30870.09,236,59,19434.37,Charge,EXTRA_DATA
PRO0112,David Rojas,Electronics,45243.58,236,276,-4386.61,Task,EXTRA_DATA
PRO0113,Leslie Brown,Electronics,33666.97,217,9999,13414.71,Listen,EXTRA_DATA
PRO0114,Beverly Fisher,Chemicals,16230.02,-1,216,48571.9,Measure,EXTRA_DATA
PRO0115,Kayla Wood,Food,49106.0,69,49,41458.33,Budget,EXTRA_DATA
PRO0116,Bradley Johnston,Electronics,30159.76,104,238,1604.14,Relate,EXTRA_DATA
PRO0117,James Christensen,Food,31858.32,192,232,44403.67,No,EXTRA_DATA
PRO0118,Ryan Rivera,Food,31128.05,120,258,4010.11,Month,EXTRA_DATA
PRO0119,James Wright,Chemicals,Ten Thousand,209,197,21560.6,Resource,EXTRA_DATA
PRO0120,Diane Cook,Chemicals,27997.76,226,26,22172.5,Hard,EXTRA_DATA
PRO0121,Brian Cruz,Automotive Parts,31572.27,107,83,9402.41,Word,EXTRA_DATA
PRO0122,Cameron Davis,Automotive Parts,,143,289,Five Hundred,Interest,EXTRA_DATA
PRO0123,James Barton,Chemicals,44245.98,-1,66,26192.18,Ten,EXTRA_DATA
PRO0118,James Ramirez,Chemicals,32376.56,60,239,28768.56,Beautiful,EXTRA_DATA
PRO0125,Shannon Kim,Textiles,35345.87,238,270,15883.74,Beat,EXTRA_DATA
PRO0055,Ronald Mason,Automotive Parts,29204.93,142,281,21308.7,Society,EXTRA_DATA
PRO0022,Linda Garcia,Food,18005.74,133,275,12784.31,Head,EXTRA_DATA
PRO0128,Richard Patel,Automotive Parts,0,165,192,6361.76,Democratic,EXTRA_DATA
INVALID_1,Dylan Williams,Electronics,22503.44,192,32,36269.68,Rich,EXTRA_DATA
PRO0130,Frank Levy,Food,37758.22,173,205,3545.65,Toward,EXTRA_DATA
PRO0131,Christina Dougherty,Electronics,21189.85,6,292,31710.96,Attorney,EXTRA_DATA
PRO0132,Michael Hunt,Automotive Parts,48111.99,185,220,41988.22,Significant,EXTRA_DATA
PRO0133,Stephen Wright,Food,22953.95,181,70,21290.0,Discussion,EXTRA_DATA
PRO0134,Monique Martinez,Electronics,43891.28,264,26,14943.07,Kid,EXTRA_DATA
PRO0135,Jeremy Munoz,Food,43954.46,132,286,44350.35,Visit,EXTRA_DATA
PRO0136,  Douglas Lee  ,Chemicals,7722.18,236,182,Twenty Five Thousand,White,EXTRA_DATA
PRO0137,Maria Smith,Food,1818.1,205,274,13012.89,Very,EXTRA_DATA
PRO0138,Jennifer Bowman,Chemicals,18438.29,40,104,10792.65,Hit,EXTRA_DATA
PRO0139,Erin Gilbert,Chemicals,33466.79,223,59,18106.97,Able,EXTRA_DATA
PRO0140,Angela Campbell,Automotive Parts,25912.87,130,260,21483.92,Suggest,EXTRA_DATA
PRO0141,  Jonathan Johnson  ,Textiles,1664.0,62,0,22264.33,Tax,EXTRA_DATA
INVALID_64,Anna Gould,Chemicals,2517.05,32,42,6171.15,Audience,EXTRA_DATA
PRO0143,Sara Flores,Automotive Parts,28546.26,17,256,2336.1,There,EXTRA_DATA
PRO0144,Donna Trujillo,Electronics,16000.46,108,178,11331.71,Better,EXTRA_DATA
PRO0145,Ryan Bennett,Automotive Parts,43734.17,121,0,35510.84,Green,EXTRA_DATA
PRO0146,James Robertson,Food,Five Hundred,273,156,45744.95,Character,EXTRA_DATA
PRO0147,Lisa Clark,Chemicals,6686.43,255,105,48256.15,Seem,EXTRA_DATA
PRO0148,Chad James,Food,1134.63,109,197,10530.07,Capital,EXTRA_DATA
PRO0149,Jessica Wiggins,Electronics,33218.81,187,236,4539.31,Government,EXTRA_DATA
PRO0150,  Nathan Calderon  ,Chemicals,24244.82,165,250,28902.93,Less,EXTRA_DATA
PRO0151,John Hurley,Automotive Parts,46904.4,54,85,6500.6,Line,EXTRA_DATA
PRO0152,Brenda Howard,Chemicals,19474.99,254,25,36828.45,Exactly,EXTRA_DATA
PRO0153,Alexander Miller,Automotive Parts,11337.74,20,115,30740.35,Kid,EXTRA_DATA
PRO0154,David Barr,Electronics,19584.34,110,295,21244.93,Strong,EXTRA_DATA
PRO0155,Katherine Simmons,Chemicals,40688.33,220,91,33810.75,Any,EXTRA_DATA
PRO0156,Jesse Erickson,Automotive Parts,14805.3,287,82,18939.21,Begin,EXTRA_DATA
PRO0157,Nicholas Brown,Automotive Parts,30359.89,194,123,37907.75,Responsibility,EXTRA_DATA
PRO0158,Tyler Roberts,Textiles,2773.85,239,208,24017.99,Chance,EXTRA_DATA
PRO0159,Mark Rodriguez,Textiles,-3395.7,155,141,41053.78,Almost,EXTRA_DATA
PRO0160,Patricia Wilson,Automotive parts,11705.08,139,226,2110.79,Ever,EXTRA_DATA
PRO0161,Joshua Bridges,Food,,119,68,23083.34,Growth,EXTRA_DATA
PRO0162,Stephen Lyons,Electronics,43702.87,142,90,43688.91,Create,EXTRA_DATA
PRO0163,Cynthia Lucas,Food,13267.32,33,40,24395.37,Cover,EXTRA_DATA
PRO0164,James Williams,Electronics,10021.14,202,214,46208.42,Sound,EXTRA_DATA
PRO0165,Alison Macias,Electronics,25093.95,9999,76,24773.04,Brother,EXTRA_DATA
PRO0166,Erica Kelly,Textiles,29276.92,257,12,9219.31,Service,EXTRA_DATA
PRO0167,Evan Robles,Automotive Parts,Ten Thousand,290,65,-1488.01,Their,EXTRA_DATA
INVALID_56,  Nicholas Potter  ,Automotive Parts,22467.66,25,71,39429.56,Piece,EXTRA_DATA
PRO0169,  Aaron Short  ,Food,Five Hundred,110,181,9522.49,Record,EXTRA_DATA
PRO0170,Jason Schwartz,Chemicals,31968.46,154,4,4325.42,Personal,EXTRA_DATA
PRO0171,Jennifer Caldwell,Chemicals,47051.41,78,35,45359.22,Western,EXTRA_DATA
PRO0172,Dennis Wong,Food,23216.72,33,143,3229.87,Great,EXTRA_DATA
PRO0173,Sarah Johnson,Automotive Parts,13739.85,256,13,24929.96,Sea,EXTRA_DATA
INVALID_7,Cory Olson,Food,26195.58,134,161,17409.89,Almost,EXTRA_DATA
PRO0175,James Walker,Food,38427.99,90,88,42791.13,Design,EXTRA_DATA
PRO0158,Teresa Harvey,Food,26389.6,84,149,12134.76,Artist,EXTRA_DATA
PRO0177,Noah Murphy,Electronics,24007.19,13,131,3061.06,Modern,EXTRA_DATA
INVALID_88,Donna Sanchez,Automotive Parts,8533.68,82,101,6469.46,Nor,EXTRA_DATA
PRO0179,John Barrett,Electronics,31997.58,162,296,947.73,Receive,EXTRA_DATA
PRO0180,Steven Jordan,Chemicals,29290.55,178,259,2138.07,Hard,EXTRA_DATA
PRO0181,Kevin Montoya,Automotive Parts,34032.02,87,147,43860.24,Teacher,EXTRA_DATA
PRO0182,Kimberly Morrow,Electronics,12661.91,213,110,19287.6,West,EXTRA_DATA
PRO0183,Daniel Holt,Automotive Parts,13794.8,122,196,48476.13,Life,EXTRA_DATA
PRO0184,Julian Acevedo,Electronics,28569.22,104,272,24070.7,Two,EXTRA_DATA
PRO0185,Sandra Morris,Electronics,23146.09,260,128,19655.16,Environment,EXTRA_DATA
PRO0186,Daniel Hart,Textiles,Five Hundred,300,136,12634.16,Bag,EXTRA_DATA
PRO0187,Ronnie Moore,Food,9501.49,105,156,15153.29,Put,EXTRA_DATA
PRO0188,Shelby Hudson,Electronics,39797.69,77,69,0,Seat,EXTRA_DATA
PRO0189,Devon Cameron,Textiles,23897.01,237,179,40963.95,Pm,EXTRA_DATA
PRO0190,  Kimberly Watson  ,Electronics,0,20,243,48924.16,Hotel,EXTRA_DATA
PRO0191,Julia Olson,Automotive Parts,11317.86,100,170,22710.15,Box,EXTRA_DATA
PRO0192,Vickie Smith,Food,49203.13,187,68,6117.86,Group,EXTRA_DATA
PRO0193,Gwendolyn Dominguez,Textiles,38605.94,8,177,23621.34,Into,EXTRA_DATA
PRO0194,Patrick Morrison,Textiles,11029.09,152,198,44770.56,Bank,EXTRA_DATA
PRO0110,Anthony Evans,Chemicals,30433.84,297,135,48188.96,Her,EXTRA_DATA
PRO0196,Cheryl Benitez,Textiles,31986.88,232,269,29350.48,Agree,EXTRA_DATA
PRO0197,Pamela Figueroa,ELECTRONICS,34185.48,90,40,,Method,EXTRA_DATA
PRO0198,Alyssa Moyer,Food,8688.77,159,61,18807.14,Program,EXTRA_DATA
PRO0199,  Claire Fisher  ,Chemicals,47888.83,291,96,12940.52,Cover,EXTRA_DATA
PRO0200,Vanessa Richardson,Food,19576.76,84,171,3346.56,Physical,EXTRA_DATA
PRO0201,Terri Weaver,Chemicals,22209.65,110,105,,Force,EXTRA_DATA
PRO0202,Michael Keller,Chemicals,41693.24,81,229,37840.41,City,EXTRA_DATA
INVALID_98,Lynn French,Food,1458.57,256,9999,28850.43,Board,EXTRA_DATA
PRO0204,Christopher Moore,Automotive Parts,,9999,124,44463.81,Red,EXTRA_DATA
PRO0205,Brendan Farrell,Textiles,0,212,290,22675.22,Avoid,EXTRA_DATA
PRO0206,Tony Reese,Food,Five Hundred,106,171,12570.84,Care,EXTRA_DATA
PRO0207,Amy Mendoza,Electronics,26249.5,96,288,9483.87,Indeed,EXTRA_DATA
PRO0208,Michael Shaw,Electronics,48482.31,150,268,8124.95,Smile,EXTRA_DATA
PRO0209,Stephen Lowery,Chemicals,38224.16,164,182,34282.33,That,EXTRA_DATA
PRO0210,Scott Haas,Food,23632.77,263,0,26360.86,Leave,EXTRA_DATA
PRO0211,Kathleen Smith,Textiles,15119.35,129,203,,Especially,EXTRA_DATA
PRO0212,Brandy Evans,Food,1116.16,27,144,36195.48,Serve,EXTRA_DATA
PRO0213,Monica Ramirez,Automotive Parts,47405.64,0,263,Five Hundred,Fast,EXTRA_DATA
PRO0214,Scott Kemp,Automotive Parts,15916.73,-1,119,1046.92,Employee,EXTRA_DATA
PRO0215,Kirk Thomas,Automotive Parts,4534.42,0,0,5079.33,Analysis,EXTRA_DATA
PRO0216,Andrew Wilson,Textiles,33598.35,134,206,35627.14,Memory,EXTRA_DATA
PRO0217,Rachel Carrillo,Automotive Parts,6966.06,23,192,30633.84,Administration,EXTRA_DATA
PRO0218,Jesse Lewis,Automotive Parts,26202.25,231,63,8275.7,Dog,EXTRA_DATA
PRO0219,Kevin Harris,Food,1411.21,224,33,36988.84,No,EXTRA_DATA
PRO0220,James Thompson,Food,,155,56,21257.32,Authority,EXTRA_DATA
PRO0221,Deanna Parker,Chemicals,29549.12,2,88,30791.67,Cost,EXTRA_DATA
PRO0222,Christopher Sanders,Automotive Parts,13888.31,119,79,34338.56,Guess,EXTRA_DATA
PRO0223,Teresa Mann,Food,35810.31,234,293,37979.36,Apply,EXTRA_DATA
PRO0224,Hannah Allen,Chemicals,9918.87,0,274,39286.01,Suddenly,EXTRA_DATA
PRO0225,Douglas Norris,Automotive Parts,-332.19,268,101,33446.07,Task,EXTRA_DATA
PRO0226,  Jeffery Hayes  ,Food,24777.41,150,56,0,Produce,EXTRA_DATA
PRO0227,Jennifer Malone,Electronics,18490.07,275,293,11671.0,Eight,EXTRA_DATA
PRO0228,Sarah Jones,Electronics,35459.39,154,18,6885.11,Lose,EXTRA_DATA
PRO0229,Andrea Martinez,Chemicals,44959.4,152,53,4499.33,Near,EXTRA_DATA
PRO0073,Nicole Frazier,Electronics,1140.73,89,7,35135.68,From,EXTRA_DATA
PRO0231,  Caitlin Perez  ,Food,20650.64,108,184,6826.73,Kid,EXTRA_DATA
INVALID_4,Thomas Wilkins,Electronics,31585.45,53,230,11767.95,Any,EXTRA_DATA
PRO0233,  Samantha Reed  ,Automotive Parts,40203.04,161,98,8036.4,Large,EXTRA_DATA
PRO0234,Lisa Robbins,Food,13767.24,0,221,47690.63,Position,EXTRA_DATA
PRO0235,Julie Rivera,Food,28601.22,0,236,0,Interview,EXTRA_DATA
PRO0236,  April Cervantes  ,Food,2196.45,21,256,9938.16,Son,EXTRA_DATA
PRO0237,Samantha Leach,Electronics,39728.3,52,164,20298.37,Development,EXTRA_DATA
PRO0238,Kristen Richardson,Chemicals,11136.53,249,121,,Again,EXTRA_DATA
PRO0239,Deborah Warner,Textiles,10493.37,104,111,26853.99,Day,EXTRA_DATA
PRO0240,Cynthia Bautista,Textiles,35352.48,188,18,17476.73,Administration,EXTRA_DATA
PRO0241,Dawn Morris,Chemicals,28920.44,70,156,33917.69,Policy,EXTRA_DATA
INVALID_80,David Wood,Food,20269.2,233,70,8565.1,Every,EXTRA_DATA
PRO0243,Paul Mueller,Chemicals,15921.83,70,260,544.52,Threat,EXTRA_DATA
PRO0244,Erika Mooney,Automotive Parts,16957.51,66,104,19199.49,Eye,EXTRA_DATA
PRO0245,Carl Nicholson,Automotive Parts,7338.33,174,145,20885.2,Capital,EXTRA_DATA
PRO0246,Megan Velasquez,Automotive Parts,37400.32,99,95,9898.11,Interesting,EXTRA_DATA
PRO0247,Catherine Brown,Electronics,27525.28,173,174,7006.78,Event,EXTRA_DATA
PRO0248,Amy Rubio,Automotive Parts,33196.63,281,242,24892.51,Court,EXTRA_DATA
PRO0249,Jason Thomas,Automotive Parts,29305.02,75,126,30155.77,Fund,EXTRA_DATA
PRO0250,Madison Smith,Textiles,2663.32,131,24,24624.38,You,EXTRA_DATA
PRO0251,Jeff Schroeder,Food,13706.98,122,110,9964.11,City,EXTRA_DATA
PRO0252,Amy Rosales,Chemicals,46679.87,208,254,1329.29,Area,EXTRA_DATA
PRO0253,Julie Morrison,Chemicals,32973.29,38,86,-2272.86,Girl,EXTRA_DATA
PRO0254,Stacy Owens,electronics,32175.45,186,59,12428.46,Man,EXTRA_DATA
PRO0255,  Hailey Johnson  ,Food,23312.54,253,123,45315.41,Scientist,EXTRA_DATA
PRO0256,Michael Davis,Automotive Parts,48137.75,235,117,16532.58,Knowledge,EXTRA_DATA
PRO0257,Erin Mitchell,Chemicals,10798.19,76,20,15399.06,Ready,EXTRA_DATA
PRO0258,Nancy Richards,food,12682.1,207,194,-2597.98,Describe,EXTRA_DATA
INVALID_53,Thomas Carlson,Electronics,38543.2,230,135,-262.38,Pm,EXTRA_DATA
PRO0260,Nicole Knox,Automotive Parts,21522.98,273,262,45639.04,Teacher,EXTRA_DATA
PRO0261,Molly Ruiz,Food,24899.7,106,7,15479.61,Over,EXTRA_DATA
PRO0262,David Hines,Automotive Parts,15352.49,158,0,7759.63,Politics,EXTRA_DATA
PRO0263,Gina Castillo,Textiles,35414.47,297,149,4913.24,Indicate,EXTRA_DATA
PRO0264,  Edward Rodriguez  ,Chemicals,14774.38,231,20,46358.79,Ever,EXTRA_DATA
PRO0265,Robert Tate,Food,5806.45,26,220,17340.65,How,EXTRA_DATA
PRO0266,Vanessa Salinas,Food,19560.09,278,176,13182.34,Must,EXTRA_DATA
PRO0267,Amy Garcia,Electronics,16115.26,263,152,,Financial,EXTRA_DATA
PRO0268,Robert Ferguson,Automotive Parts,48770.51,124,110,25499.18,Program,EXTRA_DATA
PRO0269,Danielle Williams,Textiles,19212.24,226,224,42491.78,Happy,EXTRA_DATA
PRO0270,Louis Brooks,Electronics,47758.41,142,210,47624.19,Such,EXTRA_DATA
INVALID_83,Scott Lin,Electronics,21439.2,85,55,49536.3,Senior,EXTRA_DATA
PRO0272,Jesse Dalton,Food,32641.98,239,53,-1326.5,Compare,EXTRA_DATA
PRO0273,Kimberly Bryan,Textiles,38960.22,43,242,15788.48,Crime,EXTRA_DATA
PRO0274,Tammy Green,Textiles,30854.35,92,113,6225.7,Require,EXTRA_DATA
PRO0275,Donna Lopez,Automotive Parts,0,299,38,44080.9,Guess,EXTRA_DATA
PRO0276,Angela Hooper,Textiles,25886.2,75,97,8596.98,Spring,EXTRA_DATA
PRO0277,Melanie Martin,Electronics,14440.38,256,144,0,Despite,EXTRA_DATA
PRO0278,Morgan Jackson,Food,5135.57,89,286,33691.28,Head,EXTRA_DATA
PRO0279,John Leonard,Electronics,9452.9,87,293,Five Hundred,Member,EXTRA_DATA
PRO0280,John Hernandez,Textiles,17812.09,161,230,39653.78,I,EXTRA_DATA
PRO0281,Michael Davis,Textiles,34415.26,190,122,31980.66,Yourself,EXTRA_DATA
PRO0282,Jennifer Parker,Textiles,41786.51,227,274,3768.98,How,EXTRA_DATA
PRO0283,Barbara Wells,electronics,27398.89,45,139,0,Be,EXTRA_DATA
PRO0284,Anthony Garza,Automotive Parts,Twenty Five Thousand,33,80,27214.33,Throughout,EXTRA_DATA
PRO0285,Brittany Hobbs,textiles,46734.95,284,282,4345.54,Move,EXTRA_DATA
PRO0286,Renee Davidson,Automotive Parts,30212.81,52,280,30430.81,Budget,EXTRA_DATA
PRO0287,Joann Rubio,Textiles,-3670.74,210,184,40287.93,Expect,EXTRA_DATA
INVALID_44,Kristen Chaney,Automotive Parts,Five Hundred,293,148,12473.43,Affect,EXTRA_DATA
PRO0289,Sarah Murphy,Automotive Parts,12706.51,99,246,13251.74,Join,EXTRA_DATA
PRO0290,  Natalie Chaney  ,Textiles,21561.24,220,178,,Side,EXTRA_DATA
PRO0291,Charles Hale,Automotive Parts,16542.19,261,235,11683.7,Expert,EXTRA_DATA
PRO0292,Glen Lee,food,40064.42,20,208,37623.21,Various,EXTRA_DATA
PRO0293,Rebecca Brown,Automotive Parts,27287.41,110,240,43553.15,Career,EXTRA_DATA
