MachineID,MachineName,LineID,LastMaintenanceDate,Status,OperatingHrs
MAC0050,Join,LIN0018,16-08-2024,Operational,19117.59
MAC0051,Television,LIN0003,2023-09-05,Under Maintenance,7158.66
MAC0052,Any,LIN0017,21-10-2023,Faulty,-2424.42
MAC0053,Spend,LIN0016,27-03-2023,Operational,47061.59
MAC0054,Avoid,LIN9999,06/03/2023,Under Maintenance,3356.35
MAC0055,Between,LIN0017,2024-12-04,Operational,13876.06
MAC0056,Animal,LIN0006,2022-12-15,Operational,11472.28
MAC0057,Central,LIN0019,12/02/2024,Operational,1925.12
MAC0058,American,LIN0009,13-03-2024,Operational,36136.34
MAC0059,Stop,LIN0014,30/09/2024,Faulty,
MAC0060,Man,LIN0018,2022-12-10,Faulty,1429.47
MAC0061,Source,LIN0015,02-12-2022,Under Maintenance,27618.66
MAC0062,Cultural,LIN0015,01/03/2022,Operational,27829.03
MAC0063,A,LIN0003,23-07-2024,Under Maintenance,42275.11
MAC0064,Task,LIN0012,2023-08-19,Faulty,25934.34
MAC0065,Market,LIN0015,07-11-2024,OPERATIONAL,16471.81
MAC0066,Form,LIN0016,2022-12-19,Operational,40849.88
MAC0067,Trip,LIN0005,2023-01-30,Operational,36874.18
MAC0068,Administration,LIN0016,05/08/2022,Under Maintenance,25344.02
MAC0069,Face,LIN0019,04/17/2022,Faulty,13845.62
INVALID_53,Blood,LIN0007,21/07/2023,Faulty,22103.64
MAC0031,Year,LIN0018,22/11/2024,UNDER MAINTENANCE,
MAC0072,Hospital,LIN0011,28-01-2023,Operational,19770.5
MAC0073,Those,LIN0020,26/04/2023,Operational,13194.45
MAC0074,Minute,LIN0003,21-08-2022,Operational,40560.11
MAC0075,Five,LIN0018,06-12-2022,Operational,45847.4
MAC0076,Leg,LIN0008,04/03/2022,Under Maintenance,42913.63
MAC0077,Move,LIN0018,24-10-2024,Under Maintenance,42346.71
MAC0078,Early,LIN0001,27/11/2023,Faulty,33621.73
MAC0079,Sure,LIN0008,2023-10-14,Faulty,17689.25
MAC0080,Per,LIN0007,2022-06-28,under maintenance,5849.86
MAC0081,Already,LIN0003,10/06/2024,Operational,
MAC0082,Those,LIN0002,17-03-2023,Faulty,20110.8
MAC0083,Deep,LIN0003,2023-07-03,Under Maintenance,29463.46
MAC0084,Mean,LIN0016,18-04-2023,Faulty,5969.26
MAC0085,All,LIN0014,05-07-2024,Operational,9898.58
MAC0086,Car,LIN0016,05/04/2024,Operational,37134.58
MAC0087,Begin,LIN0001,07-10-2024,Faulty,1227.1
MAC0088,Despite,LIN0009,2022-04-30,Faulty,27624.75
MAC0089,Under,LIN0007,27/04/2024,operational,10401.35
MAC0090,Nation,LIN0001,2024-01-02,Under Maintenance,25888.17
INVALID_72,Pass,LIN0017,16/07/2023,Under Maintenance,4424.92
MAC0092,Born,LIN0010,2023-07-22,Faulty,2300.94
MAC0093,Industry,LIN0011,10/24/2023,Under Maintenance,Five Hundred
MAC0094,There,LIN0001,2022-10-13,Operational,10943.64
MAC0095,This,LIN0003,07/21/2024,Under Maintenance,27829.91
MAC0096,Seat,LIN0010,2023-10-18,Operational,25984.05
MAC0097,Rock,LIN0009,2022-08-31,Faulty,6361.63
MAC0098,Step,LIN0020,02/19/2022,Operational,46213.81
MAC0099,Management,LIN0008,28-06-2023,Operational,17951.25
INVALID_15,Realize,LIN0019,07/10/2022,Operational,11083.51
MAC0101,Young,LIN0020,09-11-2023,Under Maintenance,14264.47
MAC0102,Each,LIN0009,16-02-2024,Under Maintenance,
MAC0103,Audience,LIN0016,15-06-2024,Faulty,9061.13
MAC0104,Here,LIN9999,14-12-2024,Operational,31169.29
MAC0105,For,LIN0011,2024-09-11,Operational,16932.96
MAC0106,It,LIN0013,2024-05-18,Under Maintenance,37908.33
MAC0107,Night,LIN0010,20-04-2023,Under Maintenance,21230.55
MAC0108,Same,LIN0019,06/02/2024,Faulty,36167.42
MAC0109,Middle,LIN0018,2024-03-04,Operational,32767.81
INVALID_90,Trip,LIN0009,2022-04-17,Faulty,17152.79
MAC0111,Voice,LIN0012,07-10-2022,Operational,2560.76
MAC0112,Media,LIN0001,04-04-2024,Operational,32704.38
MAC0113,House,LIN0006,2023-02-08,Operational,6336.78
MAC0114,However,LIN0016,03/25/2023,Faulty,2521.27
MAC0115,Operation,LIN0016,01/06/2022,Operational,25434.91
MAC0116,Amount,LIN0011,20/11/2023,Faulty,48542.98
MAC0117,Than,LIN0010,22/05/2023,OPERATIONAL,38203.11
MAC0039,Which,LIN0004,27/04/2023,Operational,16646.06
MAC0119,One,LIN0012,11/10/2023,Operational,48985.92
MAC0120,Get,LIN0012,2022-01-01,Faulty,19318.34
MAC0121,Quality,LIN0012,06/06/2023,Operational,33206.02
INVALID_49,Behavior,LIN0017,05/05/2022,Faulty,11088.55
MAC0123,Teach,LIN0009,05/26/2024,Under Maintenance,2334.15
MAC0124,Yard,LIN0020,12-03-2022,Operational,36695.14
MAC0125,Heart,LIN0009,15-03-2022,Operational,40526.13
MAC0126,Experience,LIN0009,08/06/2022,Faulty,13379.88
MAC0127,House,LIN0007,02/01/2022,Operational,10903.35
MAC0128,Church,LIN0016,19-05-2022,Under Maintenance,Twenty Five Thousand
MAC0129,Million,LIN0018,12/17/2022,Faulty,41461.05
MAC0115,Catch,LIN0019,2024-01-27,Faulty,25233.01
MAC0131,Magazine,LIN0020,04/01/2022,operational,5707.79
MAC0132,Join,LIN0019,02/08/2022,Under Maintenance,4175.46
MAC0133,Little,LIN0014,01/25/2024,Under Maintenance,39968.74
MAC0134,Keep,LIN0009,08/01/2023,Under Maintenance,10855.35
MAC0135,We,LIN0014,02/04/2023,Faulty,44872.52
MAC0136,I,LIN0010,03/01/2024,Operational,35513.83
MAC0137,Local,LIN0003,02-01-2024,Operational,9987.82
MAC0048,Address,LIN0001,19-08-2024,Under Maintenance,41480.93
MAC0139,Big,LIN0004,03/03/2022,Faulty,18606.07
MAC0119,Bed,LIN0017,03/27/2024,under maintenance,30306.9
MAC0141,Help,LIN0005,23/03/2023,Operational,19809.67
MAC0142,Project,LIN0019,07/16/2022,Under Maintenance,13927.23
MAC0143,As,LIN0020,20-08-2024,Under Maintenance,15848.42
MAC0144,Better,LIN0020,10/05/2024,Faulty,34022.26
MAC0145,Reflect,LIN0011,17/06/2024,Faulty,36002.95
MAC0146,Statement,LIN0006,04/03/2022,Operational,45491.93
MAC0147,Establish,LIN0011,2022-06-08,Faulty,5918.46
INVALID_47,Whether,LIN0012,2022-08-12,Under Maintenance,33682.64
MAC0149,Camera,LIN0019,17-04-2023,Faulty,38418.1
MAC0150,Range,LIN0010,27/11/2023,Operational,2044.03
MAC0151,Eat,LIN0020,04/09/2022,Under Maintenance,48475.18
MAC0152,Blue,LIN0002,07/22/2023,under maintenance,12243.19
MAC0153,Approach,LIN0005,12-09-2024,Operational,0
MAC0154,Themselves,LIN0012,20-08-2023,Faulty,32892.11
MAC0155,Loss,LIN0015,2022-12-15,Under Maintenance,48085.31
MAC0156,Toward,LIN0020,03-04-2022,Under Maintenance,31932.7
MAC0157,Star,LIN0019,10/01/2023,Faulty,40285.66
INVALID_22,Knowledge,LIN0020,2022-04-17,Faulty,-4544.66
MAC0159,Stock,LIN0014,11/10/2024,Operational,561.67
MAC0018,Bad,LIN0009,24-02-2022,Operational,3032.29
MAC0161,Choice,LIN0017,02/03/2023,Operational,10457.17
MAC0162,Write,LIN0011,2022-07-11,Operational,48343.77
MAC0163,Sense,LIN0006,20-11-2022,Operational,18538.68
MAC0164,Nor,LIN0004,05/03/2023,Faulty,Five Hundred
MAC0165,Job,LIN0001,2024-03-24,Operational,26526.88
MAC0166,Discuss,LIN0008,11/12/2022,Operational,45280.52
MAC0167,Public,LIN0008,09/18/2024,Operational,45164.1
MAC0168,Be,LIN0018,06/20/2022,Under Maintenance,44117.0
MAC0169,Their,LIN0013,04-12-2024,Operational,27064.04
MAC0170,Camera,LIN0006,19-10-2022,Faulty,
MAC0171,Recognize,LIN0004,08/29/2023,Faulty,11081.06
MAC0172,Let,LIN0001,2022-06-07,Under Maintenance,0
MAC0173,Election,LIN0009,18/01/2022,Faulty,5261.28
MAC0174,Out,LIN0014,2022-12-21,Operational,27304.72
MAC0175,Community,LIN0016,04/21/2024,Operational,
MAC0176,Early,LIN0004,2024-10-03,Operational,40897.95
MAC0177,Name,LIN0008,05/03/2023,Under Maintenance,36914.12
MAC0178,Challenge,LIN0002,11-08-2022,under maintenance,23465.54
MAC0179,To,LIN0009,06/03/2024,Faulty,27775.94
MAC0180,Southern,LIN9999,29-11-2023,Under Maintenance,46902.28
MAC0181,Face,LIN0010,01/24/2022,Faulty,48953.34
MAC0182,By,LIN0019,29/07/2024,Faulty,13478.13
MAC0183,Large,LIN0009,18/08/2024,Faulty,37907.09
MAC0184,Seat,LIN0001,12/09/2023,Faulty,22358.57
MAC0185,Fine,LIN0019,07/19/2023,Faulty,11904.46
MAC0186,Agency,LIN0017,16/03/2024,UNDER MAINTENANCE,47082.68
INVALID_90,Much,LIN0008,08/05/2024,Faulty,13073.91
MAC0188,Evening,LIN0017,09/05/2024,Faulty,9285.43
MAC0189,Child,LIN0001,2023-01-24,Under Maintenance,41452.54
MAC0190,College,LIN0010,11/16/2022,Operational,26439.81
MAC0191,Have,LIN0013,2023-04-05,Faulty,-909.11
MAC0192,Leader,LIN0007,2024-04-28,Operational,12780.83
MAC0193,More,LIN0015,2022-10-10,Under Maintenance,39635.2
MAC0194,Thing,LIN0016,10/07/2022,Operational,
MAC0195,Old,LIN0003,2024-05-29,Under Maintenance,40392.19
MAC0196,Offer,LIN0012,08/21/2024,Faulty,10892.79
MAC0197,Side,LIN0010,2022-11-04,Under Maintenance,33447.14
MAC0198,Also,LIN0012,03/03/2022,Faulty,12380.14
MAC0199,Want,LIN0006,07/18/2024,FAULTY,48721.39
MAC0200,Data,LIN0011,04-10-2023,FAULTY,32679.7
MAC0201,Identify,LIN0013,08/05/2023,Faulty,4485.6
MAC0202,Past,LIN0011,24/11/2022,faulty,36857.0
MAC0203,Growth,LIN0001,2022-12-05,Operational,Five Hundred
MAC0204,Although,LIN0014,12/18/2023,Faulty,Twenty Five Thousand
MAC0205,Company,LIN0017,28/06/2022,faulty,41430.59
MAC0206,Until,LIN0014,28/05/2024,Operational,39626.47
MAC0207,Sing,LIN0010,26-07-2022,Operational,7603.02
MAC0208,Animal,LIN0002,01-02-2022,Operational,47225.65
MAC0209,Almost,LIN0020,10/04/2022,Under Maintenance,27024.47
MAC0210,Sit,LIN0010,31/01/2024,Faulty,4557.97
MAC0211,Record,LIN0015,09/19/2023,Operational,34182.95
MAC0212,Approach,LIN0006,2022-04-01,Under Maintenance,43673.11
INVALID_83,Indeed,LIN0019,03/04/2023,Faulty,Five Hundred
MAC0214,Kid,LIN0005,12-10-2024,Under Maintenance,
MAC0215,Business,LIN0020,08-05-2023,Operational,21296.65
MAC0216,What,LIN0008,01/01/2023,Under Maintenance,38668.06
MAC0217,Available,LIN0006,12/14/2022,Operational,28563.58
MAC0218,Worry,LIN0009,01/19/2024,under maintenance,42679.17
MAC0219,Keep,LIN0012,06-04-2024,FAULTY,Five Hundred
MAC0220,Clear,LIN0015,31-10-2023,Operational,0
MAC0084,Race,LIN0010,03/06/2022,Operational,11149.23
MAC0222,Available,LIN0006,09/30/2024,Faulty,1630.57
MAC0223,Generation,LIN0020,03/03/2024,Faulty,2380.23
MAC0224,Thousand,LIN0017,18/05/2023,Under Maintenance,-4291.83
MAC0225,Mouth,LIN0007,2023-07-16,Faulty,24895.47
MAC0226,Message,LIN0005,06/05/2024,Faulty,38025.45
MAC0227,Family,LIN0014,2023-08-23,Faulty,-1702.53
MAC0228,Raise,LIN0008,2024-09-20,operational,38480.93
MAC0229,None,LIN0001,03/26/2024,Under Maintenance,38042.72
MAC0230,See,LIN0012,2023-12-30,Faulty,26734.89
MAC0231,A,LIN0016,11/25/2024,OPERATIONAL,32451.23
MAC0232,Land,LIN0005,2022-04-15,Under Maintenance,49218.39
MAC0233,Yourself,LIN0004,2024-06-21,Under Maintenance,
MAC0234,Hope,LIN0018,05-03-2022,Operational,9935.01
MAC0235,Artist,LIN0016,28/12/2024,Operational,13376.98
MAC0236,Budget,LIN0012,03/08/2024,Under Maintenance,39494.1
MAC0237,Scene,LIN0006,20/05/2022,Under Maintenance,17333.81
MAC0238,As,LIN0007,20/05/2023,Faulty,5832.69
MAC0239,Painting,LIN0002,16-08-2022,Under Maintenance,17146.04
MAC0240,One,LIN0010,2022-10-11,Faulty,3558.82
MAC0241,End,LIN0020,06/12/2023,Operational,5303.04
MAC0242,Painting,LIN0005,19-03-2022,Faulty,Ten Thousand
MAC0243,Wear,LIN0011,19/11/2023,Faulty,8792.58
MAC0244,Who,LIN0019,10-04-2022,Operational,29759.83
MAC0245,Cell,LIN0019,15/04/2023,Under Maintenance,44725.11
MAC0246,Do,LIN0010,14/04/2024,Operational,34838.23
MAC0247,Laugh,LIN0009,24/11/2023,Operational,13205.7
MAC0248,To,LIN0003,25/11/2023,Under maintenance,6281.83
INVALID_82,Too,LIN9999,20-06-2023,Operational,4752.16
MAC0250,Believe,LIN9999,2023-08-10,Operational,26395.71
MAC0251,Design,LIN0012,2024-01-05,Faulty,34115.19
INVALID_96,Worry,LIN0020,04-02-2023,Faulty,-4460.16
MAC0253,According,LIN0003,24/01/2024,under maintenance,-2829.4
MAC0254,Deal,LIN0006,02/02/2023,Operational,19547.28
MAC0255,Away,LIN0011,2024-12-12,Operational,Ten Thousand
MAC0256,Response,LIN0013,2024-07-04,Faulty,17387.56
MAC0257,Its,LIN0018,2023-04-05,Under Maintenance,42854.7
MAC0258,Resource,LIN0002,14/11/2024,UNDER MAINTENANCE,27683.51
MAC0259,Yes,LIN0004,2024-12-02,operational,16623.97
MAC0260,Modern,LIN0017,2023-03-20,Faulty,41699.68
INVALID_91,Behavior,LIN0019,2022-04-19,Operational,10528.29
MAC0262,Seven,LIN0011,02/12/2024,Under Maintenance,20722.1
MAC0263,Method,LIN0019,09/09/2022,Operational,32316.58
MAC0264,Build,LIN0007,2024-03-07,Operational,38286.89
MAC0265,Teacher,LIN0011,2023-12-29,Under Maintenance,849.56
MAC0266,Hundred,LIN0003,04/28/2024,Operational,26792.79
MAC0267,Onto,LIN0010,04/07/2022,Operational,26865.7
MAC0268,Politics,LIN0011,27-04-2022,Faulty,25228.24
MAC0269,Easy,LIN0020,27-08-2023,Operational,35759.44
MAC0270,Technology,LIN0014,01/10/2023,Under Maintenance,41989.61
MAC0271,Administration,LIN0002,05/20/2023,Operational,19271.89
MAC0272,Owner,LIN0005,05/29/2022,Faulty,12712.97
MAC0273,Per,LIN0007,24/09/2022,Faulty,47341.16
INVALID_58,Keep,LIN0009,10/19/2023,Operational,0
MAC0275,Develop,LIN0012,07-04-2022,Under Maintenance,25258.02
MAC0276,Painting,LIN0010,2023-05-09,Under Maintenance,18767.55
MAC0277,Husband,LIN0010,10/27/2022,Faulty,34029.89
INVALID_87,Voice,LIN0008,01-12-2023,Operational,21083.62
MAC0279,Number,LIN0010,2022-08-06,Faulty,9340.25
MAC0280,Point,LIN0014,2022-04-24,Operational,49348.94
MAC0046,Concern,LIN0011,2024-03-05,Operational,3461.32
MAC0282,Realize,LIN0002,10/12/2023,Operational,14376.23
MAC0283,Federal,LIN0013,07-12-2023,Faulty,34380.86
MAC0284,Product,LIN0013,2024-09-09,Faulty,39390.02
MAC0285,Discover,LIN0013,08-03-2023,Operational,7824.68
MAC0286,Politics,LIN0007,11/21/2024,Faulty,48786.78
MAC0287,Way,LIN0014,02-07-2023,OPERATIONAL,9675.96
MAC0288,Mean,LIN0002,2022-05-18,Faulty,2941.89
MAC0289,During,LIN0017,2023-07-31,Faulty,43894.64
MAC0290,Fight,LIN0006,23/08/2024,Under Maintenance,41557.79
MAC0291,Fear,LIN0006,03/07/2024,Faulty,36073.14
MAC0292,Want,LIN0002,04/05/2022,Operational,25402.93
MAC0102,Yard,LIN0008,07/06/2022,Operational,16955.12
MAC0294,Wife,LIN0010,12-04-2024,Operational,9097.29
MAC0295,Successful,LIN0020,08/06/2024,Under Maintenance,17204.72
MAC0296,Protect,LIN0004,08-05-2024,Under Maintenance,6463.98
MAC0297,Wish,LIN0013,2022-06-25,faulty,40627.72
MAC0298,Not,LIN0011,18/12/2023,Under Maintenance,23319.05
MAC0299,Big,LIN0020,2024-09-19,Operational,32446.77
MAC0300,Seem,LIN0008,17/04/2022,Under Maintenance,28611.24
MAC0301,Apply,LIN0010,20/07/2022,Operational,39099.97
MAC0302,Eat,LIN0002,28/01/2022,Operational,41907.83
MAC0303,Skill,LIN0005,11-01-2023,Under Maintenance,
MAC0304,Challenge,LIN0005,04-06-2024,faulty,5497.5
MAC0305,Beyond,LIN0017,2022-04-15,Operational,14857.49
INVALID_58,Operation,LIN0003,08/04/2023,Under Maintenance,42896.9
MAC0307,Development,LIN0003,11/08/2024,FAULTY,47802.31
MAC0308,Sea,LIN9999,08-09-2022,Operational,891.78
MAC0142,Everything,LIN0005,04/26/2022,Under Maintenance,2148.53
MAC0310,Miss,LIN0016,04/06/2023,Faulty,18597.19
MAC0217,Thing,LIN0012,2022-08-02,Under Maintenance,45530.38
MAC0312,Under,LIN0019,17/01/2022,Operational,13796.66
MAC0313,Care,LIN0004,11/19/2024,Faulty,20215.54
MAC0314,Practice,LIN0012,19/02/2022,Under Maintenance,44315.83
MAC0315,Its,LIN0002,06/02/2022,Operational,49007.7
MAC0316,Serious,LIN0004,16/09/2024,Faulty,48085.48
MAC0317,Event,LIN0001,15/02/2022,Under Maintenance,32866.81
MAC0318,Manage,LIN0001,23-05-2023,Faulty,35894.47
MAC0319,Chair,LIN9999,11/25/2024,Faulty,33953.79
INVALID_98,Very,LIN0014,10-02-2024,Under Maintenance,24659.35
MAC0104,Much,LIN0003,07-09-2023,Under Maintenance,45407.02
MAC0018,Interview,LIN0016,07/04/2023,Faulty,9885.43
MAC0323,Church,LIN0004,28-12-2023,Under Maintenance,34371.04
MAC0324,Owner,LIN0013,05/10/2024,Under Maintenance,21696.3
INVALID_50,Expert,LIN0005,07/02/2024,Under Maintenance,
MAC0326,International,LIN0002,2024-04-23,Faulty,36261.5
MAC0327,Peace,LIN0014,31-07-2023,Under Maintenance,5605.92
MAC0328,Edge,LIN0015,11/01/2022,Faulty,2375.28
MAC0329,Someone,LIN0003,2023-02-28,Under maintenance,4429.5
MAC0330,Situation,LIN0005,11/11/2024,Operational,41460.25
MAC0331,Open,LIN0018,29-03-2024,Faulty,Five Hundred
MAC0224,Wonder,LIN0004,2022-01-12,Under Maintenance,7878.23
MAC0333,Miss,LIN0009,2022-01-11,Under Maintenance,39793.59
MAC0334,Event,LIN0001,2023-02-28,Under Maintenance,19450.06
MAC0335,Method,LIN0018,30-04-2022,Under Maintenance,10727.71
MAC0336,West,LIN0011,29-05-2024,Operational,24785.95
MAC0337,Treat,LIN0004,2023-05-26,Under Maintenance,40213.7
MAC0338,Half,LIN0002,03/07/2023,UNDER MAINTENANCE,16160.71
MAC0339,Leader,LIN0015,13-01-2024,Operational,24889.13
MAC0340,Impact,LIN0004,07/10/2022,Faulty,47708.49
MAC0341,Player,LIN0010,2023-07-14,Under Maintenance,39816.95
MAC0342,Design,LIN9999,20-03-2022,Operational,12054.1
MAC0343,Base,LIN0015,12/23/2022,Faulty,20811.03
MAC0344,Small,LIN0003,23/01/2023,Faulty,-3111.17
MAC0345,Successful,LIN0002,02/18/2023,Operational,38822.41
MAC0346,Center,LIN0015,03/11/2024,Under Maintenance,-3204.15
MAC0347,Represent,LIN0002,2024-10-20,Operational,7780.54
MAC0348,Amount,LIN0014,12/04/2024,Operational,28303.1
MAC0349,Want,LIN0016,2024-03-23,Faulty,48435.71
MAC0350,Little,LIN0007,22/12/2023,Operational,46481.81
MAC0351,Between,LIN0004,04/07/2024,Under Maintenance,1607.81
MAC0352,Enjoy,LIN0017,20/09/2024,Operational,24754.45
MAC0353,Both,LIN0009,2023-03-11,Operational,44415.97
MAC0354,Option,LIN0018,14-11-2022,Faulty,17181.37
MAC0355,Century,LIN0010,19-09-2022,Under Maintenance,3120.5
MAC0356,Analysis,LIN0011,17-09-2023,UNDER MAINTENANCE,43707.84
MAC0357,Sing,LIN0011,14-12-2024,Under Maintenance,15986.97
MAC0358,Study,LIN0007,2024-12-13,Faulty,9743.29
MAC0359,Hundred,LIN0013,2023-07-29,Under Maintenance,37139.63
MAC0360,Rise,LIN0019,2024-08-31,Under Maintenance,Ten Thousand
MAC0361,State,LIN0016,03/04/2022,Under Maintenance,28929.16
MAC0362,Only,LIN0012,28-03-2024,Faulty,579.59
MAC0363,Collection,LIN0008,08/23/2023,Operational,34002.01
MAC0364,Future,LIN0020,27-11-2024,Under maintenance,35038.07
MAC0365,Cup,LIN0015,03-02-2022,Operational,19245.77
MAC0366,Safe,LIN0013,27/01/2024,Faulty,31261.3
MAC0367,Price,LIN0019,2024-09-09,Operational,24770.18
MAC0368,Care,LIN0020,01-03-2024,Faulty,9015.93
MAC0369,Example,LIN0006,2023-07-13,Under Maintenance,41917.29
MAC0370,Stuff,LIN0016,24/12/2022,Operational,17059.29
MAC0300,Their,LIN0020,02/29/2024,operational,32335.77
MAC0372,Close,LIN0006,2024-03-28,Faulty,33891.52
MAC0373,Their,LIN0005,16/07/2023,Faulty,45828.26
MAC0191,Throw,LIN0016,2023-01-30,Under Maintenance,32321.17
MAC0375,Guess,LIN0003,04/29/2022,Faulty,44188.19
MAC0376,Water,LIN0009,01/03/2022,Under Maintenance,28176.72
MAC0377,Site,LIN0003,14/05/2024,Faulty,34757.82
MAC0378,Name,LIN0003,08-11-2022,Operational,23355.57
MAC0379,Enjoy,LIN0013,03/13/2024,Operational,6893.81
MAC0380,You,LIN0010,06/10/2022,Faulty,41566.82
MAC0381,Green,LIN0007,30-10-2023,Faulty,6098.1
MAC0382,Final,LIN0002,26-08-2023,Under Maintenance,21946.79
MAC0383,Soldier,LIN0018,14/01/2024,Faulty,12700.06
MAC0384,Only,LIN0018,12/10/2024,Under Maintenance,26866.69
MAC0385,Space,LIN0020,09/02/2023,Under Maintenance,41768.99
MAC0386,Explain,LIN0013,23-03-2023,Faulty,20862.52
MAC0387,Clearly,LIN0011,06/26/2024,Operational,25043.27
INVALID_2,These,LIN0002,2022-09-27,Operational,
MAC0389,Hair,LIN0015,28-07-2022,Under maintenance,29064.24
MAC0390,Partner,LIN0020,27/08/2022,Operational,39007.54
MAC0391,Whole,LIN0009,11/07/2022,Operational,22911.84
MAC0392,Move,LIN0019,20-03-2024,Faulty,
MAC0393,Control,LIN0014,2022-07-18,Under Maintenance,38386.38
MAC0394,According,LIN0001,2022-05-22,Under Maintenance,30226.12
MAC0395,Style,LIN9999,08/12/2024,Under Maintenance,17571.52
MAC0262,Sing,LIN0015,31/03/2022,Faulty,24735.95
MAC0397,Term,LIN0016,12-02-2022,Faulty,3973.36
MAC0398,Improve,LIN0015,02/01/2023,Under Maintenance,27728.49
MAC0399,Or,LIN0016,04/30/2024,Faulty,36779.92
MAC0400,Mr,LIN9999,2022-08-04,Faulty,14559.8
MAC0401,Car,LIN0007,2023-04-12,Operational,
MAC0402,Wife,LIN0009,16/03/2022,Under Maintenance,44307.62
MAC0403,Interview,LIN0009,11/25/2022,Under Maintenance,32878.62
MAC0404,Hotel,LIN0016,21/08/2024,Faulty,18870.38
MAC0405,Drop,LIN0012,05-04-2022,Operational,35422.54
MAC0406,Congress,LIN0016,12-11-2023,Faulty,11423.85
MAC0407,Short,LIN0008,2022-06-13,Faulty,30897.61
MAC0408,Phone,LIN0009,2024-04-23,Under Maintenance,47283.0
MAC0409,Take,LIN0017,2023-09-21,Faulty,24779.85
MAC0410,Factor,LIN0005,2024-04-09,Under Maintenance,9516.25
MAC0411,Each,LIN0005,30/03/2022,Operational,Five Hundred
MAC0412,Hold,LIN0017,29/11/2022,Operational,Ten Thousand
MAC0413,You,LIN0008,29-04-2024,Operational,26054.35
MAC0414,Maintain,LIN0020,2022-04-11,Operational,3361.89
MAC0415,Ahead,LIN0020,2024-04-12,Operational,49615.82
MAC0384,Data,LIN0007,07/30/2022,Under Maintenance,31541.48
MAC0417,World,LIN0015,2023-06-28,Faulty,49794.27
MAC0418,Politics,LIN0003,2022-12-20,Operational,18110.36
MAC0419,Thing,LIN0009,2023-12-13,Operational,19091.89
MAC0420,Nature,LIN0002,09/14/2022,Faulty,41058.97
