HospitalID,HospitalName,Location,Capacity
HOS0115,Seat,Mumbai,32
HOS0116,Yard,Hyderabad,33
HOS0117,Effort,Chennai,186
HOS0118,Rule,Bangalore,54
HOS0119,Bag,Delhi,229
HOS0120,Someone,Delhi,263
HOS0121,Check,Delhi,52
HOS0122,Enough,Mumbai,261
HOS0123,Nation,Chennai,221
HOS0124,Measure,Chennai,218
HOS0125,Pressure,Bangalore,154
HOS0126,Past,Chennai,162
HOS0127,Write,Delhi,57
HOS0128,Tax,Mumbai,14
HOS0129,Good,Delhi,9999
HOS0130,Office,mumbai,52
HOS0131,Quality,Bangalore,100
HOS0132,Expert,Mumbai,248
HOS0133,House,Hyderabad,250
HOS0134,Like,Mumbai,274
HOS0135,We,Delhi,132
HOS0136,Part,Delhi,58
HOS0137,Half,Bangalore,190
INVALID_73,Forward,Delhi,121
HOS0139,Kid,Bangalore,207
HOS0140,Blood,Bangalore,150
HOS0141,North,Chennai,150
HOS0142,Remain,Mumbai,100
HOS0143,Bit,Bangalore,261
HOS0144,House,Bangalore,135
HOS0145,Everyone,Mumbai,74
HOS0146,Face,Chennai,237
INVALID_14,Spring,Chennai,186
HOS0148,Buy,Bangalore,164
HOS0149,Involve,Chennai,92
HOS0150,Also,Chennai,47
HOS0151,Whole,Hyderabad,74
HOS0152,According,Mumbai,-1
HOS0153,Join,Chennai,126
HOS0154,Him,Delhi,118
HOS0155,Authority,Mumbai,164
HOS0156,Positive,Bangalore,300
HOS0157,Company,Delhi,229
HOS0158,Tax,Chennai,109
HOS0159,Arm,Chennai,288
HOS0160,Figure,Mumbai,118
HOS0161,Best,Mumbai,282
HOS0162,Third,Chennai,113
HOS0088,Future,Delhi,235
HOS0164,Board,Mumbai,56
HOS0165,City,Delhi,45
HOS0166,Soldier,Mumbai,244
HOS0167,Continue,Hyderabad,54
HOS0168,Seem,Delhi,269
HOS0169,Anything,Bangalore,151
HOS0170,Themselves,Delhi,80
HOS0171,Black,Mumbai,105
HOS0172,Family,Mumbai,139
HOS0173,People,Chennai,135
HOS0174,Specific,Hyderabad,43
HOS0175,Eye,Hyderabad,102
HOS0176,Under,Bangalore,120
HOS0177,Member,Mumbai,218
HOS0178,Ask,Bangalore,110
HOS0179,Indeed,Chennai,22
HOS0180,Star,Chennai,9999
HOS0133,Television,Delhi,5
HOS0182,Different,CHENNAI,180
HOS0183,Drop,Chennai,207
HOS0184,Million,Mumbai,148
HOS0185,Because,MUMBAI,157
HOS0186,Author,Mumbai,152
HOS0187,To,Hyderabad,162
HOS0188,Our,BANGALORE,95
HOS0189,Wear,Chennai,276
HOS0190,Particular,Bangalore,0
HOS0191,Result,Mumbai,101
HOS0192,Teach,Delhi,154
HOS0193,Development,Chennai,153
HOS0194,Debate,Delhi,170
HOS0195,Her,BANGALORE,31
HOS0196,Economy,Bangalore,203
HOS0197,Such,Delhi,108
HOS0198,Us,Hyderabad,195
HOS0199,Land,Chennai,108
HOS0200,Talk,Mumbai,186
HOS0201,While,Hyderabad,181
HOS0202,Shoulder,Hyderabad,296
HOS0203,Program,Mumbai,121
HOS0204,But,Chennai,38
HOS0205,Story,Bangalore,54
HOS0206,Meet,Delhi,160
HOS0207,Town,Bangalore,245
HOS0208,Class,Chennai,177
HOS0209,Fire,Bangalore,80
HOS0210,Up,Bangalore,262
HOS0211,Threat,Mumbai,204
HOS0069,Land,Chennai,0
HOS0213,Trial,HYDERABAD,152
HOS0214,Girl,Bangalore,165
HOS0215,Window,Delhi,151
HOS0216,Begin,Chennai,253
HOS0217,Add,Hyderabad,105
HOS0218,Issue,bangalore,298
HOS0219,Few,Bangalore,-1
HOS0220,Bit,Chennai,8
HOS0221,Center,Mumbai,245
HOS0222,Main,Hyderabad,165
HOS0025,Break,Chennai,108
HOS0224,Car,Hyderabad,129
HOS0225,National,Hyderabad,200
HOS0226,Skin,Delhi,189
HOS0227,Quickly,Chennai,273
HOS0228,But,Bangalore,160
HOS0229,Resource,Chennai,295
HOS0230,Common,Chennai,224
HOS0231,Another,Mumbai,207
HOS0232,Car,Bangalore,68
HOS0233,Near,delhi,162
HOS0234,Far,Hyderabad,59
HOS0235,Few,Delhi,69
HOS0236,Radio,Delhi,105
HOS0237,Door,Mumbai,72
HOS0238,Never,Hyderabad,237
HOS0239,Evidence,Hyderabad,187
HOS0240,Simply,Hyderabad,34
HOS0241,Training,Hyderabad,262
HOS0242,Share,Chennai,79
HOS0243,Reason,Chennai,126
INVALID_1,Girl,Delhi,236
INVALID_52,Herself,Delhi,105
HOS0246,How,Bangalore,129
HOS0066,Fast,Delhi,50
HOS0248,Back,DELHI,265
HOS0249,Pass,Bangalore,25
HOS0250,Technology,Hyderabad,50
HOS0251,Citizen,Hyderabad,112
HOS0252,Real,Hyderabad,214
HOS0253,Clear,Hyderabad,177
HOS0254,Avoid,Hyderabad,130
HOS0255,Total,Hyderabad,91
HOS0256,Mind,Hyderabad,273
HOS0257,Water,Hyderabad,291
HOS0258,Worker,Bangalore,143
HOS0259,Fact,Chennai,74
HOS0260,Trade,Delhi,-1
HOS0261,Impact,Chennai,39
HOS0262,Garden,Delhi,140
HOS0138,Try,Bangalore,143
HOS0264,Value,Delhi,71
HOS0265,Machine,Bangalore,143
HOS0266,Best,Delhi,154
HOS0267,Question,Delhi,110
HOS0268,Leave,Hyderabad,82
HOS0269,Best,Delhi,87
HOS0270,Role,Mumbai,223
HOS0271,Agreement,Bangalore,9999
HOS0272,Best,Bangalore,76
HOS0273,Since,Chennai,156
INVALID_3,Job,Hyderabad,239
HOS0275,Direction,Hyderabad,266
HOS0276,Discuss,Mumbai,165
HOS0277,Walk,Bangalore,155
HOS0278,Doctor,Chennai,287
HOS0279,Rule,mumbai,151
HOS0280,Model,Hyderabad,111
HOS0281,Themselves,Chennai,245
HOS0282,Manager,Chennai,2
HOS0283,Themselves,Delhi,90
HOS0284,Believe,Chennai,283
HOS0285,Loss,Delhi,222
HOS0286,Travel,Delhi,259
HOS0287,Pull,Chennai,161
HOS0288,Event,Mumbai,52
INVALID_29,Reflect,Delhi,39
HOS0290,Step,Delhi,166
HOS0291,Soldier,Hyderabad,28
HOS0292,Itself,Hyderabad,298
HOS0293,Thing,Chennai,78
HOS0294,Officer,Delhi,270
HOS0295,Huge,Delhi,210
HOS0296,Success,BANGALORE,241
INVALID_19,Issue,Mumbai,240
HOS0298,Discuss,Mumbai,42
HOS0299,Until,Hyderabad,154
HOS0300,Plan,Mumbai,4
HOS0301,Choose,Mumbai,298
HOS0302,Probably,Delhi,-1
HOS0303,Past,Chennai,156
HOS0304,Use,Bangalore,10
HOS0305,Fast,Bangalore,245
HOS0306,Thank,Mumbai,145
HOS0003,Position,Hyderabad,254
HOS0308,Young,HYDERABAD,118
HOS0309,Effort,Chennai,208
HOS0310,Current,Hyderabad,154
HOS0311,Guy,Delhi,296
HOS0312,Speak,Mumbai,35
HOS0313,Help,Chennai,-1
HOS0314,Life,Hyderabad,175
HOS0315,Question,Mumbai,290
HOS0316,Economic,Bangalore,3
HOS0317,Realize,Chennai,294
HOS0027,College,Delhi,73
HOS0319,Despite,Hyderabad,233
HOS0320,Together,Bangalore,118
INVALID_57,So,Bangalore,190
HOS0300,Determine,Chennai,177
HOS0079,Think,Chennai,91
HOS0324,Bad,Hyderabad,258
HOS0325,According,Hyderabad,280
HOS0326,Far,Delhi,44
HOS0327,Detail,chennai,152
HOS0328,Allow,Delhi,142
HOS0329,Option,Mumbai,0
HOS0330,Fact,Hyderabad,86
HOS0331,Prepare,Chennai,82
HOS0332,Every,Chennai,123
HOS0333,Know,Hyderabad,253
HOS0334,Cultural,Delhi,169
INVALID_21,Member,Chennai,108
HOS0336,Budget,Bangalore,81
HOS0337,Us,Bangalore,117
HOS0338,Big,Hyderabad,48
HOS0339,Ahead,Chennai,233
HOS0340,Bad,Chennai,182
HOS0341,While,Mumbai,284
HOS0342,Draw,Delhi,74
HOS0343,Evening,Mumbai,178
HOS0146,Card,Hyderabad,4
HOS0345,Identify,Hyderabad,140
HOS0346,Car,Bangalore,102
HOS0347,Explain,Chennai,56
HOS0348,Prevent,Hyderabad,152
HOS0349,Respond,Delhi,18
HOS0350,Other,Chennai,162
HOS0351,Detail,Bangalore,227
HOS0352,Experience,Mumbai,179
HOS0353,Push,Hyderabad,182
HOS0354,Similar,Chennai,295
HOS0355,Here,Delhi,139
HOS0356,Safe,Bangalore,27
HOS0357,Tonight,Chennai,203
INVALID_67,Worry,bangalore,283
HOS0359,Shoulder,Delhi,107
HOS0360,Enjoy,Chennai,280
HOS0361,As,Chennai,224
HOS0362,Return,Mumbai,61
HOS0363,Sort,Delhi,238
HOS0364,Age,Chennai,229
HOS0365,Somebody,mumbai,153
HOS0366,Newspaper,Delhi,300
HOS0367,Region,Bangalore,82
INVALID_88,Rich,Chennai,150
HOS0369,Real,Hyderabad,104
HOS0370,Say,Hyderabad,178
HOS0371,Rate,Delhi,143
HOS0372,Model,Delhi,233
HOS0373,Tough,Hyderabad,147
HOS0374,Government,Chennai,256
HOS0375,Fund,CHENNAI,117
HOS0376,Great,Hyderabad,266
HOS0377,Remember,Hyderabad,97
HOS0378,Someone,Hyderabad,149
HOS0379,Popular,Mumbai,278
HOS0380,Score,Bangalore,181
HOS0381,Carry,Hyderabad,196
HOS0382,Out,Bangalore,265
HOS0383,Professor,Bangalore,10
HOS0384,Seek,Bangalore,254
HOS0385,Federal,Mumbai,77
HOS0386,Imagine,Hyderabad,54
HOS0387,Might,Delhi,202
HOS0388,Usually,Mumbai,2
HOS0389,Though,Mumbai,107
HOS0390,Begin,Bangalore,259
HOS0391,Employee,Delhi,34
HOS0392,He,Chennai,0
HOS0393,Method,Chennai,231
HOS0394,Rock,Delhi,112
HOS0395,The,Delhi,14
HOS0396,Work,Chennai,124
HOS0397,Very,Mumbai,253
HOS0257,Popular,chennai,224
HOS0399,Reveal,Delhi,264
HOS0400,Course,Delhi,256
HOS0401,National,Hyderabad,218
HOS0402,Key,Chennai,33
HOS0403,Citizen,MUMBAI,23
HOS0404,Detail,Mumbai,267
HOS0405,Drive,Bangalore,283
HOS0406,Environmental,Hyderabad,198
HOS0407,Fear,Bangalore,-1
HOS0408,Entire,Mumbai,71
HOS0409,Finally,Delhi,101
HOS0410,Hair,Delhi,126
HOS0411,Top,Bangalore,141
HOS0412,Me,Hyderabad,31
HOS0413,Surface,Chennai,64
HOS0414,See,Chennai,174
HOS0415,Join,Bangalore,20
HOS0416,His,Chennai,264
HOS0417,Represent,Hyderabad,126
HOS0418,Indeed,Hyderabad,135
HOS0419,Front,chennai,221
HOS0420,Believe,HYDERABAD,73
HOS0421,Win,chennai,236
HOS0422,Bad,Chennai,202
HOS0423,Possible,Delhi,168
HOS0424,Nature,Chennai,244
HOS0425,Again,Hyderabad,49
HOS0426,Movement,bangalore,283
HOS0427,Indeed,Chennai,137
HOS0428,World,Hyderabad,234
HOS0429,Compare,Delhi,271
HOS0430,Decade,Hyderabad,281
HOS0431,Great,hyderabad,294
HOS0432,Reflect,Chennai,147
HOS0433,Learn,Mumbai,224
HOS0434,Note,Delhi,256
HOS0435,We,Chennai,33
HOS0436,Establish,Chennai,114
HOS0437,Simply,Mumbai,175
HOS0438,Boy,Bangalore,116
HOS0439,Main,Delhi,224
HOS0440,Ahead,Bangalore,173
HOS0441,Person,Bangalore,19
HOS0442,Place,Delhi,194
HOS0443,Rise,chennai,41
HOS0444,Medical,Hyderabad,198
HOS0445,Lawyer,Hyderabad,123
HOS0446,Eye,Mumbai,179
HOS0447,Board,Mumbai,173
HOS0448,Sound,Bangalore,159
HOS0449,Tax,Delhi,95
HOS0450,Little,CHENNAI,65
HOS0451,Short,Chennai,184
HOS0452,Whom,Mumbai,99
HOS0453,Tend,Mumbai,9999
HOS0454,Something,Hyderabad,36
HOS0455,Congress,Delhi,149
HOS0456,Person,Hyderabad,234
HOS0457,Leader,Bangalore,265
HOS0024,Bit,Hyderabad,170
HOS0459,Against,Chennai,195
HOS0460,Above,Delhi,136
HOS0461,Technology,Mumbai,209
HOS0462,Dark,Bangalore,287
HOS0463,Test,Chennai,277
HOS0464,Clearly,Delhi,204
HOS0465,Despite,DELHI,207
HOS0466,Tv,Hyderabad,57
HOS0467,Feeling,Hyderabad,250
HOS0468,Teach,Mumbai,161
INVALID_66,People,Hyderabad,293
HOS0470,Game,Bangalore,176
HOS0471,He,Hyderabad,128
HOS0472,Sit,Chennai,247
HOS0473,Say,Mumbai,214
HOS0474,Speech,Chennai,187
HOS0475,Card,Hyderabad,13
HOS0476,Third,Mumbai,142
HOS0477,Leader,Chennai,194
HOS0478,Conference,Mumbai,174
HOS0479,Mean,bangalore,101
HOS0480,Option,Chennai,87
HOS0481,Opportunity,Mumbai,210
HOS0482,It,Mumbai,182
HOS0465,From,Chennai,68
HOS0484,Resource,Hyderabad,294
HOS0485,She,Bangalore,19
HOS0486,On,Mumbai,155
HOS0487,Page,Delhi,172
HOS0488,Around,Hyderabad,108
HOS0489,Job,Delhi,105
HOS0490,Until,Bangalore,9999
HOS0491,Trouble,chennai,196
HOS0492,Pass,Mumbai,147
HOS0493,Member,Bangalore,4
HOS0494,Check,MUMBAI,215
HOS0495,Analysis,Delhi,115
HOS0496,Point,Chennai,163
HOS0497,Source,Mumbai,207
HOS0498,Instead,Mumbai,179
HOS0499,Opportunity,Bangalore,270
HOS0500,Bank,MUMBAI,268
HOS0501,South,Mumbai,289
HOS0502,Bag,Delhi,207
HOS0503,We,Delhi,229
HOS0504,Whatever,Mumbai,241
HOS0505,Shoulder,Chennai,114
HOS0506,Ok,Delhi,2
HOS0507,Television,Bangalore,143
HOS0508,Party,Bangalore,9999
HOS0509,Ability,Hyderabad,208
HOS0510,Stuff,Chennai,266
HOS0143,Himself,Chennai,124
HOS0512,What,Delhi,154
HOS0513,Speak,Delhi,151
HOS0514,Order,Chennai,189
HOS0515,Pretty,Chennai,7
HOS0516,Maybe,Mumbai,265
HOS0517,Politics,Bangalore,63
HOS0518,Middle,Bangalore,135
HOS0519,Thing,Mumbai,280
HOS0365,Class,delhi,233
HOS0521,Total,Delhi,122
HOS0522,Pass,Hyderabad,7
HOS0523,Past,Mumbai,91
HOS0524,Small,Bangalore,118
HOS0260,Impact,Hyderabad,166
HOS0526,Loss,Mumbai,55
HOS0527,Idea,Chennai,-1
HOS0528,Activity,Mumbai,174
HOS0529,With,Hyderabad,9999
HOS0530,Call,Hyderabad,61
HOS0531,Mouth,Hyderabad,289
HOS0532,Smile,Chennai,208
HOS0533,Build,bangalore,169
HOS0534,Exist,Hyderabad,164
HOS0535,Financial,Hyderabad,251
HOS0536,Election,Hyderabad,122
HOS0537,War,Mumbai,116
HOS0538,Wish,Bangalore,240
HOS0539,Care,Bangalore,298
HOS0540,Great,Chennai,41
HOS0541,Indicate,Mumbai,220
HOS0542,Bar,Delhi,0
HOS0543,Return,Mumbai,179
HOS0544,Outside,Chennai,269
HOS0545,Sure,Mumbai,244
HOS0546,Write,Mumbai,280
HOS0547,Other,Hyderabad,56
HOS0548,Enjoy,Chennai,153
HOS0549,Design,Delhi,55
HOS0550,Above,Mumbai,93
HOS0551,Car,Mumbai,8
HOS0552,Prove,Mumbai,-1
HOS0553,According,Delhi,277
HOS0554,Fight,Delhi,158
HOS0555,Everyone,Mumbai,215
HOS0556,Ever,Delhi,207
HOS0557,Ever,Hyderabad,24
HOS0558,Wonder,Hyderabad,118
HOS0559,Draw,Delhi,70
HOS0560,Security,Delhi,96
HOS0561,Red,Bangalore,59
HOS0562,Provide,Delhi,107
HOS0563,Republican,Mumbai,152
HOS0564,Ability,Hyderabad,29
HOS0565,Affect,Delhi,120
HOS0566,Ten,Mumbai,113
HOS0567,Star,chennai,18
HOS0568,Control,Chennai,58
HOS0569,Risk,Hyderabad,46
HOS0355,Interview,Mumbai,197
HOS0571,Culture,Delhi,222
HOS0572,Art,Chennai,0
HOS0107,Goal,Hyderabad,87
HOS0574,Part,Delhi,194
HOS0575,Surface,Chennai,138
HOS0576,Seem,Delhi,27
HOS0577,Southern,Bangalore,170
HOS0578,Certain,Delhi,276
HOS0579,Wait,Bangalore,114
HOS0580,Staff,Delhi,190
HOS0021,Threat,Chennai,294
HOS0582,Career,Hyderabad,135
HOS0583,Foot,Mumbai,258
INVALID_26,Religious,Bangalore,76
HOS0585,Admit,Mumbai,272
HOS0586,Others,Chennai,259
HOS0587,House,Bangalore,53
HOS0588,Low,Chennai,167
HOS0589,Other,Delhi,103
HOS0590,Central,Bangalore,47
HOS0591,Network,Chennai,290
HOS0592,Fly,Delhi,16
HOS0593,Today,Hyderabad,20
HOS0594,Field,Delhi,119
HOS0595,Stay,Hyderabad,258
HOS0596,Wife,Bangalore,156
HOS0597,Last,Hyderabad,259
HOS0598,For,Hyderabad,277
HOS0599,Suffer,Bangalore,63
HOS0600,Environment,Bangalore,206
HOS0601,Note,Mumbai,271
HOS0602,Nothing,Bangalore,94
HOS0603,Financial,MUMBAI,266
HOS0604,Product,Bangalore,274
HOS0605,Imagine,MUMBAI,181
HOS0606,One,Mumbai,119
HOS0607,Build,Delhi,133
HOS0608,Oil,Mumbai,154
HOS0609,Class,Mumbai,172
HOS0610,Case,Delhi,78
HOS0611,Election,Chennai,276
HOS0612,Ball,Hyderabad,130
HOS0613,International,Delhi,213
HOS0614,Mouth,Mumbai,58
HOS0615,Cell,Hyderabad,290
HOS0616,Then,Hyderabad,77
HOS0617,Event,Bangalore,108
HOS0618,Threat,Chennai,-1
HOS0619,Marriage,Hyderabad,55
HOS0620,Defense,Chennai,262
HOS0621,Eye,Hyderabad,152
HOS0622,Person,Bangalore,103
HOS0623,When,Mumbai,300
HOS0624,Whether,Hyderabad,26
HOS0625,Imagine,Mumbai,239
HOS0626,Lay,Bangalore,33
HOS0627,Drug,Mumbai,42
HOS0628,Business,CHENNAI,32
HOS0629,Serve,Chennai,181
HOS0630,Expect,Delhi,80
HOS0631,Majority,Mumbai,200
HOS0632,Trial,Hyderabad,165
HOS0633,Benefit,Mumbai,89
HOS0634,Beat,Delhi,132
HOS0552,Personal,Hyderabad,190
HOS0636,Dark,Chennai,48
HOS0637,Effort,Hyderabad,-1
HOS0638,Hair,Hyderabad,94
HOS0639,What,Hyderabad,239
HOS0526,Little,Mumbai,60
HOS0641,Front,Mumbai,167
HOS0642,Research,Mumbai,33
HOS0643,He,Bangalore,91
HOS0644,Piece,Bangalore,213
HOS0645,Mother,Mumbai,7
HOS0646,Practice,Mumbai,108
HOS0647,Customer,Hyderabad,145
HOS0648,Down,Hyderabad,271
HOS0649,Alone,Hyderabad,111
HOS0650,Son,Hyderabad,188
HOS0651,Moment,Bangalore,14
HOS0652,Red,Delhi,283
HOS0653,Ahead,Chennai,208
HOS0654,Wide,Mumbai,264
HOS0655,Notice,Bangalore,200
HOS0656,Ago,Delhi,126
HOS0657,Fire,Bangalore,243
HOS0658,Store,Hyderabad,58
HOS0659,Sister,CHENNAI,137
HOS0660,Trade,Delhi,237
HOS0661,Reach,Bangalore,66
INVALID_83,Drive,Hyderabad,12
HOS0663,We,Bangalore,37
HOS0664,Manage,Hyderabad,183
HOS0665,Without,Delhi,199
HOS0666,History,Bangalore,114
HOS0667,Senior,Mumbai,90
HOS0289,If,Hyderabad,278
HOS0669,Throw,Hyderabad,0
HOS0670,Treatment,Chennai,20
HOS0671,Individual,Hyderabad,94
HOS0672,Top,Bangalore,272
HOS0087,Reason,Delhi,209
HOS0674,According,DELHI,177
HOS0675,Sense,Hyderabad,144
HOS0676,Still,Hyderabad,174
INVALID_29,Exactly,Bangalore,28
HOS0678,Full,hyderabad,216
HOS0679,Finally,Bangalore,167
HOS0680,Cut,Chennai,0
HOS0681,Protect,hyderabad,159
HOS0682,Will,Mumbai,126
HOS0683,Whole,Bangalore,166
HOS0684,Management,Bangalore,117
HOS0685,Born,Delhi,231
HOS0686,Move,Chennai,175
HOS0288,Difficult,DELHI,68
HOS0688,Friend,Hyderabad,111
HOS0689,Hand,Chennai,68
HOS0690,Turn,Delhi,135
HOS0691,Include,Chennai,71
HOS0692,Many,Hyderabad,296
HOS0693,Great,Bangalore,94
HOS0694,Skill,Chennai,9999
HOS0695,Market,Mumbai,-1
HOS0696,Recognize,Chennai,228
HOS0697,Toward,chennai,89
HOS0698,Sometimes,mumbai,212
HOS0699,Risk,Chennai,55
HOS0700,Happen,Hyderabad,243
HOS0701,Tend,Hyderabad,174
HOS0702,Whom,Bangalore,195
HOS0703,Adult,Chennai,281
HOS0704,Condition,Mumbai,-1
HOS0705,Situation,Bangalore,70
HOS0706,Piece,Bangalore,259
HOS0707,Though,Mumbai,34
HOS0708,Improve,Mumbai,20
HOS0709,First,Delhi,106
HOS0710,Into,Delhi,67
HOS0711,War,Chennai,197
HOS0712,Require,Delhi,181
HOS0713,New,Bangalore,0
HOS0651,Grow,Hyderabad,119
HOS0715,Against,Delhi,9999
HOS0716,Quickly,Chennai,159
HOS0717,Box,Delhi,9999
HOS0718,Traditional,Hyderabad,131
HOS0719,Every,Chennai,244
HOS0720,Reality,Mumbai,14
INVALID_44,Current,Mumbai,262
HOS0722,Six,Hyderabad,24
HOS0723,Eat,Delhi,75
HOS0724,Several,Mumbai,111
HOS0725,Behind,Delhi,176
HOS0726,Among,Delhi,110
HOS0727,Not,Delhi,132
HOS0728,Own,Chennai,255
HOS0729,Wife,Bangalore,1
HOS0730,Word,Delhi,208
HOS0731,Late,Chennai,-1
HOS0732,Sort,Chennai,96
HOS0733,Half,Delhi,243
HOS0734,Report,Chennai,278
HOS0735,Threat,Chennai,220
HOS0736,General,Chennai,8
HOS0737,Ability,Hyderabad,228
HOS0738,Heavy,Hyderabad,101
HOS0739,A,Bangalore,194
HOS0740,Act,Delhi,265
HOS0741,Each,Hyderabad,67
HOS0742,Plan,Chennai,9999
HOS0743,Enter,Chennai,195
HOS0744,Store,Bangalore,64
HOS0745,Their,Mumbai,9999
HOS0746,Write,delhi,139
HOS0747,Spring,Hyderabad,288
HOS0748,Wear,Chennai,47
HOS0749,Air,Chennai,3
HOS0750,Own,BANGALORE,82
HOS0751,Foreign,mumbai,113
HOS0752,Possible,Chennai,39
HOS0753,Realize,Chennai,104
HOS0754,Beautiful,Delhi,-1
HOS0755,Next,Hyderabad,86
HOS0756,Beyond,Hyderabad,28
HOS0757,Unit,Chennai,187
HOS0758,Expert,Chennai,212
HOS0759,Every,Hyderabad,279
INVALID_20,Large,Hyderabad,192
HOS0761,Serious,Hyderabad,93
HOS0762,Huge,Delhi,205
HOS0763,Room,Bangalore,204
HOS0764,Gun,Chennai,228
HOS0765,Write,Delhi,245
HOS0766,Make,Hyderabad,81
HOS0767,Same,Bangalore,13
HOS0768,Mouth,HYDERABAD,253
HOS0769,Bank,Bangalore,121
HOS0770,Prepare,Hyderabad,192
HOS0771,Enough,Delhi,145
HOS0772,Mouth,Mumbai,121
HOS0773,At,Hyderabad,122
HOS0774,Major,Chennai,266
HOS0775,Management,Chennai,48
HOS0776,Offer,Delhi,216
HOS0777,Baby,Delhi,172
INVALID_19,Couple,Bangalore,18
HOS0779,Return,Delhi,56
HOS0780,Through,Delhi,58
HOS0781,Recent,HYDERABAD,0
HOS0782,Finish,Hyderabad,46
HOS0783,Save,Bangalore,3
HOS0784,Determine,Hyderabad,235
HOS0785,Stop,Bangalore,243
HOS0786,Inside,Chennai,246
HOS0787,Per,Chennai,53
HOS0788,Memory,Chennai,6
HOS0789,Scientist,Chennai,148
HOS0790,Door,MUMBAI,186
HOS0791,Network,Bangalore,180
HOS0792,Military,Bangalore,118
HOS0793,Staff,Bangalore,39
HOS0794,Candidate,Delhi,46
HOS0795,Responsibility,Chennai,250
HOS0796,Month,Hyderabad,234
HOS0797,Positive,Chennai,27
HOS0798,Site,Chennai,51
