AccountID,CustomerID,Balance,AccountType,OpenDate,Status
ACC0118,CUS0006,37203.88,Mission,06/10/2024,Frozen
ACC0119,CUS0004,38130.04,Memory,10/05/2024,Active
ACC0120,CUS0014,5977.76,Form,2024-01-03,Frozen
ACC0121,CUS9999,23263.7,Put,18-08-2022,Inactive
ACC0122,CUS0006,8760.58,Become,01/12/2024,Inactive
ACC0098,CUS0019,17052.83,Threat,01/11/2022,Frozen
ACC0124,CUS0004,35115.1,Rather,20-03-2023,Active
ACC0125,CUS0010,12691.6,Less,22/01/2024,Inactive
ACC0126,CUS0001,45359.07,Guess,05/11/2023,Frozen
ACC0127,CUS0013,22426.99,Discover,2024-06-23,frozen
ACC0128,CUS0008,33755.19,Public,01/01/2022,Active
ACC0129,CUS0009,40412.86,History,10-06-2022,Frozen
ACC0130,CUS0008,Five Hundred,Bag,04-09-2024,Frozen
ACC0131,CUS0018,17988.48,Hot,07/07/2023,Frozen
ACC0132,CUS0001,47959.26,Remain,20-03-2023,Inactive
ACC0133,CUS0003,37393.77,Least,24-10-2024,Frozen
ACC0134,CUS0002,7237.14,Herself,22-02-2022,Inactive
ACC0135,CUS0015,8901.83,Television,2024-11-04,Active
ACC0136,CUS0016,40509.73,Hope,2023-08-13,Active
ACC0083,CUS0020,23656.84,Science,14-02-2024,Frozen
ACC0138,CUS0019,19744.45,Those,19/11/2024,Frozen
ACC0139,CUS0006,8611.35,Paper,01/09/2024,Inactive
ACC0140,CUS0006,29101.8,Girl,07/03/2022,Inactive
ACC0141,CUS0016,34123.98,Later,2023-12-17,Inactive
ACC0142,CUS0017,10644.46,Away,15-04-2023,Inactive
ACC0143,CUS9999,36707.57,Baby,2024-09-19,Frozen
ACC0144,CUS0003,37188.42,Memory,20/11/2022,Active
ACC0145,CUS0011,38795.22,Body,02-12-2024,active
ACC0146,CUS0003,0,Strong,2022-02-01,inactive
ACC0147,CUS0019,12216.62,Compare,30-06-2024,Inactive
ACC0148,CUS0003,36651.39,If,04/11/2024,Frozen
ACC0149,CUS0010,30920.71,At,07/06/2022,Active
ACC0150,CUS0009,25889.04,Receive,30/03/2024,Frozen
ACC0151,CUS0018,10136.76,Develop,04/19/2022,inactive
ACC0127,CUS0006,26618.18,But,20/05/2024,Inactive
ACC0153,CUS0005,12215.29,Agent,05/08/2024,active
ACC0154,CUS0016,24512.62,Responsibility,22/03/2023,Active
ACC0155,CUS0007,22217.26,Wish,2022-03-08,Inactive
ACC0156,CUS0005,22429.59,Issue,2023-11-04,Active
ACC0157,CUS0015,40716.63,Century,14/12/2022,Frozen
ACC0158,CUS0015,5827.57,Area,14-06-2024,Frozen
ACC0159,CUS0006,35963.58,Speak,2024-12-05,Active
ACC0160,CUS0015,32393.22,Case,11/05/2023,Inactive
ACC0161,CUS0013,20965.98,Officer,07/01/2022,Inactive
ACC0162,CUS0015,37879.46,Range,02/26/2023,frozen
ACC0163,CUS0008,12258.98,Trial,03-03-2023,Inactive
ACC0164,CUS0002,7895.35,Look,2023-03-29,Active
ACC0165,CUS0003,,Run,28-08-2024,Active
ACC0166,CUS0020,10731.42,Source,08/03/2024,Frozen
INVALID_28,CUS0013,29145.38,Everyone,06/10/2022,Inactive
ACC0168,CUS0004,36249.24,That,24/11/2023,Inactive
ACC0169,CUS0016,Ten Thousand,Wonder,17/01/2024,Active
ACC0170,CUS0005,21481.34,Sit,06/04/2022,Inactive
ACC0171,CUS0009,,Painting,2024-11-08,Inactive
ACC0172,CUS0012,41145.33,Role,30-09-2022,Frozen
ACC0173,CUS0016,8999.32,Never,17/02/2023,Frozen
ACC0174,CUS0019,11692.6,Just,07-02-2024,Active
ACC0175,CUS0007,25100.36,Brother,2024-04-18,Active
ACC0176,CUS0008,13661.56,Create,03/04/2023,Inactive
ACC0177,CUS0012,48300.55,Which,09/04/2022,Active
ACC0178,CUS0016,38033.76,Similar,10/04/2022,Active
ACC0179,CUS0003,25180.23,Anyone,06/22/2023,Active
ACC0180,CUS0007,19342.99,Claim,2023-05-27,Inactive
ACC0181,CUS0008,43285.64,Anyone,2023-06-30,Inactive
ACC0182,CUS0016,40130.0,Indeed,2023-03-24,Frozen
ACC0183,CUS0008,11918.15,State,10/06/2022,Active
ACC0184,CUS0008,22518.88,Eight,01/12/2024,Frozen
ACC0185,CUS0020,46834.59,Draw,28-08-2024,Frozen
ACC0186,CUS0014,48960.84,One,2022-12-14,Frozen
ACC0187,CUS9999,35297.67,Relate,2023-06-06,Inactive
ACC0188,CUS0004,30671.65,Everyone,30/01/2023,Active
ACC0189,CUS0005,48993.49,Claim,15/10/2024,Frozen
ACC0190,CUS0015,10799.68,Drop,04/29/2023,Active
ACC0191,CUS0001,6668.81,Concern,19/07/2023,Inactive
ACC0192,CUS0014,,Anything,11/06/2022,Frozen
ACC0193,CUS0015,-2901.96,Hotel,11-08-2022,Active
ACC0194,CUS0006,36072.31,Star,09/10/2023,Frozen
ACC0195,CUS0001,18357.7,Law,2022-01-31,Active
ACC0196,CUS0018,Five Hundred,Give,17-06-2023,Frozen
ACC0197,CUS0003,,Describe,10/28/2024,Active
ACC0198,CUS0006,38669.92,Section,22/10/2022,Inactive
ACC0199,CUS0018,46298.87,President,12/02/2023,Active
ACC0200,CUS0012,24357.67,His,2023-09-06,Active
ACC0201,CUS0006,12670.66,Break,18/06/2024,Active
ACC0202,CUS9999,34601.66,Lot,2024-12-08,Active
ACC0203,CUS0011,20124.89,Style,2024-10-18,Frozen
ACC0204,CUS0020,12578.67,Then,19/07/2022,Inactive
ACC0205,CUS0004,45761.69,Someone,29-06-2023,Inactive
ACC0206,CUS0006,44920.76,Recognize,29/11/2024,Frozen
ACC0207,CUS0008,39325.88,Hour,12/08/2024,Active
ACC0208,CUS0016,14627.58,Cup,29-01-2022,Inactive
ACC0209,CUS0013,40531.21,Fly,16/04/2022,Frozen
ACC0210,CUS0013,41634.45,Day,14-09-2022,Inactive
ACC0211,CUS0014,19293.98,Reality,10-08-2024,Frozen
ACC0212,CUS0017,23209.42,Cause,23-11-2022,Active
ACC0213,CUS0015,1788.8,Study,02-07-2024,Active
ACC0214,CUS0018,16285.35,Teacher,2022-06-20,Active
ACC0215,CUS0004,18251.55,Section,13-01-2022,Inactive
ACC0216,CUS0016,48362.61,Radio,09-07-2022,Inactive
ACC0217,CUS0005,29173.59,Environmental,26-08-2023,Inactive
ACC0218,CUS0009,38204.87,Dark,2022-12-20,Active
ACC0219,CUS0018,26895.74,Much,2023-05-20,Frozen
ACC0220,CUS0020,47747.96,Report,21-06-2024,Active
ACC0221,CUS0014,11301.65,Six,2022-02-02,Frozen
ACC0222,CUS0005,16666.96,Then,24/05/2023,Frozen
ACC0223,CUS0003,45350.82,Hair,31-07-2024,Frozen
ACC0224,CUS0012,25764.8,Foot,11/03/2024,Inactive
ACC0128,CUS0009,29030.24,Box,24-02-2024,Active
ACC0226,CUS0003,44601.45,Theory,09/11/2022,Active
ACC0227,CUS0002,33658.73,Player,31-07-2022,Inactive
ACC0228,CUS0014,6304.47,Bank,13/08/2024,Inactive
ACC0229,CUS0013,10424.85,Degree,31-03-2023,Frozen
ACC0230,CUS0016,9105.48,This,2024-03-26,Active
ACC0231,CUS0009,4556.11,However,10/09/2023,Frozen
ACC0232,CUS9999,44699.61,Seven,2023-11-20,Frozen
ACC0055,CUS0003,36023.83,Dark,2022-06-04,Active
ACC0234,CUS0014,31955.82,Show,27/07/2024,Frozen
ACC0235,CUS0007,15719.96,Technology,2024-01-16,Frozen
ACC0236,CUS0012,49726.24,Election,09/26/2022,Frozen
ACC0237,CUS0006,16209.25,Building,30-11-2023,active
ACC0238,CUS0005,38743.61,Coach,2024-12-18,Inactive
ACC0239,CUS0020,31643.94,Science,09-05-2022,Inactive
ACC0240,CUS0018,48424.6,Born,2022-09-22,Active
ACC0241,CUS0001,32258.48,Attorney,27-02-2024,Inactive
ACC0242,CUS0009,38900.59,Argue,26/06/2024,Active
ACC0243,CUS0014,49066.26,Fact,05/01/2023,Active
ACC0244,CUS0001,37771.76,Measure,19-04-2022,Frozen
ACC0245,CUS0001,38665.49,Man,14/10/2022,Inactive
ACC0106,CUS0004,30495.82,Help,01/17/2023,Frozen
ACC0247,CUS0007,1082.51,Whose,21-07-2022,Active
ACC0248,CUS0006,1403.11,Final,16/12/2022,Active
ACC0249,CUS0020,9339.58,Word,11-01-2022,Active
ACC0250,CUS9999,11969.38,Fear,2022-04-25,Frozen
ACC0251,CUS0012,30186.6,Friend,06/21/2022,Active
ACC0252,CUS0010,14030.04,Site,03/03/2023,Active
ACC0253,CUS0001,43780.48,Make,09-07-2024,Frozen
ACC0254,CUS0018,31332.19,Base,06/09/2022,Active
ACC0255,CUS0020,40788.38,Between,08/06/2023,Inactive
ACC0256,CUS0006,45583.72,Often,02-01-2023,Inactive
ACC0257,CUS0019,23003.67,It,2024-09-17,Frozen
ACC0258,CUS0013,37974.21,Simply,10-06-2022,Frozen
ACC0259,CUS0012,14191.86,Reason,2022-03-05,Inactive
INVALID_23,CUS0020,14137.54,Just,11/05/2024,Inactive
ACC0261,CUS0018,44255.71,Subject,27-08-2023,Active
ACC0262,CUS0011,2586.84,During,01-02-2023,Active
ACC0263,CUS0006,6840.94,Staff,15/01/2024,Active
ACC0264,CUS0005,25761.66,Environment,2024-12-10,Active
ACC0265,CUS0014,32717.24,Effort,02/21/2022,Inactive
ACC0266,CUS0020,26045.64,Activity,03-03-2022,Frozen
ACC0267,CUS0014,37766.21,Choice,03/11/2022,Frozen
ACC0268,CUS0016,36083.85,East,02-07-2024,Frozen
ACC0269,CUS0003,39913.82,Discuss,06/07/2022,Active
ACC0270,CUS0006,47765.2,Relationship,04/19/2023,Active
ACC0271,CUS0014,4906.43,Produce,27/05/2022,Active
ACC0272,CUS0017,40966.68,Will,26/10/2023,Active
ACC0273,CUS0004,46027.69,Yard,2022-12-17,Active
ACC0274,CUS0012,11822.55,Sea,11/22/2024,Frozen
ACC0275,CUS0002,5297.15,Good,16/04/2024,Active
ACC0276,CUS0018,19407.17,Support,12/09/2022,Frozen
ACC0277,CUS0020,17182.19,Exist,2022-03-16,INACTIVE
ACC0278,CUS0008,27669.36,Its,2023-10-06,Frozen
ACC0279,CUS0004,4024.02,Whose,03/28/2022,Inactive
ACC0280,CUS0007,8951.76,Arm,2024-05-27,Active
ACC0281,CUS0002,18492.18,Visit,2023-09-16,Inactive
ACC0282,CUS0001,48665.88,Security,10/10/2022,Inactive
ACC0283,CUS0014,22492.2,Training,08/30/2022,Active
ACC0284,CUS0007,38672.19,Medical,07/19/2022,Inactive
ACC0285,CUS0003,16277.56,Ahead,01-06-2022,Inactive
ACC0286,CUS0014,1099.55,What,04/20/2022,Inactive
ACC0287,CUS0014,39897.19,Your,12/04/2023,Frozen
ACC0288,CUS0002,12109.8,You,04/09/2023,Active
ACC0289,CUS0006,11778.75,Itself,01/22/2024,Frozen
ACC0290,CUS0010,34140.17,Cultural,06/12/2024,Active
ACC0291,CUS0020,40187.05,Police,2022-10-06,Inactive
ACC0292,CUS0012,10223.57,Company,06/24/2023,Frozen
ACC0293,CUS0012,25845.92,Our,2024-02-26,Frozen
ACC0294,CUS0011,46403.66,Peace,2023-11-08,Frozen
ACC0295,CUS0004,4024.83,Continue,10/28/2024,Active
ACC0296,CUS0007,5473.17,Let,02-06-2023,Inactive
ACC0297,CUS0012,8126.19,Similar,11/03/2024,Frozen
ACC0298,CUS0008,21877.09,Fly,11/03/2023,Active
ACC0299,CUS0005,10337.65,Continue,07/11/2024,Inactive
ACC0300,CUS0016,23750.5,Also,11/05/2023,Inactive
ACC0301,CUS9999,Five Hundred,Quickly,22-08-2024,Frozen
ACC0302,CUS0005,43335.46,At,05/01/2023,Inactive
INVALID_93,CUS0006,43462.42,Deep,19-09-2023,INACTIVE
ACC0063,CUS0020,27746.01,Thank,2022-08-19,Frozen
INVALID_14,CUS0006,1248.76,This,11-08-2024,Active
ACC0306,CUS9999,47155.94,Represent,07/02/2023,Active
ACC0307,CUS0002,25386.02,Success,01/10/2024,Active
ACC0308,CUS0017,38478.45,During,17-02-2024,Active
ACC0309,CUS0012,15258.11,Car,2023-01-28,Frozen
ACC0310,CUS0011,30000.77,Sister,06-04-2022,Frozen
ACC0311,CUS0013,33046.15,Today,04-11-2024,Frozen
ACC0312,CUS0006,40225.58,Important,04-06-2023,Inactive
INVALID_54,CUS0003,41332.7,Hospital,19/08/2024,Frozen
ACC0314,CUS0015,,Central,19-06-2022,Inactive
ACC0315,CUS0012,2301.53,Option,06/11/2023,Inactive
ACC0316,CUS0003,31817.3,By,05/07/2024,Frozen
ACC0317,CUS0005,48131.03,Trip,23-09-2023,Frozen
ACC0318,CUS0015,,Million,28-10-2022,Inactive
ACC0319,CUS0019,13511.41,Church,12/03/2022,Active
ACC0320,CUS0002,45448.77,Standard,2022-11-11,Frozen
ACC0321,CUS0016,1905.01,Body,04/08/2023,Frozen
ACC0322,CUS0014,10413.48,Loss,18-03-2024,Active
ACC0323,CUS0005,35486.21,Pay,11/04/2024,INACTIVE
ACC0324,CUS0001,13262.17,Something,2024-10-25,Frozen
ACC0325,CUS0002,48599.93,Similar,25/02/2023,Inactive
ACC0326,CUS0003,49438.61,Enter,10/27/2023,Frozen
ACC0327,CUS0009,39075.51,Available,2023-02-13,Frozen
ACC0328,CUS9999,39526.05,Discuss,23-04-2023,Inactive
ACC0329,CUS0008,14317.64,Social,18-09-2024,Inactive
ACC0330,CUS0005,42129.56,Finish,18-06-2023,Inactive
ACC0331,CUS0002,15562.93,Green,11/10/2023,Frozen
ACC0332,CUS9999,46619.41,Generation,26/05/2022,Frozen
ACC0333,CUS0016,37783.26,Customer,04-02-2023,Inactive
ACC0334,CUS0014,8863.12,Finally,19-11-2023,Frozen
ACC0335,CUS0008,12988.8,Beat,21/11/2024,Frozen
ACC0336,CUS0013,9130.08,Note,12/26/2023,Active
ACC0337,CUS0018,24811.92,Attention,23/10/2024,Inactive
INVALID_34,CUS0003,1360.6,Middle,15/11/2022,Inactive
ACC0339,CUS0006,24724.27,Tonight,19-10-2023,Active
ACC0276,CUS0018,15102.2,Early,20/11/2022,Inactive
INVALID_34,CUS0018,11554.42,Board,01/12/2024,Inactive
ACC0342,CUS0015,24325.97,Line,2023-12-28,Active
ACC0343,CUS0002,17199.57,Accept,07/18/2023,Frozen
ACC0344,CUS0020,25645.36,Meet,20-12-2024,Active
ACC0345,CUS0015,40808.18,Past,13-12-2022,Inactive
ACC0346,CUS0004,24206.21,Since,24/08/2023,ACTIVE
ACC0347,CUS0016,9295.05,Still,12/07/2024,Active
ACC0348,CUS0013,40690.66,Each,20-09-2022,Frozen
INVALID_83,CUS0015,34778.78,Positive,18/05/2023,Inactive
ACC0350,CUS0017,18133.68,Break,07/04/2023,Active
ACC0351,CUS0018,38483.2,Subject,07/01/2024,Frozen
ACC0352,CUS0007,15088.2,Miss,10-10-2023,Inactive
ACC0353,CUS0009,33409.14,Bit,02-12-2023,Inactive
ACC0354,CUS0012,45192.11,Memory,25-01-2022,Frozen
ACC0355,CUS0008,5414.48,Home,09/21/2023,Frozen
ACC0356,CUS0001,37122.94,Financial,05/28/2022,Frozen
ACC0357,CUS0011,40342.41,Half,09/29/2022,Active
ACC0358,CUS0020,47112.27,Entire,17-07-2023,Frozen
ACC0359,CUS0012,33753.44,Turn,15-08-2024,Frozen
ACC0360,CUS0017,38299.52,Partner,25/10/2024,Inactive
ACC0361,CUS0009,10001.68,Mention,2022-09-30,Inactive
ACC0362,CUS0003,25455.25,Tonight,02/02/2024,active
ACC0363,CUS0009,26139.8,Piece,01/06/2023,Inactive
ACC0364,CUS0020,33303.23,College,09/15/2023,Inactive
ACC0365,CUS0004,32954.55,Newspaper,24-03-2023,Inactive
ACC0350,CUS0003,0,Style,2023-10-12,Frozen
ACC0367,CUS9999,6589.42,Short,2024-12-18,Inactive
ACC0368,CUS0020,44527.72,Manager,12/05/2023,Active
ACC0369,CUS0017,0,Main,2023-07-01,Inactive
ACC0370,CUS0001,27350.46,Finish,11/08/2023,Active
ACC0371,CUS0015,0,Value,2024-08-21,Inactive
ACC0372,CUS0007,48291.96,Hand,12/04/2023,Active
ACC0373,CUS0007,31859.3,President,02/07/2024,Inactive
ACC0172,CUS0006,27034.46,Factor,12-12-2022,Frozen
ACC0375,CUS0019,36175.68,Operation,11/28/2023,Inactive
ACC0376,CUS0005,41004.35,Also,15/11/2024,Inactive
ACC0377,CUS0008,8626.22,Carry,02/28/2023,Active
ACC0378,CUS0004,6523.38,Central,17-12-2024,Active
ACC0379,CUS0002,41019.83,Produce,2023-12-06,Frozen
ACC0380,CUS0012,40144.49,Marriage,2022-03-24,Inactive
ACC0381,CUS0003,21054.88,Surface,11/12/2024,Frozen
ACC0382,CUS0003,40817.81,Tell,2022-10-20,Frozen
ACC0383,CUS0006,10462.98,Sure,12-08-2024,Active
ACC0384,CUS0004,46216.03,Away,01/01/2023,Inactive
ACC0385,CUS0003,24072.41,Require,05/14/2023,Frozen
ACC0386,CUS0017,16684.0,Edge,09/02/2022,Frozen
ACC0004,CUS0012,Five Hundred,Music,2022-01-30,Active
ACC0388,CUS9999,47742.56,Report,2022-01-30,frozen
ACC0389,CUS0011,20235.13,Figure,28/06/2022,Inactive
ACC0390,CUS0013,47998.35,Big,10/02/2024,active
ACC0391,CUS0007,38952.13,Vote,13/10/2022,Frozen
ACC0392,CUS0003,2488.12,Information,12/11/2024,Frozen
ACC0393,CUS0020,46715.24,Want,06/01/2023,Inactive
ACC0394,CUS0014,41670.85,Town,07-12-2024,Frozen
ACC0395,CUS0012,10325.47,I,05/24/2022,Inactive
ACC0396,CUS0020,39156.08,Politics,11-07-2023,Active
ACC0397,CUS0009,39082.91,Approach,2024-05-08,Inactive
ACC0398,CUS0008,7401.99,Free,02-03-2023,Inactive
ACC0399,CUS0015,20431.61,Wish,10/14/2024,Frozen
ACC0400,CUS0015,12316.07,Page,06/12/2024,Inactive
ACC0401,CUS0020,,Real,02-01-2022,Active
ACC0402,CUS0013,3440.68,Able,03/05/2023,Active
ACC0403,CUS0018,30877.49,Great,08/04/2022,Active
ACC0404,CUS0011,16314.54,Movie,10/29/2023,Active
ACC0405,CUS0014,30506.04,Most,2024-01-26,Active
ACC0406,CUS0003,28247.83,Under,20/04/2022,Frozen
ACC0407,CUS0003,48049.99,Small,2022-07-22,Inactive
ACC0408,CUS0013,6301.18,Bag,27/08/2023,Active
ACC0409,CUS0017,Twenty Five Thousand,Beat,02-03-2024,Inactive
ACC0410,CUS0015,11815.08,Around,16-03-2023,Frozen
ACC0411,CUS0020,12159.22,Yes,03/02/2024,ACTIVE
ACC0412,CUS0001,2628.95,Major,2022-08-09,Inactive
ACC0413,CUS0008,11634.98,Catch,2022-12-13,Frozen
ACC0414,CUS0002,22137.66,Under,2023-02-24,Active
ACC0415,CUS0004,13499.16,Vote,10-08-2022,Inactive
ACC0416,CUS0020,23927.44,Act,12/26/2023,Active
ACC0417,CUS0001,27391.0,Check,05/04/2022,Inactive
ACC0418,CUS0007,29722.71,Success,19/05/2022,Frozen
ACC0419,CUS0009,34117.41,Especially,03/09/2023,Inactive
ACC0420,CUS0020,,Strong,2023-04-06,Frozen
ACC0421,CUS0020,41626.77,Approach,2023-11-16,Frozen
ACC0422,CUS0006,33246.79,Top,2023-01-14,Active
ACC0423,CUS0002,42239.64,Participant,11-07-2024,Frozen
ACC0360,CUS0018,10831.25,Born,04/22/2024,Inactive
ACC0425,CUS0015,40787.82,Age,22-11-2022,Frozen
ACC0426,CUS0018,33762.73,At,06/08/2023,Active
ACC0427,CUS9999,21600.08,Bed,19/07/2022,Active
ACC0428,CUS0018,24293.04,Become,07/02/2024,Active
ACC0429,CUS0007,-4120.59,Fire,06/16/2024,Inactive
ACC0430,CUS0002,12373.25,Hour,20-07-2022,Active
ACC0431,CUS0002,39665.95,Health,01-09-2022,Frozen
ACC0432,CUS0015,19716.62,Himself,10-05-2024,Active
ACC0433,CUS0010,15129.6,Including,16-12-2023,INACTIVE
ACC0434,CUS0006,34745.23,Cut,06/20/2023,Inactive
ACC0435,CUS0010,,Consider,08/06/2022,Inactive
ACC0436,CUS0004,12203.55,Measure,2024-05-25,Active
ACC0437,CUS0005,38550.02,Dark,31/12/2023,Inactive
ACC0438,CUS0018,5717.74,Bill,2024-09-07,Active
