LoanID,CustomerID,LoanType,LoanAmount,InterestRate,StartDate,Status
LOA0109,CUS0012,Education,8004.26,46017.56,2022-06-08,Mission
LOA0110,CUS0003,Home,47860.93,33732.5,2024-11-27,Open
LOA0111,CUS0003,Education,10263.39,1890.29,10/12/2023,Could
LOA0112,CUS0014,Car,26272.91,Twenty Five Thousand,2023-08-30,Event
LOA0113,CUS0006,Education,36426.93,29947.04,08/28/2024,Cause
LOA0114,CUS0003,Car,2962.81,23991.11,14/07/2023,Him
LOA0115,CUS0017,Car,41514.09,2070.82,03/31/2024,Likely
LOA0103,CUS0015,CAR,1422.82,1956.61,2022-02-09,Animal
LOA0117,CUS0009,Education,38967.96,25918.74,2024-03-17,Friend
LOA0118,CUS0010,Education,Ten Thousand,33590.59,05/09/2022,Brother
LOA0017,CUS0012,Home,3864.19,1901.89,14-02-2022,Hand
LOA0120,CUS0011,Education,32335.72,42360.2,07/03/2024,Media
LOA0121,CUS0009,Personal,41394.57,Ten Thousand,06/11/2022,Beyond
LOA0122,CUS0019,Car,21400.62,Twenty Five Thousand,19-06-2023,Woman
LOA0123,CUS0016,Education,29021.86,23457.78,2023-11-06,Appear
LOA0124,CUS0001,home,,27374.28,23/06/2023,Candidate
LOA0125,CUS9999,Car,16090.62,34045.25,20/11/2023,Magazine
LOA0126,CUS0010,Personal,47053.04,47282.61,2023-11-30,Check
LOA0127,CUS0009,Car,22405.03,27354.67,03/25/2024,Dream
LOA0128,CUS0010,Personal,45091.36,-2886.86,05/25/2023,Reality
LOA0129,CUS0020,Car,6850.81,40640.04,02/05/2023,She
LOA0130,CUS0015,Education,11872.45,44994.8,08/11/2023,Brother
LOA0131,CUS0012,Personal,,7190.51,07-12-2024,Music
LOA0132,CUS0006,Car,,16242.76,2024-05-20,Our
LOA0133,CUS0019,Home,,16338.76,2024-07-04,Away
LOA0134,CUS0008,Education,8362.13,17080.71,2024-05-25,Away
LOA0060,CUS0011,Personal,9318.2,,11/07/2024,New
LOA0136,CUS0011,Education,Five Hundred,18321.94,2022-02-12,Eye
LOA0137,CUS0020,Personal,2900.63,44024.72,07-12-2024,Us
LOA0138,CUS0008,PERSONAL,49488.21,7191.4,2023-11-19,National
LOA0139,CUS0009,Education,8367.07,36725.99,05-12-2022,Great
LOA0140,CUS0010,Personal,27881.45,,03/20/2024,Speak
LOA0141,CUS9999,Car,,29900.5,01-09-2022,Population
LOA0142,CUS0005,Personal,,35595.6,08/17/2023,Win
INVALID_62,CUS0018,Car,46016.14,5944.18,2023-02-24,Instead
LOA0144,CUS0007,Education,11482.81,46586.63,09/27/2024,Travel
LOA0145,CUS0010,Car,2912.5,13284.8,04/06/2022,Show
LOA0146,CUS0013,Car,3024.03,27750.8,12/23/2024,Focus
LOA0147,CUS0015,Home,26374.93,28300.81,09-06-2022,Phone
LOA0148,CUS9999,Car,47759.79,8164.0,23-09-2022,Go
LOA0149,CUS0006,Education,17761.51,42546.64,20-12-2023,Stage
LOA0150,CUS0007,Personal,Ten Thousand,1175.48,2024-01-26,Everyone
LOA0151,CUS0019,Home,19127.59,22616.12,2022-11-07,Experience
LOA0152,CUS0019,Education,27217.77,47125.5,30-01-2022,Beautiful
LOA0153,CUS0005,Car,36311.01,34650.51,01/07/2024,Ability
INVALID_16,CUS0014,Home,10747.53,7646.72,05/31/2022,While
LOA0155,CUS0018,Home,5917.61,36377.51,2022-01-01,Religious
LOA0156,CUS0002,Home,29351.03,36534.7,30-10-2022,Most
LOA0097,CUS0012,Education,19105.2,47127.7,2024-03-08,Stand
LOA0158,CUS0014,Car,48055.88,Twenty Five Thousand,08/01/2023,Affect
LOA0159,CUS0012,Education,2146.11,16616.15,30/01/2023,Goal
LOA0160,CUS0010,Personal,6115.6,,22/08/2022,Evidence
LOA0161,CUS0014,Personal,48303.41,0,05/18/2022,Thousand
LOA0162,CUS0006,education,33235.18,,04/11/2022,Billion
LOA0163,CUS0001,CAR,21274.57,47811.54,06/05/2024,Where
LOA0164,CUS0006,Car,16095.21,25696.76,09/02/2023,Enough
LOA0165,CUS0020,Education,20361.2,14421.81,29/03/2023,Agent
INVALID_3,CUS0004,car,35009.33,19427.78,03/18/2024,Strategy
LOA0167,CUS0010,Personal,21232.38,11418.95,2024-12-07,Member
LOA0168,CUS0003,Car,14112.46,7379.78,05/06/2023,Quite
LOA0169,CUS0020,Personal,48470.07,21315.73,30-07-2024,Environmental
LOA0170,CUS0017,Car,40467.2,46991.78,03-05-2023,Word
LOA0171,CUS0004,Education,20942.37,49494.18,18/06/2023,Major
LOA0172,CUS0002,Home,Five Hundred,24015.14,01-05-2023,Enter
LOA0173,CUS0020,Personal,,484.85,30-07-2024,Media
LOA0105,CUS0012,education,27032.35,30381.76,24-04-2024,Experience
LOA0175,CUS0012,Education,47719.97,33383.65,05/23/2022,Attorney
LOA0176,CUS0007,Car,17185.75,2415.41,2024-12-25,They
LOA0177,CUS0011,Car,15674.31,19895.6,15-08-2022,Middle
LOA0178,CUS0011,Personal,47192.04,1132.31,04/22/2023,Traditional
LOA0179,CUS0016,Home,20767.91,18990.42,2023-12-04,See
LOA0180,CUS0001,Car,43879.89,38985.04,06/06/2024,Ok
LOA0181,CUS0005,Home,1628.78,20673.33,14-07-2023,Late
LOA0182,CUS0016,Home,15517.76,48627.11,04/03/2023,Soldier
LOA0183,CUS0009,Car,19663.1,18239.07,10/21/2023,See
LOA0184,CUS0017,Car,47492.33,Five Hundred,2024-06-21,Consider
INVALID_27,CUS0005,Education,21278.49,13595.33,2022-04-22,Pattern
LOA0186,CUS0019,Education,18546.0,21250.85,18-05-2022,Administration
LOA0187,CUS0005,Car,0,9491.25,2023-02-07,Buy
LOA0188,CUS0011,Car,9627.73,0,24-10-2023,Amount
LOA0189,CUS0009,Personal,9475.86,21176.51,28/05/2023,Authority
LOA0190,CUS0007,Personal,4592.56,0,16-10-2024,Stuff
LOA0191,CUS0002,Personal,-3888.58,40634.7,2024-08-31,Decade
LOA0192,CUS0009,Education,18776.91,39058.1,18/04/2022,North
LOA0193,CUS0012,Education,Five Hundred,15606.9,30/11/2024,Word
LOA0194,CUS0002,Home,19105.69,31498.92,16/05/2024,Trial
LOA0195,CUS0006,Home,13075.36,6336.73,25/06/2024,Policy
LOA0042,CUS0013,Education,44779.9,9393.1,2024-07-29,Oil
LOA0197,CUS0006,Home,16736.06,39212.45,25/09/2024,Bed
LOA0198,CUS0014,Education,5158.23,2984.15,11/09/2024,Yourself
LOA0199,CUS0004,home,31114.64,19812.12,31-05-2023,Pick
INVALID_77,CUS0001,Car,7742.75,29236.33,07/09/2023,Kid
LOA0201,CUS0018,Home,20384.48,3471.51,2023-11-02,Win
LOA0202,CUS0019,Car,15454.27,23695.78,06/23/2022,Long
LOA0203,CUS9999,Car,,27447.83,2024-08-17,Ask
LOA0204,CUS0011,Home,19481.91,29413.0,02/28/2023,The
LOA0205,CUS0010,Car,35542.11,,2023-07-24,Term
LOA0206,CUS0002,Education,20075.25,25949.71,2022-08-17,Exist
LOA0207,CUS0019,Home,44666.17,26082.27,11/29/2023,Once
LOA0208,CUS0010,Car,,36386.08,06/30/2024,Between
LOA0209,CUS0014,Home,47085.71,10544.75,09/25/2023,Trade
LOA0210,CUS0019,EDUCATION,5937.59,48622.91,05/04/2024,You
LOA0211,CUS0016,Car,17623.52,45201.14,12/26/2023,Policy
LOA0212,CUS0016,Car,5482.62,,11-10-2023,Game
LOA0213,CUS0003,Home,23796.32,39608.64,03/24/2024,Stock
LOA0214,CUS0020,Education,,37503.88,09/02/2024,Bad
LOA0215,CUS0018,Personal,10269.26,2280.14,08/09/2023,Lot
LOA0216,CUS0009,Home,35439.85,16279.24,14/02/2022,All
LOA0217,CUS0006,Personal,40369.36,Ten Thousand,07/22/2024,Cost
LOA0218,CUS9999,Personal,40779.73,21346.91,05/11/2023,Drug
LOA0219,CUS0015,Home,7725.01,1375.32,08-01-2023,Wonder
LOA0220,CUS0013,Education,11426.92,24919.69,02/25/2022,Expect
LOA0221,CUS0016,EDUCATION,42249.12,21669.75,19/09/2024,Must
LOA0222,CUS0004,Education,15472.14,44462.45,20-07-2024,Small
LOA0223,CUS0020,Home,10488.78,38011.55,12/08/2024,Require
LOA0224,CUS0014,PERSONAL,27237.01,35635.54,12-08-2024,Fight
LOA0225,CUS0001,Education,43551.9,23152.15,2024-07-02,Every
LOA0226,CUS0014,Home,40946.97,3607.11,09/19/2024,News
LOA0227,CUS0012,Home,32296.98,33250.4,22-01-2023,Rule
LOA0228,CUS0002,Personal,14689.61,26787.55,2024-05-17,Professional
LOA0229,CUS0004,Education,16791.09,34020.07,11/24/2024,Use
LOA0230,CUS0020,car,19564.35,5317.95,2024-11-12,Local
LOA0231,CUS0006,car,28825.71,34005.64,23-12-2024,Center
LOA0232,CUS0007,Education,30485.77,,09-01-2024,Sure
LOA0233,CUS0002,Car,3475.05,36223.09,04-07-2024,Score
LOA0037,CUS0019,HOME,,22307.69,30/05/2024,Letter
LOA0235,CUS0018,Personal,,9794.57,13/02/2024,Will
LOA0236,CUS0016,Home,35881.73,-3892.68,08/04/2024,Those
LOA0237,CUS0012,Home,,1757.14,05/10/2023,Letter
LOA0238,CUS0012,Car,20428.4,5034.21,2024-06-15,Deep
INVALID_38,CUS0012,Home,45537.79,16626.0,04/13/2022,Exist
LOA0240,CUS0011,Home,39203.65,Five Hundred,2024-03-11,Land
LOA0241,CUS0006,Education,,14243.8,2023-05-01,Clearly
LOA0242,CUS0010,Home,13976.87,45168.37,10/10/2023,Popular
LOA0243,CUS0001,Home,21283.75,3162.37,01/13/2023,Hour
LOA0244,CUS0005,Personal,11298.07,18794.47,2023-01-15,Maintain
LOA0245,CUS0002,Home,48540.48,27151.17,10/18/2022,Walk
LOA0246,CUS0010,Home,36191.83,10737.51,04/28/2023,Include
LOA0247,CUS0006,Home,37692.69,9497.67,03/03/2024,Yourself
LOA0248,CUS0011,HOME,3209.35,4295.48,24-04-2023,Amount
LOA0249,CUS0014,Education,20490.61,Twenty Five Thousand,2023-01-04,Fast
LOA0250,CUS0018,car,4771.15,48662.55,08/12/2024,Us
LOA0057,CUS0002,Home,2477.22,42774.29,2024-04-24,From
LOA0252,CUS0017,Personal,12934.35,17305.29,15-12-2024,Many
LOA0253,CUS9999,Personal,9668.52,24358.65,03/10/2023,Save
LOA0254,CUS0012,Personal,18559.75,12757.4,11/13/2022,Girl
LOA0255,CUS0002,Home,10486.73,11485.28,02/27/2023,Test
LOA0256,CUS0003,Home,48251.64,Ten Thousand,16-02-2023,Different
LOA0257,CUS0019,Car,6234.22,32042.11,10/24/2023,Piece
LOA0258,CUS0018,Car,42100.05,Five Hundred,2023-04-17,Site
LOA0259,CUS0007,Home,36121.21,26263.49,07/19/2024,Data
LOA0260,CUS0009,Personal,2151.27,40135.93,2024-09-24,Take
LOA0261,CUS0007,Education,11240.45,19697.27,22-01-2023,Point
LOA0262,CUS0016,Personal,1145.91,15628.74,02/19/2022,East
LOA0263,CUS0017,Education,24039.18,21687.2,05/27/2024,Future
LOA0264,CUS0018,Personal,16049.77,4338.46,05/14/2024,Big
LOA0265,CUS0005,home,12518.67,29091.16,13/02/2023,Picture
LOA0266,CUS0017,Home,47686.21,27009.7,2024-06-01,Too
LOA0267,CUS0008,Home,43478.3,39978.06,30/09/2024,Including
LOA0268,CUS0017,Personal,43156.21,45286.79,12/16/2024,Total
LOA0269,CUS0014,Personal,47464.28,15780.35,21-04-2023,Similar
LOA0270,CUS0009,Personal,11852.68,20303.4,08-06-2023,Modern
LOA0271,CUS0013,Education,37826.05,47709.7,25/03/2023,Drop
LOA0272,CUS0002,Home,30194.91,17905.23,11/02/2024,Middle
INVALID_71,CUS0015,Personal,2337.56,12476.69,04/01/2023,Grow
LOA0274,CUS0013,Car,27471.82,43563.48,02/05/2024,Mean
LOA0275,CUS0017,Personal,Ten Thousand,6994.84,2022-04-27,Officer
LOA0276,CUS9999,education,16237.95,11004.51,12/04/2022,Education
LOA0277,CUS0005,Car,9628.57,0,25-09-2023,Glass
LOA0278,CUS0019,Education,47964.8,1795.54,10/31/2022,Network
LOA0279,CUS0003,Home,28096.21,4983.66,14/10/2023,Theory
LOA0280,CUS0018,Home,30116.02,10605.67,20/07/2022,Box
LOA0281,CUS0020,Education,29551.51,42544.52,20-03-2024,Relationship
LOA0282,CUS0015,Home,0,3721.04,03-07-2022,State
LOA0283,CUS0019,Home,49054.37,34231.55,08/30/2022,Boy
LOA0284,CUS0009,Home,12268.52,35782.55,14/10/2022,Hard
LOA0285,CUS0009,Car,8380.58,19116.61,06/02/2022,Common
LOA0286,CUS0014,Personal,4034.03,34718.64,2023-02-16,Different
LOA0287,CUS0002,Personal,30751.5,,02-11-2022,Old
LOA0288,CUS9999,Home,37527.04,7005.5,08/12/2022,Service
LOA0289,CUS0004,Personal,29905.05,34418.56,31/07/2024,Certain
LOA0290,CUS0005,Car,12387.77,0,2023-07-27,Dinner
LOA0291,CUS9999,Education,22753.92,35276.87,10/31/2024,Skin
LOA0292,CUS0007,Personal,46551.41,13044.13,05/29/2024,Senior
LOA0293,CUS0014,Personal,40859.21,21012.54,23-02-2022,Gun
LOA0294,CUS0002,Home,45096.7,,2022-12-01,Result
LOA0295,CUS0010,Personal,6636.51,26242.64,06/10/2022,Truth
LOA0296,CUS0007,Car,46894.71,30226.76,2022-03-08,Common
LOA0297,CUS0013,Personal,Twenty Five Thousand,5186.81,30/06/2022,International
LOA0298,CUS0018,Home,38541.34,26074.45,24-03-2024,Mission
LOA0299,CUS0008,Home,6354.7,31879.36,25/09/2022,Various
LOA0300,CUS0020,Education,49762.6,32606.66,17/06/2023,Nor
LOA0301,CUS0015,Education,32302.85,16640.67,25-09-2022,Sport
LOA0302,CUS0003,Personal,6520.01,4562.41,2023-01-25,Experience
LOA0303,CUS0007,Car,26282.04,28875.6,01-11-2024,Camera
LOA0304,CUS0007,Car,49345.02,29433.52,10/01/2022,Realize
LOA0305,CUS0018,Personal,0,43327.16,02/12/2023,Strategy
LOA0306,CUS0003,Home,11659.46,0,05/06/2022,Audience
LOA0307,CUS0009,Home,10225.55,37620.18,09/11/2024,Point
LOA0308,CUS0013,Home,4695.7,38774.31,21/01/2023,Win
LOA0309,CUS0002,Personal,3728.43,34076.36,27/05/2023,Perhaps
LOA0196,CUS0011,Home,23561.67,19590.55,12/29/2023,This
LOA0311,CUS0015,Personal,Ten Thousand,43799.14,2023-04-21,Performance
INVALID_93,CUS0020,Personal,41168.97,,2023-09-20,Change
LOA0313,CUS0012,Education,0,17806.91,2022-02-08,North
LOA0314,CUS0004,personal,39265.68,16824.27,2024-01-13,Open
LOA0315,CUS0019,Education,42464.92,22986.17,18-06-2023,Mr
LOA0316,CUS0003,Car,38907.18,14856.28,15/11/2023,Executive
LOA0317,CUS0017,Personal,41262.56,45565.77,26-06-2023,Company
LOA0318,CUS0005,Home,29139.59,46433.42,16-08-2024,Expect
LOA0319,CUS0011,Education,40636.56,46770.27,2022-12-16,Learn
LOA0320,CUS0017,Home,23849.51,47779.63,2023-04-21,Entire
LOA0321,CUS0011,Education,38258.25,0,13-03-2022,That
LOA0322,CUS0010,Home,Ten Thousand,41485.86,09/12/2022,Personal
LOA0323,CUS0019,Car,11194.74,39727.02,2024-11-23,Director
LOA0324,CUS0012,home,19666.73,39221.88,2024-01-10,Minute
LOA0325,CUS0019,Education,-1656.27,28856.6,24/12/2023,Your
LOA0326,CUS0018,Car,5028.57,15666.58,2024-01-10,Deal
LOA0327,CUS0011,CAR,15472.28,37466.44,2024-09-27,Better
LOA0328,CUS0014,Personal,47879.19,30274.22,10-08-2024,That
LOA0329,CUS0008,Personal,16183.46,13150.45,12/06/2024,Ever
LOA0330,CUS0011,Education,42689.84,38285.14,01/18/2024,Technology
LOA0331,CUS0010,Car,11643.05,28278.06,2024-01-20,Box
LOA0215,CUS0020,Personal,3628.98,0,03/02/2022,Here
LOA0333,CUS0018,Car,25225.39,36938.05,21/11/2022,Court
LOA0334,CUS0007,Education,3390.01,15500.15,2022-01-13,Edge
LOA0335,CUS0003,Home,12785.19,46545.45,2023-12-17,Wonder
LOA0336,CUS0020,Home,17220.69,6358.06,07/23/2024,National
LOA0337,CUS9999,Car,47960.91,27295.08,2024-03-05,Garden
LOA0338,CUS0006,personal,32677.48,1798.19,01/08/2023,Condition
LOA0339,CUS0004,Home,-2806.28,21312.1,24/11/2023,Yet
LOA0340,CUS0019,Education,27519.05,590.61,11-12-2024,Rest
LOA0341,CUS0007,Home,31443.56,35964.12,29/08/2022,Stand
LOA0342,CUS0014,Education,2186.29,,02-08-2024,Will
LOA0343,CUS0011,Car,,18340.63,07/18/2022,Next
LOA0344,CUS0003,HOME,40981.96,28133.63,24-10-2024,Party
LOA0345,CUS0014,Home,34253.03,20883.32,2023-09-08,Company
LOA0346,CUS0019,Education,39043.06,16978.47,2024-08-19,Great
LOA0347,CUS0010,Personal,40307.49,9518.82,2022-09-04,West
LOA0348,CUS0004,Home,47651.64,15446.36,24/06/2023,Outside
LOA0349,CUS0006,Education,49324.77,18847.54,2024-12-20,Financial
LOA0350,CUS0014,Home,46226.02,246.41,2024-08-22,Forget
LOA0351,CUS0004,Home,Twenty Five Thousand,34402.47,02-04-2024,Claim
LOA0352,CUS0013,Personal,13064.83,315.43,24/06/2023,Factor
LOA0353,CUS0013,Home,24534.0,22202.03,31-12-2023,Data
LOA0354,CUS0008,Personal,,40151.48,07/31/2022,Good
LOA0355,CUS0014,Personal,23197.23,19309.41,05/01/2022,Hospital
LOA0356,CUS0005,Home,43203.63,11428.55,2023-12-03,Of
LOA0357,CUS0013,Education,25140.05,-2974.87,07-08-2024,Which
LOA0358,CUS0011,Car,41245.99,34796.83,08/06/2022,Under
LOA0359,CUS0013,Home,9584.51,22082.94,06/06/2024,Past
LOA0360,CUS0001,Car,23553.04,14391.47,03/09/2023,Receive
LOA0361,CUS0010,Personal,12017.37,0,07-03-2022,Address
LOA0362,CUS0016,Personal,33986.59,45919.08,07/25/2022,Door
LOA0363,CUS0002,HOME,38571.54,45533.9,26-10-2023,Above
LOA0101,CUS0005,Home,45687.86,,12/04/2024,Produce
LOA0365,CUS0007,Personal,38263.51,21543.05,08/07/2023,Early
LOA0366,CUS0009,Education,12518.57,20829.47,08/01/2022,Consumer
LOA0367,CUS0017,Home,8749.13,14300.62,02-02-2023,Us
LOA0368,CUS0007,Home,15356.06,9470.87,2023-11-09,Man
LOA0369,CUS0003,Home,21685.93,47720.9,2023-04-20,Traditional
LOA0370,CUS0003,home,9231.56,39220.86,07/14/2022,Present
LOA0371,CUS0001,Car,14660.87,43989.76,05/23/2022,Painting
LOA0372,CUS0020,Education,10084.16,9504.55,16/05/2022,Score
INVALID_33,CUS0017,Education,42629.67,41361.7,01-12-2022,Arm
LOA0374,CUS0012,Car,-2063.15,37306.51,18-08-2023,Speech
LOA0071,CUS0008,Education,45148.67,9397.69,08/15/2023,Quite
LOA0376,CUS0018,Home,19518.01,45536.39,2022-12-06,Defense
LOA0377,CUS0009,Personal,,29111.98,2024-11-20,Old
LOA0378,CUS0011,Education,48233.29,1930.8,2023-04-22,Trip
LOA0379,CUS0013,Car,15000.74,16751.47,05-11-2023,Investment
LOA0380,CUS0007,Car,34373.49,5150.97,17-10-2023,Five
LOA0381,CUS0019,education,,17348.69,06/24/2024,Until
LOA0382,CUS0006,Car,11459.97,,06/11/2023,Third
LOA0383,CUS0006,Education,-937.66,25106.54,2023-09-23,Today
LOA0384,CUS0010,Car,32439.07,28437.01,03/10/2024,Again
LOA0385,CUS0005,Personal,38900.1,34030.53,2024-06-23,Color
LOA0386,CUS0009,Home,12849.16,33574.95,2024-06-28,Different
LOA0387,CUS0020,Education,34063.57,0,18/06/2022,Suggest
LOA0388,CUS0006,Education,11336.61,39507.5,2022-07-05,Risk
LOA0389,CUS0004,Car,38257.26,34048.35,01/14/2024,Foot
LOA0390,CUS0017,Home,44873.06,26698.42,19/03/2023,Begin
LOA0391,CUS0019,Car,25313.76,9169.19,05/08/2023,Dog
