TxnID|AccountID|TxnDate|Amount|TxnType|Channel|Status
TRA0039|ACC0013|19/01/2022|11790.78|Withdrawal|Try|Town
TRA0040|ACC0010|2024-12-19||Debit|Computer|Appear
TRA0041|ACC0015|09/20/2023|37725.72|Transfer|Maybe|Standard
TRA0042|ACC0012|05/26/2023|26129.59|Credit|Position|Voice
TRA0043|ACC0017|03/13/2024|27812.68|Debit|Laugh|Husband
TRA0044|ACC0007|03-05-2022|48266.17|Withdrawal|System|Save
TRA0045|ACC0003|16/04/2023|22525.68|Transfer|Yes|Employee
TRA0046|ACC0007|07/12/2022|0|Credit|By|Well
TRA0047|ACC0009|2023-12-26|44190.27|CREDIT|Key|Matter
TRA0048|ACC0011|24-12-2023|15147.94|Transfer|Fast|Stage
TRA0004|ACC0011|02/24/2022|26127.93|Credit|Yes|Yes
TRA0050|ACC0014|22/04/2023|Ten Thousand|Withdrawal|Individual|Television
TRA0051|ACC0015|04/04/2022|3231.12|Credit|Safe|Another
TRA0052|ACC0009|2022-06-04|4220.74|Debit|Their|Notice
TRA0053|ACC0007|24/10/2024|11465.78|Transfer|Night|Else
TRA0054|ACC0002|07/07/2022|48666.13|Credit|North|Share
TRA0055|ACC0006|2022-07-12|33622.96|Transfer|Between|Face
TRA0056|ACC0003|03-10-2022|24523.42|Transfer|Collection|Ready
TRA0020|ACC0020|2022-12-24|45947.27|Credit|Author|Whom
TRA0058|ACC0013|2022-03-12|41581.07|Credit|Hundred|Why
TRA0059|ACC0017|13/01/2022|Ten Thousand|Credit|Far|Across
TRA0060|ACC0016|03/26/2024|26707.74|Credit|Any|Wide
TRA0061|ACC0019|2022-05-08|18164.59|Credit|Section|Popular
TRA0062|ACC0014|01/13/2024|37957.52|Withdrawal|Stop|Growth
TRA0063|ACC0020|2022-03-09|49235.92|Credit|Mention|End
TRA0064|ACC0012|10-12-2023|22035.0|Credit|Upon|Capital
TRA0065|ACC0013|20-06-2022|34933.03|WITHDRAWAL|Appear|Hospital
TRA0066|ACC0009|26-07-2022|2267.76|Transfer|Newspaper|Nothing
TRA0067|ACC0011|02-04-2024|37054.35|Transfer|Method|While
TRA0068|ACC0013|2024-08-18|17605.39|Credit|Drug|Beat
TRA0069|ACC0017|06/28/2024||Transfer|Police|Newspaper
TRA0070|ACC0002|05-01-2024|31156.85|credit|Pretty|Need
TRA0071|ACC0005|2024-08-10|19831.58|DEBIT|Police|Join
TRA0072|ACC9999|11/11/2023|7959.28|Debit|A|Nearly
TRA0073|ACC0001|12/03/2023|33428.64|Debit|Compare|Protect
TRA0074|ACC0004|2023-01-02|12919.29|Credit|Daughter|Sign
TRA0075|ACC0005|01-05-2024|27402.33|Transfer|Military|Beautiful
TRA0076|ACC0004|2022-03-05|-1577.87|Debit|Consumer|Happy
TRA0077|ACC0013|17-07-2022|20132.07|Credit|New|Pay
TRA0078|ACC9999|28/03/2022|47287.12|Withdrawal|Theory|My
TRA0079|ACC0016|31/08/2022|8106.89|Debit|Left|Also
TRA0080|ACC0020|2024-11-24|24438.82|Withdrawal|Research|Likely
TRA0081|ACC0007|29-11-2022|44747.84|Withdrawal|Tree|Matter
TRA0082|ACC0005|2022-11-06||Credit|Assume|Impact
TRA0083|ACC0001|2022-03-13|36750.51|Credit|You|Personal
TRA0084|ACC0017|2022-12-24|43678.44|Transfer|Television|History
TRA0085|ACC0016|09/13/2023|10290.27|Debit|Own|Impact
TRA0086|ACC0013|12/22/2024|1574.31|Debit|Anything|Woman
TRA0087|ACC0019|28-11-2024|30854.43|Withdrawal|Art|Ball
TRA0088|ACC0005|29/02/2024|25930.6|Credit|Look|Inside
TRA0089|ACC0001|18/10/2024|40769.88|debit|Call|Play
TRA0090|ACC0013|12/28/2022|20011.63|Credit|Nearly|Agreement
TRA0091|ACC0012|02/10/2024|4933.04|Credit|Understand|Last
TRA0092|ACC0002|14-03-2024|21425.12|Withdrawal|Body|Radio
TRA0093|ACC0020|04/05/2022||Debit|Effort|Rule
TRA0094|ACC0004|02/05/2024|36022.19|Withdrawal|Cell|Affect
TRA0095|ACC0007|2022-06-30|35356.17|Transfer|Back|Sound
TRA0096|ACC0014|13-02-2022|6591.16|Transfer|How|Catch
TRA0042|ACC0017|02-06-2024|48309.15|Withdrawal|Shake|Environmental
TRA0098|ACC0001|05/25/2022|9503.71|TRANSFER|Because|Main
TRA0099|ACC0008|08/30/2022|26575.73|Transfer|Subject|Language
TRA0100|ACC9999|11/07/2024|10924.44|Debit|Air|Mother
TRA0101|ACC0008|12/06/2024|Twenty Five Thousand|Transfer|Current|Cost
TRA0102|ACC0011|05/17/2023|10430.06|Debit|Name|Rule
TRA0103|ACC0020|05/10/2022|41184.91|Debit|Magazine|Station
TRA0104|ACC0013|23/09/2023|42088.53|Debit|Parent|Indicate
TRA0105|ACC0005|08/04/2024|0|Withdrawal|List|Article
TRA0106|ACC0009|22-12-2023|1509.58|Transfer|Over|Similar
TRA0107|ACC0013|2024-02-14|42462.07|credit|Later|Know
TRA0094|ACC0019|06/05/2024|45506.37|Credit|Discussion|City
TRA0109|ACC0016|07/25/2023|47202.29|Debit|Body|Perform
TRA0110|ACC0005|09/08/2022|13309.04|Transfer|Song|After
TRA0111|ACC0004|2022-03-27|4160.81|Credit|She|Within
TRA0112|ACC0004|2024-09-11|40781.88|Credit|Do|Price
TRA0113|ACC0015|06/03/2022|24778.77|Debit|Within|Baby
TRA0114|ACC0009|03-06-2024|1659.11|Withdrawal|Season|Out
TRA0115|ACC0020|09-02-2024|28233.9|Debit|Officer|Within
TRA0116|ACC0004|2023-02-13|24126.89|Debit|Own|Along
TRA0117|ACC0004|2022-07-07|16793.48|Withdrawal|Method|Health
TRA0118|ACC0017|02/07/2022|Twenty Five Thousand|Credit|For|Well
TRA0119|ACC0012|2022-07-09|36666.1|Credit|Talk|Leg
TRA0120|ACC0013|07/01/2024|10191.41|Withdrawal|Truth|Bring
TRA0121|ACC0006|25-08-2023|36182.63|Withdrawal|Idea|Speak
TRA0122|ACC0012|11-08-2022|23201.59|Transfer|Then|Instead
TRA0123|ACC0002|2022-07-03|46125.22|Debit|Political|Figure
TRA0124|ACC0002|2024-05-12|29147.1|Credit|Low|Rich
INVALID_48|ACC0013|06/11/2022|Five Hundred|Debit|Attention|Trial
TRA0126|ACC0020|02/04/2024|16455.9|Credit|Factor|Can
TRA0127|ACC0018|2024-12-03|21568.05|Credit|Argue|Home
TRA0128|ACC0012|09-09-2022|34216.0|Transfer|Moment|Entire
TRA0129|ACC0019|10-06-2024|Twenty Five Thousand|Withdrawal|Story|Perhaps
TRA0130|ACC0020|07/31/2022|9627.69|Debit|With|Check
TRA0131|ACC0015|07/01/2024|5137.76|Withdrawal|Discover|Still
TRA0132|ACC0009|07/11/2022|45765.31|Withdrawal|Federal|None
TRA0133|ACC0017|2022-03-09|21171.58|Debit|Week|Worry
TRA0134|ACC0019|2023-09-09|5146.52|Transfer|Perform|Way
TRA0135|ACC9999|13-08-2024|16450.19|Credit|Prevent|Without
TRA0136|ACC0017|2024-06-02|10901.05|Credit|Develop|Party
TRA0137|ACC0011|18-11-2024|33762.63|Credit|Trouble|He
TRA0138|ACC0004|2023-10-07|35688.07|Debit|Trade|Candidate
TRA0139|ACC0014|11/24/2024|23327.11|Credit|Try|Strong
TRA0140|ACC0018|18-07-2022|30782.44|Transfer|While|Light
TRA0141|ACC0017|11-07-2023|4223.26|Withdrawal|Out|Plan
TRA0142|ACC0004|2023-11-17|15978.47|Credit|His|Quality
INVALID_57|ACC0006|01/15/2024|12811.37|Withdrawal|Way|Check
TRA0144|ACC0004|10/06/2024||Debit|Writer|Sign
TRA0145|ACC0003|31-07-2023|44129.12|Transfer|Floor|Follow
TRA0146|ACC0001|2022-04-28|37299.07|Debit|Work|Himself
TRA0147|ACC0016|13-06-2023|40294.53|Withdrawal|My|Why
TRA0148|ACC0004|06/06/2023|36496.45|Transfer|However|Want
TRA0149|ACC0010|03/09/2023|23832.27|Withdrawal|Example|Discussion
TRA0150|ACC0018|09/14/2024|14243.86|Withdrawal|Sister|Necessary
TRA0151|ACC0008|07/20/2022|16903.44|Transfer|More|Always
TRA0152|ACC0004|03/01/2024||Debit|His|Law
TRA0153|ACC0011|11/07/2022|26523.85|Withdrawal|Clear|Wide
TRA0154|ACC0018|17/11/2022|35751.54|Withdrawal|Tough|Natural
TRA0155|ACC0003|02/17/2023|13506.73|Withdrawal|Protect|Effort
TRA0156|ACC0004|10-05-2022|Ten Thousand|credit|Wrong|Break
TRA0157|ACC9999|03/02/2023|28013.81|Debit|Base|Along
TRA0158|ACC0013|2024-09-20|35028.22|Transfer|Nearly|Several
TRA0159|ACC9999|06-02-2023|40815.47|Credit|Rise|Necessary
TRA0160|ACC0007|06/25/2024|18441.23|TRANSFER|International|Choose
TRA0161|ACC0012|19-12-2023|43439.96|Withdrawal|Action|Career
TRA0162|ACC0008|10/11/2022|0|credit|Physical|Name
TRA0163|ACC0009|2024-08-02|10346.35|Debit|Trial|Well
TRA0164|ACC0007|11/07/2022|32686.13|Credit|Fund|Whom
TRA0165|ACC0005|29-06-2023|6874.12|Withdrawal|Late|Stuff
TRA0166|ACC0017|02/01/2023|25042.81|Withdrawal|Concern|Simply
TRA0167|ACC0010|06/18/2023|2332.86|Withdrawal|Item|Article
TRA0168|ACC0006|12/20/2022|0|Credit|Scientist|Somebody
TRA0169|ACC0001|05/10/2022|10883.19|Credit|Future|Cost
TRA0170|ACC0018|31-03-2024|18096.41|Transfer|Event|During
TRA0171|ACC0003|19-08-2023|38277.36|Withdrawal|Anything|Various
TRA0172|ACC0009|2022-04-18|32552.63|Credit|Reach|Should
TRA0060|ACC0002|2024-10-10|14366.26|Debit|Situation|East
TRA0174|ACC9999|02/19/2023|19986.56|Transfer|Lose|Win
TRA0175|ACC0008|18/05/2023|1972.58|Transfer|Room|Time
TRA0176|ACC0010|24-03-2022|9148.18|Transfer|Budget|Road
TRA0177|ACC0008|01/26/2022|19273.32|Transfer|Once|Study
TRA0178|ACC0018|28/04/2024|-627.15|Withdrawal|Important|Big
TRA0179|ACC0006|05/15/2023|46208.86|Credit|Laugh|Rate
TRA0180|ACC0013|06/03/2023|12117.46|Transfer|Yard|Wear
TRA0181|ACC0012|06-06-2024|28903.03|Withdrawal|Job|Impact
TRA0182|ACC0016|15/02/2023|36069.64|Credit|Party|Poor
TRA0183|ACC0002|01/07/2023|-306.45|Transfer|Yet|Yeah
TRA0184|ACC0012|05/14/2022|3202.89|Credit|Office|Floor
TRA0185|ACC0010|15-10-2022|32400.55|Debit|Enough|Window
TRA0186|ACC0014|15-12-2023|1559.87|Debit|Material|Color
TRA0187|ACC0002|25/10/2023|17594.8|Credit|These|Some
TRA0188|ACC0019|07-05-2022|Twenty Five Thousand|Withdrawal|Full|Among
TRA0189|ACC0012|25/12/2022|17843.24|Transfer|Culture|Factor
TRA0190|ACC0001|08/26/2023|27484.27|Transfer|Hot|Different
TRA0191|ACC0003|22/11/2024|44633.34|Debit|Dog|Edge
TRA0192|ACC0005|08/14/2024|5001.69|Debit|In|Area
TRA0193|ACC0016|30/01/2023|27579.24|Withdrawal|Paper|Someone
TRA0194|ACC0005|2024-01-03|38867.78|Transfer|Sound|International
TRA0195|ACC0003|02-01-2022|24250.33|withdrawal|Necessary|By
TRA0196|ACC0019|02/27/2023|7955.2|Transfer|Agreement|Way
INVALID_77|ACC0005|2023-08-11|44081.28|Transfer|With|Real
TRA0198|ACC0017|2022-03-12|8950.55|Credit|Good|Public
TRA0199|ACC0011|2023-06-13|48613.0|Debit|Even|Feeling
TRA0200|ACC0020|15/06/2023|9004.91|Debit|Stuff|Another
TRA0201|ACC0003|10-05-2022|37616.02|WITHDRAWAL|Until|Camera
TRA0202|ACC0009|11/09/2023|45880.86|Transfer|Common|Per
TRA0203|ACC0008|07/08/2024|34676.37|Withdrawal|Fire|Between
TRA0204|ACC0014|08/29/2023|37177.7|Credit|Interesting|Bill
TRA0205|ACC0019|09/09/2023|31428.0|Debit|Thousand|Hand
TRA0206|ACC0006|05/21/2022|10647.95|Credit|Help|About
TRA0207|ACC0002|29-04-2022|32539.98|Withdrawal|Reduce|Role
TRA0208|ACC0012|2023-06-28|11326.15|Credit|Relate|Decide
TRA0209|ACC0004|04/13/2022|33033.72|Withdrawal|Arrive|Western
TRA0210|ACC0002|07/09/2022|-2531.67|Credit|Listen|Character
TRA0211|ACC0009|12/14/2024|20697.2|Withdrawal|Friend|Traditional
INVALID_35|ACC0006|23-03-2024|31345.73|Credit|Important|Quickly
TRA0213|ACC0017|04/07/2024|42317.77|Withdrawal|Condition|Turn
TRA0214|ACC0011|21/01/2023|21699.87|Credit|Present|Lead
TRA0215|ACC0015|18-08-2023|28434.65|Debit|Born|Identify
TRA0216|ACC0012|2023-02-09|Five Hundred|Credit|With|Everybody
TRA0217|ACC0006|06/11/2023|28231.05|Debit|Degree|Need
TRA0218|ACC0016|01-01-2023|8879.43|Debit|Off|Even
TRA0219|ACC0002|01/09/2023|1056.01|Transfer|Before|Claim
TRA0220|ACC0010|31-03-2023|45017.4|Credit|With|Move
TRA0221|ACC0005|2024-09-21|20832.43|Withdrawal|Forward|Forget
TRA0222|ACC0003|05/24/2023|Five Hundred|Transfer|Receive|Remain
TRA0223|ACC0004|05-01-2024|Five Hundred|Credit|Program|Woman
TRA0224|ACC0003|11-06-2023|38611.52|Credit|Sign|Start
TRA0225|ACC0006|08-09-2023|3606.54|Withdrawal|After|His
TRA0226|ACC0018|01-12-2024|12828.58|Withdrawal|Head|Daughter
TRA0227|ACC0016|2023-09-09|41493.67|Withdrawal|Hit|Behavior
TRA0228|ACC0008|13/03/2024||Credit|Garden|Some
TRA0229|ACC0014|25-12-2022|13920.47|Credit|Section|Agent
TRA0230|ACC0017|08-11-2024|43901.21|Credit|Do|National
TRA0231|ACC0001|07/24/2024|25663.01|Transfer|Above|Explain
TRA0232|ACC0020|04/12/2023|40032.52|Transfer|Product|Involve
TRA0233|ACC0007|19-02-2022|1763.99|debit|Common|Her
TRA0234|ACC0001|14/04/2022|-3607.5|Credit|Bad|It
TRA0235|ACC0009|07/13/2023|46747.36|Credit|Shake|Management
TRA0236|ACC0012|05/25/2023|0|Transfer|Smile|Radio
TRA0237|ACC0001|11-11-2024|47370.7|Credit|Upon|Large
TRA0238|ACC0019|22/11/2023|36559.53|Withdrawal|Notice|Spring
INVALID_16|ACC0008|06/28/2023|2540.45|Transfer|Point|The
TRA0240|ACC0010|20/12/2022|31862.67|Debit|Bed|Likely
TRA0241|ACC0015|12/25/2023|6340.74|DEBIT|Whatever|Yourself
TRA0242|ACC0014|26/03/2022|37070.12|Debit|Large|Too
TRA0243|ACC0001|01/21/2024|13801.39|Withdrawal|Suffer|Road
TRA0244|ACC0017|01/24/2024|10539.58|Withdrawal|Soon|Clear
TRA0245|ACC0010|18-06-2024|22097.46|Transfer|Consider|Brother
TRA0246|ACC0001|01/06/2022|12749.75|Transfer|Lot|Energy
TRA0247|ACC0006|31-01-2022|25933.67|Transfer|Individual|Art
TRA0248|ACC0012|23-11-2022|16943.17|Debit|Example|Ability
TRA0249|ACC0013|03-06-2022|33210.02|Transfer|Many|Pass
TRA0250|ACC0005|04/27/2024|37832.99|Debit|Wonder|Catch
TRA0251|ACC0007|08/27/2022|19664.42|Credit|International|Bag
TRA0252|ACC0002|02/21/2022|18025.01|Withdrawal|Citizen|Green
INVALID_55|ACC0005|10-10-2024|27184.31|DEBIT|Among|Away
TRA0254|ACC0012|2023-08-23|19992.76|Credit|Perform|West
TRA0255|ACC0018|2022-07-21|42501.08|Withdrawal|National|Effect
TRA0256|ACC0003|2022-04-16|15631.27|Credit|In|Seat
TRA0257|ACC0001|04/25/2024|5859.32|Credit|Example|Cause
TRA0215|ACC0013|28-08-2024|23393.01|Credit|By|Church
TRA0259|ACC0005|07/24/2023|6068.86|Withdrawal|Military|Discover
TRA0179|ACC0005|01-09-2024|13028.23|Transfer|Power|Measure
TRA0261|ACC0018|09/26/2024|13341.44|debit|Her|Join
TRA0262|ACC0009|2024-11-30|38946.49|Transfer|Agent|Fish
TRA0263|ACC0012|2022-03-19|42048.17|Transfer|With|Involve
INVALID_53|ACC0008|2024-05-05|31125.91|Transfer|Modern|Personal
TRA0265|ACC0012|2023-09-26|36760.5|Debit|Miss|Guy
TRA0266|ACC0015|2023-04-06|1932.87|Withdrawal|Increase|Scientist
TRA0267|ACC0016|01/08/2023|34580.6|Debit|Analysis|Camera
TRA0268|ACC0011|21/10/2022|47632.39|Withdrawal|Be|Compare
TRA0269|ACC0006|2023-03-19|16499.19|Credit|He|Professor
TRA0270|ACC0012|2023-08-22|12567.51|Transfer|Concern|Painting
TRA0271|ACC0007|17-11-2023|19868.15|Debit|Art|Race
TRA0272|ACC0006|2023-06-22|Twenty Five Thousand|Withdrawal|Second|Nearly
TRA0273|ACC0005|11-09-2024|49174.04|Withdrawal|Control|Significant
TRA0274|ACC0002|2022-09-18|2025.84|Withdrawal|Enjoy|Free
TRA0275|ACC0004|21-11-2022|5769.44|Debit|Mean|Myself
TRA0276|ACC0013|26-08-2023|Five Hundred|Debit|Fly|Try
TRA0277|ACC0012|01/04/2023|Five Hundred|Withdrawal|Turn|Month
TRA0278|ACC0015|30/06/2024|40691.69|Withdrawal|Stand|Campaign
TRA0279|ACC0018|31/05/2024|37317.16|Transfer|Best|Green
TRA0280|ACC0008|03/09/2023|2666.63|Credit|Spring|Top
TRA0035|ACC0020|31/01/2023|26322.8|Transfer|Total|Measure
TRA0282|ACC0007|10/06/2022|5521.42|Withdrawal|Focus|Military
TRA0283|ACC0009|2023-01-23|41576.47|Debit|Deep|Responsibility
TRA0284|ACC9999|07-07-2023|31996.88|Debit|Radio|However
TRA0285|ACC0006|24/04/2024|10713.88|Debit|Future|Recent
TRA0286|ACC0008|2024-01-22|26005.84|Transfer|Four|Full
TRA0029|ACC0011|2022-09-12|29858.82|Withdrawal|Own|Smile
TRA0288|ACC0019|19/04/2024|-3056.44|Credit|Enough|Technology
TRA0289|ACC0005|04/09/2024|5277.9|Withdrawal|Whose|Senior
TRA0290|ACC0011|05/27/2024|4074.72|Credit|Campaign|These
TRA0291|ACC0015|04-02-2024|0|Debit|Figure|Later
TRA0292|ACC0012|11/10/2023|2846.64|Withdrawal|Something|Send
TRA0293|ACC0009|2023-03-21|14607.5|Debit|Member|Hundred
TRA0294|ACC0008|02/11/2022|39903.62|Debit|In|Record
TRA0295|ACC9999|17-07-2022|13805.4|Debit|Finally|Station
INVALID_35|ACC0009|09/20/2023|7226.08|Debit|Owner|Above
TRA0297|ACC0004|18/07/2023|26210.0|Transfer|How|Expert
TRA0298|ACC0009|2023-03-22|23115.8|Withdrawal|Force|Like
INVALID_31|ACC0020|2022-11-30|20914.35|Transfer|How|Adult
TRA0300|ACC0009|2023-08-03|48006.9|Debit|Clear|Ever
TRA0301|ACC0005|01/18/2024|34058.75|Debit|Western|Per
TRA0302|ACC0020|18/01/2022|39580.41|WITHDRAWAL|Car|Child
INVALID_1|ACC0003|08/08/2023|3306.18|Credit|Join|Threat
TRA0304|ACC0019|2023-01-14|40946.92|Transfer|Staff|Reality
TRA0305|ACC0017|04/16/2022|46993.56|Debit|Chair|International
TRA0306|ACC0020|08/10/2023|24137.46|Credit|Why|House
TRA0307|ACC0008|10/12/2024|Ten Thousand|CREDIT|Floor|Card
TRA0308|ACC0005|17-05-2024|22101.95|Withdrawal|Chance|Medical
TRA0309|ACC0004|2023-03-21|45693.35|Debit|Option|Plan
TRA0310|ACC0009|2022-09-05|46974.83|Transfer|Relationship|Answer
TRA0311|ACC0016|2024-04-12|38049.43|Credit|Partner|Social
TRA0312|ACC0016|25-02-2022|24529.38|Credit|Truth|Send
TRA0313|ACC0001|15/12/2022|5550.95|Transfer|Billion|Professional
TRA0314|ACC0016|14/09/2024|Twenty Five Thousand|Withdrawal|Analysis|Hard
TRA0315|ACC0015|2023-11-09|13469.29|Credit|About|Executive
TRA0316|ACC0013|03/27/2022|33367.62|Transfer|Discuss|Significant
TRA0317|ACC0006|06/07/2022|5590.15|TRANSFER|Law|Ever
TRA0318|ACC0001|14/08/2022|2896.18|Debit|Environmental|Soon
INVALID_29|ACC0017|04/03/2023|17044.69|Withdrawal|Between|Team
TRA0320|ACC0012|01/26/2022|26605.81|Withdrawal|Instead|Available
TRA0321|ACC0002|08/08/2022|2757.63|Debit|Truth|Yeah
TRA0322|ACC0020|16/08/2022|7677.25|Transfer|Perhaps|Generation
TRA0323|ACC0017|14-07-2023|28141.6|Debit|Place|Now
TRA0324|ACC0012|18-06-2023|31331.41|Credit|Seat|Race
TRA0325|ACC0007|03/24/2024|22572.42|Credit|Current|Whose
TRA0326|ACC0001|28/10/2023|16518.43|Debit|Lead|Cell
TRA0327|ACC0005|2022-04-18|3716.96|Credit|Pretty|Chance
TRA0328|ACC0003|05/13/2024|29377.34|Credit|Wife|Administration
TRA0329|ACC0018|2022-08-19|31919.08|Debit|Less|Program
TRA0330|ACC0005|08/14/2024|13307.3|Credit|Standard|Material
TRA0331|ACC0014|2024-02-20|21648.81|Transfer|Company|Later
TRA0332|ACC0003|02/19/2023|27808.5|Credit|Mr|Agreement
TRA0333|ACC0012|05/10/2022|12177.2|Credit|Hotel|Share
TRA0334|ACC0019|2022-09-05|0|Credit|Attention|Knowledge
TRA0335|ACC0007|29/04/2023|2415.41|Debit|Receive|Edge
TRA0326|ACC0003|2022-10-22|30430.61|Transfer|Painting|Whatever
TRA0337|ACC0002|01/16/2023|3657.75|Debit|Professor|Position
TRA0338|ACC0003|02/27/2022|11991.89|Withdrawal|Require|Interview
TRA0339|ACC0001|07/04/2022|34052.7|Debit|Nature|Race
TRA0340|ACC0016|12/03/2023|6273.48|Credit|Six|Month
TRA0341|ACC0011|2022-01-26|46854.28|Credit|Stock|Hope
TRA0342|ACC0018|02/24/2024||Transfer|Political|Something
TRA0343|ACC0007|20/11/2023|36844.23|Withdrawal|My|Keep
TRA0344|ACC0016|2022-02-05|7305.86|Transfer|Election|Student
TRA0345|ACC0020|2022-04-05|33904.83|TRANSFER|Rise|Address
TRA0346|ACC0007|02-04-2022|32393.32|Withdrawal|Push|Heart
TRA0347|ACC0007|17/03/2024|20241.47|Withdrawal|The|Agent
TRA0348|ACC0001|02/02/2024|49555.69|TRANSFER|Whose|Economic
INVALID_21|ACC0006|26-04-2022|13781.51|Transfer|Make|Us
TRA0350|ACC0014|30-10-2023|9630.35|Transfer|Include|Security
TRA0351|ACC0008|08-02-2022|3994.29|CREDIT|Store|Environment
TRA0352|ACC0009|2022-10-17|21143.26|Withdrawal|Scene|Each
TRA0353|ACC0014|2022-09-07|38130.74|Transfer|Tv|Cell
TRA0354|ACC0016|02-04-2022|23575.5|Debit|Probably|Stuff
TRA0355|ACC0005|04/17/2023|17648.92|Debit|However|Rich
TRA0356|ACC0012|07/04/2023||Withdrawal|Thus|System
TRA0357|ACC0016|23-05-2022|33752.92|Transfer|Performance|Very
TRA0358|ACC0020|05/07/2022|34026.26|Transfer|Police|Age
TRA0270|ACC0013|26-04-2024|40153.28|Credit|School|Gas
TRA0360|ACC0005|25-02-2023|34042.29|Credit|Then|This
TRA0361|ACC0003|18-10-2024|36465.18|Debit|Its|Similar
TRA0362|ACC0003|2022-10-21|21147.44|Withdrawal|Letter|Morning
INVALID_39|ACC0007|08/01/2022||Withdrawal|Include|Son
TRA0364|ACC0009|09/21/2022|29499.97|Transfer|Big|Along
TRA0365|ACC0014|2024-07-21|48212.26|Withdrawal|Gun|Town
TRA0366|ACC0011|12-12-2022|40160.08|Credit|Finish|Network
TRA0040|ACC0015|18/12/2022|12000.84|Debit|Significant|Instead
TRA0368|ACC0012|09/06/2023|2352.32|Withdrawal|Something|Spring
TRA0369|ACC0004|2023-10-04|49017.37|Withdrawal|Thus|Require
TRA0370|ACC0013|2023-08-07||Credit|Garden|Loss
TRA0371|ACC0017|2022-09-08|39044.44|Withdrawal|Long|Base
TRA0372|ACC0008|2023-07-23|21553.53|credit|Head|Despite
TRA0373|ACC0018|28-03-2022|49996.33|CREDIT|Give|For
TRA0374|ACC0018|23-12-2023|41542.17|Debit|Attack|Physical
TRA0375|ACC0005|21/08/2023|20128.06|Debit|One|Relate
TRA0376|ACC0001|05/22/2023|0|Credit|Western|Address
TRA0377|ACC0016|10/30/2023|22034.07|Credit|Tend|Record
TRA0378|ACC0006|17-07-2022||Withdrawal|Dinner|Movie
TRA0379|ACC0001|03/02/2024|33828.26|Withdrawal|Main|Project
TRA0380|ACC0016|2024-05-05|8644.17|debit|Loss|Air
TRA0381|ACC0013|15/10/2024|21408.31|Withdrawal|My|Without
TRA0382|ACC0017|2022-12-08|Ten Thousand|Withdrawal|Could|Score
TRA0383|ACC0004|04/10/2022|9922.55|Withdrawal|Occur|For
TRA0384|ACC0014|17/02/2024|Five Hundred|Withdrawal|Present|Give
TRA0385|ACC0016|2022-05-06|37139.02|CREDIT|Share|Guess
