CourseID,CourseName,Department,Credits,FacultyID
COU0445,Million,Computer Science,26,FAC0017
COU0626,Sign,Computer Science,0,FAC0016
COU0627,Scientist,Physics,256,FAC0003
COU0628,Miss,Arts,142,FAC0010
COU0629,Drop,Business,0,FAC0010
COU0630,For,Mathematics,122,FAC0005
COU0631,Most,Arts,284,FAC0006
COU0632,Then,Mathematics,75,FAC0013
COU0633,Sure,Engineering,75,FAC0004
COU0634,Card,Physics,211,FAC0013
COU0635,End,Engineering,72,FAC0019
COU0636,Pay,Business,272,FAC0006
COU0637,Painting,Engineering,140,FAC0012
INVALID_40,Likely,Arts,300,FAC0015
COU0639,Seat,Computer Science,231,FAC0004
COU0272,Travel,Engineering,151,FAC0014
COU0641,Yourself,Computer Science,123,FAC9999
COU0642,Leg,Physics,25,FAC0007
COU0643,Coach,Physics,5,FAC0006
COU0644,Ability,Physics,175,FAC0001
COU0645,Table,Arts,268,FAC0002
COU0646,Idea,Engineering,182,FAC0020
COU0647,Difference,Computer Science,201,FAC0002
COU0648,More,Engineering,137,FAC0016
