ExamID|StudentID|CourseID|ExamDate|Score|Grade|Status
EXA0066|STU0002|COU0011|26/02/2022|33106.53|F|Vote
EXA0067|STU0016|COU0016|18/02/2022|38275.13|B|Like
EXA0068|STU0011|COU0017|09/22/2023|29531.08|B|Age
EXA0069|STU0013|COU0010|07/12/2023|32990.77|A|Cultural
EXA0070|STU0003|COU0005|23-08-2023|28939.07|C|Laugh
EXA0071|STU0015|COU0008|16/12/2024|20537.68|F|Young
EXA0072|STU0002|COU0008|2022-01-11|28507.62|D|One
EXA0073|STU0006|COU0004|2023-10-16|17417.43|D|Firm
EXA0074|STU0007|COU0005|2024-06-05|27489.46|F|Beautiful
EXA0075|STU0017|COU0003|25-01-2024|20503.13|B|Practice
EXA0076|STU0015|COU9999|04/20/2023|16569.49|F|Approach
EXA0077|STU0003|COU0010|2024-10-27|18387.86|F|Some
INVALID_22|STU0014|COU0017|08-11-2022|10056.42|C|Ahead
EXA0079|STU0013|COU0014|18/09/2024|20361.8|F|Floor
EXA0080|STU0018|COU0017|16-03-2024|10195.7|C|Discuss
EXA0081|STU0003|COU0015|16/04/2022|24102.35|A|So
EXA0082|STU0007|COU0001|2023-09-16|21976.03|F|Yeah
EXA0083|STU0002|COU0006|08-01-2024|14040.39|D|Which
EXA0084|STU0014|COU0011|11/10/2023|39915.11|F|Art
EXA0003|STU0016|COU0004|13-02-2024|21602.37|c|Energy
EXA0086|STU0002|COU0015|2022-03-15|41100.96|d|Player
EXA0087|STU0006|COU0010|06/12/2024|42143.27|C|Threat
EXA0088|STU0005|COU0001|18-09-2024|19330.83|A|Land
EXA0089|STU0004|COU0015|01-10-2022|9794.08|F|Economy
EXA0090|STU0015|COU0004|13/01/2023|8958.0|F|Stage
EXA0091|STU0005|COU0017|2023-07-07|16791.24|A|Thousand
EXA0092|STU0005|COU0010|16-09-2022|48011.78|D|Too
EXA0093|STU0005|COU0003|2023-11-21|40268.67|C|Enjoy
EXA0094|STU0012|COU0014|2023-10-20|38277.69|D|Degree
EXA0095|STU0015|COU0010|2024-10-06|23439.23|A|Focus
EXA0096|STU0018|COU0019|03/17/2023|40561.78|C|Position
EXA0097|STU0003|COU0012|05/02/2022|10203.32|A|Old
EXA0098|STU0019|COU0009|24-08-2022|41195.25|F|Bed
EXA0099|STU0006|COU0008|2022-06-03|30705.47|C|Not
EXA0100|STU0010|COU0005|2024-01-21|42161.43|B|As
EXA0101|STU0001|COU0011|24/05/2024|12425.16|F|Happy
EXA0102|STU0005|COU9999|03/21/2024|46636.47|A|Artist
INVALID_67|STU0009|COU0013|2022-03-17|3131.21|A|List
EXA0098|STU0003|COU9999|01/04/2022|29496.72|C|Finally
EXA0105|STU0019|COU0002|2024-06-13|21126.93|a|Gun
EXA0106|STU0002|COU0003|2023-01-22|37232.84|F|Sign
EXA0107|STU0011|COU0019|27/01/2023|39431.15|B|Candidate
EXA0108|STU0017|COU0005|11/09/2023|43075.65|B|Back
EXA0109|STU0014|COU0014|2022-08-12|21083.33|F|Which
EXA0107|STU0012|COU0016|06/01/2022|28424.01|B|Consumer
EXA0111|STU0018|COU0018|17-01-2024|3773.35|C|Employee
EXA0034|STU0011|COU0018|19/12/2024|49209.43|C|Whole
EXA0113|STU0018|COU0011|2023-02-16|6885.56|B|Though
INVALID_61|STU0013|COU0011|2024-11-22|15907.82|F|Me
EXA0115|STU0014|COU0013|24/10/2024|4177.61|C|Other
INVALID_86|STU0011|COU0013|03/04/2023|12927.9|A|Threat
EXA0117|STU0008|COU0002|2023-12-02|27273.55|B|Grow
EXA0118|STU0009|COU9999|2023-10-24|49082.02|D|Much
EXA0119|STU0012|COU0005|02-05-2024|23273.53|F|Establish
EXA0071|STU0014|COU0020|08-04-2022|47550.05|A|Raise
EXA0121|STU0003|COU0007|20-05-2024|48319.5|A|Dream
EXA0122|STU0005|COU9999|30-04-2023|14686.72|A|Skill
EXA0123|STU0007|COU0008|02-08-2023||B|Need
EXA0124|STU9999|COU0016|2023-03-03|33340.62|B|Case
EXA0125|STU0020|COU0008|29-02-2024|10723.88|F|Bag
EXA0126|STU0009|COU0007|2022-04-27|39178.95|A|Me
EXA0127|STU0006|COU0017|12/03/2023|40906.19|B|Theory
EXA0128|STU0014|COU0003|03-12-2023|28189.53|B|Item
EXA0004|STU0011|COU0004|04/24/2024|2657.96|A|Above
EXA0130|STU0020|COU0009|16-11-2022|1100.15|B|Majority
EXA0131|STU0008|COU0006|01/21/2022|2865.05|D|Field
EXA0132|STU0012|COU0013|15-05-2024|17042.73|D|Say
EXA0133|STU0007|COU0006|22-05-2022|48928.32|C|Film
EXA0134|STU0005|COU0009|29/02/2024|48137.25|F|Strategy
EXA0135|STU0010|COU0019|19-02-2024|-1913.88|D|Over
EXA0091|STU0016|COU0020|2022-12-20|16509.69|F|Support
EXA0137|STU0002|COU0018|01/03/2023|21091.57|C|Writer
EXA0138|STU0005|COU0010|23/12/2022|14574.82|A|Senior
EXA0139|STU0004|COU0006|01-06-2024|16475.11|C|Question
EXA0140|STU0020|COU0014|2022-12-25|32860.84|B|Each
EXA0141|STU0017|COU0009|2022-04-28|43534.55|B|Less
EXA0142|STU0010|COU0018|08/04/2023|24591.9|A|Thousand
INVALID_77|STU0019|COU0001|2022-10-13|10298.38|B|Almost
EXA0144|STU0016|COU0019|12/05/2022|20957.81|D|Language
EXA0145|STU0003|COU0011|2023-01-22|33359.91|F|Would
EXA0146|STU0015|COU0007|01/12/2023|21499.08|C|Weight
EXA0147|STU0004|COU0016|14-05-2023|35368.53|A|Seven
EXA0148|STU0001|COU0001|02/09/2023|9617.16|C|Job
EXA0149|STU0015|COU0020|17-09-2023|34853.99|B|Service
INVALID_97|STU0009|COU0004|06/26/2022|Ten Thousand|D|Him
EXA0151|STU0007|COU9999|01/04/2024|24508.57|D|Moment
EXA0152|STU0008|COU0003|05/26/2022|10909.21|F|Offer
EXA0153|STU0019|COU0006|06/09/2022|Ten Thousand|C|Possible
EXA0154|STU0003|COU0011|2024-06-16|43483.87|A|Pressure
EXA0155|STU0006|COU0017|31-08-2024|36602.74|A|Nature
EXA0156|STU0017|COU0013|05-05-2022|8275.17|C|Necessary
EXA0157|STU0013|COU0018|09-08-2023||C|Charge
EXA0158|STU0005|COU0001|07/12/2024|46034.81|b|Food
EXA0159|STU0005|COU0006|16/05/2024|13201.44|F|Case
EXA0160|STU0013|COU0010|2022-02-04|33937.42|D|Pass
EXA0161|STU0005|COU0011|22-02-2023|24906.36|D|Agreement
EXA0162|STU0018|COU0007|2022-07-09|-2162.8|F|Relationship
EXA0163|STU0010|COU0002|17-11-2024|43605.97|C|Training
EXA0164|STU0016|COU0016|08-04-2024|7771.97|d|Land
EXA0165|STU9999|COU0005|10/07/2024|45256.17|F|Newspaper
EXA0166|STU0019|COU0007|30/04/2024|42550.2|A|Performance
EXA0167|STU0009|COU0017|12/01/2022|28681.17|A|Study
EXA0168|STU9999|COU0008|26-09-2023|36249.96|C|Why
EXA0023|STU0011|COU0015|17/11/2023|Twenty Five Thousand|B|Amount
EXA0170|STU0006|COU0006|15/04/2023|27432.09|D|Cold
INVALID_47|STU0016|COU0020|03/04/2022|11244.65|D|Break
EXA0172|STU0001|COU0012|11/07/2023|40625.01|F|Rise
EXA0173|STU0012|COU0012|05/27/2023|3542.12|A|Out
EXA0174|STU0008|COU0017|20/12/2022|39262.55|D|Let
EXA0175|STU0017|COU0017|29/04/2022|33008.8|B|Let
EXA0176|STU9999|COU0008|21-01-2024|2291.45|B|Customer
EXA0177|STU0014|COU0014|29/03/2022|49917.85|D|City
EXA0178|STU0015|COU0016|16/05/2023|-1495.37|B|Myself
EXA0179|STU0015|COU0002|2022-02-24|42045.31|D|Feel
EXA0180|STU0011|COU0019|03/12/2023|-3995.63|A|Enough
EXA0181|STU0013|COU0010|04-01-2022|17794.86|D|Become
INVALID_89|STU0015|COU0007|11-03-2022|20795.25|D|Happen
EXA0183|STU0013|COU0002|07-08-2024|28342.76|C|None
EXA0184|STU0003|COU0012|2022-01-07|40396.88|D|Theory
EXA0185|STU0010|COU0016|08/12/2022|-4200.02|D|Effort
EXA0186|STU0006|COU0005|08/30/2023|44567.13|F|Story
EXA0187|STU0020|COU0011|15-09-2023|13970.42|A|Near
EXA0188|STU0006|COU0010|17/08/2024|18920.57|C|Thing
EXA0189|STU0009|COU0001|21/08/2022|46182.86|B|You
EXA0190|STU0012|COU0011|07/11/2024|8861.19|F|Future
EXA0191|STU0009|COU0009|27/04/2024||B|Live
EXA0192|STU0019|COU0004|07/12/2023|8922.61|D|Class
EXA0138|STU0004|COU0010|2024-03-24|18460.81|C|Industry
EXA0194|STU0015|COU0017|09/03/2022|8789.84|F|Make
EXA0195|STU0006|COU0013|11/30/2022|13234.65|B|Serve
EXA0196|STU0019|COU0020|27/04/2022|42863.58|B|Senior
EXA0197|STU0007|COU0005|2024-12-17|31218.17|C|With
EXA0198|STU0002|COU0010|2022-05-14|1695.94|F|Opportunity
EXA0199|STU0011|COU0005|2023-04-10|-3690.65|F|Three
EXA0200|STU0011|COU0018|06/14/2023|32283.8|A|Front
EXA0201|STU0005|COU0016|11/12/2024|2570.05|D|Young
EXA0202|STU0013|COU0002|14/09/2024|21667.98|B|Push
EXA0203|STU0013|COU0004|22/05/2022|17600.74|C|Fight
EXA0204|STU0016|COU0018|03/06/2022|12822.19|D|Guess
EXA0205|STU0019|COU0016|26/05/2023|45833.58|D|Scene
EXA0206|STU0010|COU0012|03/19/2023|31701.61|B|Country
EXA0207|STU0019|COU0009|06/11/2023|26967.9|F|Change
EXA0208|STU0017|COU0010|28/09/2023|47648.35|D|Not
EXA0209|STU0011|COU0013|2023-03-08|2664.43|A|True
EXA0210|STU0013|COU0013|03/11/2023|Five Hundred|C|Million
EXA0211|STU0020|COU0015|11/20/2024|25522.27|D|Bank
EXA0212|STU0001|COU0010|2022-02-13|20177.26|B|Indicate
EXA0213|STU0008|COU0008|13-04-2024||B|Dinner
EXA0214|STU0017|COU0019|2023-07-07||C|Single
EXA0215|STU0005|COU0010|28/08/2022||c|Result
EXA0216|STU0011|COU0013|18-10-2023|9438.8|C|Lot
EXA0217|STU0004|COU0002|2022-09-01|46365.19|A|Prove
EXA0218|STU0001|COU0011|2023-06-17|35162.6|B|Reflect
EXA0219|STU0004|COU0008|01/10/2022|19716.85|C|Hand
EXA0041|STU0001|COU0017|12/16/2023|26600.73|C|Employee
EXA0221|STU0016|COU0007|09/22/2024|45490.76|B|Military
EXA0222|STU0007|COU0010|14/12/2022|7274.48|A|Including
EXA0223|STU0010|COU0003|2022-07-17|21414.14|F|Tell
EXA0224|STU0019|COU0018|06/08/2022|38490.25|F|Us
EXA0225|STU0008|COU0015|26-10-2023|11969.62|F|Century
EXA0226|STU0020|COU0012|13-03-2023|23960.63|D|Sell
EXA0227|STU0011|COU0019|15-11-2023|36151.51|A|Process
EXA0228|STU0002|COU0004|19/08/2024|4374.27|B|Clear
EXA0229|STU0011|COU0005|09/11/2023|27602.62|A|People
EXA0230|STU0018|COU0004|02/10/2022|13912.41|F|Subject
EXA0231|STU0006|COU9999|01-10-2022|28822.56|D|Answer
EXA0232|STU0015|COU0012|06-06-2024||F|Condition
EXA0233|STU0016|COU0020|2022-12-08||F|Arrive
EXA0234|STU0020|COU0020|05/08/2023|-2509.37|A|Around
EXA0235|STU0011|COU0007|11/27/2022|39466.43|F|Need
EXA0236|STU0019|COU0002|26/01/2022|-4789.79|B|Physical
EXA0237|STU0015|COU0002|2024-08-03|48778.68|F|Past
EXA0238|STU0016|COU0017|11-05-2023|11696.17|A|Impact
EXA0239|STU0015|COU0018|04-04-2024|33706.96|C|Serve
INVALID_20|STU0003|COU0019|2022-05-18||C|Fish
EXA0241|STU0008|COU0001|01-12-2023|32502.96|c|Industry
EXA0242|STU0019|COU0011|25-05-2022|11042.6|C|Ready
EXA0243|STU0014|COU0010|04/16/2024|49542.36|C|Lose
EXA0244|STU0005|COU9999|24/06/2024|9060.8|b|Plan
INVALID_8|STU0006|COU0005|09/26/2024|27358.67|F|Region
EXA0221|STU0016|COU0011|26/10/2022|48351.0|D|Officer
EXA0247|STU0009|COU0009|22/12/2024|4179.94|B|Pass
EXA0248|STU0016|COU0003|05/06/2024|10965.72|F|Police
EXA0249|STU0015|COU0015|19/03/2023|36373.93|D|Time
INVALID_30|STU0013|COU0020|01-06-2024||D|Blue
EXA0251|STU0009|COU0016|2023-08-16|49756.99|C|Range
EXA0252|STU0013|COU0008|15-11-2023|19421.48|D|Six
EXA0253|STU0011|COU0018|11/17/2022|35641.93|F|Service
EXA0254|STU9999|COU0002|11/15/2022|22180.83|D|Foreign
EXA0255|STU0004|COU0007|2024-04-04|11154.05|A|Democrat
EXA0256|STU0009|COU0012|10-09-2023|15059.37|B|Six
EXA0257|STU0016|COU0017|2024-03-29|41041.77|B|Statement
EXA0258|STU0004|COU0013|19/03/2024|39805.1|a|Ten
EXA0259|STU0020|COU0015|2023-01-23|9044.38|B|Suggest
INVALID_59|STU0016|COU0016|14/11/2024|43875.55|C|Just
EXA0261|STU0002|COU0009|12/31/2023|7368.77|D|Everyone
EXA0262|STU0002|COU0010|02-04-2023|39202.98|A|Table
EXA0263|STU0002|COU0009|16-02-2024|19826.52|B|Method
EXA0264|STU0001|COU0015|29-01-2022|36053.96|C|Together
EXA0265|STU0003|COU0005|05/28/2022|41227.95|B|Win
EXA0266|STU0010|COU0012|2024-12-12|43789.25|A|Its
EXA0267|STU0016|COU0016|2023-06-20|39249.01|D|Someone
EXA0268|STU0008|COU0001|2024-05-14|7595.69|B|Production
EXA0269|STU0019|COU0018|11/16/2023|0|A|Response
EXA0270|STU0016|COU0016|01/25/2024|13520.64|A|Type
EXA0271|STU0014|COU0004|2023-04-11|11964.12|C|Particularly
EXA0272|STU0013|COU0001|2024-03-27|20082.37|D|Fall
EXA0273|STU0020|COU0014|2022-12-02||D|Force
EXA0274|STU0001|COU0014|13/02/2022|0|B|Success
EXA0275|STU0019|COU0011|27/10/2024|7674.78|B|For
EXA0276|STU0003|COU0012|10-02-2022|35453.54|D|Whole
EXA0277|STU0004|COU0020|04/23/2023|6241.06|C|Amount
EXA0278|STU0009|COU0011|2024-01-19|Five Hundred|C|Pull
EXA0279|STU0010|COU0004|07/31/2024|1077.18|F|Talk
EXA0280|STU0003|COU0015|2024-09-10|11592.33|F|Tree
EXA0281|STU0012|COU0003|11-10-2023|45252.44|A|Another
EXA0282|STU0016|COU0006|24/03/2024|15540.37|d|Dog
EXA0001|STU0017|COU0015|10/02/2023|1577.77|F|Throughout
EXA0284|STU0016|COU0016|12/02/2024|6587.95|A|Training
EXA0285|STU0008|COU0001|31-03-2023|9495.17|C|Suddenly
INVALID_1|STU0019|COU0016|03/03/2024|8490.91|B|Know
EXA0287|STU0003|COU0020|01/11/2023|0|D|Conference
EXA0288|STU0007|COU9999|05-09-2023|36413.6|A|Marriage
EXA0289|STU0003|COU0017|2023-03-25|21431.9|F|Such
EXA0290|STU0014|COU0002|2023-10-12|22245.34|B|Never
EXA0291|STU0015|COU0014|19-05-2023|-644.74|C|Human
EXA0292|STU0016|COU0005|23-03-2022|10144.83|B|Science
EXA0293|STU0009|COU0015|2024-04-04|3458.69|B|Window
EXA0294|STU0002|COU0014|06-06-2024|47191.38|F|Car
EXA0295|STU0011|COU0009|13-01-2022|47099.65|B|Shake
EXA0296|STU0012|COU0012|15-06-2024|36562.0|A|Father
EXA0297|STU0009|COU0003|05/29/2024|44338.94|A|Address
INVALID_65|STU0016|COU0020|29-11-2022|42163.29|F|Real
EXA0299|STU0006|COU0019|28/12/2024|Twenty Five Thousand|D|Argue
EXA0300|STU0018|COU0008|28/02/2023|5212.8|D|Board
EXA0301|STU0015|COU0007|13-03-2024|36665.76|C|Face
EXA0302|STU0013|COU0007|06/27/2022|44264.7|D|Sound
EXA0303|STU0004|COU0013|2023-02-02|-4915.52|C|Out
EXA0304|STU0020|COU0006|05/10/2022|22227.0|C|Step
EXA0305|STU0011|COU0008|2023-03-04|Five Hundred|F|Send
EXA0306|STU0001|COU0003|08-02-2023|15555.35|A|Both
EXA0307|STU0003|COU0017|08/31/2023||B|Little
EXA0308|STU0019|COU0018|16-08-2024|44169.08|F|Public
EXA0309|STU0019|COU0018|2024-09-16|34749.43|D|Line
EXA0310|STU9999|COU0002|09-05-2024|34757.57|C|Ground
EXA0311|STU0008|COU0013|29/04/2024|47676.26|F|Environment
INVALID_10|STU0004|COU0005|2023-06-24|19429.61|D|These
EXA0313|STU0010|COU0019|11/30/2024|2660.92|A|Participant
EXA0314|STU0002|COU0007|19-06-2024|11460.58|D|Ok
EXA0315|STU0019|COU0007|12/06/2024|29714.87|B|Book
EXA0316|STU0018|COU0020|2023-07-16|34498.17|D|Air
EXA0317|STU0004|COU0011|2022-01-24|25391.25|A|Argue
EXA0195|STU0013|COU0020|09-11-2023|29955.45|A|Research
EXA0319|STU0011|COU0012|15/11/2023|20443.91|B|The
EXA0320|STU0011|COU0006|01/05/2023|6730.03|F|While
EXA0321|STU0013|COU0013|22-02-2022|43609.5|A|Growth
EXA0322|STU0001|COU0019|27/11/2024|9632.08|C|Gun
EXA0323|STU0020|COU0005|26-06-2023|Ten Thousand|A|Sit
EXA0324|STU0019|COU0013|12-07-2024|29840.17|D|When
EXA0325|STU0017|COU0005|2022-10-27|41406.88|C|Material
EXA0326|STU0020|COU0008|15-07-2023|23726.68|D|Financial
INVALID_96|STU0016|COU0020|16-12-2024|1571.65|C|Effort
EXA0328|STU0006|COU0008|21-11-2023|39876.25|A|Feeling
EXA0329|STU0007|COU9999|01/10/2023|30108.82|A|Likely
EXA0330|STU0020|COU0014|10/14/2023|17243.0|C|Through
EXA0331|STU0011|COU0015|24-01-2022|32490.07|B|Education
EXA0332|STU0010|COU0002|02/28/2023|16278.93|D|Without
EXA0333|STU0006|COU0013|31/10/2022|31180.31|B|Recognize
EXA0334|STU0007|COU0017|30/03/2023|42178.57|C|Their
EXA0335|STU0007|COU0002|03/11/2023|10769.67|F|Guy
EXA0336|STU0009|COU0018|27-09-2022|17200.72|C|New
EXA0337|STU0020|COU0019|2022-02-28|36512.24|F|Sign
EXA0338|STU0017|COU9999|07/08/2022|19234.2|F|Mother
EXA0339|STU0010|COU0014|01-07-2024||C|There
EXA0340|STU0015|COU0020|18/11/2024|15603.01|B|Defense
EXA0341|STU0003|COU0011|11/10/2024|Ten Thousand|C|Tv
EXA0342|STU0020|COU0002|19/02/2024|30003.8|C|Crime
EXA0343|STU0006|COU0012|2022-07-24|43676.42|C|Theory
EXA0344|STU0010|COU0002|2024-10-29|16420.4|A|Necessary
EXA0345|STU0015|COU0014|06/15/2024|14934.43|A|Response
EXA0346|STU0019|COU0010|2024-10-08|24371.5|F|Me
EXA0347|STU0014|COU0007|03/14/2022|10462.08|C|Off
EXA0348|STU0014|COU0001|11/05/2024|9914.5|B|Fall
EXA0349|STU0005|COU0003|2022-05-18|15856.26|D|Industry
EXA0350|STU0014|COU0007|2023-12-09|16301.86|A|Dark
EXA0351|STU0017|COU0015|11-03-2023|31508.47|A|Government
EXA0352|STU0008|COU0001|09/10/2022|11504.29|C|Account
EXA0353|STU0009|COU0005|01/13/2024|10037.55|F|Compare
EXA0354|STU0006|COU0018|13-05-2024|21465.53|C|His
EXA0355|STU0001|COU0012|14-11-2023|24026.6|C|Strong
EXA0356|STU0003|COU0007|12/04/2024|24771.72|C|Represent
EXA0357|STU0015|COU0003|2022-12-20|40219.69|A|Success
EXA0358|STU0012|COU0008|19-12-2023|33107.56|F|Represent
EXA0359|STU0011|COU0003|03/06/2024|29745.26|C|Act
EXA0360|STU9999|COU0019|29-03-2023|0|A|Authority
EXA0361|STU0017|COU0012|18/06/2023|49486.35|D|Offer
INVALID_40|STU0006|COU0007|22-01-2024|26052.92|B|Whether
EXA0363|STU0003|COU0019|29/04/2022|31160.37|D|Prepare
INVALID_89|STU0001|COU0007|09-09-2023|34593.86|B|Should
EXA0365|STU0017|COU0020|2024-12-01|42022.01|B|Expert
EXA0022|STU0003|COU0011|11/07/2024|9367.82|B|Central
EXA0367|STU0001|COU0007|24-09-2024|3253.66|F|Rock
EXA0368|STU0009|COU0010|2022-04-14|16374.76|C|Outside
EXA0369|STU0008|COU0006|11/12/2022|32519.66|B|Often
EXA0370|STU0017|COU0001|15-11-2024|27581.41|C|Seven
EXA0371|STU9999|COU0003|16-11-2023|12425.83|C|Policy
EXA0372|STU0020|COU0018|2024-11-22|8378.0|A|Great
EXA0373|STU0016|COU0017|2022-07-09|19205.45|C|Sort
EXA0374|STU0009|COU0016|05/15/2024|37482.42|B|Road
EXA0375|STU0003|COU0017|09/14/2022|41558.26|C|Offer
EXA0376|STU0006|COU0007|06/13/2023|7618.97|c|World
EXA0377|STU0016|COU0010|03/04/2023|4036.23|a|Care
EXA0378|STU0001|COU0008|04/01/2023|43210.11|A|Three
EXA0379|STU0003|COU0015|2023-03-27|49796.66|F|Car
EXA0380|STU0015|COU0008|2022-10-04|9561.62|C|Condition
EXA0381|STU0001|COU0006|09/01/2022|Five Hundred|C|Left
EXA0382|STU0007|COU0010|2024-01-19|21878.92|D|Record
EXA0383|STU0014|COU0002|2022-03-14|49276.0|B|Others
EXA0384|STU0007|COU0011|06/16/2024|27272.18|F|Carry
EXA0385|STU0013|COU0020|2022-03-12|21386.95|F|Per
EXA0386|STU0018|COU0007|05/07/2024|22101.86|B|Recently
EXA0387|STU0017|COU0011|2023-02-19|49199.46|D|Nothing
INVALID_95|STU0010|COU0014|2023-11-25|43887.87|B|Court
EXA0389|STU0016|COU0001|03-07-2022||A|Clearly
EXA0390|STU0004|COU0020|2022-11-07|-3707.25|B|Fire
EXA0391|STU0007|COU0017|25-12-2022|20467.52|B|Enjoy
EXA0392|STU0004|COU0016|2023-05-05|41712.06|F|Enter
EXA0393|STU9999|COU0008|2023-11-14|25659.63|B|Mouth
EXA0394|STU0010|COU0002|21-05-2022||A|Population
EXA0395|STU0014|COU0009|18/02/2022|1048.92|A|Girl
EXA0396|STU0019|COU0003|09/07/2023|10439.11|C|Third
EXA0397|STU0015|COU0020|11/10/2023|25440.44|F|Prevent
EXA0398|STU0006|COU0013|15-07-2022|15012.72|C|Table
EXA0399|STU0018|COU0019|11/10/2023|19973.23|F|Member
EXA0400|STU0013|COU0006|2024-03-17|45483.73|D|Decide
EXA0401|STU0016|COU0014|15/02/2024|11762.85|F|Recognize
EXA0402|STU0008|COU0015|2024-09-22|25218.93|B|Lead
EXA0403|STU0009|COU0011|08-05-2023|31197.13|F|Dark
EXA0404|STU0003|COU0019|29-04-2022|13781.23|D|Question
EXA0405|STU0015|COU0005|24-09-2023|44756.71|D|Across
EXA0406|STU0017|COU0010|03/16/2024|47238.43|D|Physical
EXA0407|STU0011|COU0017|09/14/2022|3281.08|A|Late
EXA0408|STU0009|COU0005|2024-11-05|42352.64|f|Result
EXA0409|STU0006|COU0012|16-11-2024|33111.82|A|Both
EXA0410|STU0019|COU0009|02-09-2023|10981.66|A|Memory
EXA0411|STU0013|COU0001|10-11-2023|16082.09|D|Something
EXA0412|STU0005|COU0014|09/29/2022|6416.15|F|Political
EXA0413|STU0009|COU0006|10-11-2024|3935.83|D|Style
EXA0414|STU0011|COU0010|02/01/2023|8741.5|D|Always
EXA0415|STU0004|COU0011|17/06/2022|16074.93|F|Hard
