OrderID|CustomerID|ProductID|OrderDate|Quantity|TotalAmount|Status
ORD0132|CUS0010|PRO0006|20/04/2024|240|47664.77|Returned
ORD0133|CUS0002|PRO0010|13/04/2024|76|11255.77|Cancelled
ORD0134|CUS0015|PRO0001|01-11-2022|273||Cancelled
ORD0135|CUS0013|PRO0013|2024-05-25|120|24847.78|Pending
ORD0136|CUS0003|PRO0018|02/05/2022|177|16304.93|Delivered
ORD0137|CUS0003|PRO0002|03/06/2022|174|33497.41|Cancelled
ORD0138|CUS0012|PRO0016|06/22/2024|256|3721.37|Delivered
ORD0139|CUS0011|PRO0004|2023-05-25|102|Five Hundred|Cancelled
ORD0140|CUS0014|PRO0006|2023-05-12|192|11678.77|Returned
ORD0051|CUS0003|PRO0011|22/11/2023|170|13742.2|Returned
ORD0142|CUS0016|PRO0017|25/07/2022|145|15101.64|Cancelled
ORD0143|CUS0017|PRO0015|21/06/2023|246|44777.37|Cancelled
ORD0144|CUS0011|PRO0018|2023-04-21|107|27968.52|Pending
ORD0145|CUS0020|PRO0007|29/03/2023|89|42213.44|Pending
ORD0146|CUS0008|PRO0004|06-12-2022|182|46760.89|Cancelled
ORD0147|CUS0014|PRO0003|28-11-2024|24|44134.14|Returned
ORD0148|CUS0017|PRO0015|07-09-2023|14|Five Hundred|Delivered
ORD0149|CUS0007|PRO0004|24/02/2022|279|23685.67|Pending
ORD0150|CUS0019|PRO0015|2022-09-06|131|15663.37|delivered
ORD0151|CUS0006|PRO0019|08/24/2024|267|20055.93|Delivered
INVALID_99|CUS0005|PRO0010|21-05-2022|240|18210.1|Delivered
ORD0153|CUS0007|PRO0008|03-05-2024|165|1994.99|Returned
ORD0154|CUS0002|PRO9999|10/03/2023|283|40863.72|Returned
ORD0155|CUS0018|PRO0019|01/07/2022|248|46978.33|Pending
ORD0156|CUS0013|PRO0019|28/11/2022|17|47833.9|Delivered
ORD0157|CUS0017|PRO0018|09/10/2023|175|7552.95|Delivered
ORD0015|CUS0009|PRO0007|11-03-2022|136|22478.2|DELIVERED
ORD0159|CUS0003|PRO0010|01/19/2023|262|13896.75|Returned
ORD0160|CUS0003|PRO0018|05/30/2022|169|8941.57|Delivered
ORD0161|CUS0004|PRO0011|26/09/2022|85|25222.65|Returned
ORD0162|CUS0016|PRO0007|02/27/2022|47|25313.34|Delivered
ORD0163|CUS0007|PRO0019|18-12-2024|246|Ten Thousand|Returned
ORD0164|CUS0007|PRO0008|23-10-2024|236|47253.31|Pending
ORD0165|CUS0008|PRO0002|01/07/2024|237|29733.68|Pending
ORD0166|CUS0002|PRO0020|14-06-2024|211|9744.88|DELIVERED
ORD0123|CUS0001|PRO0019|05/23/2022|113|25938.56|Delivered
ORD0168|CUS0013|PRO0009|2022-05-18|5|39427.78|Returned
ORD0014|CUS0018|PRO0004|09/17/2022|295|19325.66|Returned
ORD0170|CUS0019|PRO0006|2022-06-19|82|26507.74|Delivered
ORD0171|CUS0015|PRO0009|2023-04-24|229|1161.78|Cancelled
ORD0172|CUS0001|PRO0007|09/29/2022|58||Delivered
ORD0173|CUS0012|PRO0006|08/12/2023|117|25874.48|Returned
ORD0174|CUS0015|PRO0017|14-01-2023|35|9991.11|Delivered
ORD0175|CUS0017|PRO0009|2024-12-17|119|-3034.86|Cancelled
ORD0176|CUS0020|PRO0014|05/16/2024|187|11560.64|Returned
ORD0177|CUS0001|PRO0014|07/04/2024|150|7971.8|Pending
ORD0178|CUS0001|PRO0018|2023-04-23|10|44066.23|Delivered
ORD0179|CUS0015|PRO0013|01-10-2023|23|8934.64|Pending
ORD0180|CUS0009|PRO0008|10-05-2024|270|37231.69|Pending
ORD0181|CUS0019|PRO0001|08/16/2022|131|10636.85|Pending
ORD0182|CUS0007|PRO0009|2023-10-09|186|12669.81|Pending
ORD0183|CUS0002|PRO0005|07-12-2022|225|41306.85|Pending
ORD0116|CUS0003|PRO0015|09/03/2024|264|16572.65|Cancelled
ORD0185|CUS0017|PRO0011|04/25/2024|42||Returned
ORD0186|CUS0004|PRO9999|25-03-2022|248|47696.55|Cancelled
ORD0187|CUS0008|PRO0006|10-01-2024|80|48713.55|Returned
ORD0188|CUS0005|PRO0015|02/11/2023|183|49263.02|Returned
ORD0189|CUS0010|PRO0015|2022-02-20|178|48594.73|cancelled
ORD0190|CUS0001|PRO0010|2024-05-05|6|9776.87|Cancelled
ORD0191|CUS0011|PRO0009|09-01-2023|112|44943.27|Delivered
ORD0192|CUS0009|PRO0003|08/09/2023|259|36854.41|cancelled
ORD0193|CUS0013|PRO0017|12-06-2022|8|1791.95|Delivered
ORD0194|CUS0013|PRO0009|31-08-2024|4|24071.28|Pending
ORD0027|CUS0003|PRO0003|12-09-2024|279|28346.65|Delivered
INVALID_46|CUS0010|PRO0019|11/21/2023|91|26087.15|Pending
ORD0197|CUS0007|PRO0005|2022-08-06|216|40691.91|Cancelled
ORD0198|CUS0017|PRO0014|27-07-2024|83|15065.22|Delivered
ORD0199|CUS0015|PRO0013|03/08/2022|289|40585.75|Returned
INVALID_41|CUS0019|PRO0011|10/19/2024|276|13235.51|Delivered
ORD0201|CUS0001|PRO0009|09/22/2022|232|32786.29|Cancelled
ORD0202|CUS0005|PRO0002|2023-11-02|300|37650.17|pending
ORD0203|CUS0018|PRO0010|08/26/2024|164|12228.63|Returned
ORD0204|CUS0002|PRO0001|06/20/2023|297|2881.12|Returned
ORD0205|CUS0005|PRO0020|26/01/2022|262||Delivered
ORD0206|CUS0003|PRO0012|21/07/2022|118|32622.78|Delivered
ORD0207|CUS0003|PRO0014|21/12/2022|87|12408.27|Delivered
ORD0208|CUS0012|PRO0006|2022-09-11|160|29911.17|Cancelled
ORD0209|CUS0011|PRO0010|2024-05-27|228|-4843.37|Pending
ORD0210|CUS0004|PRO0007|2024-03-22|202|11725.48|Delivered
ORD0211|CUS0011|PRO0011|10-12-2022|18|37343.68|Returned
ORD0212|CUS0016|PRO0013|02/02/2024|1|28566.74|Cancelled
ORD0213|CUS0011|PRO0004|16/10/2022|98|28710.86|Delivered
ORD0214|CUS0012|PRO0004|06/12/2024|44|14226.3|Pending
ORD0215|CUS0009|PRO9999|07/24/2024|99|Twenty Five Thousand|Cancelled
ORD0216|CUS0008|PRO0007|16/01/2023|-1|46105.28|Pending
ORD0217|CUS0020|PRO0003|08/09/2024|4|31020.64|Returned
ORD0012|CUS0001|PRO0013|08/31/2023|6|Twenty Five Thousand|cancelled
ORD0219|CUS0004|PRO0006|11/08/2024|247|38753.93|Returned
ORD0220|CUS0007|PRO0008|02/12/2024|238|1415.16|Cancelled
ORD0221|CUS0004|PRO0015|17/11/2022|266|1791.78|Returned
ORD0222|CUS0008|PRO0002|06/11/2023|88|30755.78|Returned
ORD0223|CUS0014|PRO0016|24/03/2023|243|37431.94|Returned
ORD0224|CUS0012|PRO0002|2023-12-02|196|27785.5|Delivered
ORD0225|CUS0003|PRO0003|03/13/2022|252|32082.31|pending
ORD0226|CUS0019|PRO0006|06/19/2023|244|6089.55|Pending
ORD0227|CUS0002|PRO0018|28-06-2022|183|12899.37|Cancelled
ORD0228|CUS0018|PRO0016|10/15/2023|126|47043.94|Pending
ORD0229|CUS0016|PRO0006|25/05/2023|-1|12980.33|Cancelled
ORD0230|CUS0010|PRO0002|2024-02-01|220|30082.12|Pending
ORD0231|CUS0018|PRO0002|25/12/2022|12|18896.54|Pending
ORD0232|CUS0018|PRO0007|30/11/2022|44|13480.4|Pending
ORD0233|CUS0014|PRO0018|01/04/2022|206|38223.54|Returned
ORD0195|CUS0018|PRO9999|03/15/2022|154|45797.7|Cancelled
ORD0235|CUS0008|PRO0010|07/13/2022|79|26150.42|Returned
ORD0236|CUS0012|PRO0014|2024-07-07|168|6195.28|Pending
ORD0237|CUS0011|PRO0007|2024-10-19|269|25441.61|Delivered
ORD0238|CUS0015|PRO0019|2023-10-31|234|38109.77|Returned
ORD0239|CUS0020|PRO0016|27/01/2022|237|20255.08|Pending
ORD0240|CUS0002|PRO0015|15/08/2024|123|35928.68|Delivered
ORD0241|CUS0012|PRO0007|26/01/2023|152||Returned
ORD0242|CUS0016|PRO0003|27-05-2022|128|40629.54|Pending
ORD0243|CUS0007|PRO0013|05-04-2023|118|31204.06|CANCELLED
ORD0244|CUS0014|PRO0016|29-06-2024|289|0|Pending
ORD0207|CUS0005|PRO9999|2023-07-15|203|22786.26|Cancelled
ORD0246|CUS0010|PRO0018|25-03-2024|6|16697.13|Pending
ORD0247|CUS0016|PRO0010|27/08/2023|30|38627.36|Cancelled
ORD0248|CUS0010|PRO0001|2024-06-28|72|22675.73|delivered
ORD0249|CUS0008|PRO9999|2023-12-09|163|19975.45|Pending
ORD0250|CUS0005|PRO0016|26/03/2024|91|27213.76|Cancelled
ORD0251|CUS0020|PRO0007|05/23/2023|185|18406.6|Delivered
ORD0252|CUS0014|PRO0011|08/13/2023|112|28635.94|Pending
ORD0253|CUS0002|PRO0017|01/14/2023|246|19538.69|Cancelled
ORD0254|CUS9999|PRO0001|22/11/2022|226|35325.52|Delivered
ORD0255|CUS0009|PRO0010|08/17/2022|118|-2257.55|Returned
ORD0107|CUS0009|PRO0010|21/04/2022|169|39403.66|Pending
ORD0257|CUS0003|PRO0005|07/16/2022|30|4483.66|Delivered
ORD0258|CUS0002|PRO0020|01/19/2024|233|42803.94|Pending
ORD0259|CUS0013|PRO0020|31/03/2024|248|27495.07|Pending
ORD0260|CUS0001|PRO0008|06-04-2023|33|7417.79|Cancelled
ORD0261|CUS0015|PRO0008|29/04/2024|127|27953.88|Returned
ORD0262|CUS0013|PRO0006|23-12-2024|185|42070.62|Delivered
ORD0263|CUS0018|PRO0020|2023-03-06|75||Pending
ORD0264|CUS0008|PRO0017|12/11/2023|197|1692.27|Returned
ORD0265|CUS0001|PRO0006|17/05/2022|296|41119.13|Returned
ORD0266|CUS0011|PRO0015|05/01/2023|61|24457.33|Cancelled
ORD0267|CUS0016|PRO0001|17/08/2023|30|10080.29|Delivered
ORD0268|CUS9999|PRO0017|11/30/2022|155|37426.83|Delivered
ORD0269|CUS0012|PRO0010|03/06/2022|155|6199.71|Delivered
ORD0270|CUS0002|PRO9999|20/04/2023|154|42818.77|Cancelled
ORD0271|CUS0012|PRO0018|2024-02-22|179|11919.21|Cancelled
ORD0272|CUS0020|PRO0014|08/30/2024|78|9773.28|Returned
INVALID_82|CUS0018|PRO0020|02-06-2023|41|Twenty Five Thousand|Cancelled
ORD0274|CUS0003|PRO0014|04/10/2024|20|34440.46|Cancelled
ORD0275|CUS0007|PRO0015|2024-07-10|139|41154.2|Delivered
ORD0276|CUS0013|PRO0016|21-04-2023|243|36686.05|Pending
ORD0277|CUS0002|PRO0005|22/08/2024|155|22196.88|Returned
ORD0278|CUS0015|PRO0007|22/01/2022|38|10887.99|Cancelled
ORD0279|CUS0009|PRO0005|08/27/2023|36|-2011.43|Delivered
ORD0211|CUS0005|PRO0007|2023-05-18|118|40415.87|Cancelled
ORD0281|CUS0001|PRO0006|2024-11-05|157|44108.23|Returned
ORD0282|CUS0001|PRO0005|2022-03-28|105|47735.6|Returned
ORD0283|CUS0007|PRO0005|10/12/2023|234|45232.12|Returned
ORD0284|CUS0001|PRO0003|2024-11-21|56|34676.4|Delivered
ORD0285|CUS0012|PRO0017|2023-11-06|88|-3843.41|Returned
ORD0223|CUS0010|PRO0003|07/01/2023|96|39742.0|Cancelled
ORD0287|CUS0017|PRO0012|02/12/2023|264|30707.24|cancelled
ORD0288|CUS0008|PRO0001|13/10/2024|138|24993.52|Returned
ORD0289|CUS0005|PRO0005|03-09-2022|123|-3622.16|Pending
ORD0290|CUS0003|PRO9999|15-11-2022|240|32363.59|Delivered
ORD0291|CUS0004|PRO0004|05/07/2024|209|31679.15|Delivered
ORD0292|CUS0017|PRO0019|12-12-2022|80|37502.38|Pending
ORD0293|CUS0002|PRO0006|22-08-2023|65|48107.44|Pending
ORD0294|CUS0020|PRO0018|18/10/2024|109|27145.05|Pending
INVALID_80|CUS0013|PRO0007|24/10/2022|20|37720.86|Delivered
ORD0296|CUS0014|PRO0003|23/09/2024|145|1873.31|DELIVERED
ORD0297|CUS0006|PRO0007|2022-04-09|14|44956.23|Delivered
ORD0298|CUS0019|PRO0005|14-02-2023|231|44991.37|Pending
ORD0299|CUS0011|PRO0017|08/25/2024|99|2784.47|Delivered
ORD0300|CUS9999|PRO0011|2024-10-02|267|35459.52|Returned
ORD0301|CUS0011|PRO0018|28-04-2022|247|10179.86|Pending
ORD0302|CUS0019|PRO0017|23-10-2022|238|1051.39|Cancelled
ORD0303|CUS0013|PRO0004|01/13/2022|245|38540.91|RETURNED
ORD0304|CUS0014|PRO0007|07/03/2023|69|41607.16|Returned
ORD0305|CUS0017|PRO0005|28/03/2022|94|27905.41|Cancelled
ORD0306|CUS0004|PRO0004|12/02/2024|255|39122.71|cancelled
ORD0307|CUS0001|PRO0014|07-11-2024|39|23341.43|Cancelled
ORD0308|CUS0020|PRO0017|03-01-2024|132|26461.83|Delivered
ORD0309|CUS0015|PRO0010|24-11-2023|181|17896.1|Cancelled
ORD0310|CUS0008|PRO0016|05/27/2022|243|18859.6|Delivered
ORD0311|CUS0014|PRO0018|06/27/2024|83|18057.21|Delivered
ORD0312|CUS0015|PRO0008|16-11-2024|240|27780.18|Returned
ORD0313|CUS0016|PRO0014|01/11/2023|64|29641.27|Pending
ORD0314|CUS0017|PRO0010|03/07/2023|10|45642.18|delivered
ORD0315|CUS0010|PRO0014|30-06-2023|169|33120.49|Cancelled
ORD0316|CUS0016|PRO0011|02/09/2022|54|49605.75|Delivered
ORD0317|CUS0002|PRO0016|16/03/2024|205|14308.57|Cancelled
ORD0318|CUS0009|PRO0007|04/01/2024|36|6084.0|Cancelled
ORD0319|CUS0014|PRO0017|03/16/2024|293|41475.79|Returned
ORD0320|CUS0020|PRO0019|2022-01-20|63||Cancelled
ORD0015|CUS0019|PRO0003|01/06/2024|9|20972.7|Returned
ORD0023|CUS0006|PRO0014|22-04-2024|141|16373.21|Pending
ORD0323|CUS0007|PRO0010|20/03/2023|220|22325.32|Returned
ORD0324|CUS0001|PRO0014|2024-05-07|290||Cancelled
ORD0325|CUS0018|PRO0010|15/01/2022|170|39666.51|Cancelled
ORD0326|CUS0012|PRO0003|05/06/2024|219|9197.56|Delivered
ORD0327|CUS0004|PRO0001|09/22/2023|258|20476.79|Pending
ORD0328|CUS0003|PRO0020|03/31/2024|291|9857.8|Delivered
ORD0329|CUS0018|PRO0013|2023-07-12|71|6546.24|Delivered
ORD0330|CUS0008|PRO0013|19/03/2022|162|40567.52|Pending
ORD0331|CUS0007|PRO0020|01/06/2022|151|42783.98|Returned
ORD0332|CUS0014|PRO0011|2024-10-25|114|22421.94|Pending
ORD0333|CUS0016|PRO0014|11/12/2022|92|18460.59|Pending
ORD0334|CUS0017|PRO0019|09/22/2024|45|13922.67|Cancelled
ORD0335|CUS0005|PRO9999|03/22/2022|174|38752.58|Cancelled
ORD0336|CUS0020|PRO0006|31-01-2022|39|48092.69|Delivered
ORD0337|CUS0012|PRO0009|01/18/2022|253|30712.64|Cancelled
ORD0338|CUS0020|PRO0020|25/07/2023|7|Twenty Five Thousand|Pending
ORD0339|CUS0011|PRO0014|30/07/2023|109|19414.99|Pending
ORD0340|CUS0003|PRO0006|10/28/2023|267|31759.06|Pending
ORD0341|CUS0019|PRO0020|11/10/2023|278|34508.17|Returned
ORD0342|CUS0009|PRO0001|31/01/2023|196|35870.32|Pending
ORD0343|CUS0005|PRO0012|24/11/2023|252|45871.87|Delivered
ORD0344|CUS0019|PRO0016|19-12-2022|292|27969.21|Pending
ORD0345|CUS0017|PRO0019|2022-07-31|32|34696.93|Cancelled
ORD0346|CUS0006|PRO0013|2022-05-13|24|0|Pending
ORD0347|CUS0008|PRO0010|13-09-2023|258|33102.56|Returned
ORD0348|CUS0013|PRO0007|02/21/2024|9|5534.81|Delivered
ORD0349|CUS0015|PRO0014|12/28/2023|224|1911.27|Delivered
ORD0350|CUS9999|PRO0007|2022-08-14|102|17746.75|Returned
ORD0351|CUS0007|PRO0007|03/07/2023|227|12381.88|Delivered
ORD0352|CUS0018|PRO0014|2024-03-20|46|28842.77|Cancelled
ORD0353|CUS0018|PRO0005|27-07-2024|148|27261.94|Pending
ORD0354|CUS0005|PRO0015|06/02/2023|267|42546.7|Returned
ORD0355|CUS0006|PRO0015|20-12-2024|147|12352.5|Returned
ORD0356|CUS0004|PRO0012|2023-05-22|97||Returned
ORD0229|CUS0014|PRO0015|2022-10-04|263|20204.6|Cancelled
ORD0358|CUS0018|PRO0008|2024-01-26|64|25385.3|Cancelled
ORD0359|CUS0015|PRO0014|2024-12-13|53|4826.51|Pending
ORD0360|CUS0020|PRO0002|03/08/2024|0|44066.3|Cancelled
ORD0361|CUS0014|PRO0008|2023-05-26|208||Cancelled
ORD0362|CUS0004|PRO0014|06/26/2024|151|44710.57|Cancelled
ORD0363|CUS0003|PRO0006|2022-11-17|170|Ten Thousand|Pending
ORD0364|CUS0017|PRO0001|05/24/2022|63|20700.28|Delivered
ORD0365|CUS0004|PRO0003|16-11-2022|75|16015.59|Pending
ORD0366|CUS0006|PRO0004|17/03/2022|90|36512.06|Delivered
ORD0367|CUS0004|PRO9999|04/24/2024|231|24432.57|Pending
ORD0368|CUS0017|PRO0003|2022-07-07|230|15211.32|Returned
ORD0369|CUS0011|PRO0011|04-05-2024|11|49594.7|Cancelled
ORD0370|CUS0010|PRO0020|2024-12-16|268|30149.04|Cancelled
ORD0371|CUS0006|PRO0008|04/13/2022|119|13366.99|Delivered
ORD0372|CUS0012|PRO0017|2024-07-11|265|27202.15|Cancelled
ORD0373|CUS0015|PRO0020|12/13/2024|255|45352.67|Delivered
ORD0374|CUS0018|PRO0020|25/12/2022|106|27808.82|Delivered
ORD0375|CUS0019|PRO0017|22/06/2023|290|0|Cancelled
ORD0376|CUS9999|PRO0020|2024-12-07|82||Returned
ORD0377|CUS0012|PRO0013|17-04-2023|2|36373.67|Pending
ORD0378|CUS0003|PRO0010|01/07/2024|130|39778.99|Pending
ORD0379|CUS0014|PRO0003|25-10-2024|16|35568.96|Returned
ORD0380|CUS0019|PRO0009|03/13/2022|47|40854.72|Delivered
