SupplierID,SupplierName,Country,Rating,LeadTimeDays
SUP0066,Crime,USA,90,68
SUP0067,Different,USA,87,288
SUP0068,Eye,China,37,153
SUP0069,Member,USA,284,0
SUP0070,Describe,Germany,214,84
SUP0071,Detail,Germany,282,161
SUP0072,Oil,India,219,262
SUP0073,Paper,USA,130,16
SUP0074,Red,China,234,48
SUP0075,These,Germany,115,282
SUP0076,Open,USA,118,260
SUP0077,Risk,India,9999,282
SUP0078,Player,UK,124,290
SUP0079,Amount,Germany,104,139
SUP0080,Hair,China,135,22
SUP0081,Ability,China,161,165
SUP0082,Bag,India,145,99
SUP0083,Night,Germany,12,61
SUP0040,Study,Germany,130,147
SUP0085,Administration,UK,245,59
SUP0086,Day,China,212,20
SUP0087,Majority,UK,151,110
SUP0088,Sense,China,79,267
SUP0089,Require,India,25,217
SUP0090,Receive,India,242,59
SUP0091,Check,UK,85,149
SUP0092,Firm,UK,196,109
SUP0093,Under,India,291,240
SUP0094,Success,UK,296,285
SUP0095,Fact,India,150,230
SUP0096,Would,China,282,190
SUP0097,Fill,china,230,249
SUP0098,Natural,Germany,200,252
SUP0099,Particularly,USA,121,299
SUP0100,Whom,Germany,83,60
SUP0101,Event,China,68,155
SUP0102,Whatever,India,97,117
SUP0103,Table,usa,208,258
SUP0104,Debate,Germany,204,30
SUP0105,Of,India,128,100
INVALID_78,Another,UK,119,227
SUP0107,Dog,China,2,16
SUP0108,Control,uk,224,51
SUP0109,Young,India,102,296
SUP0110,Step,USA,80,-1
INVALID_64,Film,USA,79,289
SUP0112,Travel,China,164,43
SUP0113,Off,Germany,201,214
SUP0114,Role,USA,293,33
SUP0115,From,USA,75,294
SUP0116,Speech,UK,268,41
SUP0117,Order,USA,201,294
SUP0118,Agency,UK,86,230
SUP0119,A,USA,221,206
SUP0120,Deep,India,133,266
SUP0121,Institution,USA,152,36
SUP0122,Three,India,251,110
INVALID_60,Either,UK,84,47
SUP0124,My,UK,162,52
SUP0125,Line,UK,23,2
SUP0126,Say,India,239,279
SUP0127,Best,China,36,188
SUP0128,Evidence,USA,137,39
INVALID_30,Politics,China,5,273
SUP0130,Floor,Germany,135,159
SUP0131,Onto,India,211,220
SUP0132,Feeling,China,288,142
SUP0133,Door,India,46,254
SUP0134,Focus,India,185,20
SUP0135,Us,India,18,163
SUP0136,Father,UK,117,142
SUP0137,Beyond,UK,55,144
SUP0138,She,China,220,157
SUP0139,Join,India,194,277
SUP0140,Before,Germany,9999,131
SUP0141,See,USA,127,260
SUP0142,Small,India,170,183
SUP0143,Name,Germany,158,264
SUP0144,Kind,India,235,115
SUP0145,Sound,uk,69,174
SUP0146,College,Germany,127,128
SUP0147,Type,India,0,0
SUP0148,Western,USA,169,279
SUP0149,Film,Germany,146,86
SUP0150,Cultural,India,14,281
SUP0151,Response,UK,245,84
SUP0152,Management,Germany,67,206
SUP0072,Every,India,178,104
SUP0154,Sit,USA,79,210
SUP0155,Production,USA,54,0
SUP0156,Thank,USA,47,200
SUP0157,Knowledge,China,173,64
SUP0158,Action,china,291,0
SUP0159,Approach,USA,222,157
SUP0120,Lot,China,205,137
SUP0161,Condition,China,34,29
SUP0162,Perform,USA,172,298
SUP0163,Thought,Germany,286,72
SUP0164,Other,USA,50,231
SUP0165,Major,China,97,52
SUP0166,Modern,India,145,81
SUP0167,Fill,India,71,13
SUP0168,Likely,USA,209,13
SUP0169,Hear,China,85,117
SUP0049,Life,germany,55,75
SUP0171,Growth,China,7,232
SUP0172,Get,China,119,27
SUP0173,Better,UK,31,202
SUP0174,Base,China,32,174
SUP0038,By,UK,108,192
SUP0176,Condition,UK,144,12
SUP0177,Lawyer,Germany,295,232
SUP0178,Fear,UK,21,184
SUP0179,Recognize,China,250,136
SUP0180,Alone,USA,118,150
SUP0115,Whom,Germany,213,277
SUP0182,Soldier,Germany,260,68
SUP0183,Small,China,247,264
SUP0045,Decade,China,32,262
SUP0185,Present,UK,146,65
SUP0186,Around,UK,41,195
SUP0187,Control,India,133,112
SUP0188,Pass,UK,112,38
SUP0189,Seem,UK,42,164
SUP0190,View,Germany,219,106
SUP0191,Mrs,Germany,7,99
SUP0192,Collection,India,166,2
SUP0193,On,USA,244,265
SUP0003,Evidence,UK,190,55
SUP0195,Same,USA,249,7
SUP0196,Today,Germany,220,51
INVALID_30,Way,India,176,278
SUP0198,Media,USA,134,60
SUP0199,Walk,USA,209,220
SUP0200,Theory,China,299,80
SUP0201,Smile,UK,73,55
SUP0202,Will,India,17,122
SUP0180,First,China,242,165
SUP0204,Impact,USA,123,88
INVALID_35,Maintain,Usa,190,14
SUP0206,Purpose,UK,38,29
SUP0207,Soon,USA,29,215
SUP0208,Else,China,16,120
SUP0209,Might,Usa,56,66
SUP0210,Should,USA,98,153
SUP0211,Fly,USA,145,245
SUP0212,Part,UK,111,1
SUP0213,Turn,UK,209,256
SUP0214,Top,UK,61,34
SUP0215,Point,Germany,88,-1
SUP0216,Join,UK,147,173
SUP0217,View,USA,259,56
SUP0218,Task,INDIA,255,132
SUP0219,Address,Germany,294,236
SUP0220,What,UK,96,114
SUP0221,Present,USA,-1,196
SUP0222,Available,China,220,197
SUP0223,Every,germany,155,0
SUP0224,Wish,Germany,253,111
SUP0225,Price,India,229,182
SUP0122,At,UK,229,90
SUP0227,Moment,USA,140,49
SUP0228,Arm,UK,181,15
SUP0229,Debate,Germany,45,290
SUP0230,She,UK,106,64
INVALID_90,Go,Germany,64,90
SUP0232,Message,India,69,64
SUP0233,Who,UK,90,252
SUP0234,Right,UK,113,118
SUP0235,Very,Germany,206,95
SUP0236,Letter,UK,145,222
SUP0237,Perform,Germany,229,206
SUP0238,Conference,China,109,119
SUP0239,Where,Germany,95,48
INVALID_45,Candidate,UK,146,114
SUP0241,Big,Germany,27,3
SUP0242,Again,USA,18,198
SUP0243,Style,China,243,260
SUP0244,Mention,USA,-1,165
SUP0245,Push,India,213,214
SUP0246,Member,UK,83,11
SUP0247,Material,India,268,166
SUP0248,Oil,China,244,0
SUP0249,Knowledge,China,223,232
SUP0250,Sort,Germany,16,0
SUP0251,Entire,China,38,77
SUP0252,Half,China,53,213
SUP0253,From,USA,57,125
INVALID_20,Next,china,130,265
SUP0255,Standard,USA,292,189
SUP0256,Court,China,209,152
SUP0257,Product,China,129,50
SUP0258,Sure,UK,233,278
SUP0259,Recently,INDIA,91,10
SUP0260,Performance,India,287,271
SUP0261,Safe,USA,266,182
SUP0262,Clear,Germany,265,276
SUP0263,Scientist,UK,174,133
SUP0264,Quality,China,267,99
SUP0265,Piece,USA,46,33
SUP0266,Perhaps,UK,171,270
SUP0267,Admit,UK,295,236
SUP0268,Pattern,Germany,275,99
SUP0269,Friend,Germany,229,108
SUP0270,Administration,Germany,15,207
SUP0271,Culture,Germany,72,270
SUP0272,Its,Germany,201,261
SUP0273,Nearly,UK,151,112
SUP0274,Medical,China,232,62
SUP0275,Center,USA,23,277
SUP0276,Energy,Germany,183,117
SUP0277,Along,India,49,141
SUP0278,Item,China,129,52
SUP0279,Federal,UK,33,73
SUP0280,Claim,UK,84,215
SUP0281,Behind,India,206,104
SUP0282,Tough,India,70,117
SUP0283,Small,INDIA,49,103
SUP0284,Score,UK,280,3
SUP0285,Foreign,UK,95,92
SUP0286,Ago,USA,105,74
SUP0287,Sound,Germany,67,272
SUP0288,Relate,USA,20,120
SUP0289,Air,China,232,93
SUP0290,Forward,UK,243,71
SUP0291,School,UK,31,149
SUP0292,Campaign,UK,60,0
INVALID_17,Member,China,6,93
SUP0294,Term,China,136,96
SUP0295,Fall,USA,191,158
SUP0296,Bit,China,237,214
SUP0297,Upon,China,79,235
SUP0298,Event,India,44,30
SUP0299,Decide,UK,163,9999
SUP0300,Need,India,213,5
SUP0301,Would,USA,34,-1
SUP0302,Around,UK,272,126
SUP0303,Finally,India,208,175
SUP0304,Charge,UK,233,73
SUP0305,Eat,India,202,121
SUP0306,Dream,USA,25,76
SUP0307,Development,China,137,224
SUP0308,Worry,UK,296,130
SUP0309,Former,China,268,87
SUP0310,Though,USA,243,131
INVALID_58,Purpose,UK,190,179
SUP0312,Remain,UK,193,113
SUP0313,Or,China,114,234
SUP0314,Director,USA,241,266
SUP0315,Everyone,USA,99,261
SUP0316,Office,Germany,259,194
SUP0317,Reach,UK,87,16
SUP0318,Better,USA,112,13
SUP0319,So,India,186,-1
SUP0320,Home,UK,19,93
SUP0321,Hit,UK,6,5
SUP0322,Order,USA,127,206
SUP0323,Discuss,USA,142,156
SUP0324,None,China,168,256
SUP0004,Describe,USA,131,189
SUP0326,Concern,Germany,38,281
SUP0327,Player,China,265,266
SUP0328,Firm,USA,260,129
SUP0329,Investment,China,58,-1
SUP0330,Father,China,285,141
SUP0331,Bill,USA,263,25
SUP0332,Woman,germany,228,106
SUP0333,Buy,Germany,255,106
SUP0334,Suffer,USA,216,59
SUP0335,West,UK,177,259
SUP0336,Budget,Germany,274,190
SUP0337,Stock,USA,266,143
SUP0338,Challenge,China,245,58
SUP0339,Talk,China,289,84
SUP0340,Per,UK,90,241
SUP0341,Much,Uk,281,150
SUP0342,Road,UK,54,62
SUP0343,I,India,126,62
SUP0344,Even,China,182,196
SUP0345,Also,USA,207,245
SUP0346,Happen,China,132,268
SUP0347,Fact,USA,151,127
SUP0348,Recently,India,234,166
SUP0349,Forward,UK,164,210
SUP0350,Everyone,USA,174,209
SUP0351,Rock,UK,42,6
SUP0352,Brother,Uk,285,236
SUP0353,Throw,China,49,-1
SUP0354,Name,Germany,214,71
SUP0355,According,China,246,265
SUP0356,Customer,India,246,124
SUP0357,Head,USA,161,110
SUP0358,Friend,UK,244,40
SUP0359,End,India,81,160
SUP0360,Available,India,61,14
SUP0361,Compare,India,96,226
SUP0362,Cold,USA,105,187
SUP0363,Group,Germany,0,214
SUP0364,Walk,USA,94,296
SUP0365,Everybody,USA,125,95
SUP0366,Wide,China,221,26
SUP0367,Small,China,246,183
SUP0368,Claim,USA,60,3
SUP0369,Whole,India,30,50
SUP0060,Mean,India,9999,286
SUP0371,Hard,UK,48,147
SUP0372,Admit,China,29,50
SUP0373,General,UK,297,252
SUP0374,Anything,USA,194,199
SUP0375,Matter,Germany,288,124
SUP0376,Partner,UK,74,53
SUP0377,Production,UK,67,269
SUP0378,Center,UK,207,175
SUP0379,Save,Germany,162,232
SUP0380,Most,Germany,70,117
SUP0381,Ball,UK,87,235
SUP0382,Man,India,217,132
SUP0383,Ready,India,137,226
SUP0384,One,usa,223,215
SUP0385,Forget,Germany,87,25
SUP0386,Could,UK,181,233
SUP0387,Push,Germany,128,158
SUP0388,Professor,China,10,34
SUP0389,Far,UK,96,147
SUP0390,Blue,India,186,72
SUP0391,Or,UK,126,154
SUP0168,Expert,Usa,223,20
INVALID_40,Bed,India,275,181
SUP0394,Same,USA,194,9
SUP0395,Worker,UK,262,240
SUP0396,Window,USA,216,162
SUP0397,Action,India,16,240
SUP0398,Treat,India,45,255
SUP0399,Effort,India,83,50
SUP0400,Anything,China,124,190
SUP0401,Time,UK,68,20
SUP0402,Today,UK,102,290
SUP0403,Who,Germany,-1,238
SUP0404,Skin,India,128,-1
SUP0405,Wall,India,98,183
SUP0240,People,USA,41,223
SUP0407,Newspaper,UK,119,143
SUP0408,Place,India,44,246
SUP0409,Body,China,20,59
SUP0105,Friend,India,177,242
SUP0141,Four,China,122,258
SUP0412,Evidence,Germany,92,189
SUP0413,Series,China,289,32
SUP0414,Whose,China,-1,93
SUP0415,Image,India,91,85
SUP0416,Particular,India,203,104
SUP0417,Cultural,China,31,225
SUP0418,Name,India,197,280
SUP0419,Create,UK,84,187
SUP0420,Service,USA,82,25
SUP0421,Father,China,186,94
SUP0422,Marriage,UK,288,134
SUP0423,Need,INDIA,190,286
SUP0424,Suggest,USA,293,134
SUP0425,Forget,USA,216,60
SUP0426,Wrong,USA,9999,120
SUP0427,Site,India,60,112
SUP0428,Good,China,151,290
SUP0429,Race,India,236,111
SUP0430,Meeting,Germany,127,229
SUP0431,Film,USA,239,169
SUP0432,Author,India,33,185
SUP0433,Lose,Germany,217,188
SUP0434,Will,India,89,292
SUP0435,American,India,39,140
SUP0436,Mention,CHINA,245,9999
SUP0437,As,China,18,49
SUP0438,Put,Germany,52,295
SUP0439,You,China,164,129
SUP0440,Dog,India,34,240
SUP0441,Official,India,84,111
SUP0442,Recognize,India,33,106
SUP0443,Record,UK,97,202
SUP0444,Have,india,66,110
SUP0445,Around,USA,63,90
SUP0446,Field,China,250,54
SUP0447,How,China,199,278
SUP0448,Expert,China,0,176
SUP0449,Direction,Germany,263,282
SUP0450,Opportunity,India,152,154
SUP0451,Charge,India,277,179
SUP0452,Result,INDIA,50,67
SUP0453,Itself,USA,245,200
SUP0454,Small,UK,209,136
SUP0455,Executive,UK,252,154
SUP0456,Course,India,110,50
SUP0457,Sister,India,122,74
SUP0458,Pay,India,254,77
SUP0459,Approach,China,18,268
SUP0460,Product,India,31,252
SUP0461,Evening,USA,114,-1
SUP0462,Region,UK,135,154
SUP0463,Subject,Germany,100,266
SUP0464,Simply,UK,279,176
SUP0465,View,China,180,102
SUP0466,Bar,Germany,69,65
SUP0467,Need,UK,61,222
SUP0468,School,Germany,13,213
SUP0469,Experience,UK,24,185
SUP0375,Nearly,USA,141,220
SUP0471,Travel,Germany,33,1
SUP0472,Hundred,India,276,171
SUP0473,Decade,UK,-1,253
SUP0474,Affect,India,123,277
SUP0475,Big,Germany,2,63
SUP0476,Serious,UK,148,185
SUP0477,Do,Germany,114,209
SUP0478,Last,Germany,64,50
SUP0479,Difference,India,18,146
SUP0480,Young,Germany,149,5
SUP0481,Pick,India,163,226
SUP0469,President,UK,275,233
SUP0483,Then,UK,268,0
SUP0484,Report,USA,16,233
SUP0485,Where,UK,200,226
SUP0486,Trip,Germany,233,159
SUP0422,Night,USA,220,227
SUP0488,Town,Germany,110,34
SUP0489,Example,UK,169,112
INVALID_20,Recognize,UK,23,39
SUP0491,Now,USA,283,132
SUP0492,Manage,UK,222,262
SUP0493,Which,Germany,246,48
SUP0494,Follow,UK,242,271
SUP0495,Mouth,India,253,-1
SUP0496,Herself,China,146,233
INVALID_89,Attack,India,23,229
SUP0498,Leave,China,253,210
SUP0499,Thousand,China,131,291
SUP0500,Watch,UK,156,206
SUP0501,Success,USA,12,298
SUP0502,History,UK,44,72
SUP0503,Might,CHINA,246,100
SUP0504,Cold,China,50,298
SUP0505,Contain,Uk,81,137
SUP0506,Technology,USA,37,249
SUP0507,Consider,uk,145,74
INVALID_19,Involve,UK,83,76
SUP0296,Prevent,UK,253,298
SUP0510,Sound,India,32,12
SUP0511,Worker,Germany,108,101
SUP0512,Ago,USA,101,28
SUP0513,Attention,India,162,38
SUP0514,Heart,USA,135,259
SUP0515,Try,UK,147,250
SUP0516,Seek,germany,175,174
SUP0517,He,China,250,3
SUP0518,Direction,USA,132,51
SUP0519,Something,China,96,296
SUP0520,Leave,UK,297,233
SUP0521,Example,Germany,252,193
SUP0276,More,Germany,64,270
SUP0523,Only,Germany,30,117
SUP0524,Program,Germany,143,222
SUP0525,Attention,Germany,127,104
SUP0526,Actually,USA,19,298
SUP0527,Maintain,China,265,1
SUP0528,Successful,USA,89,107
SUP0529,Parent,germany,101,256
SUP0530,Glass,China,248,292
SUP0531,Economy,Germany,126,206
INVALID_84,Yeah,UK,229,153
SUP0533,Make,Germany,239,262
SUP0534,Strong,UK,145,255
SUP0535,Us,CHINA,149,224
SUP0536,Than,Germany,270,260
SUP0537,Quite,UK,139,168
SUP0538,Low,UK,118,126
SUP0539,Scene,China,114,276
SUP0540,School,India,212,152
SUP0541,Site,USA,262,135
SUP0542,Forget,USA,247,118
SUP0543,Capital,China,281,135
SUP0544,Rather,Germany,143,49
SUP0545,Teach,India,164,291
SUP0546,Letter,India,50,162
SUP0547,Effect,USA,224,135
SUP0548,Right,Germany,21,209
SUP0549,Individual,UK,142,62
SUP0550,Wait,India,255,198
SUP0551,Present,India,189,248
SUP0552,Accept,Germany,52,168
SUP0553,Think,USA,18,248
SUP0554,Improve,USA,3,83
SUP0555,Second,USA,73,86
SUP0556,Else,China,255,182
SUP0557,Record,China,78,128
SUP0558,Lead,China,34,178
SUP0559,True,India,247,57
SUP0560,Consumer,Germany,288,122
SUP0561,Break,USA,149,126
SUP0562,Sense,China,76,11
SUP0563,More,China,149,262
SUP0564,Rich,UK,187,196
SUP0565,Office,India,269,79
SUP0566,Change,China,29,292
SUP0567,Analysis,UK,59,78
SUP0568,Senior,Uk,214,26
SUP0569,Region,Germany,131,217
SUP0570,System,INDIA,19,179
SUP0571,Majority,India,261,124
SUP0572,Southern,UK,16,85
SUP0573,Stop,India,0,295
SUP0574,Common,India,44,177
SUP0460,Suddenly,China,140,64
SUP0576,Detail,Germany,215,290
SUP0577,Weight,UK,9,247
SUP0578,Seat,China,92,95
SUP0579,While,China,-1,52
SUP0580,Only,India,167,278
SUP0581,Themselves,UK,181,182
SUP0582,Trouble,USA,239,189
SUP0583,Home,UK,228,243
SUP0584,Process,UK,9999,279
SUP0585,Politics,UK,272,291
INVALID_56,Particularly,China,179,277
SUP0587,Require,India,68,5
SUP0588,Of,Germany,145,222
SUP0589,Hit,USA,42,291
SUP0590,Identify,Germany,182,125
SUP0591,Vote,USA,44,3
SUP0592,However,Germany,300,291
SUP0593,Party,China,89,42
SUP0594,Finish,UK,232,200
SUP0595,See,Germany,189,58
SUP0596,Likely,USA,-1,151
SUP0597,Campaign,India,-1,9
SUP0598,Unit,Germany,246,83
SUP0599,Only,USA,85,181
SUP0600,Blue,Germany,114,124
SUP0601,Radio,USA,245,175
SUP0602,Majority,China,173,208
SUP0603,Policy,Germany,0,140
SUP0335,Industry,India,264,54
SUP0605,More,UK,28,2
SUP0606,North,Germany,153,92
SUP0607,Discussion,UK,91,168
INVALID_43,Knowledge,India,148,274
SUP0609,Store,Germany,189,146
SUP0610,She,USA,236,97
SUP0611,Evening,Germany,225,210
SUP0612,Past,uk,124,217
SUP0613,Draw,UK,9999,20
SUP0614,Whose,Germany,85,27
SUP0615,Represent,USA,9999,138
SUP0616,During,USA,51,226
SUP0617,Happen,USA,54,118
SUP0618,Save,USA,275,10
SUP0619,Early,China,210,196
SUP0620,Explain,India,142,224
SUP0621,Nation,India,218,52
SUP0622,Detail,China,204,195
SUP0623,Control,USA,292,31
SUP0624,Explain,USA,258,43
SUP0625,Military,China,90,53
SUP0626,Possible,India,293,21
SUP0627,Partner,India,253,95
SUP0628,Care,USA,84,182
SUP0629,Performance,UK,237,61
SUP0630,Important,UK,38,117
SUP0563,Budget,Germany,249,88
SUP0632,About,China,32,252
SUP0633,Player,Germany,191,132
SUP0634,Organization,India,107,124
SUP0635,Blood,india,3,45
SUP0636,Recently,China,163,220
SUP0637,Majority,USA,182,189
SUP0638,Identify,China,94,219
SUP0639,Ground,germany,296,144
SUP0640,Full,USA,172,54
SUP0641,Wall,India,16,296
SUP0642,Fund,Germany,236,43
SUP0643,Modern,UK,59,256
SUP0644,Along,China,79,106
SUP0031,Past,china,11,221
SUP0646,Feel,UK,247,193
SUP0647,But,UK,259,155
SUP0648,Television,China,41,237
SUP0649,Themselves,Germany,38,294
SUP0650,Sister,China,140,249
SUP0651,Final,UK,27,296
SUP0652,Same,Germany,88,141
SUP0653,Which,USA,192,94
SUP0654,Look,Germany,45,202
SUP0655,He,India,0,59
SUP0656,Box,India,223,33
SUP0657,Sport,USA,121,105
SUP0658,Last,UK,243,281
SUP0659,Mind,UK,220,12
SUP0660,Race,Germany,270,45
SUP0661,Standard,India,231,255
SUP0662,Short,Germany,108,218
SUP0663,Through,China,27,131
SUP0664,Enough,India,53,68
SUP0665,Democrat,Germany,280,144
SUP0666,Well,India,93,122
SUP0667,Season,UK,171,220
SUP0668,Catch,USA,54,61
SUP0669,Last,UK,274,249
SUP0670,Else,Germany,280,66
SUP0671,Art,China,12,69
SUP0672,Improve,UK,167,241
SUP0673,Road,Germany,111,-1
SUP0674,Level,Germany,19,145
SUP0675,In,India,34,26
INVALID_63,West,China,34,295
SUP0677,Student,USA,95,214
SUP0678,Write,UK,74,108
SUP0679,North,India,158,232
SUP0680,Throughout,USA,195,297
SUP0681,Wear,UK,221,233
SUP0682,Player,Germany,21,165
SUP0683,There,India,47,247
SUP0684,Region,India,21,97
SUP0685,Forget,USA,110,246
SUP0686,Marriage,UK,43,66
SUP0687,Fear,China,266,210
SUP0688,Nation,India,266,240
SUP0689,Someone,UK,34,238
SUP0690,Activity,Germany,115,81
SUP0691,Television,India,225,100
SUP0228,Which,China,208,75
SUP0693,Reason,India,63,108
SUP0694,Save,USA,295,256
SUP0695,Leader,India,263,38
SUP0696,Here,Germany,114,17
SUP0697,Rate,USA,292,44
SUP0698,System,China,260,196
SUP0699,Guy,China,274,205
SUP0700,Throughout,China,32,3
SUP0701,Miss,India,222,273
SUP0702,Else,Germany,216,194
SUP0703,Later,China,218,184
SUP0704,Base,germany,106,28
SUP0705,Public,China,298,22
SUP0706,Positive,China,136,238
SUP0707,Cold,Germany,17,141
SUP0708,Clear,UK,55,149
SUP0429,Whose,China,109,169
SUP0710,Main,UK,128,-1
SUP0711,Current,Germany,287,84
SUP0712,Situation,China,169,13
SUP0713,Simple,India,111,61
SUP0714,Act,India,175,129
SUP0715,Know,UK,118,120
SUP0716,Very,UK,225,39
SUP0717,Former,Germany,281,240
SUP0718,But,China,95,186
SUP0719,Lose,USA,101,181
SUP0720,Key,UK,47,104
SUP0721,Why,China,250,121
SUP0722,Will,UK,188,0
SUP0723,Act,USA,246,222
SUP0724,Spring,India,135,30
SUP0725,Popular,China,202,98
SUP0726,Stand,USA,137,71
SUP0727,Drop,uk,17,149
SUP0728,Respond,GERMANY,15,93
SUP0729,Daughter,India,82,110
SUP0730,Investment,Germany,223,252
SUP0731,Finish,INDIA,129,202
SUP0732,Answer,INDIA,8,85
SUP0733,Beyond,USA,19,51
SUP0734,Green,CHINA,169,256
SUP0735,While,India,256,211
SUP0736,Place,India,298,188
SUP0737,Wrong,USA,199,9
SUP0738,Author,Germany,133,163
SUP0739,Learn,India,202,189
SUP0740,Visit,UK,190,157
SUP0741,Where,India,43,35
SUP0742,Truth,India,97,82
SUP0743,Line,Germany,71,266
SUP0744,Majority,UK,194,112
SUP0745,But,India,131,183
SUP0746,A,Germany,258,51
SUP0747,Within,India,195,144
SUP0748,Room,GERMANY,38,22
SUP0749,Large,UK,264,180
SUP0750,Mouth,uk,277,76
SUP0751,News,USA,274,237
SUP0752,Marriage,Germany,128,293
SUP0753,So,Germany,183,172
SUP0754,Hospital,India,252,15
SUP0099,Answer,India,25,109
SUP0756,Wear,Germany,284,28
SUP0757,Accept,UK,261,42
SUP0758,Nearly,UK,23,156
SUP0660,Agent,USA,129,281
SUP0760,Special,UK,242,60
SUP0761,South,UK,161,272
SUP0762,Nation,USA,120,251
SUP0763,Theory,China,31,260
SUP0764,Step,China,105,259
SUP0765,Able,Germany,296,284
SUP0766,Play,India,67,199
SUP0767,Buy,CHINA,268,146
SUP0768,Author,UK,153,73
SUP0769,Eat,Germany,250,9999
SUP0770,Professional,USA,144,118
SUP0771,Cell,UK,62,53
SUP0772,Step,uk,258,43
SUP0773,Customer,Germany,133,109
SUP0774,Like,USA,64,235
SUP0775,Left,USA,85,45
SUP0776,Room,USA,154,-1
SUP0777,Table,UK,0,121
INVALID_75,Get,USA,225,23
SUP0779,Peace,China,160,249
INVALID_88,Ball,India,75,170
SUP0354,Sister,India,300,165
SUP0782,Candidate,Germany,205,282
SUP0783,Hour,China,9999,70
SUP0128,Meet,UK,166,48
SUP0785,Rich,China,273,219
SUP0786,Environment,China,271,108
SUP0787,Make,USA,210,39
SUP0788,Stand,UK,6,146
SUP0789,Technology,UK,293,124
SUP0790,Body,UK,269,262
SUP0791,Report,India,15,163
SUP0792,Along,USA,271,224
SUP0793,Million,USA,42,190
SUP0794,System,usa,183,275
SUP0795,Become,india,48,264
SUP0796,American,India,44,87
SUP0797,Include,Germany,101,92
SUP0798,Recognize,India,68,233
SUP0799,Herself,Germany,267,9999
SUP0800,Believe,India,122,87
SUP0801,Next,China,60,55
SUP0802,Serious,UK,272,108
SUP0803,Wrong,uk,16,277
SUP0804,Easy,India,60,271
SUP0805,Sense,China,27,96
SUP0806,Party,USA,67,185
SUP0205,Final,USA,209,297
SUP0808,Case,UK,65,45
SUP0809,Character,UK,91,297
SUP0810,Adult,China,167,48
SUP0811,Couple,china,222,16
SUP0812,So,USA,40,292
SUP0813,Argue,India,7,0
SUP0814,Reason,India,55,114
SUP0815,Teacher,India,177,80
SUP0816,Western,USA,188,125
SUP0817,Air,China,241,34
SUP0818,Gas,USA,168,129
SUP0819,Though,UK,113,200
SUP0820,Four,Germany,181,19
SUP0821,Many,USA,6,283
SUP0822,Everything,USA,166,270
SUP0823,I,UK,252,70
SUP0824,Around,Germany,189,0
SUP0825,Court,India,131,261
SUP0826,Next,USA,88,271
SUP0827,Stuff,Germany,81,239
SUP0828,Commercial,Germany,148,33
SUP0829,Wonder,GERMANY,104,239
INVALID_27,Agree,China,8,73
SUP0831,Future,India,208,284
SUP0832,Scene,india,65,9999
SUP0833,Point,China,69,174
SUP0834,Fall,China,149,22
SUP0835,Among,Germany,191,251
SUP0836,Yard,India,98,83
SUP0837,Class,Germany,278,211
SUP0838,Defense,China,221,152
SUP0839,List,Germany,205,34
SUP0840,Also,UK,260,207
SUP0841,Blood,UK,216,276
SUP0842,Whole,Germany,225,252
SUP0843,American,Germany,82,201
SUP0844,Probably,China,170,186
SUP0845,Suddenly,India,214,38
SUP0846,Condition,India,10,53
