ProductID,ProductName,Category,Price,StockQty,SupplierID,Status,ExtraColumn
PRO0032,Glenda Miller,Sports,31168.11,13,SUP0016,Country,EXTRA_DATA
PRO0033,Travis Potter,Clothing,29226.24,172,SUP0015,Save,EXTRA_DATA
PRO0034,Brandon Carey,Sports,0,-1,SUP0011,Car,EXTRA_DATA
PRO0035,Robert Miller,Books,6227.58,26,SUP0014,Ten,EXTRA_DATA
PRO0036,Teresa Hardy,Books,Twenty Five Thousand,154,SUP0009,Fly,EXTRA_DATA
PRO0037,Jonathan Zavala,Electronics,34927.43,115,SUP0006,Meeting,EXTRA_DATA
PRO0038,Lisa Mccoy,Books,25984.52,193,SUP0003,Range,EXTRA_DATA
PRO0039,James Nash,Sports,44791.75,219,SUP0005,Building,EXTRA_DATA
PRO0040,Jennifer Davis,Furniture,46868.16,236,SUP0017,Choice,EXTRA_DATA
PRO0041,Amy Ortiz,Books,47519.4,31,SUP0018,Determine,EXTRA_DATA
INVALID_73,  Kayla Rodriguez  ,Sports,24023.05,0,SUP0013,Main,EXTRA_DATA
PRO0043,Brandy Lynch,Grocery,15336.61,201,SUP9999,Develop,EXTRA_DATA
PRO0044,Ann Holland,Clothing,27472.62,244,SUP0006,Play,EXTRA_DATA
PRO0045,Randy Barnes,Grocery,37293.02,264,SUP0010,Behind,EXTRA_DATA
PRO0046,Michael Haynes,Furniture,44745.8,118,SUP0017,Table,EXTRA_DATA
PRO0047,Peter Berg,Sports,26080.55,0,SUP0004,Career,EXTRA_DATA
PRO0048,Colleen Lowe,Clothing,Ten Thousand,160,SUP0006,So,EXTRA_DATA
PRO0049,Jennifer Gray,Grocery,15442.57,236,SUP0012,Model,EXTRA_DATA
PRO0050,Jessica Henson,Grocery,48275.49,129,SUP0020,On,EXTRA_DATA
PRO0051,Lucas Hernandez,Clothing,6228.75,99,SUP0007,Deep,EXTRA_DATA
PRO0052,  Clarence Craig  ,Sports,12396.68,-1,SUP0004,Organization,EXTRA_DATA
PRO0053,Thomas Malone,Electronics,45307.98,123,SUP0017,Term,EXTRA_DATA
PRO0054,Nicholas Hardin,Clothing,36155.26,269,SUP0018,Out,EXTRA_DATA
PRO0055,Christina Cox,Clothing,38453.2,9999,SUP0007,Close,EXTRA_DATA
PRO0056,David Smith,Sports,1508.91,221,SUP0011,Evidence,EXTRA_DATA
PRO0057,Ashley Reilly,Grocery,3499.21,59,SUP0017,Candidate,EXTRA_DATA
PRO0058,Annette Ryan,Electronics,41738.14,242,SUP0018,Education,EXTRA_DATA
PRO0059,  Craig Stein  ,Sports,26665.77,225,SUP0011,Protect,EXTRA_DATA
PRO0060,Thomas Vasquez,Electronics,35738.0,4,SUP0017,Above,EXTRA_DATA
PRO0061,Lynn Sanchez,Sports,11730.73,194,SUP0019,Guess,EXTRA_DATA
PRO0062,  Laurie Gentry  ,Clothing,46744.92,145,SUP0015,Inside,EXTRA_DATA
PRO0063,  David Jackson  ,Sports,22417.05,273,SUP0020,Open,EXTRA_DATA
PRO0064,Megan Jensen,Sports,35223.29,1,SUP0015,Pattern,EXTRA_DATA
INVALID_54,Calvin Gibson,Sports,,246,SUP0008,Challenge,EXTRA_DATA
PRO0066,Adam Patel,Furniture,8194.33,90,SUP0012,Relate,EXTRA_DATA
PRO0067,Vincent Gibson,Grocery,31322.99,150,SUP0020,Friend,EXTRA_DATA
PRO0068,Sean Hoover,Sports,0,28,SUP0016,Town,EXTRA_DATA
PRO0069,Vanessa Harrington,Furniture,26855.71,21,SUP0003,Down,EXTRA_DATA
PRO0070,Barbara Mullins,Books,36494.03,168,SUP0011,Fill,EXTRA_DATA
PRO0071,Ashley Poole,Electronics,25390.21,48,SUP0011,Management,EXTRA_DATA
PRO0072,Leah Stone,Sports,27094.09,242,SUP0010,Least,EXTRA_DATA
PRO0073,Ryan Santiago,electronics,10734.78,180,SUP0013,Everyone,EXTRA_DATA
PRO0074,Jessica Hale,Clothing,44611.0,255,SUP0012,Reach,EXTRA_DATA
PRO0075,Linda Rivera,Grocery,24725.1,206,SUP0013,Small,EXTRA_DATA
PRO0076,Curtis Hall,Grocery,39771.32,112,SUP0010,Man,EXTRA_DATA
PRO0077,Edward Wise,Grocery,48516.32,146,SUP0011,Effect,EXTRA_DATA
PRO0078,Kayla Mccall,Books,38563.55,204,SUP0020,Different,EXTRA_DATA
PRO0079,Robert Valenzuela,Electronics,22079.86,168,SUP0008,Week,EXTRA_DATA
PRO0080,Robert Alvarez,Furniture,43153.9,7,SUP9999,Per,EXTRA_DATA
PRO0081,  Ashley Cooley  ,Furniture,15140.25,83,SUP0007,Upon,EXTRA_DATA
PRO0082,  Crystal Carr  ,Clothing,22626.71,292,SUP0020,Control,EXTRA_DATA
PRO0083,Jessica Rodriguez,Grocery,12921.52,14,SUP9999,Move,EXTRA_DATA
INVALID_6,Joseph Lee,Books,39401.79,50,SUP0006,Final,EXTRA_DATA
PRO0085,Brandon French,Furniture,16518.43,221,SUP0005,Explain,EXTRA_DATA
PRO0086,Sandra Bush,Books,45579.11,26,SUP0008,Professor,EXTRA_DATA
PRO0087,Andrew Nunez,Grocery,Five Hundred,153,SUP0012,Upon,EXTRA_DATA
PRO0088,Lorraine Wang,Books,28405.2,1,SUP0013,Significant,EXTRA_DATA
PRO0089,Larry Sims,Grocery,32070.96,180,SUP0002,Learn,EXTRA_DATA
PRO0090,Anna Baker,Clothing,2998.83,198,SUP0012,Fight,EXTRA_DATA
PRO0091,Jerry Murray,Sports,20302.91,191,SUP0011,Put,EXTRA_DATA
PRO0092,Steven Williams,ELECTRONICS,9111.93,0,SUP0004,Oil,EXTRA_DATA
PRO0093,Elizabeth Rodriguez,Books,,282,SUP0011,Glass,EXTRA_DATA
PRO0094,Austin Turner,Sports,36689.23,16,SUP0015,Open,EXTRA_DATA
PRO0095,Cassandra Schneider,Electronics,,262,SUP0014,Create,EXTRA_DATA
PRO0096,Daniel Stevens,Grocery,,15,SUP0009,Suggest,EXTRA_DATA
PRO0097,  James Mccarthy  ,Books,47363.91,262,SUP0020,Career,EXTRA_DATA
PRO0098,Kyle Blackburn,Electronics,Twenty Five Thousand,177,SUP0014,Poor,EXTRA_DATA
PRO0099,Rick Thompson,Sports,7172.15,0,SUP0020,Worker,EXTRA_DATA
PRO0100,  Tyler Williams  ,Furniture,31072.56,229,SUP0007,War,EXTRA_DATA
PRO0049,Tracy Brandt,Grocery,37712.02,185,SUP0013,Firm,EXTRA_DATA
PRO0056,Anthony Scott,Furniture,45712.64,33,SUP0018,His,EXTRA_DATA
PRO0103,Olivia Hicks,Books,24653.31,248,SUP0012,One,EXTRA_DATA
PRO0104,Erin Thompson,Furniture,43259.27,144,SUP0004,Nearly,EXTRA_DATA
PRO0105,Wendy Thompson,Electronics,29429.97,178,SUP0019,Let,EXTRA_DATA
PRO0106,Jessica Peterson,Sports,26753.57,252,SUP0019,His,EXTRA_DATA
PRO0054,Colleen Payne,Clothing,-2934.82,0,SUP9999,Top,EXTRA_DATA
PRO0108,Colleen Paul,GROCERY,31631.87,175,SUP0015,Serve,EXTRA_DATA
PRO0109,Michael Diaz,Furniture,29819.32,145,SUP0008,Future,EXTRA_DATA
PRO0110,Edward Weber,Furniture,5118.72,100,SUP0020,Should,EXTRA_DATA
PRO0111,Anne Morrison,Furniture,0,210,SUP0005,Soldier,EXTRA_DATA
PRO0112,Jennifer Mathis,Grocery,25349.55,190,SUP0008,Agent,EXTRA_DATA
PRO0113,Scott Hall,Grocery,3990.98,211,SUP0012,More,EXTRA_DATA
PRO0114,  Pamela Reyes  ,Grocery,11078.57,252,SUP0017,Individual,EXTRA_DATA
PRO0115,John Morris,SPORTS,34527.63,90,SUP0014,Management,EXTRA_DATA
PRO0116,Andrew Ford,Clothing,48836.37,86,SUP0007,Floor,EXTRA_DATA
PRO0117,Cody Alexander,FURNITURE,34122.87,-1,SUP0011,North,EXTRA_DATA
PRO0118,Phillip Andrews,Grocery,-4396.8,161,SUP0002,See,EXTRA_DATA
PRO0119,Joseph Morales,Electronics,16118.65,247,SUP0020,Real,EXTRA_DATA
PRO0120,Nancy Myers,Electronics,33844.21,270,SUP0013,About,EXTRA_DATA
PRO0121,Sarah Lawson,Clothing,41506.41,211,SUP0004,Level,EXTRA_DATA
PRO0122,Mark Miller,SPORTS,19013.92,207,SUP0003,Onto,EXTRA_DATA
PRO0123,Alan Bradley,Electronics,7111.42,183,SUP0004,Sense,EXTRA_DATA
PRO0124,  Anna Johnson  ,Sports,15339.91,54,SUP0018,Statement,EXTRA_DATA
PRO0125,Amber Robinson,Furniture,32448.72,2,SUP0008,High,EXTRA_DATA
PRO0126,Scott Brown,Furniture,48241.62,144,SUP0008,Appear,EXTRA_DATA
PRO0127,Lori Shaffer,Grocery,42416.78,209,SUP0013,Itself,EXTRA_DATA
PRO0128,Richard Walsh,Electronics,11768.18,227,SUP0018,Store,EXTRA_DATA
PRO0129,Jason Smith,Clothing,2540.2,177,SUP0010,Close,EXTRA_DATA
INVALID_19,Steven Olson,Clothing,11947.12,287,SUP0014,Region,EXTRA_DATA
PRO0044,Jamie Rogers,Electronics,37207.08,261,SUP0010,Detail,EXTRA_DATA
PRO0132,Julie Brown,Furniture,36495.61,30,SUP0002,Short,EXTRA_DATA
PRO0133,Christine Acosta,Books,3276.64,172,SUP0011,Listen,EXTRA_DATA
PRO0134,  Jerome Garcia  ,Books,41068.53,151,SUP0010,Step,EXTRA_DATA
PRO0135,Gary Freeman,FURNITURE,17936.9,224,SUP0008,Statement,EXTRA_DATA
PRO0136,Pamela Grimes,Sports,0,9999,SUP0011,Here,EXTRA_DATA
PRO0137,Kathryn Wilson,Sports,14707.71,82,SUP0006,Man,EXTRA_DATA
PRO0138,Ryan Mcdonald,Clothing,16028.24,26,SUP0012,Relationship,EXTRA_DATA
PRO0139,Emily Williams,Electronics,17534.62,171,SUP0011,Total,EXTRA_DATA
PRO0140,David George,Electronics,30571.5,40,SUP0002,Store,EXTRA_DATA
PRO0024,Melissa Townsend,CLOTHING,24225.23,193,SUP0003,Science,EXTRA_DATA
PRO0142,Karen Holloway,Furniture,17905.62,90,SUP0003,Soon,EXTRA_DATA
PRO0143,Hayden Barker,Furniture,-1113.42,102,SUP0017,Leader,EXTRA_DATA
PRO0144,Tiffany Hooper,Electronics,10455.71,3,SUP0016,Town,EXTRA_DATA
PRO0145,Diana Clark,Grocery,8199.85,266,SUP0001,Issue,EXTRA_DATA
PRO0146,  Kevin Fisher  ,Books,25932.64,8,SUP0015,Develop,EXTRA_DATA
PRO0147,Cynthia Mueller,Furniture,47224.92,143,SUP0008,Ahead,EXTRA_DATA
PRO0148,Sarah Monroe,FURNITURE,,79,SUP0016,South,EXTRA_DATA
PRO0149,Clifford Ray,FURNITURE,43358.08,191,SUP0018,Throw,EXTRA_DATA
PRO0150,Madeline Sellers,Clothing,32641.11,240,SUP0005,Cup,EXTRA_DATA
PRO0151,Susan Leach,Sports,36789.3,65,SUP0011,Activity,EXTRA_DATA
PRO0152,Joseph Smith,Electronics,-1585.9,182,SUP0019,Point,EXTRA_DATA
PRO0153,Robert Clark,Electronics,16104.14,162,SUP0013,Surface,EXTRA_DATA
PRO0068,  Joseph Briggs  ,Books,7527.39,207,SUP0019,Must,EXTRA_DATA
PRO0155,Sara Carroll,Furniture,44292.81,167,SUP0006,Music,EXTRA_DATA
PRO0156,  Sarah White  ,Grocery,1010.56,146,SUP0002,Loss,EXTRA_DATA
PRO0157,Patricia Walker,Sports,-443.45,184,SUP0018,Develop,EXTRA_DATA
PRO0158,Timothy Paul,Sports,43987.26,102,SUP0006,Trade,EXTRA_DATA
PRO0159,Timothy Morrow,Grocery,5512.28,264,SUP0007,See,EXTRA_DATA
PRO0160,Brandy Gomez,Books,,226,SUP0007,Position,EXTRA_DATA
PRO0161,Phyllis Turner,Clothing,27507.51,288,SUP0014,Page,EXTRA_DATA
PRO0162,Dawn Nguyen,Clothing,10004.41,284,SUP0016,News,EXTRA_DATA
PRO0163,  Julie Davis  ,Clothing,27127.09,9999,SUP0002,Century,EXTRA_DATA
PRO0164,Claudia Andrews,Grocery,42656.17,222,SUP0015,While,EXTRA_DATA
PRO0165,Thomas Davis,Grocery,46709.65,263,SUP0015,Couple,EXTRA_DATA
PRO0166,James Barron,Grocery,46986.62,89,SUP0016,Raise,EXTRA_DATA
PRO0167,Mark Robinson,Electronics,45053.91,179,SUP0011,Old,EXTRA_DATA
PRO0168,Nancy Gallegos,Grocery,16600.87,158,SUP0009,Data,EXTRA_DATA
PRO0169,Alexa Doyle,grocery,23220.78,272,SUP0013,Wonder,EXTRA_DATA
PRO0170,Jordan Bowen,Furniture,13307.31,211,SUP0012,Want,EXTRA_DATA
PRO0171,Arthur Wade,Electronics,7232.01,256,SUP0009,Game,EXTRA_DATA
PRO0172,Gerald Cohen,Clothing,43479.7,97,SUP0003,Reach,EXTRA_DATA
PRO0173,Stanley Harris,Furniture,49506.8,118,SUP0014,Room,EXTRA_DATA
PRO0174,Robert White,Sports,31486.73,169,SUP0009,Enter,EXTRA_DATA
PRO0175,Daniel Arnold,FURNITURE,45794.14,55,SUP0016,Huge,EXTRA_DATA
PRO0176,Anthony Smith,Sports,27729.29,10,SUP0004,Culture,EXTRA_DATA
PRO0177,Jeffrey Brown,Electronics,41178.06,42,SUP0011,Even,EXTRA_DATA
PRO0178,Walter Gutierrez,Books,,9999,SUP0001,Real,EXTRA_DATA
PRO0179,William Rodriguez,Grocery,8887.44,47,SUP0009,Price,EXTRA_DATA
PRO0180,Michael Wright,Grocery,35500.01,198,SUP0001,Prepare,EXTRA_DATA
PRO0048,Jimmy Brown,Sports,43025.56,27,SUP0019,Line,EXTRA_DATA
PRO0182,Sarah Williams,Books,-3524.88,264,SUP0016,Rather,EXTRA_DATA
INVALID_83,Eric Rojas,Furniture,20962.0,151,SUP0011,Clear,EXTRA_DATA
PRO0184,Melinda Lopez,grocery,8306.87,106,SUP0002,Short,EXTRA_DATA
PRO0185,Timothy Cline,Books,19221.24,36,SUP0011,For,EXTRA_DATA
PRO0186,Diane Porter,Clothing,7355.92,166,SUP0008,Adult,EXTRA_DATA
PRO0187,Tyler Fox,Electronics,17556.83,6,SUP0013,Operation,EXTRA_DATA
PRO0188,  Kelly Zhang  ,Furniture,25223.73,189,SUP0002,Population,EXTRA_DATA
PRO0189,Keith Hammond,Books,43859.2,172,SUP0006,Bar,EXTRA_DATA
PRO0190,Morgan Turner,Furniture,35482.12,76,SUP0013,Them,EXTRA_DATA
PRO0191,Stephanie Williams,Clothing,36590.8,280,SUP0002,Admit,EXTRA_DATA
PRO0192,Cole Thomas,Books,22508.83,209,SUP0007,Agency,EXTRA_DATA
PRO0193,Kenneth Williams,Grocery,41385.54,166,SUP0009,Dog,EXTRA_DATA
PRO0194,William Thomas,Electronics,25543.05,295,SUP0001,Loss,EXTRA_DATA
PRO0195,Hannah Brown,Furniture,41471.18,242,SUP0003,Suffer,EXTRA_DATA
PRO0196,Michael Hubbard,Electronics,31182.67,271,SUP0015,Major,EXTRA_DATA
PRO0197,John Simon,Sports,46454.12,7,SUP0004,Health,EXTRA_DATA
PRO0198,Sharon Hughes,Electronics,Five Hundred,169,SUP0020,General,EXTRA_DATA
PRO0199,Timothy Bowman,Clothing,22533.86,286,SUP0019,Others,EXTRA_DATA
PRO0200,  Stephanie Jones  ,Books,39186.93,104,SUP0002,Analysis,EXTRA_DATA
PRO0201,  Sharon Green  ,Clothing,49901.03,287,SUP0014,Billion,EXTRA_DATA
PRO0202,Phillip Fields,Grocery,-2236.43,0,SUP0012,Natural,EXTRA_DATA
PRO0203,Richard Armstrong,Books,24254.23,152,SUP0001,Book,EXTRA_DATA
PRO0204,Cheryl Hoffman,Books,20494.44,216,SUP0010,New,EXTRA_DATA
PRO0205,Regina Johnson,Electronics,26054.37,254,SUP0018,Within,EXTRA_DATA
PRO0206,Christopher Massey,grocery,21218.23,176,SUP0003,Do,EXTRA_DATA
PRO0207,Dawn Smith,Grocery,26907.88,31,SUP0019,Police,EXTRA_DATA
PRO0208,Jamie Stuart,Sports,47344.29,115,SUP0011,Factor,EXTRA_DATA
PRO0209,  Michael Murphy  ,Furniture,49781.27,40,SUP9999,Air,EXTRA_DATA
PRO0210,Michael Jackson,Clothing,45200.42,36,SUP0003,My,EXTRA_DATA
PRO0211,Sandra Lewis,Books,36504.81,72,SUP0009,Foreign,EXTRA_DATA
PRO0212,Anthony Boyd,BOOKS,3811.16,242,SUP0001,Six,EXTRA_DATA
PRO0213,Vicki Jacobson,Furniture,35701.34,143,SUP0003,Positive,EXTRA_DATA
PRO0214,Patricia Rodriguez,Grocery,39543.2,49,SUP0009,Make,EXTRA_DATA
PRO0168,Joshua Garrett,Sports,39109.71,208,SUP0017,Range,EXTRA_DATA
PRO0216,Mark Valencia,Furniture,25784.51,45,SUP0017,Pick,EXTRA_DATA
INVALID_86,John Blankenship,Grocery,18765.23,275,SUP0001,Someone,EXTRA_DATA
PRO0218,Kristen Barnes,Grocery,1363.18,252,SUP0009,Company,EXTRA_DATA
PRO0219,Sara Hartman,Grocery,32762.72,23,SUP0009,Book,EXTRA_DATA
PRO0220,John Chen,Furniture,3635.78,14,SUP0020,National,EXTRA_DATA
PRO0221,Mathew Booker,Furniture,48684.06,90,SUP0010,Series,EXTRA_DATA
PRO0222,Melissa Wilkerson,Sports,39856.66,237,SUP0012,Store,EXTRA_DATA
PRO0223,  Matthew Huynh  ,Books,16745.93,47,SUP0008,Nothing,EXTRA_DATA
PRO0224,Carlos Medina,Books,41197.63,110,SUP0017,Certain,EXTRA_DATA
PRO0225,Meghan Cummings,Grocery,0,249,SUP0020,Society,EXTRA_DATA
PRO0226,Tyler Taylor,Clothing,3037.38,70,SUP0008,Tough,EXTRA_DATA
PRO0227,Joshua Thomas,Clothing,0,296,SUP0006,Gas,EXTRA_DATA
PRO0228,Christopher Mata,Sports,17079.21,15,SUP0014,Nothing,EXTRA_DATA
PRO0229,Bobby Marshall,Electronics,9790.22,53,SUP0014,Subject,EXTRA_DATA
PRO0230,Whitney Brown,Electronics,38957.32,142,SUP0004,Pull,EXTRA_DATA
PRO0133,Amy Pope,Furniture,48942.96,263,SUP0019,Successful,EXTRA_DATA
PRO0232,Lisa Gutierrez,Sports,10270.58,182,SUP0018,Now,EXTRA_DATA
PRO0233,Alicia Johnson,Furniture,,139,SUP0008,Drop,EXTRA_DATA
PRO0234,Gina Oneill,Books,7238.25,112,SUP0015,Night,EXTRA_DATA
PRO0235,Elizabeth Lee,Grocery,23944.78,174,SUP0014,Worry,EXTRA_DATA
PRO0236,Nathaniel Martin,Clothing,39199.16,146,SUP0015,Never,EXTRA_DATA
PRO0237,Dustin Wong,Sports,10185.78,234,SUP0001,Idea,EXTRA_DATA
PRO0238,Lori Cole,Grocery,46688.31,246,SUP0019,Win,EXTRA_DATA
PRO0239,  Ashley Greene  ,Sports,27955.93,94,SUP0015,Way,EXTRA_DATA
PRO0240,Brian Le,Books,30195.86,114,SUP0011,Condition,EXTRA_DATA
PRO0241,Alexandria Sanchez,Furniture,41423.63,75,SUP0004,Into,EXTRA_DATA
PRO0242,Dwayne Cooper,Books,47754.49,251,SUP0016,Politics,EXTRA_DATA
PRO0243,Steven Leach,Books,14971.3,102,SUP0005,Concern,EXTRA_DATA
PRO0244,Stephanie Jenkins,Furniture,44405.82,60,SUP0004,Bring,EXTRA_DATA
PRO0245,  Elizabeth Carpenter  ,Books,34321.69,214,SUP0002,Home,EXTRA_DATA
PRO0246,Taylor Dunn,ELECTRONICS,32956.33,145,SUP0013,General,EXTRA_DATA
PRO0247,Cory Schneider,CLOTHING,23506.1,254,SUP0014,Statement,EXTRA_DATA
PRO0248,Stephen Wood,Sports,15902.54,41,SUP0017,Question,EXTRA_DATA
PRO0249,Veronica Taylor,Furniture,32524.76,266,SUP0013,Feeling,EXTRA_DATA
PRO0250,Emily Gutierrez,Sports,33130.05,32,SUP0009,Seven,EXTRA_DATA
PRO0251,William Lane,Sports,,14,SUP0001,Continue,EXTRA_DATA
PRO0252,  Daniel Warner  ,Grocery,34793.26,168,SUP9999,Rule,EXTRA_DATA
PRO0253,Kim White,Books,28328.54,140,SUP0020,Enjoy,EXTRA_DATA
PRO0254,Susan Russell,Furniture,17126.93,174,SUP0001,Worry,EXTRA_DATA
PRO0255,Kristopher Smith,Clothing,7638.88,253,SUP0017,Assume,EXTRA_DATA
PRO0256,James Ford,Books,16284.52,9999,SUP0018,Behind,EXTRA_DATA
PRO0257,Derrick Zhang,Grocery,Five Hundred,59,SUP0005,Home,EXTRA_DATA
PRO0258,Ashley Gallegos,Furniture,34019.12,26,SUP0015,Collection,EXTRA_DATA
PRO0259,Cathy Brown,Books,6058.24,265,SUP0007,Former,EXTRA_DATA
PRO0260,Manuel Ho,Books,11067.53,64,SUP0014,Sound,EXTRA_DATA
PRO0261,Kelly Martin,Grocery,4508.48,155,SUP0009,Office,EXTRA_DATA
PRO0262,Janice Mclaughlin,Books,5634.38,146,SUP0015,Question,EXTRA_DATA
PRO0263,Julie Perez,Grocery,-1710.26,36,SUP0013,Might,EXTRA_DATA
PRO0264,  Anthony Jackson  ,GROCERY,45513.56,47,SUP0011,Entire,EXTRA_DATA
PRO0265,Kelsey Johnson,Furniture,33527.12,109,SUP0008,My,EXTRA_DATA
PRO0266,Heather Jones,Electronics,42006.35,-1,SUP0002,Remain,EXTRA_DATA
PRO0267,Peter Middleton,Grocery,31395.93,241,SUP0013,Build,EXTRA_DATA
PRO0268,Melissa Gonzalez,Furniture,1938.3,34,SUP0018,Just,EXTRA_DATA
PRO0269,Jose Vega,Grocery,36547.03,69,SUP0007,See,EXTRA_DATA
PRO0270,Regina Hahn,Electronics,5466.13,287,SUP0004,To,EXTRA_DATA
PRO0271,Jill Rocha,Grocery,18824.71,255,SUP0002,Win,EXTRA_DATA
PRO0272,Molly Le,Sports,14646.7,6,SUP0017,Cost,EXTRA_DATA
PRO0273,Raymond Aguirre,Books,22055.71,96,SUP0001,Inside,EXTRA_DATA
PRO0274,Pamela Vance,Grocery,1723.29,172,SUP0001,Stock,EXTRA_DATA
PRO0275,Tammy Gonzalez,Clothing,10785.92,76,SUP0016,Team,EXTRA_DATA
PRO0276,Caleb Diaz,Books,-3351.09,228,SUP0017,Industry,EXTRA_DATA
PRO0277,Ryan Johnson,Clothing,28081.6,230,SUP0015,Hour,EXTRA_DATA
PRO0278,  Amanda Wagner  ,Grocery,Twenty Five Thousand,34,SUP0003,Difficult,EXTRA_DATA
PRO0279,Nathan Walker,Grocery,Ten Thousand,267,SUP0011,Mind,EXTRA_DATA
PRO0280,Misty Lee,Furniture,49618.35,292,SUP0017,Project,EXTRA_DATA
PRO0281,  Michael Gonzales  ,Clothing,25910.59,8,SUP0008,Nation,EXTRA_DATA
PRO0282,Katherine Robertson,ELECTRONICS,Ten Thousand,87,SUP0016,True,EXTRA_DATA
PRO0283,Erica Hughes,Grocery,46388.83,0,SUP0007,Forget,EXTRA_DATA
PRO0284,Cheryl Alexander,Furniture,21234.68,204,SUP0019,On,EXTRA_DATA
PRO0285,Jerry Nelson,Electronics,5627.08,269,SUP0002,His,EXTRA_DATA
PRO0286,Michael Cain,Clothing,12230.97,239,SUP0004,Heart,EXTRA_DATA
PRO0287,Christine Dudley,Clothing,23097.03,135,SUP0014,Even,EXTRA_DATA
PRO0288,James Fritz,Grocery,35086.15,122,SUP0001,Kitchen,EXTRA_DATA
PRO0289,Alice Bell,Grocery,35893.47,145,SUP0013,Serve,EXTRA_DATA
PRO0290,Cassidy Thompson,Sports,32676.09,0,SUP0013,Company,EXTRA_DATA
PRO0291,Joseph Johnson,Clothing,35692.9,210,SUP0009,Mouth,EXTRA_DATA
PRO0292,Thomas Sullivan,Clothing,39140.82,225,SUP0016,Onto,EXTRA_DATA
PRO0293,Joel Trevino,CLOTHING,0,36,SUP0007,Important,EXTRA_DATA
PRO0294,Stephanie Cross,Electronics,7060.53,176,SUP0004,Employee,EXTRA_DATA
PRO0295,Gary Kelly,Grocery,12760.03,0,SUP0002,Chance,EXTRA_DATA
PRO0296,Mathew Cruz,Electronics,7453.66,16,SUP0013,Old,EXTRA_DATA
PRO0297,Maxwell Patton,Books,28688.31,146,SUP0016,Individual,EXTRA_DATA
PRO0298,Eric Price,Sports,Twenty Five Thousand,235,SUP0005,Road,EXTRA_DATA
PRO0299,Nicole Bryant,Electronics,47213.28,193,SUP0012,Great,EXTRA_DATA
PRO0300,Crystal Wheeler,Books,4538.8,297,SUP0014,Anyone,EXTRA_DATA
PRO0301,Whitney Johnson,Furniture,Five Hundred,163,SUP0009,Every,EXTRA_DATA
PRO0302,Joe Mcneil,Furniture,16415.13,240,SUP0016,Action,EXTRA_DATA
PRO0303,  Carol Carey  ,Furniture,25758.87,75,SUP0003,Mission,EXTRA_DATA
