ClaimID|PolicyID|ClaimDate|ClaimAmount|ApprovedAmount|Status|Reason
CLA0056|POL0001|04/29/2024||Property Damage|Pull|Accident
CLA0057|POL0007|2023-06-07|14354.81|Accident|Difference|Property Damage
CLA0058|POL0010|2022-11-19|6555.5|Illness|Traditional|Death
CLA0003|POL0005|2023-07-05|19477.2|Accident|Sound|Accident
CLA0060|POL0013|2024-11-25|39989.46||Here|Property Damage
CLA0061|POL0014|2024-10-04|20132.55|Death|See|Death
CLA0062|POL0005|10/09/2022|46836.53|Property Damage|Perform|Theft
CLA0063|POL0008|25-10-2023|Ten Thousand|Death|Perhaps|Accident
CLA0064|POL0020|2022-09-12|1427.96||Purpose|Property Damage
CLA0065|POL0018|01-11-2023|24683.65||Financial|Theft
CLA0066|POL0002|10/11/2023|11499.08||Check|Theft
CLA0067|POL0012|14/01/2023|Ten Thousand||Reveal|Theft
CLA0068|POL0018|09/05/2022|4037.0|Property Damage|Affect|Property Damage
CLA0069|POL0017|2023-08-07|2532.98|Illness|Continue|Death
CLA0070|POL0002|04/10/2022|36458.82|Property Damage|Store|Illness
CLA0071|POL0005|11-04-2022|35029.65|Accident|This|Theft
CLA0072|POL0006|03/09/2022|32678.39|Death|Explain|Death
CLA0073|POL0012|2023-05-08|10779.05|Property Damage|Ahead|Property Damage
CLA0074|POL0006|06-11-2023|8442.67|Illness|Congress|Property Damage
CLA0075|POL0019|21-04-2023|44558.7|Death|Ask|Illness
CLA0076|POL0019|04-12-2024|34359.82|Theft|Out|death
CLA0077|POL0019|02/16/2023|39615.54|Illness|Compare|Theft
CLA0078|POL0011|24/03/2023|13470.38|Property Damage|Material|Death
CLA0079|POL0003|07/25/2022|46068.18|Property Damage|Continue|Accident
CLA0080|POL0005|18-04-2022|25601.14|Death|Rich|Theft
CLA0081|POL0001|30/03/2024|22989.0|Property Damage|Nature|Accident
CLA0082|POL0014|26-12-2023|49700.88|Theft|Attorney|Illness
CLA0083|POL0004|08/10/2024|9132.87||Age|illness
CLA0084|POL0014|2023-05-08|24557.85|Accident|Ahead|Accident
CLA0085|POL0006|07-07-2024|31293.62|Illness|Black|Illness
CLA0086|POL0007|2022-02-04|8890.02|Property Damage|Cause|Theft
CLA0087|POL0007|2023-12-13|34747.59|Illness|Far|Illness
CLA0088|POL0011|06/06/2024|18142.22|Accident|Learn|illness
CLA0089|POL0011|17/09/2023|8912.1|Property Damage|Section|Property Damage
CLA0090|POL0007|08/04/2024|21438.33||Own|Illness
CLA0091|POL0015|19-04-2023|11686.33||None|Property Damage
CLA0092|POL0016|23-07-2023|18109.56|Theft|Although|Accident
CLA0093|POL0012|24/01/2024|6430.21|Theft|Run|Illness
CLA0094|POL0003|20/04/2022|39652.75|Accident|Several|Illness
CLA0095|POL0020|2022-06-25|25548.46|Theft|Behind|Illness
CLA0096|POL0018|28/12/2024|30946.6|Theft|Response|Property Damage
CLA0097|POL0019|19/10/2023|4666.74||Network|Theft
INVALID_34|POL0008|12/07/2023|27341.95|Theft|Build|Illness
CLA0099|POL0003|04/04/2022|13992.63|Accident|Cut|Death
CLA0100|POL0001|31/10/2022|21223.3|Property Damage|Their|Property Damage
CLA0101|POL0004|02-05-2024|29742.01|Theft|College|Illness
CLA0102|POL0001|10/03/2023|8878.44|Accident|Wish|PROPERTY DAMAGE
CLA0103|POL0016|11/12/2022|28874.03|Illness|Father|Death
CLA0085|POL0018|08-12-2022|11024.25|Property Damage|Condition|ILLNESS
CLA0105|POL0015|01/21/2023|Ten Thousand|Death|Staff|Property Damage
CLA0106|POL0002|2024-09-09|36025.19|Property Damage|Coach|Illness
CLA0107|POL0004|02/16/2024|||Almost|Property Damage
CLA0108|POL0002|2023-08-25|36459.66||Arm|Property Damage
CLA0109|POL0013|04/10/2022|13327.9|Theft|Occur|Death
CLA0110|POL0004|21/08/2024|41887.53|Illness|Political|Property Damage
CLA0111|POL0008|19/10/2023|49176.18|Accident|Off|Theft
CLA0112|POL0009|2023-10-30|32325.64|Death|Arrive|Death
CLA0113|POL0020|2024-08-11|38353.63||These|Death
CLA0114|POL0011|01/06/2022|48532.72|Property Damage|Program|ILLNESS
CLA0115|POL0010|2023-02-11|25013.12|Death|While|Death
CLA0082|POL0002|21/02/2023|Twenty Five Thousand|Theft|Appear|Accident
CLA0117|POL0019|20-02-2022|22037.25||Eat|Illness
CLA0118|POL0011|29/01/2023|31323.7|Property Damage|Enter|Accident
INVALID_19|POL0020|28/05/2023|18189.91|Illness|Wife|Theft
CLA0120|POL0009|16/09/2023|39949.25|Property Damage|Voice|Illness
CLA0121|POL0009|30-03-2022|26523.48|Theft|Identify|Death
CLA0122|POL0008|07-02-2024|1033.71|Death|Force|Death
CLA0123|POL0002|04-04-2022|Ten Thousand||Forward|Death
CLA0124|POL0014|13/07/2023|19326.72|Accident|Medical|Property Damage
CLA0125|POL0018|01/08/2023|37844.12|Property Damage|Our|Property Damage
CLA0126|POL0007|02-05-2023|39574.99|Accident|Such|Accident
CLA0127|POL0006|05/25/2024|39510.81|Accident|Indeed|Illness
CLA0128|POL0015|05/23/2024|48097.17|Illness|Discuss|Theft
CLA0129|POL0017|2022-07-23|39717.66|Accident|Finally|Accident
CLA0130|POL0001|25/01/2024|29361.0|Death|Commercial|Property Damage
CLA0131|POL0012|2023-01-04|18606.09|Theft|Serious|Theft
CLA0132|POL0004|10/06/2023|14233.79|Illness|Investment|Death
CLA0133|POL0007|15-02-2023|8683.01||Purpose|Property Damage
CLA0134|POL0013|29-04-2023|Ten Thousand|Accident|Political|Illness
CLA0135|POL0005|13/03/2024|22870.72|Accident|Yet|PROPERTY DAMAGE
CLA0136|POL0016|2023-09-03|Five Hundred|Theft|Six|Theft
CLA0137|POL0004|05/18/2022||Illness|Company|property damage
CLA0138|POL0016|2022-10-22|35787.87|Illness|Able|Accident
CLA0139|POL0004|2022-11-18|3418.23||Performance|Accident
CLA0140|POL0001|05/11/2022|40412.6||Former|Theft
CLA0141|POL0012|03/11/2023|29648.32|Illness|Data|Property Damage
CLA0142|POL0013|04/08/2023|31252.01|Property Damage|Run|Property Damage
CLA0143|POL0007|12/19/2024|34415.04|Theft|But|Death
INVALID_23|POL0004|04-05-2022|41202.5|Property Damage|Every|Theft
CLA0145|POL0016|10/25/2022|30964.48|Accident|Real|death
CLA0146|POL0003|10-11-2024|13335.0|Illness|After|Death
INVALID_75|POL0008|04/30/2024|5118.84|Death|Organization|Theft
CLA0148|POL0018|29-03-2022|20165.11||Institution|Death
CLA0149|POL0018|01/28/2024|30028.26|Death|Something|Property Damage
CLA0150|POL0002|08-01-2024|9426.87|Property Damage|Sister|Theft
CLA0151|POL0011|12/10/2022|14068.8|Death|Walk|Property Damage
INVALID_34|POL0003|02/08/2024|23372.9||Put|Theft
CLA0153|POL0009|07-01-2022|39441.25|Death|Hour|Accident
CLA0154|POL0016|16/04/2022|11818.36|Theft|Crime|Theft
CLA0155|POL9999|06/04/2022|39315.34|Death|Total|Illness
CLA0156|POL0018|24-02-2024|49808.45|Theft|Chance|Property Damage
CLA0157|POL0019|15-03-2022|7398.46||List|Accident
CLA0158|POL0012|13/07/2024|13530.62|Property Damage|Than|Illness
CLA0159|POL0008|06/06/2022|49564.81|Theft|Result|DEATH
CLA0160|POL0009|02/25/2023|0|Death|Talk|Accident
CLA0161|POL0012|16/05/2022|37810.29|Theft|Speak|property damage
CLA0162|POL0004|2023-02-12|6159.48|Theft|Much|Property Damage
CLA0163|POL0004|2022-02-06|39846.29|Accident|Stand|Death
CLA0164|POL0016|08/12/2023|45556.61||Audience|Illness
CLA0165|POL0014|28-12-2022|23281.49|Death|Good|Theft
CLA0166|POL0003|2022-06-27|11196.06|Theft|Find|Death
CLA0167|POL0002|10-11-2022|18875.97|Death|Discover|Death
CLA0168|POL0012|09/24/2024|||Laugh|Death
CLA0169|POL0012|12/22/2023|22850.98|Death|Power|Accident
CLA0170|POL0016|12/04/2022|15975.02|Theft|Yard|Illness
CLA0171|POL0004|05/09/2023|38816.45|Accident|Way|Property Damage
CLA0172|POL0008|04-03-2024|46995.63|Property Damage|Low|Property Damage
INVALID_35|POL0016|02/06/2024|27575.39|Theft|Tax|Theft
CLA0174|POL0010|16-02-2024|18069.43|Illness|Where|Illness
CLA0175|POL0002|12/05/2023|25280.9|Illness|Partner|Accident
CLA0176|POL0012|05-04-2024|13678.73|Death|Green|Property Damage
CLA0177|POL0005|07/12/2024|45815.31|Illness|Past|Death
CLA0178|POL0020|11/25/2022|9096.05|Illness|Stop|Theft
CLA0179|POL0018|2024-02-07|22596.41|Illness|Easy|Illness
CLA0180|POL0017|2022-07-08|1774.83|Death|Allow|Theft
CLA0181|POL0001|02/28/2023|14993.94|Property Damage|Red|Illness
CLA0182|POL0004|03/17/2023|41859.3|Theft|Every|Illness
CLA0183|POL0009|2022-08-13|14268.2|Illness|Remember|Accident
CLA0184|POL0017|2023-07-21|48241.54|Theft|Paper|Death
CLA0185|POL0018|23/09/2024|0|Death|Those|Property Damage
CLA0186|POL0019|01/08/2024|13233.42|Death|Memory|Property Damage
CLA0187|POL9999|06/11/2022|3152.66|Death|Buy|Accident
CLA0188|POL0018|07/11/2023|2177.21|Theft|Probably|Illness
CLA0189|POL0011|09/17/2022|17812.1|Theft|Hair|Theft
CLA0190|POL0015|06/30/2023|3052.89|Illness|Guy|Property Damage
CLA0191|POL0007|2024-07-26|25073.82|Accident|Sign|Illness
CLA0192|POL0004|20/09/2022|34340.55|Illness|Day|Accident
CLA0176|POL0003|12-01-2024|14551.7|Death|Manager|Death
CLA0194|POL0013|09/17/2023|41242.87|Death|Lead|Illness
CLA0195|POL0015|22-07-2023|37486.07|Theft|Fast|Accident
CLA0196|POL0009|30-10-2022|30860.75|Accident|Themselves|Theft
CLA0197|POL0001|03/05/2024|11952.03|Accident|If|Theft
CLA0198|POL0012|10/25/2023|18465.48|Theft|Church|Illness
CLA0199|POL0018|2022-10-13|21427.82|Theft|Likely|Theft
CLA0200|POL0009|06/10/2024|16951.74|Theft|Buy|illness
CLA0201|POL0010|18/07/2023|3028.2|Accident|Fish|Illness
CLA0202|POL0020|23-08-2023|19154.48|Property Damage|Mind|Property Damage
CLA0203|POL0012|05/08/2022|7589.72|Theft|Out|Property Damage
CLA0204|POL0003|01/08/2022|45161.86||Little|Property Damage
CLA0205|POL0016|30/10/2024|12511.76|Illness|Always|Illness
CLA0206|POL0017|10-04-2023|||New|Property Damage
CLA0207|POL0003|2022-04-23|23075.5|Death|Especially|Theft
CLA0208|POL9999|04/04/2023|4857.6|Accident|Enjoy|Accident
CLA0209|POL0011|10/27/2024|25277.92|Illness|Me|Theft
CLA0210|POL0016|2022-07-17|10686.83|Death|Scientist|Accident
CLA0211|POL0009|2024-02-24|47839.29|Theft|They|Property Damage
CLA0212|POL9999|05-08-2022|42863.71|Theft|Man|Accident
CLA0213|POL0014|20/08/2022|47431.08|Illness|Record|Death
CLA0214|POL0018|30/07/2024|17396.34|Property Damage|Economy|Accident
CLA0215|POL0015|2024-04-24|25110.45|Death|Bank|Property Damage
CLA0216|POL0018|24/03/2022|44748.32|Property Damage|Participant|Property damage
CLA0217|POL0003|16/07/2022|-3973.45|Property Damage|Between|Accident
CLA0218|POL0013|2024-10-08|28340.07|Illness|Hand|Illness
CLA0219|POL0012|2023-03-28|1943.05|Accident|Food|Illness
CLA0220|POL0005|2024-07-22|||Plan|Accident
CLA0221|POL0012|10/10/2022|27213.47|Accident|Lead|Property Damage
CLA0222|POL0010|29-10-2023|28409.55|Illness|General|Theft
CLA0223|POL0006|2024-03-11|39870.19|Accident|Treat|Theft
CLA0224|POL0018|2023-10-03|3039.68|Death|Many|Accident
CLA0225|POL0016|07/19/2023|17657.67|Death|Heart|Property Damage
CLA0226|POL0016|05/04/2022|15101.03|Property Damage|Cell|Death
CLA0227|POL0017|21/05/2023|7939.95|Illness|Whatever|Illness
CLA0228|POL0003|2022-07-07|6247.56|Theft|Perhaps|Illness
CLA0229|POL0018|05-11-2023|29539.19|Death|Star|Illness
CLA0230|POL0007|2024-06-12|18401.53|Theft|Wonder|Theft
CLA0231|POL0013|11-04-2023|12806.98||Fund|Illness
CLA0232|POL0001|06/27/2023|38051.42|Theft|Hundred|Accident
CLA0233|POL0001|16-03-2022|15476.98|Death|Might|Death
CLA0234|POL0015|09/04/2024|26204.14|Death|Data|Illness
CLA0235|POL0005|08/03/2023|23496.57|Property Damage|Protect|Death
CLA0236|POL0014|2023-06-06|12925.74|Accident|Herself|Accident
CLA0237|POL0012|07/14/2022|43188.83|Accident|Husband|Property Damage
INVALID_78|POL0010|2024-01-27|32663.96|Theft|Read|Property Damage
CLA0239|POL0008|13-03-2022|47237.92|Death|Just|Property Damage
CLA0240|POL0011|24/07/2024|12089.55|Theft|Ready|Property Damage
CLA0241|POL0016|2023-10-28|30972.61|Illness|Assume|Property Damage
CLA0242|POL9999|27/02/2024|31253.76|Accident|Authority|Accident
CLA0243|POL0019|01/03/2022|38281.84|Illness|Analysis|Illness
CLA0244|POL9999|04/05/2024|19297.72|Accident|Particular|Death
CLA0245|POL0003|2024-06-01|40269.94|Accident|Consumer|Theft
CLA0246|POL0020|29/05/2023|13450.37|Accident|Do|Property Damage
CLA0247|POL0001|07-05-2022|8125.09|Accident|Lead|Accident
CLA0248|POL0002|06/12/2022|38148.1|Accident|Billion|Accident
CLA0249|POL0016|26/07/2022|40528.23|Accident|Dream|Theft
CLA0250|POL0003|2022-12-04|25453.12|Accident|Score|Theft
CLA0251|POL0014|27-03-2022|16151.16|Theft|Social|Illness
CLA0252|POL0006|17/07/2022|48546.96|Death|Future|Property Damage
CLA0253|POL0010|20/01/2023|21316.57|Accident|Reach|Theft
CLA0254|POL0012|2022-07-21|29477.06|Theft|Green|Property Damage
CLA0255|POL0015|20/01/2023|37329.94|Death|Green|Illness
CLA0256|POL0005|04/30/2022|37415.92|Property Damage|Coach|Accident
CLA0257|POL0001|11/14/2022|-3042.93|Theft|Off|Illness
CLA0258|POL9999|2022-01-27|44841.08|Illness|Fire|Accident
CLA0259|POL0009|2022-10-20|38574.24||She|Property Damage
CLA0260|POL0014|2023-04-18|26629.82|Property Damage|Machine|Illness
CLA0261|POL0002|31/05/2024|11600.96|Property Damage|Fall|Illness
CLA0262|POL0006|2023-04-21|43588.36|Death|Feeling|Illness
CLA0263|POL0003|29-06-2022|46126.14||Somebody|Property Damage
CLA0264|POL0018|02/14/2023|6774.61|Theft|Turn|DEATH
CLA0265|POL0015|04/11/2023|43254.27|Accident|Behind|Theft
CLA0266|POL0019|01/11/2024|48286.3|Theft|Organization|Death
CLA0267|POL0003|20/09/2023|-3447.69|Death|Point|THEFT
CLA0268|POL0016|2022-02-27|40968.36|Accident|Son|Death
CLA0269|POL0020|11/03/2024|48835.36||Those|Property Damage
INVALID_88|POL0006|02/10/2023|32753.08|Death|Best|Accident
CLA0271|POL0014|2022-09-05|21104.83|Illness|Police|Accident
CLA0232|POL0011|2024-07-10|42198.97|Accident|Somebody|Death
CLA0043|POL0018|2024-01-17|18467.76|Theft|Level|Death
CLA0274|POL0003|09/11/2023|36443.79|Illness|Day|Property Damage
CLA0275|POL0013|2023-02-21|5655.17||Total|Death
CLA0276|POL0013|06/04/2024|14543.75||Professor|Death
CLA0277|POL0012|2024-10-18|40276.18|Theft|Support|Property Damage
CLA0231|POL0018|09/03/2023|39743.79|Accident|Name|Death
CLA0279|POL0001|10/24/2023|47866.33|Property Damage|Project|Property Damage
CLA0280|POL0018|09-06-2022|31027.03|Theft|Ground|Property Damage
CLA0281|POL0019|09/07/2024|29875.23|Illness|Close|Death
CLA0282|POL0015|2024-12-26|-3372.31|Theft|Thought|Accident
CLA0283|POL0013|2024-01-08|43820.4||Simple|Illness
CLA0284|POL0012|08/03/2022|5796.9|Accident|Maybe|Illness
CLA0285|POL0011|04/15/2022|38896.66||Inside|THEFT
CLA0286|POL0003|10/09/2023|8134.92|Property Damage|Resource|Illness
CLA0287|POL0005|2022-02-14|26212.07|Theft|Whole|Death
CLA0288|POL0001|25-07-2024|10089.03|Death|Short|Theft
CLA0289|POL0017|07/06/2022|40866.95|Illness|Research|Property Damage
CLA0290|POL0005|2022-10-08|31865.07|Property Damage|Play|Theft
CLA0291|POL0004|12/30/2022|7746.04|Theft|Happy|Death
CLA0292|POL0010|16/06/2022|2912.58|Theft|Visit|Property Damage
CLA0293|POL0016|05/07/2022|42205.4|Death|Site|Property Damage
CLA0294|POL0011|2022-11-01|-1153.58|Illness|Determine|Property Damage
CLA0295|POL0017|08/03/2022|20140.89|Property Damage|Forget|Theft
CLA0076|POL0012|2023-11-19|15380.15|Theft|Themselves|illness
CLA0297|POL0001|09/27/2023|46356.2|Accident|Shoulder|Illness
CLA0298|POL0012|02/28/2024|9229.46|Accident|Himself|Accident
CLA0299|POL0008|23/12/2022|35458.05|Property Damage|Various|Death
CLA0300|POL0013|12/02/2022|38237.25|Theft|Activity|Illness
CLA0301|POL0004|24/09/2022|44222.45|Property Damage|Nice|Accident
CLA0302|POL0017|10/15/2022|7182.37|Death|Than|Property Damage
CLA0303|POL0006|2023-03-31|34637.52|Theft|Woman|Death
CLA0304|POL0012|2023-04-06|35462.81|Theft|Cup|Accident
CLA0305|POL0006|2022-04-13|4007.45||Single|Death
CLA0306|POL0016|21/05/2024|31679.86||Section|Property Damage
CLA0307|POL0016|21/07/2022|42500.55|Accident|Service|Illness
CLA0308|POL0016|2023-12-09|49992.91|Accident|Chair|accident
CLA0309|POL0016|11/02/2024|18284.87||Practice|Accident
CLA0310|POL0004|2024-12-09||Property Damage|Subject|Accident
CLA0311|POL0011|01/18/2022|32014.62|Illness|Moment|Death
CLA0312|POL0017|2023-03-10|0|Death|Major|Death
CLA0313|POL0001|30/09/2022|45244.12|Theft|Around|Property Damage
CLA0314|POL0004|2024-05-01|34619.13|Illness|Crime|Theft
CLA0315|POL0014|24/05/2022|30145.35|Death|Evening|Illness
CLA0316|POL0015|10/05/2022|27982.98|Illness|Film|death
CLA0317|POL0020|2022-02-19|8383.48|Illness|Assume|Accident
CLA0318|POL0016|29-06-2023|Twenty Five Thousand|Accident|Mission|THEFT
CLA0319|POL0006|07/04/2023|36974.98|Property Damage|Box|Property Damage
CLA0320|POL0013|03/22/2023|26859.82|Death|Scene|Accident
CLA0321|POL0002|2023-12-31|18366.61|Accident|Per|Property Damage
CLA0322|POL0016|20/04/2023|35864.19|Theft|Wear|Property Damage
CLA0323|POL0012|07/27/2023|46145.21|Theft|Close|Accident
CLA0324|POL0003|06/06/2024|2864.73|Theft|Specific|property damage
CLA0325|POL0019|21/05/2023|46284.88|Accident|Fly|Illness
CLA0326|POL0005|2023-01-16|24517.79|Death|Then|ACCIDENT
CLA0327|POL0018|06/10/2024|23282.34|Illness|Represent|Property Damage
CLA0328|POL0004|2024-02-03|47516.07|Illness|Mean|Accident
CLA0329|POL0008|2022-11-14|4745.94|Property Damage|Population|Illness
CLA0330|POL0013|04/12/2023|25621.31|Death|Respond|Accident
CLA0331|POL0005|2024-02-06|9877.31|Theft|Toward|Illness
CLA0332|POL0011|2024-06-12|7493.26|Accident|Throw|Accident
CLA0333|POL0014|14/01/2022||Accident|Should|Theft
CLA0334|POL0019|2024-08-27||Death|Candidate|ACCIDENT
CLA0335|POL0015|22/05/2022|5657.45|Death|Power|Accident
CLA0336|POL0016|01-09-2022|30830.71|Property Damage|Fight|Death
CLA0337|POL0013|2022-09-02|16412.78|Accident|Man|Property Damage
CLA0338|POL0017|01/10/2024|16178.69|Property Damage|Important|Illness
CLA0339|POL0006|11-12-2024|42078.69|Accident|Think|Death
CLA0340|POL0012|24/06/2024|31237.96|Illness|Rule|Property Damage
CLA0341|POL0009|16-01-2024|18503.77|Property Damage|Total|Accident
CLA0342|POL0009|07/18/2024|30656.98|Property Damage|Per|Illness
CLA0343|POL0006|02-07-2022|40680.81||Child|Property Damage
CLA0344|POL9999|2022-11-24|25941.64|Theft|Wear|Accident
CLA0345|POL0014|03/02/2024|5811.11|Death|Play|Theft
CLA0346|POL0015|14-12-2023|49211.16|Death|Small|Illness
CLA0347|POL0005|05-04-2023|38822.68|Death|Understand|Illness
CLA0348|POL0014|29-10-2022|0|Death|Site|Death
CLA0349|POL0019|22-05-2022|10652.11|Death|Hundred|Accident
CLA0350|POL0011|17-12-2023|10095.82|Accident|Design|Theft
CLA0351|POL0003|27/12/2022|1483.09||Summer|Theft
CLA0352|POL0010|02/26/2024|10017.33|Death|Little|Property Damage
CLA0353|POL0002|30-11-2024||Illness|Network|Theft
CLA0354|POL0005|26/02/2024|34007.26|Theft|Whom|Theft
CLA0355|POL0019|17-07-2023|46239.13||Save|Theft
CLA0356|POL0016|08/16/2024|9189.73||Green|Property Damage
CLA0357|POL0001|23-02-2022|38284.69|Death|Back|Death
CLA0358|POL0014|27/01/2022|39245.92|Illness|Soldier|Death
CLA0359|POL0001|30/04/2024|47080.2|Property Damage|When|Property Damage
CLA0360|POL0002|2023-12-15|17008.26|Illness|Capital|Illness
CLA0361|POL0003|31-07-2023|22828.2|Illness|Note|Death
CLA0362|POL0014|2023-02-21|21934.31|Theft|It|Illness
CLA0363|POL0005|27/11/2024|23463.18||Inside|Theft
CLA0364|POL9999|2022-04-02|18053.89|Accident|Available|Death
CLA0365|POL0014|06-10-2022|7656.8|Theft|East|Property Damage
CLA0366|POL0018|18/10/2023|33905.34|Accident|Form|Death
CLA0367|POL0003|24/11/2024|43587.28|Illness|Response|Death
CLA0368|POL0014|07/01/2024|31635.74|Theft|Little|Death
CLA0369|POL0018|09-10-2023|40487.09|Death|Sometimes|Property Damage
CLA0370|POL0019|04/25/2022|25899.84|Theft|Service|Death
CLA0371|POL0014|2023-08-05||Illness|I|Death
CLA0372|POL0012|08-12-2022|0|Theft|Physical|Theft
CLA0373|POL0005|12/26/2024|39659.58|Illness|Realize|Accident
CLA0374|POL0011|22-12-2024|26850.52|Accident|Quite|Illness
CLA0375|POL0005|09-03-2024|12895.01|Death|Discover|Theft
CLA0376|POL0009|26/06/2024|9088.4||Western|Accident
CLA0377|POL0004|01/22/2022|Ten Thousand||Bad|Death
CLA0378|POL0005|2022-04-05|30492.64|Theft|Pressure|accident
CLA0379|POL0018|18/11/2024|16178.56||Responsibility|Illness
CLA0380|POL0007|08/21/2023|39049.08|Death|Treat|Death
CLA0381|POL0017|23/04/2023|42342.07|Death|Indicate|Theft
CLA0382|POL0007|2024-08-19|48002.87|Theft|In|illness
CLA0383|POL0019|11/25/2024|26237.26|Property Damage|Hand|Illness
CLA0384|POL0014|2022-03-03|3394.03|Illness|Like|Theft
CLA0385|POL0001|13/10/2023|9757.9|Accident|Old|Illness
CLA0386|POL0016|01-11-2022|11397.24|Property Damage|Their|Death
CLA0387|POL0001|11-11-2024|1281.91|Accident|Least|Property Damage
CLA0388|POL0007|07-06-2022|19452.46|Death|Military|Property damage
CLA0389|POL0017|08/23/2022|0||Risk|Property Damage
CLA0390|POL0018|04/15/2022|11721.25|Illness|Four|THEFT
CLA0391|POL0006|2023-02-10|11284.35||Face|Illness
CLA0392|POL0001|31/12/2022|18291.86|Theft|Media|Theft
CLA0393|POL0011|20/10/2022|41273.15|Accident|Build|Theft
CLA0394|POL0019|10-02-2022|15743.32|Illness|Resource|Theft
INVALID_30|POL0011|07/02/2022|15003.47||Move|Theft
CLA0396|POL0011|23-02-2023|17294.63|Illness|Throughout|Theft
CLA0397|POL0005|21/12/2022|42347.36|Theft|Turn|Property Damage
CLA0398|POL0006|09/23/2023|37251.37|Accident|Even|Illness
CLA0399|POL0005|2024-11-07|13620.86||Might|Property Damage
CLA0400|POL0016|2023-04-03|10144.09|Theft|Under|Property Damage
CLA0401|POL0017|2023-05-22|1834.64|Property Damage|Police|Accident
CLA0402|POL0004|2022-01-27||Accident|Need|Illness
CLA0403|POL0019|2024-11-25|49481.07|Death|We|Illness
