PolicyID,CustomerID,PolicyType,PremiumAmount,StartDate,EndDate,Status
POL0035,CUS0010,Motor,28123.52,18/04/2022,26/09/2024,At
POL0036,CUS0013,life,48006.94,2022-02-12,17/09/2023,Local
POL0037,CUS0002,Health,36633.19,15/06/2022,26/05/2024,Center
INVALID_55,CUS0015,Life,34263.58,08-12-2023,12-03-2023,Movie
POL0039,CUS0015,Health,18228.47,02-03-2023,05/11/2022,Room
POL0040,CUS0001,PROPERTY,18034.75,02/12/2022,02/10/2022,Gun
POL0020,CUS0015,Life,47156.49,12/22/2023,31/07/2022,Within
INVALID_87,CUS0017,Motor,48115.21,12-02-2023,04/10/2022,Lose
POL0043,CUS0001,Motor,47155.34,01/10/2024,01/12/2023,Girl
POL0044,CUS0009,Property,13671.8,2024-10-25,24-01-2024,Material
POL0044,CUS0012,Life,49998.12,02/05/2022,03/22/2024,Catch
POL0046,CUS0016,PROPERTY,18842.61,2024-06-19,11/04/2024,From
POL0047,CUS0008,Property,26101.48,07-04-2024,06/07/2024,Ask
POL0048,CUS0009,Motor,32525.13,05/20/2024,07/12/2023,Material
POL0049,CUS0005,Health,41332.12,14/07/2022,24-03-2024,No
POL0050,CUS0019,Life,39980.61,20-07-2023,23/05/2022,Stock
POL0051,CUS0014,Life,11000.05,22-03-2023,2023-11-21,Lot
POL0052,CUS0016,Health,10632.17,2022-12-28,03/11/2023,Represent
POL0053,CUS0012,Life,36447.75,17/04/2024,2023-11-22,So
POL0054,CUS0006,Health,3452.67,26/08/2022,09/27/2022,Design
POL0055,CUS0007,Property,42946.7,07-12-2024,09/03/2024,Store
POL0056,CUS0012,Health,4577.46,31/01/2023,28-05-2024,Feel
POL0045,CUS0009,Motor,8536.48,02/24/2022,2022-09-16,Career
POL0058,CUS0013,HEALTH,35545.11,22/08/2024,05/14/2023,Important
POL0059,CUS0013,Health,21571.85,18-10-2022,09/11/2022,Evidence
POL0060,CUS0009,Property,2642.79,10-10-2022,25-06-2023,Score
POL0061,CUS0019,Life,Ten Thousand,16-06-2024,2024-12-12,Stop
POL0062,CUS0005,Health,5119.03,2024-08-11,2023-02-28,Push
POL0063,CUS0016,Property,24312.62,2024-09-18,20-06-2022,Grow
POL0064,CUS9999,Life,0,06/27/2024,07/01/2023,If
POL0065,CUS0006,life,5687.97,29-05-2024,21/10/2024,Cup
POL0066,CUS0006,Health,14303.23,12/09/2024,25/06/2023,Program
POL0067,CUS0015,Property,49686.27,09/12/2022,06/28/2023,Class
POL0068,CUS0001,Motor,2014.49,2024-08-22,18/04/2023,Decision
POL0069,CUS0002,Health,37915.69,2023-08-16,19-11-2023,Occur
POL0070,CUS0002,Motor,35995.77,2022-04-03,23/04/2022,Argue
POL0071,CUS0015,Motor,17082.62,29/08/2022,08/08/2023,Though
POL0072,CUS0014,Property,38297.03,2024-07-05,11/13/2022,Evening
POL0073,CUS0004,Life,49931.67,16/09/2022,05/17/2024,Necessary
POL0074,CUS0002,Motor,Five Hundred,2022-01-27,08/16/2023,Keep
POL0075,CUS0017,Motor,4009.13,04-03-2023,2024-07-19,Win
POL0076,CUS0016,Property,3791.34,31/12/2023,07-05-2022,Center
POL0077,CUS0020,Motor,29033.39,09/04/2023,23/10/2023,Apply
POL0078,CUS0005,Property,17809.8,12/04/2024,2022-08-02,Bit
POL0079,CUS0001,Life,19794.78,29-12-2023,2022-07-21,Red
POL0080,CUS0018,Property,35825.74,19-03-2024,2023-07-02,About
POL0081,CUS0019,Property,8660.06,09/20/2023,16-05-2022,Range
POL0082,CUS0018,life,20937.35,2023-11-03,2024-03-10,Order
POL0083,CUS9999,Motor,45973.72,2022-11-08,2024-03-23,Forget
POL0084,CUS0016,Health,24213.98,20-06-2022,13-12-2022,Discussion
POL0085,CUS0002,Life,36253.18,06/14/2023,2024-07-08,Bring
POL0086,CUS0016,Life,6263.5,2022-04-02,07/15/2024,Maybe
POL0087,CUS0012,Life,26852.42,01/09/2023,15-07-2023,Rise
POL0088,CUS0018,Life,26884.52,22-11-2024,05/28/2022,Ground
POL0089,CUS0012,Property,22281.98,10/08/2022,20-10-2022,Finish
POL0090,CUS0004,Property,44566.7,05/18/2024,2022-01-28,Mr
POL0091,CUS0013,Life,40486.74,2024-05-04,13/07/2024,Throw
POL0092,CUS0012,Motor,,2022-07-31,07/24/2024,Glass
POL0093,CUS0004,Life,,16-12-2023,29/04/2023,Her
POL0094,CUS0006,Health,9848.51,12-03-2022,2022-12-16,Remain
POL0095,CUS0008,Motor,4112.6,08/14/2022,07/13/2024,Clearly
POL0096,CUS0017,Health,38285.06,20/08/2022,03-06-2023,House
POL0097,CUS0010,Property,42754.27,01/14/2022,20/05/2024,They
POL0098,CUS0014,Motor,14550.27,17/05/2024,09/04/2023,To
POL0099,CUS0006,Motor,15904.47,2022-06-14,01/27/2024,Material
POL0100,CUS0016,Health,7952.51,14-03-2024,19/02/2023,Kind
POL0101,CUS0010,health,1374.12,2024-03-03,06/16/2023,Air
POL0102,CUS0017,Motor,10259.07,12-08-2022,2023-06-12,Check
INVALID_2,CUS0017,Health,48569.91,20/06/2022,10/12/2024,Middle
POL0104,CUS0020,Motor,4251.95,2022-09-05,13/09/2022,Power
POL0105,CUS0007,Motor,41952.84,27-06-2024,03/08/2022,Place
POL0106,CUS0009,Health,31682.56,09/07/2024,12/13/2024,Customer
POL0107,CUS0011,Motor,44570.78,08-07-2022,2022-07-13,Fast
POL0108,CUS0008,Life,21156.05,21/12/2023,18-03-2024,Catch
POL0109,CUS0015,Life,36055.43,2023-07-04,22/01/2024,Rise
POL0110,CUS0008,Motor,41493.81,2024-09-18,10/04/2023,Smile
POL0111,CUS0011,Health,20968.07,2024-09-28,2024-01-21,Ball
POL0112,CUS0003,Life,18133.31,2024-04-28,16/10/2022,Drop
POL0113,CUS0012,Health,10754.37,04-04-2022,29-11-2023,Reason
POL0114,CUS0015,Health,36346.85,02-08-2023,03/03/2024,Because
POL0115,CUS0012,Health,12544.95,2022-03-26,11/22/2024,Similar
POL0116,CUS0012,Life,11849.25,03/31/2022,03/06/2024,Interesting
POL0117,CUS0002,Life,40904.38,21/09/2024,2023-06-23,Need
POL0099,CUS0015,Life,35664.02,05/03/2024,2022-04-27,Remain
POL0119,CUS0006,Health,25796.34,2023-11-28,2022-09-08,Week
POL0120,CUS0005,Health,33242.55,07-06-2024,03/10/2023,War
POL0121,CUS0008,Health,46115.87,27/01/2023,03/10/2022,Which
POL0122,CUS0013,Life,39174.0,2022-09-19,05/22/2023,Method
POL0123,CUS0017,Motor,26001.54,2024-05-25,2024-02-03,Product
POL0124,CUS0006,Life,13526.57,21/03/2024,2024-08-18,Maybe
POL0125,CUS0020,property,35602.21,2023-02-14,17-05-2022,Account
POL0126,CUS0020,Life,37420.85,2022-09-10,23/10/2023,So
POL0127,CUS0001,Life,35351.67,2022-06-04,04/15/2023,Go
POL0128,CUS0007,Motor,4505.66,12-08-2023,26-05-2023,Issue
POL0129,CUS0009,Health,19582.06,08/04/2024,2024-10-05,May
POL0130,CUS0018,Motor,4748.0,08/12/2023,21-08-2022,Deal
POL0131,CUS0003,Motor,34303.47,11-03-2023,29-08-2024,Almost
POL0132,CUS0019,Property,43986.62,04/09/2022,05/15/2022,Training
POL0133,CUS0005,Property,35186.82,29/10/2024,18/07/2022,Mr
POL0134,CUS0013,Motor,22604.38,20/05/2024,2024-02-23,Break
POL0135,CUS0007,Motor,Twenty Five Thousand,29-03-2024,2023-01-20,Drug
POL0136,CUS0016,Life,42720.42,22-01-2022,02/06/2023,Right
POL0137,CUS0003,Property,33051.74,01/01/2024,12/12/2022,Attorney
POL0138,CUS0018,Property,,25/07/2022,16/05/2024,Sort
INVALID_68,CUS0013,Property,23769.58,05/06/2023,12/14/2024,Behavior
POL0140,CUS0006,Property,12197.82,08/04/2023,2023-04-05,Report
POL0141,CUS0014,Health,46155.35,02/05/2024,10/17/2024,Defense
POL0142,CUS0012,Property,25369.77,2024-03-17,2024-09-22,Better
POL0143,CUS0001,Motor,41488.52,12/24/2024,2022-09-12,Likely
POL0144,CUS9999,Motor,36527.02,2023-05-06,07/21/2023,Yes
POL0145,CUS0016,Life,4221.25,08/05/2024,12/01/2023,Option
POL0146,CUS0001,LIFE,9531.31,13/03/2024,29/10/2022,Laugh
POL0015,CUS0003,Motor,Twenty Five Thousand,20/08/2022,11-02-2023,Similar
POL0148,CUS0007,Property,28609.02,26/08/2022,13-06-2022,Significant
POL0149,CUS0003,Health,49267.38,29-07-2024,04/15/2022,Population
POL0150,CUS0010,Health,32593.36,08/06/2022,29/11/2023,Figure
POL0151,CUS0010,Motor,4135.15,04/09/2023,17/02/2024,Property
POL0152,CUS0004,Motor,32812.64,2023-06-25,2024-03-20,Reveal
INVALID_28,CUS0014,Health,35054.23,20-10-2024,03-11-2022,Than
POL0154,CUS0019,Property,1073.62,30/06/2024,2023-02-05,Song
POL0155,CUS0012,Property,11506.93,09/09/2023,2022-05-13,Born
POL0156,CUS0013,Life,35639.91,05/01/2023,15/09/2024,Radio
POL0157,CUS0017,Health,24605.42,2022-09-16,20-04-2022,Expert
POL0158,CUS0020,Motor,20829.29,2022-12-02,05/18/2023,House
POL0159,CUS9999,Health,36876.22,2022-07-14,2022-04-18,Middle
POL0160,CUS0016,Property,17784.65,09/18/2023,01/04/2022,Give
POL0161,CUS0017,Motor,35327.86,10/30/2022,2023-08-12,Mr
POL0162,CUS0018,Property,0,08/10/2023,15/12/2022,Money
POL0163,CUS0004,Property,18218.65,2023-12-23,31-12-2023,Land
POL0164,CUS9999,Health,0,12/31/2022,30-05-2023,People
POL0165,CUS0008,Life,,06/25/2023,10/12/2024,While
POL0166,CUS0003,Motor,34927.37,2023-09-20,2023-11-07,Without
POL0167,CUS0002,Motor,44834.03,2023-09-11,18/12/2023,She
POL0168,CUS0001,Life,27351.42,2022-04-02,01-09-2022,Per
POL0024,CUS0007,Property,3270.7,07/03/2024,23-10-2024,Use
POL0170,CUS0015,Motor,3804.28,17-11-2022,2022-03-25,Letter
POL0171,CUS0012,Motor,9276.64,06/03/2024,2024-01-29,Decision
POL0172,CUS0013,Property,21788.22,08-04-2023,2022-08-30,Information
POL0173,CUS0018,Life,31738.79,10/27/2023,04/10/2023,Concern
POL0174,CUS0018,Motor,45888.75,23/01/2024,11/19/2023,Decide
POL0175,CUS0007,Health,Five Hundred,17-12-2024,10/06/2023,White
POL0176,CUS0010,Life,35910.33,21-03-2022,03/08/2024,Can
POL0177,CUS0004,Property,39574.78,15-11-2024,17-12-2022,Game
POL0178,CUS0014,Life,14096.39,2023-09-22,12/01/2022,Trial
POL0179,CUS0016,Health,17002.62,2024-01-29,11/19/2024,Sometimes
POL0110,CUS0009,Life,5565.81,23-06-2024,11-12-2023,Community
POL0181,CUS0014,Health,39929.84,28-01-2024,2022-07-12,And
POL0182,CUS0006,motor,48314.38,2023-10-14,12/07/2022,Black
POL0183,CUS0007,Property,,06/26/2022,2024-08-05,Thousand
POL0184,CUS0010,Life,36817.18,18/04/2024,04/14/2022,Current
POL0185,CUS0003,LIFE,24230.41,23-08-2022,03/04/2024,Sing
POL0186,CUS0020,Motor,7482.56,10/15/2023,01-02-2024,News
POL0187,CUS0020,MOTOR,,29/12/2023,22/02/2022,Throughout
POL0188,CUS0020,Health,16673.03,11-10-2022,03/08/2023,But
POL0101,CUS0018,Motor,37233.26,08/15/2022,08/02/2022,Represent
POL0190,CUS0014,property,Five Hundred,26-01-2023,27-12-2024,Summer
POL0191,CUS0001,Property,16914.32,2023-03-26,09/28/2024,They
POL0192,CUS0003,Health,48889.96,11/01/2024,08/07/2022,Certainly
POL0193,CUS0012,Property,3663.7,08/22/2024,17-08-2024,Situation
POL0194,CUS0009,Life,12132.85,05/10/2022,12/08/2024,Significant
POL0195,CUS0013,Motor,-2592.25,19/12/2024,20-04-2022,There
POL0196,CUS0019,Property,24487.84,02/20/2022,15-06-2022,Include
POL0197,CUS0008,Life,44212.23,07/05/2023,20/12/2022,Rich
POL0198,CUS0019,Health,4266.21,2024-07-12,10/15/2022,Commercial
POL0199,CUS0009,Life,27455.82,2024-06-09,12/18/2023,Know
POL0200,CUS0015,Property,9891.21,08/07/2022,19-07-2022,Mission
POL0201,CUS0015,Motor,2876.24,18/10/2024,20-05-2022,Window
POL0202,CUS0002,Health,47978.4,21-05-2023,2023-03-14,Its
POL0203,CUS0003,Property,39058.21,12/31/2023,06/23/2022,Size
POL0204,CUS9999,Property,22911.52,01/30/2024,10/08/2023,Point
POL0205,CUS0013,Motor,45233.74,02/11/2022,2023-08-27,Consumer
POL0206,CUS0014,Motor,0,2022-08-02,02-02-2023,Treatment
POL0207,CUS0018,Life,30197.18,2022-05-17,01/06/2022,Center
POL0208,CUS0003,Health,Twenty Five Thousand,27-04-2024,2024-02-22,Describe
POL0209,CUS0013,Life,-4899.38,12/21/2024,26/05/2023,Thousand
POL0210,CUS0010,Motor,42680.82,10/09/2022,11/09/2022,Yes
POL0211,CUS0005,Health,12516.65,2022-04-16,03/06/2024,Foreign
POL0212,CUS0016,Property,14992.04,30/11/2023,2022-06-30,Training
POL0213,CUS0003,Health,14582.92,15-03-2023,06-04-2022,Recent
POL0214,CUS0006,Property,1649.45,2024-10-20,12/09/2023,When
POL0215,CUS0018,Property,32853.54,02-01-2023,27-06-2023,Whatever
POL0216,CUS0007,Life,8071.01,31/10/2023,18-01-2024,Picture
POL0217,CUS0006,Health,45521.72,07/12/2022,2022-10-30,Wide
POL0218,CUS0016,Property,37633.97,03/16/2024,03-03-2022,Respond
POL0219,CUS0010,Life,34795.76,08/08/2022,2024-04-29,Power
POL0220,CUS0015,motor,48654.09,06/19/2022,11/09/2024,Cover
POL0221,CUS0015,Property,36318.83,15/08/2022,25/09/2023,Education
POL0222,CUS0015,Life,27818.85,2022-07-21,14-08-2023,Radio
POL0223,CUS0017,Property,3354.04,06/09/2023,29/09/2024,Indicate
POL0224,CUS0003,Property,41942.12,07/19/2022,09/22/2023,Realize
POL0225,CUS0009,Property,16160.73,01/08/2024,2023-12-31,Health
POL0146,CUS0012,Motor,32235.74,19-10-2023,11/10/2023,Huge
POL0227,CUS0009,Property,7597.68,27/10/2022,2024-11-02,Account
POL0128,CUS0002,Life,32327.64,12/10/2022,12/10/2023,Why
POL0229,CUS0014,Health,37830.5,02/02/2023,02/24/2023,Moment
POL0230,CUS0006,Life,16774.65,2022-02-16,06/23/2024,Say
POL0231,CUS0017,Health,47224.8,16-06-2024,2022-01-26,Improve
POL0232,CUS0014,Property,45826.21,2024-02-29,2024-05-21,Write
POL0233,CUS0009,Property,27826.25,25/02/2024,31/08/2023,Staff
POL0234,CUS0016,Motor,0,2023-12-15,2022-09-12,Long
POL0235,CUS0020,Motor,0,07/03/2024,14/04/2022,Father
POL0236,CUS0008,Property,4460.86,08/26/2022,10/27/2024,Statement
POL0028,CUS0005,Property,24075.23,19/08/2022,03/31/2022,Particularly
POL0238,CUS0003,Life,4617.73,2022-10-06,2022-03-08,Suffer
POL0239,CUS0015,Health,43641.4,2023-05-30,2024-12-04,Try
POL0240,CUS0012,Motor,1240.97,2022-07-07,2022-05-23,Entire
POL0241,CUS0015,Motor,44608.78,2024-09-01,2022-12-11,Everybody
POL0242,CUS0018,Health,,2023-06-01,11/08/2023,Tell
POL0243,CUS9999,Motor,9147.69,08-01-2022,29/03/2022,Trade
POL0244,CUS0002,Motor,39600.36,2022-02-21,11-11-2023,Wear
POL0245,CUS0009,Property,28311.05,06/04/2023,2022-06-08,Strong
POL0246,CUS0014,Motor,39958.13,20/03/2024,31/12/2023,Force
POL0247,CUS0013,Property,8112.68,15-07-2023,10-10-2024,Sort
INVALID_91,CUS0003,Health,9077.25,2023-08-12,14-03-2024,Training
POL0249,CUS0018,Life,21054.8,2024-08-21,06-08-2022,Dark
POL0250,CUS0012,Motor,23944.8,2022-11-11,2024-05-23,Enter
POL0251,CUS0012,Property,43096.69,10/29/2024,2022-02-21,Study
POL0252,CUS0011,Life,39200.36,25-11-2022,23-04-2023,His
POL0253,CUS0010,Motor,45296.81,2023-12-10,2022-04-05,Safe
POL0254,CUS0012,Health,39868.03,09/04/2023,10/17/2023,Community
POL0042,CUS9999,Life,21677.53,11/24/2023,17/10/2024,Red
POL0256,CUS0019,Motor,18516.47,13/01/2023,02-04-2024,Huge
POL0257,CUS0001,Health,5964.68,04/06/2022,04/13/2023,Feeling
POL0258,CUS0014,Property,-2673.87,24-04-2024,04/09/2023,Thank
POL0259,CUS0009,Property,40859.81,2024-10-12,11/23/2023,Pay
POL0260,CUS0020,Motor,47473.66,03/31/2024,04/29/2024,Million
POL0261,CUS0001,Life,43084.85,01/11/2022,05/06/2023,Him
POL0262,CUS0017,Motor,30844.93,08/04/2024,22/11/2024,Change
POL0263,CUS0020,Property,45969.58,12/11/2022,17/07/2022,Toward
POL0264,CUS0006,Life,20963.6,09-04-2022,06/08/2024,Check
INVALID_83,CUS0008,Health,13077.04,13-12-2023,02/26/2024,Entire
POL0266,CUS0016,Motor,Five Hundred,2022-02-14,08/22/2023,North
POL0267,CUS9999,Property,43878.7,24-03-2024,10/07/2024,Focus
POL0268,CUS0006,Property,28084.39,09/04/2023,2023-03-20,Tv
POL0269,CUS0018,Health,19629.4,30/11/2023,05/06/2024,Reality
POL0198,CUS0020,Health,6843.98,17/10/2024,2024-12-17,Economic
POL0271,CUS9999,Life,39683.1,09/25/2024,15-03-2023,Control
POL0272,CUS0005,Property,24525.49,2023-08-05,17-04-2023,Effort
POL0273,CUS0019,Life,,2023-05-13,10/31/2024,Customer
POL0274,CUS0005,Health,5305.31,2023-02-23,06/05/2023,Agency
POL0275,CUS0016,Property,19913.63,20/06/2022,2022-12-12,Eat
POL0276,CUS0008,Property,12753.94,28-08-2023,2024-04-12,Will
POL0277,CUS0017,Health,3200.52,28-06-2023,09/17/2022,Thought
POL0278,CUS0005,Health,29282.32,21/01/2024,28/07/2024,Third
POL0279,CUS0011,Life,2324.14,2024-08-02,2023-08-13,Class
POL0280,CUS0001,Health,9299.8,2023-08-04,2023-08-23,Bank
POL0281,CUS0004,MOTOR,5544.82,05-08-2024,19-06-2022,Computer
POL0282,CUS0004,Motor,28395.68,14/05/2023,2023-07-05,Art
POL0283,CUS9999,Motor,,14-06-2023,02/25/2024,Sign
POL0284,CUS0007,Motor,15843.07,09-01-2024,15/06/2023,Medical
POL0285,CUS0002,Property,27629.14,2023-12-10,2022-05-15,Radio
POL0286,CUS0017,Life,42759.35,17/08/2022,2024-11-27,Ball
POL0287,CUS0018,Health,44558.91,2023-01-11,30/04/2022,Because
POL0288,CUS0010,Motor,39528.27,2022-11-07,09/13/2024,Protect
POL0227,CUS0002,Property,7155.41,11/27/2022,11/26/2023,Method
POL0290,CUS0012,Life,12648.74,2022-05-22,24/07/2024,Fast
POL0291,CUS9999,Motor,19185.46,29-07-2022,19/10/2024,Though
POL0292,CUS0019,Property,48440.72,23-12-2023,31-03-2024,House
POL0293,CUS0001,Life,39165.6,10/22/2024,27/12/2024,Issue
POL0294,CUS0009,Life,0,19/03/2022,20-06-2024,Similar
POL0295,CUS0020,Life,19670.7,31/10/2022,07/24/2022,Decade
POL0113,CUS0013,Motor,30383.61,2022-04-21,30/07/2022,Million
POL0297,CUS0012,Property,41258.53,2023-03-15,2023-07-10,Will
POL0298,CUS0004,Motor,14360.53,2023-08-16,2024-05-27,Use
POL0299,CUS0008,Motor,25811.27,27/03/2024,19-10-2023,Case
POL0300,CUS0013,motor,5309.05,03/02/2024,05-12-2024,Hospital
POL0301,CUS0005,Motor,40350.65,2022-08-28,06/04/2024,Support
POL0302,CUS0006,Property,0,2022-12-28,08/11/2022,Unit
POL0303,CUS0007,Property,0,15-03-2024,15/09/2022,Into
POL0304,CUS0005,Life,42322.43,12/10/2022,2022-03-06,Rather
POL0305,CUS0004,Life,10635.31,30-09-2024,12/10/2024,Worry
POL0306,CUS0012,Health,30155.44,20/08/2023,23-04-2022,He
POL0003,CUS0014,Life,4847.99,2022-12-29,06/30/2023,Create
POL0308,CUS0009,Motor,32691.67,25/05/2023,2022-09-05,Alone
POL0309,CUS0009,Life,41173.82,25-01-2024,19/02/2024,Audience
POL0310,CUS9999,Property,47884.3,2022-06-14,22/11/2023,Mrs
POL0311,CUS0006,Life,3593.57,2024-04-19,03/04/2024,Continue
POL0312,CUS0020,Health,0,03/08/2022,06/02/2023,Music
POL0313,CUS9999,Motor,43712.76,01/02/2022,25-12-2024,Want
POL0314,CUS0006,Motor,44646.81,09/26/2023,2024-06-01,Relate
POL0315,CUS0001,Motor,0,03-11-2023,30/09/2024,Upon
POL0316,CUS0013,Health,25757.91,2024-01-14,10/03/2022,Against
POL0317,CUS0014,Health,23136.84,24-07-2022,23-12-2022,Notice
POL0190,CUS0006,Motor,,2024-08-17,2024-07-21,Join
POL0319,CUS0009,Health,0,05/19/2022,07/14/2023,Role
POL0320,CUS0011,Property,18404.09,27-06-2023,27/12/2022,Scientist
POL0321,CUS0002,Life,11409.26,17-01-2024,10/29/2022,Eat
POL0322,CUS0006,Motor,18946.5,2022-02-28,13-02-2024,Goal
POL0323,CUS0006,Motor,31317.35,31/03/2024,05/06/2024,Yes
POL0324,CUS0020,Property,40927.35,07/16/2022,2024-07-18,Boy
POL0325,CUS0005,Health,8423.04,06/13/2023,23-06-2023,Speak
POL0326,CUS0001,Health,49259.91,2023-09-08,01/09/2022,Him
POL0327,CUS0006,Property,30534.05,05-04-2023,11/11/2023,Then
POL0328,CUS0006,Property,0,10/12/2023,10/24/2023,May
POL0329,CUS0010,Life,45153.2,28/11/2023,2022-10-04,Man
POL0330,CUS0018,Health,11723.08,08/05/2022,11/08/2022,Stand
POL0331,CUS0001,Motor,0,2023-05-03,10/10/2022,Alone
POL0332,CUS0013,Property,35277.33,30-06-2023,2023-09-21,Meet
POL0333,CUS0015,Life,16179.75,2023-07-28,13-01-2024,Strong
POL0334,CUS0009,Life,,03/28/2023,11-06-2023,Deep
POL0217,CUS0007,Property,41928.36,01/05/2024,11/13/2024,Wide
POL0336,CUS0009,Life,33280.91,13/12/2024,2022-07-27,But
POL0337,CUS0008,Health,24294.89,26-04-2023,12/09/2024,Society
POL0338,CUS0009,Life,13525.91,29/03/2024,03/08/2022,Material
POL0339,CUS0016,Life,27721.84,29-04-2023,13-06-2024,Stay
POL0340,CUS0010,Property,17992.25,26/07/2024,20/11/2024,Media
POL0341,CUS0009,Motor,11494.42,07/03/2024,07-06-2022,Soon
INVALID_64,CUS0015,Life,12050.29,19-10-2024,08-10-2022,Soldier
POL0343,CUS0011,Motor,18994.5,14-04-2023,02/28/2024,Try
POL0344,CUS0015,Property,34869.0,23-12-2024,01/10/2024,Investment
POL0345,CUS0019,Property,43997.4,02/10/2022,2024-08-28,Box
POL0346,CUS0001,Life,0,04/06/2022,21/09/2023,Activity
INVALID_59,CUS0001,Life,14643.61,26-12-2022,08/09/2024,Understand
POL0348,CUS0011,Property,1223.61,18/04/2022,08-06-2023,Sing
POL0349,CUS0008,Property,40953.7,10/11/2023,07/20/2022,Hand
POL0350,CUS0005,Life,18278.77,25-04-2024,21/03/2022,Defense
POL0351,CUS0019,life,26257.96,20-12-2024,05/08/2023,Everything
POL0352,CUS0013,Health,35190.27,10/13/2022,25-01-2022,Three
POL0353,CUS0007,Life,45604.45,11/21/2024,05/01/2024,Yourself
POL0354,CUS0008,Property,45784.3,09-11-2023,2022-11-07,Goal
POL0355,CUS0016,Life,33389.37,13/11/2023,30/06/2023,Worker
POL0032,CUS0019,Property,11742.06,26-10-2024,31/12/2023,Question
POL0357,CUS0009,Health,12098.65,05/22/2024,23-04-2023,Develop
POL0358,CUS0005,Motor,41765.44,12/03/2024,2023-01-11,Green
POL0359,CUS0017,Life,28861.1,04/18/2023,30/04/2023,Almost
POL0360,CUS0009,Health,47430.45,03-01-2022,02/14/2022,Happen
POL0361,CUS0013,Health,-2103.91,2024-03-08,01/19/2023,Real
POL0362,CUS0013,Motor,14380.49,04/03/2023,2023-05-08,Near
POL0363,CUS0010,Life,Ten Thousand,05/07/2022,09-01-2022,High
POL0364,CUS9999,Property,3154.86,2023-04-20,03/14/2023,Father
POL0365,CUS0015,Motor,Twenty Five Thousand,09/19/2024,04/27/2022,Culture
POL0366,CUS0010,Life,12949.69,09/16/2023,28/07/2022,Soldier
POL0367,CUS0018,MOTOR,0,2023-01-22,10/09/2024,Around
POL0368,CUS0002,Life,2513.33,2022-01-09,06-12-2023,Bring
POL0369,CUS0009,Motor,,12/03/2024,23/04/2024,Treat
POL0370,CUS0013,Property,35309.61,05-04-2022,19-04-2022,Foreign
POL0371,CUS0005,Motor,17307.62,27/07/2022,07-04-2024,Adult
POL0372,CUS0012,Health,15227.79,01/18/2023,2022-07-09,Gun
POL0373,CUS0018,Property,47640.33,2024-06-20,21/11/2023,Project
POL0313,CUS0010,Life,Twenty Five Thousand,02/05/2024,11-07-2024,Side
POL0375,CUS0020,Health,36376.53,26-08-2022,12/31/2023,Leave
INVALID_53,CUS0018,Life,8128.2,03/31/2023,19/11/2023,Society
POL0377,CUS9999,Motor,33172.58,17/10/2023,01/07/2024,Government
POL0378,CUS0014,Health,Five Hundred,03/09/2024,12/02/2023,Street
