RouteID|Origin|Destination|DistanceKM|EstimatedHrs|RouteType
ROU0058|Less|Energy|14164.34|25061.15|Highway
ROU0059|Space|Wife|33475.59|25786.52|City
ROU0060|Experience|Near|41416.79|21074.11|Mixed
ROU0061|Area|Create|12243.55|40335.12|Highway
ROU0062|Interest|Cut|29316.38|18445.64|Highway
ROU0063|Response|Near|29210.25|43883.35|Highway
ROU0064|Sport|Government|42636.54|27809.52|Highway
ROU0065|Talk|None|13205.66|21112.17|Mixed
ROU0066|Model|Lot|41303.68|25201.99|Mixed
ROU0067|From|Owner|12280.25|9708.08|Highway
ROU0068|Tv|Possible|39013.24|5269.96|Highway
ROU0069|Audience|New|32596.15|6014.65|Mixed
ROU0070|Myself|Blood|23324.71|19002.58|Mixed
ROU0071|Attorney|Road|24001.67|2230.5|Highway
ROU0072|Clear|Benefit|25643.26|30775.18|highway
ROU0073|Change|Attack|13070.55|9598.07|City
ROU0074|Your|Them|19540.1|11256.46|City
ROU0075|Another|Spring|25226.48|23705.61|Highway
ROU0076|Or|Decade|16482.79|0|City
ROU0077|Total|Why|-2913.58|24343.32|Highway
ROU0078|Meet|Next|19870.72|12977.01|City
ROU0079|Culture|Shake|3568.56||MIXED
ROU0080|Prepare|Plant|11759.82|-3265.76|Mixed
ROU0081|Summer|Explain|-538.45|20663.82|Mixed
ROU0082|Yourself|Family||3996.18|City
ROU0083|Food|Media|Twenty Five Thousand|16140.25|City
ROU0084|Happen|Anything|13376.01|222.41|Mixed
ROU0085|Physical|Glass|30167.33|25912.38|City
ROU0086|Move|Country|2521.02|42520.51|City
ROU0087|First|Rule|42637.87|33906.97|Highway
ROU0088|Cost|Gas|33297.1|30832.82|City
ROU0089|Later|Base|25654.09|1036.67|City
ROU0090|Wonder|Myself|-3177.59|1510.82|CITY
ROU0091|Save|Movement|28713.1|3511.02|Mixed
ROU0092|Yard|Grow|25445.55|30540.12|Highway
ROU0093|Card|Customer|26293.39|33589.45|Mixed
ROU0094|Look|Education|39738.92|2829.85|Highway
ROU0095|Real|Save|6406.65|13155.54|Mixed
ROU0096|Film|Defense|15558.72|23601.55|Highway
ROU0097|Leg|Let|22656.1|46880.56|Mixed
ROU0098|Small|Group|46461.79|30531.71|Mixed
ROU0099|Continue|Event|16938.7|21380.95|Mixed
ROU0100|Of|Member|24623.06|41481.32|Highway
ROU0101|Movie|Treat|10981.18|41053.74|City
ROU0102|Item|Computer|16650.48|32658.21|Highway
ROU0103|War|Financial|32681.67|12186.16|Highway
ROU0104|Organization|Wait|32537.55|20904.78|MIXED
ROU0105|Doctor|Ask|11949.9|19487.78|Mixed
ROU0106|Rise|Will|37692.16|24180.62|Mixed
ROU0107|The|Nature|7531.67|-2730.16|Mixed
ROU0108|Read|Population||2571.25|Mixed
ROU0109|Group|Forward|13240.4|6539.8|City
INVALID_71|Blood|Among|Twenty Five Thousand|11505.71|City
ROU0111|Throughout|Interview|39892.43|Twenty Five Thousand|Mixed
ROU0112|Present|Blood|3338.96|2605.06|Highway
ROU0113|Successful|Yard|6516.79||Mixed
ROU0114|Indicate|Girl|25139.41|43055.69|Highway
ROU0115|Keep|Land|20094.3|8925.12|City
ROU0116|Particular|Take|15698.92|28202.46|City
ROU0117|Adult|East|19268.64|40184.74|Mixed
ROU0118|Authority|Party|49351.76|-1117.94|City
ROU0119|Near|Risk|34533.75|33830.05|City
ROU0120|First|At|20541.42||Highway
ROU0121|Treat|Adult|45723.43|6414.47|Highway
ROU0122|Federal|Mean||33003.31|Highway
ROU0122|Beat|Other|43413.27|13839.72|Highway
ROU0124|Hair|West|4131.91|17328.83|City
ROU0125|Professor|Nice|41351.86|22216.84|City
ROU0126|Identify|Strategy|45158.14||Highway
ROU0127|About|Job|25503.04|39329.83|Mixed
ROU0128|Day|Final|32667.59|0|Mixed
ROU0129|Very|Behind|45957.25|46595.02|Highway
ROU0130|Back|Shake|6869.74|44550.03|City
ROU0131|Water|Night|2068.87|3901.69|Highway
ROU0132|Call|Feel|37052.63|14006.75|Mixed
INVALID_19|Car|Politics|26273.08|48434.11|City
ROU0134|Represent|Yourself|16792.74|0|City
ROU0135|Inside|Stay|44236.09|33875.65|Mixed
ROU0136|Exactly|Behind|0|-133.29|City
INVALID_2|Enjoy|Responsibility|38701.34|466.55|City
ROU0138|Body|How|37954.11|27270.72|Mixed
ROU0139|Region|State|22948.95||Highway
ROU0140|Ask|Seat|13730.45|2036.3|Mixed
ROU0141|How|Color|47821.21|Twenty Five Thousand|Highway
ROU0142|Difference|Pay|30161.98|25393.88|Highway
ROU0143|May|Manage|21068.42|24439.74|City
ROU0144|Modern|Feel|21676.74|9978.41|Highway
ROU0145|Deal|Artist|37881.53|35649.38|Mixed
ROU0146|Campaign|Send|20997.62|14823.54|Mixed
ROU0147|Win|Thank|9585.92|38189.45|Highway
ROU0148|Now|Radio|40815.33|45863.36|City
ROU0149|Tend|Political|29010.52|30668.29|CITY
ROU0150|Share|Particular|38715.83|10743.93|City
ROU0151|Against|Other|41047.91|19388.69|City
ROU0152|Year|Congress|8199.07|47323.04|Mixed
ROU0153|Whom|Better|20089.0|11277.91|Mixed
ROU0154|Thus|Boy|11667.2|24759.86|Mixed
ROU0155|I|Machine|24441.75|6300.24|Highway
ROU0156|Among|Term|20716.05|18862.13|Highway
ROU0157|Third|Weight|19387.57|9669.68|CITY
ROU0158|Everybody|Development|48079.2|33239.71|Highway
INVALID_43|Well|Project|17084.4|33073.15|Mixed
ROU0160|Similar|Pressure|28919.94|7312.33|City
ROU0161|Sort|Training|27614.42|18791.67|Highway
ROU0162|Game|Whole|8242.22|14751.57|Highway
ROU0163|You|Task|34737.83|4188.37|Mixed
ROU0164|Business|Raise|23610.48|36305.67|Highway
ROU0165|Peace|Perform|10785.81|7388.32|Mixed
ROU0166|Long|Role|6659.08|11551.94|Mixed
ROU0167|Wrong|Team|35316.6|21087.11|Highway
ROU0168|Price|Research|14035.86|18113.97|Mixed
ROU0169|Type|Anyone|33839.81|5293.1|Highway
ROU0170|Network|Garden|7583.07|19826.58|Highway
ROU0171|Economic|Population|17561.29|40281.47|City
ROU0172|Under|Look|25414.52|20650.68|Highway
ROU0173|Some|Generation|1593.79|46668.86|Mixed
ROU0174|Cultural|Recently||42879.2|Mixed
ROU0175|Never|Many|1563.71|17289.33|City
ROU0176|Step|Data|46701.53|4951.64|Mixed
ROU0177|Where|Laugh|48769.61|18189.41|Mixed
ROU0003|Until|In|35564.88|25313.08|Mixed
ROU0179|Final|Though|41650.66||City
ROU0180|Daughter|Occur|34223.34||Highway
ROU0181|Whole|Listen|19678.87|17120.33|Highway
ROU0182|Tax|Speech|30794.98|45607.24|mixed
ROU0183|Store|Culture|8588.8|8371.95|City
ROU0184|Just|Sign|24821.36|21422.35|Highway
ROU0185|Agent|Do|27155.87|26727.09|Mixed
ROU0186|Arrive|Western|48987.95|19547.31|Mixed
ROU0187|So|Case|35435.98|4698.17|City
ROU0188|Institution|Prepare|15755.54|10520.9|Highway
ROU0189|Brother|Any||41412.39|City
ROU0190|During|Sea|33955.47|28916.12|Highway
ROU0191|Go|Contain|35824.54|37921.58|City
ROU0192|Field|Area|Five Hundred|28375.68|Mixed
ROU0193|Away|Exactly|22436.07|14239.81|Mixed
ROU0194|Group|Contain|44976.19|22951.34|City
ROU0195|Rich|Tree|3269.26|48563.74|Highway
ROU0196|Probably|Dinner|3711.67|2515.39|Mixed
ROU0197|Necessary|Wall|42364.13|18047.98|City
ROU0198|Food|Respond|29357.24|40708.42|Highway
ROU0199|Miss|Focus|43336.13|7897.95|City
ROU0200|Event|Woman||16486.7|City
ROU0201|Seven|Big|33504.33|15528.03|Highway
ROU0202|Your|Candidate|1414.36|19890.68|Mixed
ROU0203|Later|Build|30002.13|16847.89|Mixed
ROU0204|Here|Realize|29131.58|10882.01|Highway
ROU0205|Or|Believe|5798.64|6786.52|City
ROU0206|Home|Keep|9546.41|10022.06|City
ROU0207|Take|View|23508.06|Five Hundred|Mixed
ROU0208|Start|Various|27237.21|11004.98|Highway
ROU0209|Bad|Hot|8331.18|28000.07|Mixed
ROU0210|Walk|Agent|38329.39|23033.14|City
ROU0211|Pick|Over|9466.3|12317.76|Mixed
ROU0212|Final|No|32209.32|19975.7|Mixed
ROU0213|School|Detail|22221.74|27875.94|City
ROU0214|Drug|Imagine|43327.48||City
ROU0215|In|Recognize|26165.75|Twenty Five Thousand|Highway
ROU0216|East|Ability|20849.48|38896.59|Mixed
ROU0217|Center|Western|37219.97|33389.07|Mixed
ROU0218|Among|Wrong|49077.98|32930.16|Highway
ROU0219|Under|Similar|Five Hundred|28463.17|City
ROU0220|Maintain|Marriage|19733.96|10712.46|Highway
ROU0221|Place|These|15835.99|11406.1|City
ROU0222|Free|Eat||4562.7|City
ROU0223|World|Imagine|31402.22|6847.49|Mixed
ROU0224|Audience|Quality|30600.59|4759.14|Highway
ROU0225|Per|International|10389.82|21269.79|City
ROU0226|Event|Right|Twenty Five Thousand|22084.1|City
ROU0227|Budget|Particularly|1074.79||Highway
INVALID_68|Toward|Catch|28862.72|25389.96|Highway
ROU0229|List|Situation|27237.33|37955.02|Mixed
ROU0230|There|Kid|20570.33|32373.27|City
ROU0231|Light|For|24185.62|13790.87|Highway
ROU0232|Try|Whatever||37151.52|Highway
ROU0233|Media|Behavior|34692.42|43245.12|City
ROU0234|Truth|Offer|6227.92|35626.25|HIGHWAY
ROU0235|Myself|Scene|-1921.66|18902.37|City
ROU0236|Direction|Listen|48583.8|37956.53|City
ROU0237|Fill|Answer|44808.93|36462.36|Mixed
ROU0094|Yard|Draw|34366.51|11095.37|Mixed
ROU0239|Sound|Him|18978.64|22519.25|City
ROU0240|Computer|List|7022.58|3182.75|City
ROU0241|Accept|Personal|16756.24||City
ROU0130|Responsibility|About||5384.01|City
ROU0243|Write|Outside|12440.87|35246.79|Highway
INVALID_60|Tree|Physical|4121.83|42320.77|Mixed
ROU0245|Establish|Lawyer|26185.91|15689.63|City
ROU0246|Provide|Important|33899.53|29374.58|Mixed
ROU0247|Sit|Prevent|3540.67|46045.65|Mixed
ROU0248|A|Reveal|9419.21|27870.39|Highway
ROU0249|Law|None|42349.51|45556.28|City
ROU0250|Subject|Color|33810.76|18784.99|Highway
ROU0251|North|Performance|41480.26|-2351.87|Highway
ROU0252|Less|Century|21459.32|1378.33|Mixed
ROU0253|Exist|Friend|27749.97|21658.32|Mixed
ROU0254|Audience|Speech|42703.01|33174.9|City
ROU0213|Kid|Capital|30456.47|15312.93|City
INVALID_97|Society|Social|26620.0|11405.83|Mixed
ROU0257|Outside|Into|6885.85|38867.19|Mixed
ROU0258|Land|Soldier|49963.88|33617.97|City
ROU0259|Result|Pick|Twenty Five Thousand|37794.85|Mixed
ROU0260|Pretty|On|29834.08|5856.99|Mixed
ROU0261|Change|Audience|35560.84|24671.6|Mixed
ROU0262|Also|Last|14214.9|6804.28|City
ROU0263|Across|If|27672.34|42533.39|City
ROU0264|Story|Record|Twenty Five Thousand|6197.81|City
ROU0265|Go|Popular|46907.43|13137.53|City
ROU0266|We|Size|36562.97|33222.35|Highway
ROU0267|Education|Involve|24016.17|4325.01|Highway
ROU0268|Site|On|2813.24|18308.21|Mixed
ROU0269|Notice|Success|33038.72|Ten Thousand|Highway
ROU0270|Above|Song|22077.7|46458.74|City
ROU0271|Other|Rock|2602.02|-3289.05|Highway
ROU0272|Simple|Social|6244.72|12331.4|Highway
ROU0273|Alone|Late|34479.87|44323.9|Mixed
ROU0274|Hundred|But||43062.44|Highway
ROU0275|Adult|At|30223.37|8876.69|Mixed
ROU0276|Thing|However|46979.4|29920.17|City
ROU0277|Wait|Late|42171.13|26587.82|Highway
ROU0278|Start|Field|18536.64|38987.02|highway
ROU0279|Series|Detail|Five Hundred|0|Highway
ROU0280|Month|Election|11682.18|38940.45|Mixed
ROU0281|Part|Out|43002.84|1914.54|City
ROU0282|How|Piece|47823.05|28917.03|City
ROU0283|Area|That|16692.86|11018.3|City
INVALID_1|Task|Effect||4699.83|Highway
ROU0285|Seat|Various|25600.4|18797.38|Highway
INVALID_40|Activity|Last|43873.05|0|Mixed
ROU0287|Any|Who|11650.69|4162.77|City
ROU0288|Morning|Son|0||Highway
ROU0289|Simple|Threat|29116.94|7050.26|City
ROU0290|Nice|Avoid|20495.97|30339.48|City
ROU0291|Others|Imagine|10359.13|25377.87|Highway
ROU0292|Free|Until|29274.04|23095.17|Highway
ROU0293|New|May|6619.84|48976.35|Highway
ROU0294|Structure|Campaign|16998.16|21292.09|Mixed
INVALID_28|Moment|Buy|15138.49|10349.31|Highway
ROU0296|Order|Baby|18882.74|39263.77|Mixed
ROU0297|Group|Finish|37472.92|13038.55|City
ROU0298|Anyone|Treat|37525.06|35749.85|Highway
ROU0299|Defense|Probably|5471.5|35336.92|City
ROU0300|Discussion|Resource|40859.86|40645.4|Highway
ROU0301|Hundred|Mouth|17068.23|9694.21|City
ROU0302|Expect|Discuss|17347.39|47879.92|Mixed
ROU0303|Trouble|Gas|44655.18||Mixed
ROU0304|On|The|25755.36|13026.36|Mixed
ROU0305|Smile|Water|16814.55|15748.42|Highway
ROU0306|Suffer|Mouth|Five Hundred|36484.66|Mixed
ROU0307|Technology|Section|14735.54|0|City
ROU0308|Seat|Music|28719.39|37505.62|City
ROU0309|Stand|Company|19368.25|33614.31|highway
ROU0310|Hour|Suggest|35745.17|10148.76|City
ROU0311|Push|Time|37272.74|20635.95|Highway
ROU0312|When|Other|20815.73|15250.69|Highway
ROU0313|Experience|Off|37639.33|3666.19|Mixed
ROU0314|Development|Amount|13036.2|29651.46|Mixed
ROU0315|Simply|Different|4081.17|3811.12|Mixed
ROU0316|Entire|School|Ten Thousand|13492.85|Mixed
ROU0317|Structure|Thousand|8476.31|37950.51|Mixed
ROU0318|Kitchen|Night|43495.58|25356.14|City
ROU0319|Care|Bed|10505.65|27225.59|Highway
ROU0320|Upon|Build|17180.15|42722.8|Highway
ROU0321|Television|Indicate|48741.23|21489.34|Highway
ROU0322|Deal|Sea|9513.63||Highway
INVALID_10|Degree|Anyone|19078.66|11825.99|Highway
ROU0324|Response|Nature||8138.56|Highway
ROU0325|Street|Military|1099.26|13937.16|City
ROU0326|Head|Political|4108.48|17733.86|Mixed
ROU0327|Attorney|Police|30908.16|21410.91|Mixed
ROU0328|People|Someone|19301.06|20890.95|City
ROU0329|Arm|Quality|4680.82|44634.62|MIXED
ROU0062|Could|Knowledge|3115.44|26758.54|City
ROU0331|Say|West|40500.81|24080.95|City
ROU0332|Night|Child|18371.87|9706.14|Highway
ROU0333|Focus|Performance|46702.34|31303.48|City
ROU0334|Later|Rise|11622.35|47503.68|Mixed
ROU0335|Answer|Nothing|22673.45|25288.02|Mixed
ROU0336|Try|Small|18199.13|39573.56|Highway
ROU0337|Really|Himself|15422.57|9666.88|Highway
ROU0338|Treatment|Surface|6283.71|49546.34|Mixed
ROU0339|Position|Energy|45202.92|0|Mixed
ROU0340|Staff|Today|40056.32|35983.42|Mixed
ROU0341|Six|Likely||6330.19|Highway
ROU0342|There|Together|46216.63|12874.62|Highway
ROU0343|Pick|Father|35411.16|19143.75|Highway
ROU0344|Place|Case|34582.14||Highway
ROU0345|Until|Base|4986.66|Twenty Five Thousand|Mixed
ROU0346|Hundred|International|2771.7|3139.79|CITY
ROU0347|Truth|Tax|16647.57||Mixed
ROU0337|Do|Beyond|15618.57|46540.73|City
ROU0349|Especially|Wait|28664.6|6668.96|Mixed
ROU0350|Remember|Business|10675.22|43821.86|Highway
ROU0150|Store|Foot|8183.96|25989.92|Highway
ROU0352|Generation|Them|19475.41|24375.09|City
ROU0353|Music|Owner|45189.09|2385.55|Highway
ROU0354|Writer|Course|8559.08|22098.96|Mixed
ROU0355|Travel|Summer|12769.51|36114.02|City
ROU0356|Main|Just||0|Highway
ROU0357|Fact|Business|23587.01|1651.56|Highway
ROU0358|History|Town|0|22432.49|Mixed
ROU0359|Affect|Leader|13109.0|41561.58|Mixed
ROU0360|Base|Seek|18989.48|19840.7|City
ROU0361|Exactly|Majority|49104.44|20580.31|Highway
ROU0362|Space|Girl|18187.24|40874.65|Mixed
ROU0363|Kid|Structure|45913.82|32115.28|Mixed
ROU0364|Them|Too|0|Five Hundred|City
ROU0365|Democratic|Already|9084.77||City
ROU0366|Issue|Table|32106.07|32979.79|HIGHWAY
ROU0367|Dog|Way|44549.11|18432.13|Mixed
ROU0368|Lot|Yes|46757.72|17142.38|Mixed
ROU0369|Beat|Push|47507.57|Twenty Five Thousand|Mixed
ROU0317|Interview|Pretty|42458.32|3340.2|Mixed
ROU0371|Little|Growth|9509.23|0|HIGHWAY
ROU0372|Notice|Which||33467.52|City
ROU0373|Any|Whole|9152.35|30906.95|Highway
ROU0374|Black|Well|21774.34|24530.2|Mixed
ROU0375|Politics|Large|10860.97|35409.16|City
ROU0376|Example|Across|12133.29|37926.89|Highway
ROU0377|List|Into|29051.5|45820.55|Highway
ROU0378|Professor|Within|45648.86|39891.79|Highway
ROU0379|Fish|Process|4777.74|28760.79|City
ROU0380|Herself|Live|18216.43|25831.6|Mixed
ROU0381|Certainly|Think|0|41804.73|Highway
ROU0382|Account|See|29675.26|4623.73|Highway
ROU0383|North|Despite|21713.0|38495.73|Highway
ROU0384|Eight|Available|7047.76|27144.86|Highway
ROU0385|Thought|Page|37486.88|41738.6|City
ROU0386|Always|Suddenly|15103.85|46098.71|Highway
ROU0387|Toward|Record||22279.79|Highway
ROU0388|Laugh|Choose|7348.92|27442.99|Mixed
ROU0389|Thank|Anyone|Twenty Five Thousand|20884.54|Highway
ROU0390|Gun|Adult|Five Hundred|4810.22|City
ROU0391|Step|Save|35960.46|48579.79|City
ROU0392|Window|After|31992.42|35211.6|Mixed
ROU0393|Example|Behind|38468.89|48803.16|Highway
INVALID_34|Sing|Yes|0|37671.7|Highway
ROU0395|Hold|House|13519.46|3501.22|Mixed
ROU0396|Someone|Determine|23400.68|43833.32|City
ROU0397|Present|No|38477.26|13028.96|Highway
ROU0398|Good|Individual|4391.2|42576.26|Mixed
ROU0399|Great|Article|38405.23|24211.99|Mixed
ROU0400|Already|Less|24727.51|17123.3|City
ROU0401|Treat|Rise||28854.5|City
ROU0402|Apply|Woman|16618.43|48178.6|City
ROU0403|Community|Team|30115.69|19670.0|Mixed
ROU0404|Really|Machine|18320.65|46174.95|Mixed
ROU0405|Opportunity|Official|14089.57|17853.24|City
ROU0406|Worker|High|16184.65|1245.67|Mixed
ROU0407|Will|Spend|4126.5||Mixed
ROU0408|Interview|Might|10870.29|34806.74|City
ROU0409|Modern|Nature|Twenty Five Thousand|34370.81|City
ROU0138|Coach|Wish|23050.01|36209.02|City
ROU0411|Into|Drug|38000.25|31383.59|Mixed
ROU0412|Work|Vote|46015.38|32434.69|City
ROU0413|Prove|Agree|18931.73|15009.99|Highway
ROU0414|Enter|Anything|8907.54|17018.37|Highway
ROU0415|Specific|Question|11649.17|41231.36|Highway
ROU0416|Option|Not|37963.46|22252.36|Mixed
ROU0417|Interview|Citizen|40800.51|31474.46|City
ROU0418|Treatment|Daughter|40382.94|18791.6|City
ROU0419|Parent|Relate|-163.6|9105.71|City
ROU0420|Sell|Build|46325.52||Highway
ROU0421|Start|Fall|9672.46|16348.79|Highway
ROU0422|Event|Within|15960.33|13228.09|highway
ROU0423|Notice|Always|11862.3|26099.88|Highway
ROU0424|Nation|Success|31185.66|28749.19|City
ROU0425|Tax|End|47012.42||Highway
ROU0426|All|Something|48630.11|2727.67|city
ROU0427|Must|Cover|20326.0|18130.93|Highway
ROU0428|Interesting|Instead|16590.54|22379.53|Highway
ROU0429|Point|From|29526.17||Highway
ROU0430|Success|Picture|24631.42|29525.77|City
ROU0431|Mrs|Less|31037.52|12888.55|City
ROU0116|Year|Surface|3245.13|20883.7|City
ROU0433|Reflect|Pressure|Twenty Five Thousand|2931.73|City
ROU0434|Speak|News|49364.37|14417.63|City
ROU0435|Miss|Really|46708.13|25532.83|Mixed
ROU0436|Prove|Ahead|3804.11|40946.77|City
ROU0437|World|Special|4931.74|7124.03|City
ROU0438|Relationship|Bed|13649.34|37342.63|City
ROU0439|Including|Offer|2103.55|4321.72|Highway
ROU0440|Tonight|Simple|49306.09|5873.3|City
ROU0441|Only|Significant|||Highway
ROU0292|Pick|Natural|23418.57|2834.13|City
ROU0443|Develop|Both|42635.27|37580.18|Highway
ROU0444|Stay|Lead|39262.33|-629.41|Mixed
ROU0445|Lose|Free|13192.81|33965.77|HIGHWAY
ROU0446|Late|So|36700.39|43096.1|Mixed
ROU0447|Cold|Never|12840.01|6352.78|Mixed
ROU0448|Plant|Item|3579.28|33526.69|Mixed
ROU0449|Soon|Science|40081.94|31290.21|City
ROU0450|Cut|Want|18066.05|37421.7|City
ROU0451|I|Congress|34274.66|380.09|Highway
ROU0452|Instead|Woman|23145.12|18504.54|City
ROU0453|Production|Everyone|25662.03|32578.39|Highway
ROU0454|Popular|Nice|23387.78|46468.22|Mixed
ROU0455|Loss|Institution|35839.9|18712.97|City
ROU0456|One|Property|26447.55|38244.65|Highway
ROU0457|Pm|Chair|46211.15|14410.46|Highway
ROU0458|Form|War|0|19573.18|City
ROU0459|Her|Tough|18060.55|15623.42|City
INVALID_28|Person|Democratic|0|42042.2|Highway
ROU0461|Long|Light|33058.92|29960.44|Highway
ROU0462|Write|Exist|3614.69|39572.76|Mixed
ROU0463|Tell|Small|29007.04|18514.23|City
ROU0464|Threat|Official|39070.97|18629.72|City
INVALID_21|White|Whole|31130.48|33082.11|City
ROU0466|Future|Money|40572.25|24851.19|Mixed
ROU0467|Authority|Collection|26195.15|5701.72|Highway
ROU0468|Company|Group|17034.05|24944.28|City
ROU0130|Money|Feel|48697.56|33606.86|Highway
ROU0470|Test|South|2025.17|26224.81|Mixed
ROU0471|Safe|Sometimes|14502.61|40534.38|Highway
ROU0472|Official|Opportunity|33998.6|19831.44|Mixed
ROU0473|Resource|State|37450.93|36809.32|Highway
ROU0474|Herself|Strong|30588.93|43122.91|City
ROU0475|Structure|Society|37280.46|28330.19|Highway
ROU0476|Develop|Along|39987.12|3414.1|Mixed
ROU0477|Life|Purpose|20190.64|45804.76|Highway
ROU0478|Newspaper|See|24016.8|14584.45|MIXED
ROU0479|Buy|Skin|9098.44|27002.47|City
ROU0480|Natural|Wear|15015.47|15988.74|Highway
ROU0481|Plant|Door|14141.86|11944.7|Mixed
ROU0482|Truth|Money|6672.9|25320.35|Highway
ROU0483|Imagine|Child|20471.8|33112.14|City
ROU0484|Old|Paper|0|21248.08|Highway
ROU0485|Involve|Only|45911.8|32865.33|Mixed
ROU0486|Agreement|Job|14879.99|14452.23|City
ROU0487|Lawyer|Brother|26881.41|25642.16|Highway
ROU0488|Husband|Tend|41122.07|29912.14|Highway
ROU0489|Of|Conference|28095.05|41751.87|Mixed
ROU0490|Must|Enjoy|32652.46|48951.07|City
ROU0491|Message|Stuff|7059.97|2672.13|City
ROU0492|Even|Over|13256.55|18902.22|Mixed
ROU0493|Position|Although|41005.88|31166.87|City
ROU0494|Baby|Hit|8133.18|43685.88|HIGHWAY
ROU0495|Seem|Case|17209.66|16466.41|Mixed
INVALID_11|Measure|Social|21840.32|35156.69|Highway
ROU0497|Trial|Decision|6100.17|14723.13|Mixed
ROU0498|Reason|Sure|45212.98|23143.85|Mixed
ROU0499|Reach|Environment|6680.88|29880.05|City
ROU0500|Oil|Them|17108.3|3665.99|Mixed
ROU0501|Activity|Investment|29041.89|33666.29|Highway
ROU0502|Approach|Modern|||Mixed
ROU0503|Hotel|Far|34600.49|32401.44|Mixed
ROU0504|Account|Player|40167.78|30111.52|Highway
ROU0505|Treat|Alone|-2852.01|7017.29|City
ROU0506|Become|Position|-1851.37|15918.5|City
ROU0507|Matter|True|-2380.23|43020.74|CITY
ROU0508|Bill|No|10783.12|47305.7|Highway
ROU0509|Recently|Over|Five Hundred|17088.91|City
ROU0510|Top|Watch|49278.37|21100.63|Mixed
ROU0511|Notice|Ago|35633.82||City
ROU0512|Take|Court|44908.23|7667.62|City
ROU0513|Matter|Increase|28410.75|4273.77|City
ROU0514|Throughout|Whatever|40435.28|7253.88|Mixed
ROU0515|Entire|Case|27069.57|14321.15|Highway
ROU0516|Whose|Red|22464.37|29437.13|City
ROU0517|Relate|Soldier|33155.87|33104.2|Highway
ROU0518|Pass|Small|22299.79|12367.02|City
ROU0519|Nothing|Name|42890.02|4947.61|Highway
ROU0520|Until|Night|38870.42|9439.92|City
ROU0521|Degree|Challenge|27549.2|11256.52|Highway
ROU0522|Amount|We|32667.0|38166.82|City
ROU0523|World|Partner|13830.75|43830.06|Highway
ROU0524|Concern|Manage|16860.24|46935.39|Highway
