ShipmentID,DriverID,WarehouseID,Origin,Destination,ShipmentDate,DeliveryDate,Weight,Cost,Status,ExtraColumn
SHI0043,DRI0020,WAR0009,Home,Score,07/02/2024,,10652.14,1174.97,Cancelled,EXTRA_DATA
INVALID_10,DRI0005,WAR0002,Perhaps,Mother,02/06/2022,06/12/2023,37293.75,43023.36,Cancelled,EXTRA_DATA
SHI0045,DRI0006,WAR0007,Between,System,15-06-2023,06/07/2022,46537.25,29739.95,In-Transit,EXTRA_DATA
SHI0046,DRI0018,WAR0017,Read,Grow,08/09/2024,,13982.03,0,Delayed,EXTRA_DATA
SHI0047,DRI0020,WAR0004,Mother,Research,26-09-2024,18/06/2022,6476.3,42325.2,In-Transit,EXTRA_DATA
SHI0048,DRI0016,WAR9999,Share,Friend,24/10/2024,06/01/2023,18399.56,34313.21,Cancelled,EXTRA_DATA
SHI0049,DRI0019,WAR0020,Game,Glass,08-11-2024,,3191.05,26535.17,Cancelled,EXTRA_DATA
SHI0050,DRI0003,WAR0012,Magazine,Challenge,26/12/2023,09/08/2022,25356.2,47491.11,cancelled,EXTRA_DATA
SHI0051,DRI0004,WAR0001,Energy,Push,22-12-2023,,23895.28,9345.99,Delayed,EXTRA_DATA
SHI0052,DRI0001,WAR0019,Wonder,Garden,2023-10-15,2024-11-01,3225.99,39612.71,In-Transit,EXTRA_DATA
SHI0053,DRI0001,WAR0012,Method,Responsibility,22/11/2023,27/05/2023,,20978.22,Delayed,EXTRA_DATA
SHI0054,DRI0018,WAR0006,Security,Night,2022-10-06,04/22/2023,43626.35,47502.2,Delivered,EXTRA_DATA
SHI0055,DRI0009,WAR0008,Situation,Southern,01/05/2022,12/01/2023,48667.87,11041.71,Cancelled,EXTRA_DATA
SHI0056,DRI9999,WAR0002,Whose,Matter,03/30/2022,03/28/2023,5181.21,8263.58,In-Transit,EXTRA_DATA
SHI0057,DRI0016,WAR0019,Side,Onto,2022-12-06,09/21/2024,47769.74,35229.81,Cancelled,EXTRA_DATA
SHI0058,DRI0019,WAR0003,Vote,Majority,2023-05-26,06/15/2023,15915.12,30784.07,In-Transit,EXTRA_DATA
SHI0059,DRI0005,WAR0002,Least,Dream,2023-05-20,27-11-2024,9882.31,,Delivered,EXTRA_DATA
SHI0060,DRI0014,WAR0012,Body,Five,20/06/2022,2023-01-07,14861.7,13538.89,Delayed,EXTRA_DATA
SHI0061,DRI0018,WAR0018,Including,Billion,04/17/2022,2023-09-29,533.53,37794.25,In-transit,EXTRA_DATA
SHI0062,DRI9999,WAR0002,Appear,People,2024-11-04,30-04-2023,20276.17,,Cancelled,EXTRA_DATA
SHI0063,DRI0001,WAR0008,Answer,Newspaper,03/16/2023,10-02-2023,34617.43,,Delayed,EXTRA_DATA
SHI0064,DRI0020,WAR0009,Few,Story,2024-05-30,12/09/2023,14763.48,1423.58,Cancelled,EXTRA_DATA
SHI0065,DRI0015,WAR0009,Lawyer,Control,10/26/2022,02-04-2022,30762.67,7667.81,In-Transit,EXTRA_DATA
SHI0066,DRI0010,WAR9999,While,Floor,17/11/2022,01-12-2023,11205.35,26020.13,in-transit,EXTRA_DATA
SHI0067,DRI0002,WAR0016,Sense,Perform,2022-05-31,07/31/2024,7161.5,23421.0,In-transit,EXTRA_DATA
SHI0068,DRI0016,WAR0001,Her,Picture,12/26/2024,05-06-2024,19432.78,48175.76,Delivered,EXTRA_DATA
SHI0069,DRI0006,WAR0009,Our,World,06/14/2023,2023-12-11,29537.16,41595.17,Delivered,EXTRA_DATA
SHI0070,DRI0002,WAR0005,Alone,Beat,2022-12-31,2023-09-08,35815.91,Ten Thousand,Delivered,EXTRA_DATA
SHI0071,DRI0010,WAR0004,Oil,Commercial,11/05/2023,03/18/2023,6711.87,37383.28,Delivered,EXTRA_DATA
SHI0072,DRI0010,WAR0006,Why,Another,2024-04-19,18-06-2023,16082.99,42964.14,In-Transit,EXTRA_DATA
SHI0073,DRI0003,WAR0015,Site,Remember,05/06/2023,10-09-2022,48811.48,9888.36,In-Transit,EXTRA_DATA
SHI0001,DRI0007,WAR0015,Fast,Voice,11/27/2023,10-02-2022,31304.84,3768.41,Cancelled,EXTRA_DATA
SHI0075,DRI0011,WAR0004,Water,Strong,04/09/2022,08-12-2024,37974.55,5013.32,Delivered,EXTRA_DATA
SHI0076,DRI9999,WAR0012,Purpose,Clearly,29-01-2023,2022-08-31,24999.75,30724.8,Cancelled,EXTRA_DATA
SHI0077,DRI0017,WAR0001,Consumer,Cut,02/10/2024,05/08/2022,8692.03,,delivered,EXTRA_DATA
SHI0078,DRI0007,WAR0011,Western,Recognize,14-10-2024,2024-09-02,41244.72,11659.67,Cancelled,EXTRA_DATA
SHI0079,DRI0007,WAR9999,Employee,Statement,05/02/2024,2024-04-08,10974.04,19976.15,Delivered,EXTRA_DATA
SHI0080,DRI0020,WAR0010,Might,Certainly,04/23/2023,2022-07-24,35896.22,0,Delivered,EXTRA_DATA
SHI0081,DRI0002,WAR9999,A,Gun,18/01/2022,07/11/2023,13763.15,19386.67,In-transit,EXTRA_DATA
SHI0082,DRI0017,WAR0017,Through,Time,09/02/2022,2022-05-09,4285.04,,Delayed,EXTRA_DATA
SHI0083,DRI0018,WAR0007,Environment,Story,04-07-2024,02/04/2022,45852.79,25194.98,In-Transit,EXTRA_DATA
SHI0084,DRI0012,WAR0016,Receive,Because,08/01/2022,2024-03-09,4505.26,10277.46,In-Transit,EXTRA_DATA
SHI0085,DRI0011,WAR0009,Pattern,Budget,2023-01-18,05-07-2024,43605.34,5472.17,Delivered,EXTRA_DATA
SHI0086,DRI0018,WAR0017,Buy,Whether,08/13/2024,,7676.01,44055.12,Delivered,EXTRA_DATA
SHI0087,DRI0009,WAR0018,Television,Most,2023-02-18,10/05/2022,39239.35,48571.7,Cancelled,EXTRA_DATA
SHI0088,DRI0002,WAR0001,Affect,Think,2024-01-06,27-12-2024,48102.71,3921.4,Delayed,EXTRA_DATA
SHI0089,DRI0013,WAR0003,Cause,Finish,05/01/2024,03/17/2022,49109.45,-1342.65,DELAYED,EXTRA_DATA
SHI0090,DRI0017,WAR0005,Part,Born,07/09/2024,09/20/2023,23293.04,46709.15,Delayed,EXTRA_DATA
SHI0091,DRI0001,WAR0001,Responsibility,Firm,01/27/2023,18/09/2024,23394.59,33412.13,CANCELLED,EXTRA_DATA
SHI0092,DRI0013,WAR0010,Value,Inside,2024-03-19,08/06/2022,20828.68,26937.6,In-Transit,EXTRA_DATA
SHI0093,DRI0012,WAR0019,Serve,Camera,14-10-2024,07/16/2023,,35955.29,In-Transit,EXTRA_DATA
SHI0094,DRI0008,WAR0017,Nature,Offer,18/01/2024,,27360.28,,In-Transit,EXTRA_DATA
SHI0095,DRI0006,WAR0017,Middle,Positive,2022-02-05,,40536.89,Five Hundred,Delivered,EXTRA_DATA
SHI0096,DRI0009,WAR0001,Also,Resource,12-05-2022,2022-09-18,10291.24,21048.08,DELIVERED,EXTRA_DATA
SHI0097,DRI0009,WAR0012,Available,Note,2023-01-07,27/09/2024,47116.56,38147.61,In-Transit,EXTRA_DATA
SHI0098,DRI0013,WAR0015,Board,Option,18/11/2024,2022-11-01,30243.07,12696.52,Cancelled,EXTRA_DATA
SHI0099,DRI0012,WAR0017,Claim,Enjoy,2023-08-23,,6785.89,4330.5,Delivered,EXTRA_DATA
SHI0100,DRI0020,WAR0012,Position,Personal,2024-08-16,02/10/2023,23516.36,5733.38,Cancelled,EXTRA_DATA
SHI0101,DRI0007,WAR0009,Price,List,03/06/2023,2022-01-12,34722.09,16644.84,Delayed,EXTRA_DATA
SHI0102,DRI0004,WAR0020,Thing,Put,10/29/2022,,29843.4,28074.53,Delivered,EXTRA_DATA
SHI0103,DRI0020,WAR0015,Really,Not,11/10/2023,2022-06-17,28314.1,,In-Transit,EXTRA_DATA
SHI0104,DRI0006,WAR0020,Onto,Recent,21-12-2022,28-08-2024,12693.57,19339.27,Delivered,EXTRA_DATA
SHI0105,DRI0006,WAR0016,Term,Especially,19/01/2023,14-10-2023,34739.3,22713.81,In-Transit,EXTRA_DATA
SHI0106,DRI0014,WAR0015,She,Identify,09-05-2023,16-09-2023,16445.83,25547.48,Cancelled,EXTRA_DATA
SHI0107,DRI0003,WAR0012,Author,Manager,2024-11-19,2022-08-10,28493.35,45809.72,Cancelled,EXTRA_DATA
SHI0108,DRI0007,WAR0009,News,Fill,2023-07-17,,2217.01,30302.9,In-Transit,EXTRA_DATA
SHI0109,DRI0010,WAR0009,Within,Together,2023-04-02,2022-07-04,20942.57,0,Cancelled,EXTRA_DATA
SHI0110,DRI0012,WAR9999,Eight,Owner,16-05-2022,26-08-2023,45041.23,36686.53,Cancelled,EXTRA_DATA
SHI0111,DRI0007,WAR0004,Full,Seem,14/03/2022,,44463.23,6648.05,In-Transit,EXTRA_DATA
SHI0112,DRI0014,WAR0010,Our,Individual,27/05/2023,12/22/2024,41067.87,10194.79,Cancelled,EXTRA_DATA
SHI0113,DRI0003,WAR0002,Blood,Leader,02/11/2022,01/25/2022,23030.92,,IN-TRANSIT,EXTRA_DATA
SHI0114,DRI0004,WAR0005,Raise,Process,09-01-2024,03-07-2024,46464.12,20518.4,In-Transit,EXTRA_DATA
SHI0115,DRI0015,WAR0017,Ahead,Know,02/09/2023,,26239.65,10049.58,Delayed,EXTRA_DATA
SHI0116,DRI0014,WAR0015,South,Southern,01/15/2024,02/02/2022,9616.58,11613.31,Cancelled,EXTRA_DATA
SHI0117,DRI0004,WAR0020,Production,Party,2023-06-24,,49005.31,16443.62,Delivered,EXTRA_DATA
SHI0118,DRI0010,WAR0018,Past,Back,2022-06-17,31-07-2024,3878.0,7168.6,CANCELLED,EXTRA_DATA
SHI0119,DRI0010,WAR0018,Expect,Brother,17-11-2022,01-11-2022,39114.67,15993.78,Delayed,EXTRA_DATA
SHI0120,DRI0006,WAR0009,Operation,Nothing,11/20/2022,05/17/2024,41973.01,45132.03,Delayed,EXTRA_DATA
SHI0121,DRI0016,WAR0003,Born,Move,07-03-2023,16/08/2024,Ten Thousand,37114.83,In-Transit,EXTRA_DATA
SHI0122,DRI0015,WAR0011,Create,Parent,08/12/2022,2023-08-21,14481.78,37642.53,Delivered,EXTRA_DATA
SHI0123,DRI0001,WAR0020,Interest,Decade,2023-02-20,2024-07-09,,36092.28,Delivered,EXTRA_DATA
SHI0124,DRI0017,WAR0020,Nature,Film,10-08-2024,02/21/2022,29147.02,4718.16,Delivered,EXTRA_DATA
SHI0122,DRI0017,WAR0001,Difference,Store,2024-09-16,,41032.91,48849.91,Cancelled,EXTRA_DATA
SHI0126,DRI0009,WAR0016,Heavy,Happen,10/11/2024,11/27/2024,34663.39,47592.79,Delayed,EXTRA_DATA
SHI0127,DRI0016,WAR0016,Everybody,Everyone,18/03/2024,01-12-2022,,28546.93,Delayed,EXTRA_DATA
SHI0128,DRI0017,WAR0019,Stay,Space,25-09-2024,12-12-2023,41618.46,,In-Transit,EXTRA_DATA
SHI0129,DRI0006,WAR0018,Want,Gun,13/12/2023,23-06-2022,19726.17,4077.09,Delayed,EXTRA_DATA
SHI0130,DRI0005,WAR0017,Make,Base,04/04/2022,2022-03-07,8312.5,1036.85,Delayed,EXTRA_DATA
SHI0131,DRI0007,WAR0018,Outside,Seem,19-12-2024,21-03-2023,24569.43,38570.76,Cancelled,EXTRA_DATA
SHI0132,DRI0007,WAR0018,Heart,Democratic,2024-11-06,2023-10-31,37971.02,9705.21,In-Transit,EXTRA_DATA
SHI0133,DRI0020,WAR0001,Weight,Sea,02/09/2024,14/06/2022,7807.21,3902.72,Delivered,EXTRA_DATA
SHI0134,DRI0004,WAR0009,Talk,Note,2023-01-02,28-12-2023,15619.55,4298.96,In-Transit,EXTRA_DATA
SHI0135,DRI0009,WAR9999,Although,Discover,03/10/2022,25/02/2024,26758.17,5922.27,In-Transit,EXTRA_DATA
SHI0136,DRI0013,WAR0019,Carry,Budget,01/20/2024,18/04/2022,,43363.14,In-Transit,EXTRA_DATA
SHI0137,DRI0005,WAR0020,Action,Education,01/10/2023,11/02/2024,17433.8,36109.97,Cancelled,EXTRA_DATA
INVALID_57,DRI0008,WAR0005,Happen,She,12/01/2022,04/11/2022,8552.76,48143.85,Cancelled,EXTRA_DATA
SHI0139,DRI0005,WAR0004,New,Crime,2022-04-18,2023-12-30,5344.05,16548.73,delivered,EXTRA_DATA
SHI0140,DRI0015,WAR0016,Note,Appear,08/10/2023,23-02-2022,17056.27,48246.61,Delivered,EXTRA_DATA
SHI0141,DRI0009,WAR0013,See,Safe,23-12-2022,13-05-2022,26865.16,25622.76,Cancelled,EXTRA_DATA
SHI0142,DRI0019,WAR0016,Hand,Focus,11/19/2024,22-02-2024,11282.91,24810.48,Delivered,EXTRA_DATA
INVALID_49,DRI0001,WAR0018,Behavior,Low,2023-05-08,2023-08-09,3424.45,13504.24,Cancelled,EXTRA_DATA
SHI0026,DRI0016,WAR0007,Common,Thing,17-11-2022,11/03/2022,14329.88,,In-Transit,EXTRA_DATA
SHI0145,DRI0004,WAR0013,More,Window,2023-11-13,02/21/2022,31366.19,29693.91,Delivered,EXTRA_DATA
SHI0146,DRI0006,WAR0018,Although,Approach,11/03/2023,30-01-2024,7974.18,16215.16,In-Transit,EXTRA_DATA
SHI0147,DRI0001,WAR0018,Message,Artist,2023-07-08,12/28/2024,12951.12,26288.08,Cancelled,EXTRA_DATA
SHI0148,DRI0013,WAR0001,Hair,Paper,30-07-2022,2023-06-22,22150.16,49281.43,In-Transit,EXTRA_DATA
SHI0149,DRI0011,WAR0001,Business,Dinner,05/01/2022,,43922.62,37875.81,Cancelled,EXTRA_DATA
SHI0150,DRI0003,WAR0008,Attorney,Tend,31-03-2024,09/29/2022,28695.88,38887.07,In-Transit,EXTRA_DATA
SHI0151,DRI0019,WAR0005,Center,Where,24-02-2023,,15964.24,1365.9,Cancelled,EXTRA_DATA
SHI0044,DRI0014,WAR0008,Dark,Blue,19/08/2023,23/05/2022,0,10080.58,Delivered,EXTRA_DATA
SHI0153,DRI0016,WAR0009,Police,Former,09/19/2024,2023-10-18,6530.45,30725.8,In-Transit,EXTRA_DATA
SHI0154,DRI0004,WAR0015,Seat,Protect,2022-09-10,23/10/2023,29659.16,36619.05,IN-TRANSIT,EXTRA_DATA
SHI0155,DRI0008,WAR0001,Season,Media,09/27/2024,,24951.31,7659.55,Delayed,EXTRA_DATA
SHI0156,DRI0018,WAR0007,Technology,Shake,30-03-2023,2024-12-04,46218.8,24179.5,In-Transit,EXTRA_DATA
SHI0157,DRI0003,WAR0003,Heavy,Perform,22/01/2024,2024-02-19,-3461.51,2960.61,In-Transit,EXTRA_DATA
SHI0158,DRI0002,WAR0013,Special,Special,10/11/2023,2022-01-01,25928.43,2688.1,Delivered,EXTRA_DATA
SHI0159,DRI0001,WAR0001,Television,First,14/08/2023,28/10/2023,0,,Delivered,EXTRA_DATA
SHI0160,DRI0005,WAR0018,Herself,Kind,2023-01-19,,39883.6,25869.79,Delivered,EXTRA_DATA
SHI0161,DRI0004,WAR0018,Decade,Herself,12/05/2022,12/02/2022,1299.32,17311.51,Delivered,EXTRA_DATA
SHI0020,DRI0013,WAR0010,Since,Learn,07-10-2023,,21155.03,40817.58,Delayed,EXTRA_DATA
SHI0163,DRI0014,WAR0011,Court,Compare,17/12/2024,2024-03-17,13438.6,10979.33,Delayed,EXTRA_DATA
SHI0164,DRI0017,WAR9999,Discuss,Stage,27/08/2022,05/05/2022,17731.42,19849.42,In-Transit,EXTRA_DATA
SHI0165,DRI0018,WAR0008,Situation,Improve,2023-02-27,,29896.01,36637.94,In-Transit,EXTRA_DATA
SHI0166,DRI0014,WAR0020,Use,Everybody,20/02/2023,08/17/2024,4320.43,4672.79,Cancelled,EXTRA_DATA
SHI0167,DRI0013,WAR0008,Measure,Personal,06/11/2022,,13170.34,38040.63,In-Transit,EXTRA_DATA
SHI0168,DRI0016,WAR0007,Attorney,Page,10/20/2022,05/10/2023,19417.68,6580.08,Delivered,EXTRA_DATA
SHI0169,DRI0006,WAR0018,First,Recently,14/11/2022,06/05/2024,9134.33,-1712.07,CANCELLED,EXTRA_DATA
SHI0067,DRI0010,WAR0006,Whether,Group,09/07/2022,2024-03-10,19140.09,49003.96,Delayed,EXTRA_DATA
SHI0171,DRI0019,WAR0018,Never,Argue,11/12/2024,2024-09-07,Five Hundred,32382.79,Cancelled,EXTRA_DATA
SHI0172,DRI0004,WAR0004,Budget,People,2024-03-26,2022-10-19,10705.37,35282.56,Cancelled,EXTRA_DATA
SHI0173,DRI0004,WAR0017,Long,Mission,2023-04-10,09-12-2022,34516.64,Five Hundred,In-Transit,EXTRA_DATA
SHI0174,DRI0012,WAR0013,Test,Case,01/20/2022,27-09-2022,23355.3,9621.77,Delivered,EXTRA_DATA
SHI0175,DRI0010,WAR0012,Day,Trial,22/03/2023,,6004.14,4810.64,Delivered,EXTRA_DATA
SHI0176,DRI0001,WAR0016,Mr,Computer,27-10-2022,04/11/2024,19511.86,0,In-Transit,EXTRA_DATA
SHI0177,DRI0013,WAR0004,Stuff,Little,10/17/2024,10/09/2023,32607.02,13742.04,Cancelled,EXTRA_DATA
SHI0178,DRI0007,WAR0003,Across,Listen,11-02-2022,10-08-2023,32554.01,34543.89,Cancelled,EXTRA_DATA
SHI0179,DRI0002,WAR0004,Ability,Southern,06/09/2022,27/07/2023,11272.51,20084.86,Delivered,EXTRA_DATA
SHI0180,DRI0004,WAR0003,Never,Know,2022-12-05,26-07-2023,44154.28,48163.15,In-Transit,EXTRA_DATA
SHI0181,DRI0003,WAR0016,Her,Cause,2023-11-21,06-04-2024,2934.32,49334.35,Delivered,EXTRA_DATA
SHI0182,DRI0005,WAR0006,Card,Hospital,2022-12-24,02/24/2023,Five Hundred,12169.15,Cancelled,EXTRA_DATA
SHI0055,DRI0013,WAR0003,Almost,Party,05-07-2023,2023-10-22,35076.18,48632.29,cancelled,EXTRA_DATA
SHI0184,DRI0007,WAR0013,Contain,Wear,2022-11-02,2024-01-18,28071.55,48084.39,Cancelled,EXTRA_DATA
SHI0185,DRI0009,WAR0011,Matter,Investment,2024-08-13,03/30/2022,24138.69,31059.92,Delayed,EXTRA_DATA
SHI0186,DRI0017,WAR0004,Many,Show,03-02-2022,2024-09-04,41896.48,5446.73,Cancelled,EXTRA_DATA
SHI0187,DRI0017,WAR0002,Authority,Town,16-02-2024,,33127.19,12614.88,In-Transit,EXTRA_DATA
SHI0188,DRI0018,WAR0005,Report,Note,16-11-2024,05-10-2024,Ten Thousand,24061.34,Delivered,EXTRA_DATA
SHI0189,DRI0005,WAR0005,Through,Its,2022-11-02,21/04/2024,1143.53,13034.68,Delivered,EXTRA_DATA
SHI0190,DRI0013,WAR0011,Evening,Unit,09/07/2024,20-06-2024,15330.01,17452.77,In-Transit,EXTRA_DATA
SHI0191,DRI0019,WAR0009,Get,Whose,26/02/2023,22/11/2024,45483.82,4342.29,Delayed,EXTRA_DATA
SHI0192,DRI0008,WAR0010,Break,Possible,05/08/2024,,20735.36,15639.28,In-transit,EXTRA_DATA
SHI0193,DRI0008,WAR9999,Instead,Base,2023-04-25,12/05/2022,46966.92,28012.89,Delayed,EXTRA_DATA
SHI0194,DRI0014,WAR0015,Test,Effect,11/06/2022,21/12/2024,2826.36,48121.12,Cancelled,EXTRA_DATA
SHI0195,DRI0006,WAR0005,Expert,Role,11/19/2023,2022-03-23,18783.86,13487.09,Delayed,EXTRA_DATA
SHI0196,DRI0011,WAR0014,Foreign,East,07/09/2022,24-06-2023,15146.43,9905.6,Delivered,EXTRA_DATA
SHI0197,DRI0010,WAR0013,Writer,Hold,26/06/2024,,7032.68,6257.03,In-Transit,EXTRA_DATA
SHI0198,DRI0006,WAR0005,Answer,Line,2022-10-25,08-08-2024,36893.07,24837.66,Delayed,EXTRA_DATA
SHI0199,DRI0018,WAR0001,Enough,Force,10/24/2023,12/02/2022,28167.39,33594.9,Delivered,EXTRA_DATA
SHI0200,DRI0006,WAR0008,Performance,Sound,05/08/2024,27-05-2023,3752.92,18028.62,Delayed,EXTRA_DATA
SHI0201,DRI0007,WAR0001,Left,Color,14-01-2024,22/02/2024,13687.42,3342.46,Cancelled,EXTRA_DATA
SHI0202,DRI0020,WAR0005,Drop,Card,29/04/2022,2024-01-08,44196.94,45286.27,In-transit,EXTRA_DATA
SHI0203,DRI0015,WAR0013,Enough,Sport,2023-06-28,05-07-2023,35491.64,27444.74,Delayed,EXTRA_DATA
SHI0204,DRI0019,WAR0004,Music,Around,13-12-2023,01/11/2024,28344.93,37026.14,Cancelled,EXTRA_DATA
SHI0205,DRI0004,WAR0015,Side,Various,2022-01-24,2023-02-22,-3830.02,0,Cancelled,EXTRA_DATA
SHI0206,DRI0001,WAR0017,Let,Pay,07/31/2023,09/12/2022,7308.01,28409.43,Delayed,EXTRA_DATA
SHI0207,DRI0007,WAR0015,Pull,Industry,2022-09-02,29/04/2022,0,28094.82,Cancelled,EXTRA_DATA
SHI0208,DRI0019,WAR0004,Seven,Near,03/05/2022,09/10/2022,42765.51,27589.11,Delivered,EXTRA_DATA
SHI0209,DRI0013,WAR0018,Behind,Measure,05/07/2024,11/12/2023,39145.62,Twenty Five Thousand,Delivered,EXTRA_DATA
SHI0210,DRI0008,WAR0020,Then,Night,16-01-2023,,42032.93,0,Delivered,EXTRA_DATA
SHI0211,DRI0005,WAR0014,Often,American,2024-12-18,10/06/2024,11101.07,30438.81,in-transit,EXTRA_DATA
SHI0212,DRI0009,WAR0006,Hotel,Hair,2022-06-24,06/01/2023,10227.8,10372.32,Delayed,EXTRA_DATA
SHI0213,DRI0010,WAR9999,Believe,Note,02/10/2023,09-03-2023,43855.69,49829.22,Delivered,EXTRA_DATA
SHI0214,DRI0006,WAR9999,Necessary,Thing,23/05/2022,2022-11-13,20871.11,29326.81,Delivered,EXTRA_DATA
SHI0054,DRI0013,WAR0016,Behavior,Music,23/06/2024,,15482.03,6969.21,Delivered,EXTRA_DATA
SHI0216,DRI0003,WAR0014,Building,Value,2024-11-11,,48737.61,18321.67,Cancelled,EXTRA_DATA
SHI0217,DRI0009,WAR0010,Member,Plan,04-01-2024,21/11/2022,40923.92,1679.47,Delivered,EXTRA_DATA
SHI0218,DRI0003,WAR0013,Owner,Above,2022-01-13,26-04-2022,35625.3,19062.04,Delivered,EXTRA_DATA
