WarehouseID,Location,Capacity,CurrentStock,Manager
WAR0115,Hyderabad,168,244,Into
WAR0099,Delhi,226,219,Lawyer
WAR0117,Bangalore,241,141,Employee
WAR0118,Mumbai,213,244,Above
WAR0119,Chennai,113,89,Common
WAR0120,Hyderabad,212,75,Carry
WAR0121,Hyderabad,187,187,Tough
WAR0122,Delhi,124,1,Expect
WAR0123,Chennai,204,70,Tend
WAR0124,Delhi,245,114,Recognize
WAR0125,Mumbai,0,35,Trouble
WAR0126,hyderabad,66,294,Machine
WAR0127,Mumbai,115,1,During
WAR0128,Mumbai,264,209,Early
WAR0002,Hyderabad,235,47,Song
WAR0130,Bangalore,249,109,Notice
WAR0131,Mumbai,78,9999,War
WAR0132,chennai,286,184,Pm
WAR0133,Mumbai,248,147,Eat
WAR0134,Mumbai,76,20,Forget
WAR0135,Hyderabad,219,279,Open
WAR0136,Delhi,25,186,Down
WAR0137,Chennai,41,145,Thank
WAR0138,Mumbai,291,98,Within
WAR0139,Hyderabad,265,204,Suggest
WAR0140,DELHI,68,153,Commercial
WAR0141,Chennai,112,140,Us
WAR0142,bangalore,26,66,Issue
WAR0143,Bangalore,33,178,Or
WAR0144,Delhi,271,238,Wonder
WAR0145,Hyderabad,43,122,Parent
WAR0146,Hyderabad,298,124,Special
WAR0147,Bangalore,100,262,Scientist
WAR0148,Chennai,216,73,Risk
WAR0149,bangalore,290,218,Truth
WAR0150,Mumbai,241,12,Include
WAR0151,delhi,197,85,Politics
WAR0152,Bangalore,180,283,Use
WAR0153,Hyderabad,283,186,Movement
WAR0154,Hyderabad,58,180,Within
WAR0155,Mumbai,198,265,Role
WAR0156,Chennai,108,227,Fall
WAR0157,Delhi,158,102,Technology
WAR0158,Bangalore,187,89,Former
WAR0159,Delhi,125,292,Happen
WAR0160,Mumbai,123,192,Performance
WAR0161,Delhi,49,209,Gas
INVALID_94,Hyderabad,219,236,Modern
WAR0163,Delhi,282,137,Need
WAR0164,Hyderabad,106,256,Two
WAR0165,Bangalore,184,37,All
WAR0166,chennai,44,228,Whom
WAR0167,Mumbai,199,-1,Kind
WAR0168,Hyderabad,92,180,Along
WAR0169,Delhi,68,197,Keep
WAR0170,Chennai,276,271,Whose
WAR0171,Chennai,135,123,Part
WAR0172,Chennai,190,256,Ground
WAR0173,Bangalore,275,137,Order
WAR0174,Hyderabad,10,93,Film
WAR0175,Bangalore,136,87,Whom
WAR0176,Bangalore,221,116,Already
WAR0177,Bangalore,190,255,Stay
WAR0178,Hyderabad,170,252,Center
INVALID_4,Delhi,-1,188,History
WAR0180,Delhi,251,231,Piece
WAR0181,Bangalore,241,65,Meeting
WAR0182,Mumbai,137,115,Interesting
WAR0183,Delhi,53,136,Long
WAR0184,Chennai,75,244,Table
WAR0185,Hyderabad,140,162,Address
WAR0186,Mumbai,55,18,Over
WAR0187,Delhi,167,80,Car
WAR0188,Bangalore,76,248,Agree
WAR0189,CHENNAI,157,143,Blood
WAR0190,Hyderabad,70,109,Case
WAR0191,Chennai,280,89,Institution
WAR0192,Chennai,147,129,On
WAR0193,Mumbai,178,299,Yard
WAR0194,Mumbai,228,291,Often
WAR0195,Bangalore,136,199,Activity
WAR0196,Delhi,200,0,Contain
WAR0197,Delhi,39,155,She
WAR0198,MUMBAI,9999,254,Expect
WAR0199,Bangalore,161,279,Successful
WAR0200,Delhi,164,77,Impact
WAR0201,Bangalore,101,241,Manager
WAR0202,Chennai,296,120,Head
INVALID_56,Delhi,34,33,Product
WAR0204,Chennai,208,12,Prepare
WAR0205,BANGALORE,225,231,Fight
WAR0206,Hyderabad,87,60,Several
WAR0207,Delhi,275,81,Not
WAR0208,Hyderabad,235,154,Better
WAR0209,DELHI,164,47,Such
WAR0210,Hyderabad,105,103,Everybody
WAR0211,Hyderabad,147,265,Table
WAR0212,Bangalore,101,82,Long
WAR0213,bangalore,103,289,Another
WAR0214,Mumbai,271,200,Ever
WAR0215,Delhi,19,139,Table
WAR0216,Delhi,141,158,To
WAR0217,Mumbai,63,225,Evening
WAR0218,Hyderabad,228,204,Source
WAR0219,Chennai,263,5,Person
WAR0220,Delhi,44,102,Financial
WAR0221,Chennai,134,33,Final
WAR0222,Hyderabad,255,207,Research
WAR0223,Mumbai,56,6,Level
WAR0224,Chennai,258,247,Represent
WAR0225,Mumbai,248,296,History
WAR0226,Bangalore,284,-1,Nature
WAR0227,Delhi,146,102,Difficult
WAR0228,Delhi,68,227,News
WAR0229,Bangalore,253,269,Ask
WAR0230,Mumbai,236,0,Less
WAR0231,Mumbai,222,23,Another
WAR0232,Mumbai,39,243,Share
WAR0233,Mumbai,143,108,Father
WAR0234,Hyderabad,184,219,Church
WAR0235,CHENNAI,116,100,Able
WAR0236,hyderabad,78,30,Expert
WAR0237,Mumbai,84,166,Mr
WAR0238,Delhi,167,104,Under
INVALID_63,Hyderabad,204,3,Attorney
WAR0240,Hyderabad,260,1,Find
INVALID_11,Bangalore,292,265,Through
WAR0242,Hyderabad,132,5,Skin
WAR0243,Bangalore,216,107,Only
WAR0244,Delhi,33,256,Party
WAR0245,Chennai,260,67,Change
WAR0246,Bangalore,38,95,She
WAR0247,Chennai,173,160,Go
WAR0248,Delhi,22,90,Science
WAR0249,Chennai,217,14,Live
WAR0250,Chennai,213,193,Then
WAR0251,mumbai,52,170,Price
WAR0252,Chennai,143,92,Recognize
WAR0253,delhi,258,234,Animal
WAR0058,Hyderabad,113,55,Fly
WAR0255,Bangalore,201,74,Store
WAR0256,Chennai,268,201,Worker
WAR0257,Bangalore,263,16,Suffer
WAR0258,Bangalore,265,26,Seek
WAR0259,Delhi,205,43,Me
WAR0251,Chennai,250,300,Summer
WAR0261,Mumbai,237,60,Chair
WAR0262,Hyderabad,276,132,Walk
WAR0263,Mumbai,198,10,Yourself
WAR0264,Mumbai,227,32,Gas
WAR0265,Hyderabad,291,88,Analysis
WAR0261,Delhi,188,247,College
WAR0267,Chennai,236,74,Buy
WAR0268,Chennai,16,67,Hold
WAR0269,Delhi,-1,158,Address
WAR0270,Bangalore,60,13,Former
WAR0271,Chennai,198,29,Three
WAR0272,Chennai,297,275,Recently
WAR0273,Mumbai,115,239,Tax
WAR0274,Chennai,118,287,Whatever
WAR0275,Chennai,281,159,Evidence
WAR0276,Bangalore,33,149,Close
WAR0277,Mumbai,159,57,Worry
WAR0278,Chennai,180,242,Worker
WAR0279,Delhi,81,288,Assume
WAR0280,Hyderabad,270,63,Crime
WAR0281,Bangalore,18,178,Cost
WAR0282,Mumbai,248,264,Sea
WAR0283,Bangalore,150,64,Free
WAR0284,Chennai,114,159,Knowledge
WAR0285,Hyderabad,172,46,Security
WAR0286,Mumbai,99,295,View
WAR0287,Bangalore,179,9999,Former
WAR0288,Hyderabad,216,132,North
WAR0289,Mumbai,35,148,Fish
WAR0290,Hyderabad,48,145,Media
WAR0291,Hyderabad,128,290,Blue
WAR0292,Mumbai,1,76,Then
WAR0293,Mumbai,149,133,That
WAR0294,Delhi,25,283,By
WAR0295,Bangalore,3,18,Street
WAR0296,Chennai,14,3,Pm
WAR0297,Bangalore,189,298,Actually
WAR0298,Mumbai,292,89,Simply
WAR0299,Bangalore,91,224,Prepare
WAR0300,Delhi,202,256,Worker
WAR0301,Chennai,186,224,Yard
WAR0302,Bangalore,148,203,Budget
WAR0303,Mumbai,121,103,Country
WAR0304,DELHI,121,118,Last
WAR0305,Delhi,133,46,Form
WAR0306,Mumbai,161,71,Name
WAR0307,Mumbai,115,288,Section
WAR0308,Bangalore,283,271,Herself
WAR0309,Mumbai,144,281,Anything
WAR0310,Mumbai,5,117,History
WAR0311,Mumbai,205,97,Several
WAR0312,Bangalore,226,135,Serious
WAR0313,Chennai,162,250,Whom
WAR0314,Bangalore,208,294,Deep
WAR0315,Delhi,251,224,Tax
WAR0316,Delhi,75,218,Television
WAR0317,Mumbai,233,207,Player
WAR0318,Delhi,208,123,Another
WAR0319,Delhi,169,206,Free
WAR0320,Hyderabad,42,46,Simply
WAR0321,Mumbai,185,154,Foot
WAR0322,Chennai,270,96,Something
WAR0323,Mumbai,147,122,Expert
WAR0324,Bangalore,269,9,Institution
WAR0325,Delhi,151,210,Sell
WAR0326,Bangalore,42,263,Individual
WAR0327,Mumbai,285,28,Decide
WAR0328,Hyderabad,102,30,Good
WAR0329,Mumbai,173,85,Hot
WAR0330,Hyderabad,172,204,My
WAR0331,Chennai,289,145,Room
WAR0332,Chennai,189,291,Cold
WAR0333,Hyderabad,66,42,Statement
WAR0334,Chennai,62,6,In
WAR0335,Bangalore,271,39,Quickly
WAR0336,Chennai,72,-1,Large
WAR0337,Delhi,180,212,Effect
WAR0338,Bangalore,128,36,Remember
WAR0339,Hyderabad,41,79,Old
WAR0340,Hyderabad,262,222,Idea
WAR0341,Bangalore,131,170,Whom
WAR0342,HYDERABAD,160,184,Phone
WAR0343,Hyderabad,28,125,Them
WAR0344,Delhi,239,210,How
WAR0345,Mumbai,89,210,Might
WAR0346,Hyderabad,201,146,Worry
WAR0347,MUMBAI,131,272,Process
WAR0348,Chennai,209,44,School
WAR0349,CHENNAI,253,28,Little
WAR0350,Hyderabad,277,0,Represent
WAR0351,Chennai,179,263,Contain
WAR0352,Chennai,22,293,Simple
WAR0353,Bangalore,141,272,Less
WAR0354,Mumbai,37,78,Enjoy
WAR0355,Mumbai,281,256,Newspaper
WAR0356,Bangalore,151,35,Half
WAR0357,Delhi,224,92,Notice
WAR0358,Bangalore,243,224,Sometimes
WAR0359,Hyderabad,74,3,So
WAR0360,Bangalore,176,289,Letter
WAR0361,DELHI,100,118,Once
WAR0326,Hyderabad,45,114,Region
WAR0363,Bangalore,180,118,Lay
WAR0364,Bangalore,34,227,Our
WAR0365,Hyderabad,44,224,Claim
WAR0132,Mumbai,230,285,Go
INVALID_20,Mumbai,230,127,Public
WAR0368,Bangalore,195,114,Put
WAR0369,Delhi,290,146,When
WAR0370,Hyderabad,9999,53,Natural
WAR0371,Delhi,143,151,Still
WAR0372,Chennai,185,293,Capital
WAR0373,Chennai,30,245,Choose
WAR0374,Mumbai,133,220,Administration
WAR0375,Chennai,296,176,Rich
WAR0376,delhi,243,91,Newspaper
WAR0377,Delhi,142,224,Point
WAR0378,Hyderabad,162,236,Tough
WAR0379,Hyderabad,98,0,Pattern
WAR0380,Bangalore,226,183,Detail
WAR0381,Bangalore,167,244,Good
WAR0382,Mumbai,58,18,Guess
WAR0383,Chennai,163,149,Government
WAR0384,Mumbai,176,233,Deal
WAR0385,hyderabad,115,75,Skill
WAR0386,delhi,261,91,Should
WAR0387,Hyderabad,226,278,Whether
WAR0388,Chennai,79,300,Back
WAR0389,Chennai,80,-1,Tough
WAR0390,Delhi,46,200,Start
INVALID_18,Delhi,104,272,Themselves
WAR0392,Delhi,266,186,Group
WAR0393,Chennai,236,89,Leave
WAR0394,Hyderabad,129,114,Behind
WAR0180,Hyderabad,238,8,Reflect
WAR0396,Bangalore,205,201,Test
WAR0397,Delhi,13,248,Total
WAR0398,chennai,9,170,Right
WAR0399,Bangalore,299,7,Relate
WAR0400,Delhi,178,279,Maintain
WAR0401,Hyderabad,88,27,Decision
WAR0402,Chennai,209,124,Hot
WAR0403,Mumbai,169,243,Staff
WAR0359,Hyderabad,284,224,Seek
WAR0405,Hyderabad,142,97,Mention
WAR0406,Bangalore,204,166,Scene
WAR0407,DELHI,101,190,Property
WAR0408,Bangalore,255,158,Pass
WAR0409,Delhi,250,20,Full
WAR0410,Delhi,292,167,Magazine
WAR0411,Chennai,160,229,Early
WAR0412,Hyderabad,-1,19,Season
WAR0413,CHENNAI,141,47,Medical
WAR0414,Bangalore,142,220,Radio
WAR0415,Hyderabad,299,176,Plan
WAR0416,Bangalore,102,78,Maybe
WAR0417,Mumbai,43,142,Out
WAR0418,Bangalore,169,38,Hold
WAR0419,CHENNAI,98,228,Authority
WAR0420,Hyderabad,220,53,Grow
WAR0421,Chennai,246,10,Million
WAR0422,Hyderabad,258,257,Most
WAR0423,Delhi,255,262,Miss
WAR0424,Delhi,54,59,Herself
WAR0425,Mumbai,70,126,Since
WAR0426,Delhi,147,55,Lay
WAR0427,Chennai,244,20,Value
WAR0428,Mumbai,86,264,Fly
WAR0429,Bangalore,155,194,Human
WAR0430,Delhi,79,181,Prove
INVALID_32,Hyderabad,260,102,Western
WAR0432,Mumbai,96,233,Generation
WAR0433,Chennai,130,224,Lead
WAR0434,Hyderabad,284,139,Treatment
WAR0435,Delhi,91,267,Raise
WAR0436,Hyderabad,195,152,Century
WAR0437,Bangalore,0,161,Education
WAR0438,Mumbai,27,258,Candidate
WAR0439,Delhi,24,151,Threat
WAR0440,Chennai,-1,33,Human
WAR0441,CHENNAI,260,9999,Prove
WAR0442,Chennai,150,76,Pass
WAR0443,Chennai,246,0,Group
WAR0444,Mumbai,184,215,Decide
WAR0445,Bangalore,9,203,Role
WAR0446,Bangalore,140,247,Process
WAR0447,Bangalore,35,232,Near
WAR0448,Hyderabad,167,172,Thousand
WAR0449,Bangalore,149,242,Heart
WAR0450,Mumbai,18,59,Than
WAR0451,Chennai,9999,3,Wear
WAR0452,Hyderabad,201,280,Half
WAR0453,Mumbai,274,21,Music
WAR0454,Hyderabad,149,9999,Level
WAR0455,Chennai,254,135,When
WAR0352,Chennai,-1,219,Old
WAR0457,Bangalore,265,41,Mr
WAR0458,Delhi,65,96,Recent
WAR0459,Delhi,286,89,Fill
WAR0460,Chennai,246,160,Board
WAR0461,delhi,249,53,Although
WAR0462,Delhi,160,9,Professor
WAR0463,Hyderabad,149,283,Economic
WAR0464,Chennai,255,0,Wait
WAR0465,Mumbai,81,267,Red
WAR0466,Hyderabad,91,262,Learn
WAR0407,Hyderabad,39,235,Impact
WAR0468,Hyderabad,6,178,Star
WAR0469,Chennai,108,13,Grow
WAR0470,Bangalore,129,113,We
WAR0471,Delhi,251,123,Conference
INVALID_66,Hyderabad,9999,115,Ask
WAR0473,Bangalore,86,72,Trip
WAR0474,Mumbai,109,265,Hear
WAR0475,Delhi,220,37,Enough
WAR0476,Chennai,10,13,Program
WAR0477,Chennai,159,90,Camera
WAR0478,Delhi,156,251,Occur
WAR0479,Bangalore,162,159,Oil
WAR0480,Chennai,285,17,Bill
WAR0481,Hyderabad,19,19,Be
WAR0482,Chennai,232,97,Particularly
WAR0483,Mumbai,169,86,Deep
WAR0484,Bangalore,159,153,Mission
WAR0485,Mumbai,124,116,Computer
WAR0486,Delhi,297,164,Along
WAR0487,Mumbai,144,89,Usually
WAR0488,Chennai,9999,288,Particular
WAR0489,Delhi,124,-1,Democratic
WAR0490,Chennai,34,112,Leave
WAR0491,Delhi,44,210,Owner
WAR0492,Bangalore,196,289,Focus
WAR0493,Bangalore,99,280,Executive
WAR0415,Hyderabad,70,53,Analysis
WAR0426,Chennai,235,27,Control
WAR0496,Hyderabad,28,109,Successful
WAR0497,Delhi,241,140,Receive
WAR0498,Delhi,65,202,Consumer
WAR0499,Bangalore,44,292,Us
WAR0500,Delhi,92,66,Not
WAR0501,Bangalore,101,27,Response
WAR0502,Hyderabad,225,129,National
WAR0503,Mumbai,296,84,Agency
WAR0504,Delhi,44,47,Imagine
WAR0505,Bangalore,76,246,By
WAR0506,Mumbai,215,175,Certain
INVALID_69,Bangalore,160,208,None
WAR0508,Bangalore,0,156,Ok
WAR0509,Bangalore,226,298,Old
WAR0510,chennai,209,230,Drug
WAR0511,Chennai,133,238,Theory
WAR0512,Bangalore,268,224,Night
WAR0513,Delhi,182,18,Value
WAR0514,Chennai,18,295,Life
WAR0515,Delhi,59,133,Trial
WAR0516,Chennai,289,176,From
WAR0517,Delhi,120,85,Major
WAR0518,Hyderabad,136,272,Nothing
WAR0519,Mumbai,96,35,Reveal
WAR0520,Hyderabad,119,278,Matter
WAR0521,Delhi,266,152,Theory
WAR0522,Delhi,151,9,Win
WAR0523,Hyderabad,248,181,Large
WAR0524,Bangalore,96,59,Condition
WAR0525,Delhi,114,295,Rather
WAR0008,Mumbai,100,271,Run
WAR0527,Mumbai,8,99,Increase
WAR0528,Bangalore,12,132,Resource
WAR0529,Hyderabad,199,113,Above
WAR0530,Delhi,193,154,Friend
WAR0531,Bangalore,148,14,Sometimes
WAR0532,Mumbai,86,79,Forget
WAR0533,Chennai,93,290,This
WAR0534,Bangalore,205,282,Never
WAR0535,Mumbai,194,0,Direction
WAR0536,Chennai,45,257,Usually
WAR0537,Bangalore,67,11,Behavior
WAR0538,Bangalore,200,0,Drop
WAR0539,Hyderabad,221,154,Player
WAR0540,Chennai,63,120,Run
WAR0541,Chennai,18,133,Almost
WAR0542,Bangalore,65,263,Several
WAR0543,Hyderabad,78,22,Under
WAR0544,Delhi,231,9999,Modern
WAR0545,Hyderabad,258,4,Example
WAR0546,Delhi,161,94,Student
WAR0547,Bangalore,12,121,History
WAR0548,Hyderabad,175,228,World
WAR0357,Hyderabad,131,107,That
WAR0550,Bangalore,51,239,Easy
WAR0551,Bangalore,174,84,Us
WAR0552,Mumbai,10,202,Source
WAR0553,BANGALORE,130,2,Fish
WAR0554,Bangalore,275,157,Represent
WAR0555,BANGALORE,264,169,Whether
WAR0556,Chennai,170,198,Art
WAR0557,Delhi,120,288,Fear
WAR0558,Delhi,299,292,Admit
WAR0559,Delhi,79,174,Take
WAR0560,Chennai,168,289,Media
WAR0561,Chennai,217,77,Thought
WAR0562,Chennai,37,84,Animal
WAR0563,Bangalore,127,13,Kitchen
WAR0564,Mumbai,219,260,Together
WAR0565,Bangalore,261,284,These
WAR0566,Hyderabad,-1,209,Social
WAR0567,Bangalore,148,243,Future
INVALID_92,Delhi,223,122,Against
WAR0569,Hyderabad,229,68,Writer
WAR0570,Bangalore,252,43,Space
WAR0571,Hyderabad,222,48,Certain
WAR0572,Chennai,167,220,No
WAR0573,Bangalore,262,76,Agreement
WAR0574,Delhi,84,68,Modern
WAR0575,Mumbai,1,127,Because
WAR0576,Chennai,214,39,Cause
INVALID_39,Chennai,286,253,Area
WAR0578,DELHI,280,143,Huge
WAR0579,Hyderabad,77,133,Receive
INVALID_19,Chennai,39,275,Hair
WAR0581,Delhi,283,120,President
WAR0582,Chennai,58,204,Treatment
WAR0583,Bangalore,264,190,Task
WAR0584,Mumbai,93,30,Score
WAR0585,Bangalore,166,295,Beat
WAR0586,Chennai,282,250,Even
WAR0587,chennai,84,80,Television
WAR0588,Mumbai,115,157,Either
WAR0589,Hyderabad,11,-1,Doctor
WAR0590,hyderabad,83,240,Happen
WAR0591,Bangalore,-1,157,Find
WAR0592,Bangalore,165,294,After
WAR0593,Bangalore,280,142,Democrat
WAR0594,Mumbai,131,25,Walk
WAR0595,Mumbai,155,281,See
WAR0596,DELHI,85,226,Expert
WAR0597,delhi,245,193,Away
WAR0598,Hyderabad,201,84,Thing
WAR0599,Hyderabad,276,18,Life
WAR0600,Delhi,29,180,Per
WAR0601,Hyderabad,86,110,Throw
WAR0602,Mumbai,110,237,Offer
WAR0603,Delhi,64,284,Follow
WAR0604,Delhi,61,175,Beyond
WAR0605,Bangalore,235,8,Security
WAR0606,Chennai,105,118,Hope
WAR0607,Bangalore,53,94,Hope
WAR0608,Chennai,214,144,Everyone
WAR0609,Hyderabad,193,62,Kind
WAR0610,Mumbai,188,145,Share
WAR0611,Mumbai,39,105,Chance
WAR0612,Hyderabad,109,132,Describe
WAR0613,Bangalore,125,167,Section
WAR0614,Bangalore,268,1,Fact
WAR0615,Chennai,72,42,Others
WAR0616,Hyderabad,183,213,Easy
WAR0617,Hyderabad,210,85,Candidate
WAR0618,Delhi,9999,81,Way
WAR0619,Mumbai,8,269,Center
WAR0620,Delhi,6,225,Energy
WAR0621,Bangalore,76,287,Inside
WAR0622,BANGALORE,284,51,More
WAR0623,Delhi,101,162,Opportunity
WAR0624,Hyderabad,289,99,Voice
WAR0625,Mumbai,155,178,Challenge
WAR0626,Delhi,250,42,Country
WAR0627,Mumbai,234,40,Record
WAR0628,Delhi,142,192,Situation
WAR0629,Delhi,24,190,Late
WAR0630,HYDERABAD,32,246,Significant
WAR0631,Hyderabad,30,118,Against
WAR0632,Bangalore,277,163,Song
WAR0633,Bangalore,115,266,Good
WAR0634,Bangalore,228,214,Range
WAR0635,Bangalore,0,118,Watch
INVALID_75,Mumbai,22,143,Network
INVALID_14,Delhi,250,184,Truth
WAR0638,Hyderabad,70,242,Similar
WAR0639,Bangalore,92,98,Middle
WAR0640,Bangalore,6,41,Once
WAR0641,Delhi,196,158,Wrong
WAR0642,Chennai,9999,297,Which
WAR0643,Delhi,152,290,Home
WAR0644,Mumbai,78,178,Give
WAR0645,Chennai,263,33,Drive
WAR0646,Mumbai,19,246,Management
WAR0647,Hyderabad,240,202,Center
WAR0648,Chennai,140,162,Production
WAR0482,Delhi,10,172,Coach
WAR0650,Chennai,203,32,Identify
WAR0651,Hyderabad,41,115,Easy
WAR0652,Bangalore,144,252,Instead
WAR0653,Bangalore,18,46,Beautiful
WAR0654,Bangalore,10,229,Same
WAR0655,Mumbai,280,216,Training
WAR0656,Delhi,127,122,One
WAR0657,Chennai,141,200,Really
WAR0658,Hyderabad,151,217,Base
WAR0659,Chennai,158,207,Right
WAR0660,Bangalore,9999,9999,Exactly
WAR0661,Bangalore,61,259,Mouth
WAR0662,Mumbai,191,29,Offer
WAR0663,Bangalore,48,237,Up
WAR0664,Hyderabad,277,210,Be
WAR0217,Hyderabad,69,290,Statement
WAR0666,Mumbai,21,272,Pretty
WAR0667,Mumbai,127,296,A
WAR0668,Mumbai,23,237,Candidate
WAR0669,Hyderabad,239,192,Every
WAR0670,Chennai,55,45,Mouth
WAR0671,Bangalore,242,163,Class
WAR0672,chennai,81,113,Reality
WAR0673,Hyderabad,271,19,Social
WAR0674,Chennai,201,218,Everybody
WAR0675,Bangalore,253,219,Apply
WAR0676,Mumbai,-1,117,North
WAR0677,Bangalore,228,127,Lose
INVALID_81,Chennai,77,294,Power
WAR0679,Bangalore,148,143,Occur
WAR0680,Delhi,156,87,Hear
WAR0681,Hyderabad,125,291,Sometimes
WAR0682,Delhi,259,4,Drive
WAR0683,Chennai,210,149,Determine
WAR0684,mumbai,177,203,Read
WAR0685,Chennai,63,242,Candidate
WAR0686,Delhi,291,238,Someone
WAR0687,Chennai,66,120,American
WAR0688,Bangalore,33,1,Blue
WAR0689,Bangalore,267,125,Finish
WAR0690,Hyderabad,0,78,Financial
WAR0691,Hyderabad,170,51,Little
WAR0692,Bangalore,198,247,Attention
WAR0693,Hyderabad,151,225,Something
WAR0694,Chennai,109,265,Possible
WAR0695,Delhi,178,-1,Alone
WAR0696,Bangalore,119,174,Maybe
WAR0697,Delhi,9999,42,Adult
WAR0698,Mumbai,208,138,Room
WAR0699,Bangalore,159,163,Finally
WAR0700,Delhi,116,84,Important
WAR0701,Delhi,26,34,Weight
WAR0702,Delhi,9,40,Catch
INVALID_64,Chennai,141,209,Claim
WAR0704,DELHI,210,53,Evening
WAR0705,hyderabad,120,267,Hot
WAR0706,Hyderabad,220,162,After
WAR0707,BANGALORE,118,13,Able
WAR0708,Chennai,78,38,Life
WAR0709,Delhi,235,165,House
WAR0710,Chennai,154,38,Hard
WAR0711,Hyderabad,283,33,Series
WAR0712,Bangalore,18,141,Center
INVALID_46,Mumbai,63,198,One
WAR0714,Bangalore,0,98,Similar
WAR0715,Mumbai,269,35,Probably
WAR0716,Mumbai,91,79,Small
